period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058135079526210,582.3058140578825714,1455.5209357356661712,232.8833506034893333,428.9747990222085718,1164.9039161289431377,87.3312587296976233,6.4262204213108607,494.9745548607307910,9.6928199780280924,0.0000000000000000,24748.7277607915966655,0.0000000000000000,0.0000000000000000,0.9999999990555997,1.0000000057128997,-1.0975555784678477,13.7358976136728241,14.8334531921406718,0.0574419850770548,0.0571999998775359,0.1502315374709931,0.2365068588150900,0.8697969651023474,0.0000000000000000,0.0000000000000000,0.9999999953019988,1.0000000158210154,1.0975532801340080,112.1945366673980686,111.0969833872640606,0.3677395352554978,0.3699999885589114,0.2298368274828372,0.3946022097532236,2.1921942207769858,0.0000000000000000,0.0000000000000000
1,582.3058139979523276,582.3058161026179960,1455.5209382387479309,232.8833501313191618,428.9747986882834994,1164.9039159602477866,87.3312588033555528,6.4262203932112021,494.9745555102438175,9.6925690407758776,0.0000000000000000,24748.7278295724099735,0.0000000000000000,0.0000000000000000,0.9999999963856350,0.9999999913872623,-1.0975549757014615,13.7358984847059009,14.8334534604073625,0.0574419850770547,0.0571999991122375,0.1502315364595304,0.2365068572459055,0.8697969619467352,0.0000000000000000,0.0000000000000000,0.9999999954011359,1.0000000167297030,1.0975529451676636,112.1945370434149680,111.0969840982473045,0.3677395352554971,0.3699999886556136,0.2298368270428610,0.3946022095504916,2.1921942193487407,0.0000000000000000,0.0000000000000000
2,582.3058142246437683,582.3058154997962674,1455.5209404321315105,232.8833496009370378,428.9747982524485224,1164.9039153576129593,87.3312582967665634,6.4262203746121820,494.9745561191181196,9.6923130979096488,0.0000000000000000,24748.7277824566008348,0.0000000000000000,0.0000000000000000,0.9999999978101670,1.0000000042379951,-1.0975555927691136,13.7358979123545435,14.8334535051236571,0.0574419850770547,0.0571999993500842,0.1502315368806958,0.2365068578437081,0.8697969630993334,0.0000000000000000,0.0000000000000000,0.9999999945742765,1.0000000133860363,1.0975540609532857,112.1945383344614982,111.0969842735082125,0.3677395352554972,0.3699999873220872,0.2298368263724651,0.3946022090313519,2.1921942168363997,0.0000000000000000,0.0000000000000000
3,582.3058144116303083,582.3058148040325932,1455.5209421117292550,232.8833502467084600,428.9747992104677223,1164.9039170844891942,87.3312586581737236,6.4262204369556768,494.9745558123070168,9.6920520498727143,0.0000000000000000,24748.7277854661660967,0.0000000000000000,0.0000000000000000,0.9999999993261233,1.0000000037128101,-1.0975554644720003,13.7358978711034982,14.8334533355754985,0.0574419850770548,0.0571999998639370,0.1502315380458609,0.2365068588596474,0.8697969662712518,0.0000000000000000,0.0000000000000000,0.9999999963920737,1.0000000157869138,1.0975538141465222,112.1945381164637894,111.0969843023172672,0.3677395352554974,0.3699999892368371,0.2298368273621844,0.3946022099924902,2.1921942206162282,0.0000000000000000,0.0000000000000000
4,581.5678694165262641,581.8473540856025465,1455.5209441843487639,232.8731075397760435,428.9622211702078403,1164.1488895952652456,87.1249286091150594,6.4364629841634278,494.4847904122425462,9.6917857954811737,0.0000000000000000,24748.7277907132411201,0.0000000000000000,0.0000000000000000,0.9995196598092013,1.0013615259028523,-1.2345447931315991,13.6491742026755727,14.8837189958071718,0.0574419850770546,0.0569166028087240,0.1495246267793845,0.2358629323687783,0.8679318514175283,0.0000000000000000,0.0000000000000000,1.0004604769654299,0.9990527474814288,1.8814532114580231,112.6420526649389160,110.7605994534808929,0.3677395352554969,0.3706264285031352,0.2302503838187982,0.3949407953705882,2.1936662926490569,0.0000000000000000,0.0000000000000000
5,581.5358212459698279,581.7956483877396749,1455.2726959302433443,232.8745939830020859,428.9396576706830615,1164.0861975645823350,87.0953359486198337,6.4349765795063991,494.4793816560004416,9.6917059408773696,0.0000000000000000,24748.7277649602146994,0.0000000000000000,0.0000000000000000,0.9995534048037483,1.0014988483071448,-1.2381042537070623,13.6430621559714513,14.8811664096785137,0.0574419850770547,0.0569343838989395,0.1492678663482087,0.2357943883241313,0.8673805950230106,0.0000000000000000,0.0000000000000000,1.0004295689670566,0.9990232993997769,1.8855575611764692,112.6346439698133537,110.7490864086368845,0.3677395352554967,0.3706119049045796,0.2303279305419666,0.3949349991206640,2.1938826556626356,0.0000000000000000,0.0000000000000000
6,581.5131327882769483,581.7408580512670824,1455.0126962988383639,232.8811000596804206,428.9220999661052360,1164.0396636566654252,87.0679321073487102,6.4284704191861834,494.4792838426363915,9.6916266098238051,0.0000000000000000,24748.7278043045225786,0.0000000000000000,0.0000000000000000,0.9996085451798024,1.0019094201242333,-1.2543717083022798,13.6163068768839022,14.8706785851861820,0.0574419850770548,0.0569699507000455,0.1483881308368679,0.2351318792974387,0.8654225371575580,0.0000000000000000,0.0000000000000000,1.0004234098012350,0.9990039562469445,1.8975535528432630,112.6341428618116964,110.7365893089684334,0.3677395352554976,0.3706563931660847,0.2303692923548954,0.3949512221087439,2.1939904167584663,0.0000000000000000,0.0000000000000000
7,581.5336510493837068,581.5014268788651179,1454.7457017608087426,232.9286954375760104,428.9542980977845446,1164.1039107232431888,87.0317033658576520,6.3808749623174368,494.4971247814312392,9.6915457318126332,0.0000000000000000,24748.7278519203391625,0.0000000000000000,0.0000000000000000,1.0000554154625063,1.0047055268173470,-1.3681532268080367,13.4158940488822953,14.7840472756903321,0.0574419850770546,0.0573580159386471,0.1428871811613356,0.2301063623770312,0.8510801753774676,0.0000000000000000,0.0000000000000000,1.0004843290485232,0.9988392049994875,2.0013170236661040,112.6579500544911099,110.6566330308250059,0.3677395352554982,0.3715417851830243,0.2305192453307129,0.3950569494031062,2.1944646647400652,0.0000000000000000,0.0000000000000000
8,581.5245853470368047,576.4450452946022097,1454.4974152563579537,233.2817525152524354,429.3632116017562339,1164.6501973940269181,86.2813929867013485,6.0278175225165409,494.4828947482156991,9.6914562475156742,0.0000000000000000,24748.7278649532854615,0.0000000000000000,0.0000000000000000,1.0088118374750510,1.0573916715958098,-2.4491827372630368,7.6906997502441161,10.1398824875071529,0.0476962403485722,0.0367619434584230,0.1241823262221309,0.2000317539490141,0.7231966807678104,0.0212371862378000,0.0521250000000000,1.0005189429878458,0.9972975719545764,2.6376608162368456,112.3543015075974978,109.7166406913606522,0.3677395352554977,0.3724439200441777,0.2315534450977182,0.3958930416024919,2.1981836700424764,0.0000000000000000,0.0000000000000000
9,581.5072966005237731,575.9373143343869970,1454.2692012297040947,233.2621243120325971,429.3166710580816243,1164.5697012460896076,86.2087607673430512,6.0474461003725546,494.4647970621225568,9.6913705504446099,0.0000000000000000,24748.7278248121911020,0.0000000000000000,0.0000000000000000,1.0096711606063824,1.0634655033329210,-2.5614666691287926,7.4441276548291579,10.0055943239579506,0.0423360809428217,0.0369211096893539,0.1276844746546346,0.2087767415959137,0.6980172180439949,0.0212371862378000,0.0521250000000000,1.0005001556468376,0.9972141340338952,2.6686198142984949,112.2929440808906776,109.6243242665921827,0.3677395352554977,0.3724202008243489,0.2317722055552347,0.3959038729914064,2.1988396383669451,0.0000000000000000,0.0000000000000000
10,581.4937370184384235,575.7287188151202599,1454.0554963287611372,233.2581165435920525,429.2907233831062968,1164.5209017200913877,86.1822173809043051,6.0514539343412350,494.4485401894603456,9.6912902318623058,0.0000000000000000,24748.7278669792904111,0.0000000000000000,0.0000000000000000,1.0100134282256803,1.0644682562442633,-2.5696589490394022,7.3989795207868028,9.9686384698262049,0.0393879933768620,0.0369819892228527,0.1342496313211236,0.2138258458470656,0.6930731456577277,0.0212371862378000,0.0521250000000000,1.0004752231589376,0.9972327766175494,2.6492673849820960,112.2462375560629937,109.5969701710808977,0.3677395352554977,0.3723968952187643,0.2318079892672930,0.3958969304702737,2.1989224608448219,0.0000000000000000,0.0000000000000000
11,581.4807444716600457,575.5900773652724638,1453.8573183403327675,233.2572583349938782,429.2701664268696504,1164.4799903884124888,86.1657701697824479,6.0523120530949148,494.4331420952505596,9.6912146782418542,0.0000000000000000,24748.7278650253865635,0.0000000000000000,0.0000000000000000,1.0102341359554903,1.0643767408532492,-2.5561617053008483,7.3946953272571978,9.9508570325580461,0.0377539607075921,0.0370200273173686,0.1393945675736063,0.2167386285105323,0.6922502354053847,0.0212371862378000,0.0521250000000000,1.0004499656209322,0.9972709073146412,2.6206598328394648,112.2051786052058304,109.5845187723663656,0.3677395352554974,0.3723742648725027,0.2318029682405508,0.3958867454678262,2.1988935214272596,0.0000000000000000,0.0000000000000000
12,581.4682834823737494,575.4751768354062733,1453.6734428407801261,233.2570374505962434,429.2517974692039502,1164.4425822233522467,86.1524799667138410,6.0525330192676963,494.4185953976997325,9.6911436485258076,0.0000000000000000,24748.7278806035537855,0.0000000000000000,0.0000000000000000,1.0104141879410409,1.0640735857987238,-2.5392772672012045,7.3986059250584075,9.9378831922596120,0.0368212717136087,0.0370506940472565,0.1428421527637824,0.2184557576460677,0.6922837873963947,0.0212371862378000,0.0521250000000000,1.0004263966468714,0.9973102991740693,2.5921948893867750,112.1682053752780206,109.5760104858912456,0.3677395352554975,0.3723532763219826,0.2317897138930509,0.3958766265574871,2.1988451809143705,0.0000000000000000,0.0000000000000000
13,581.4564236401688504,575.3736011097242908,1453.5026909136997801,233.2569521998758830,429.2348852488835860,1164.4077535940327834,86.1408538330407225,6.0526182352677269,494.4048927696749161,9.6910768996973005,0.0000000000000000,24748.7278733266866766,0.0000000000000000,0.0000000000000000,1.0105719527602806,1.0637504340023567,-2.5229879605031833,7.4038503684712342,9.9268383289744175,0.0363110592736410,0.0370774808397467,0.1449081802637908,0.2194389163359295,0.6924865134651206,0.0212371862378000,0.0521250000000000,1.0004049119759431,0.9973470560035559,2.5658622829132298,112.1348040546538130,109.5689417717405831,0.3677395352554974,0.3723341594392163,0.2317756873512980,0.3958672670383713,2.1987965931400555,0.0000000000000000,0.0000000000000000
14,581.4451742998184045,575.2822905637668782,1453.3440314543083787,233.2569002435600396,429.2192029986604780,1164.3752058913516976,86.1304779000988106,6.0526701221155976,494.3919978739078260,9.6910141867209632,0.0000000000000000,24748.7278395764260495,0.0000000000000000,0.0000000000000000,1.0107127993285037,1.0634479224725999,-2.5080778912836683,7.4089642817633701,9.9170421730470384,0.0360387977851790,0.0371013812598977,0.1460916318842389,0.2200016795159016,0.6927090580791979,0.0212371862378000,0.0521250000000000,1.0003854591365420,0.9973805391932140,2.5419348782387345,112.1046160708092003,109.5626811925704658,0.3677395352554967,0.3723168509514028,0.2317625314374294,0.3958587615979656,2.1987515907453141,0.0000000000000000,0.0000000000000000
15,581.4345171654315436,575.1998397505582261,1453.1965410381144466,233.2568602181570725,429.2046338548518065,1164.3447622470987426,86.1211722120726648,6.0527104159152643,494.3798646388199813,9.6909552738735876,0.0000000000000000,24748.7278442604183510,0.0000000000000000,0.0000000000000000,1.0108391501248974,1.0631730900915561,-2.4946109719753720,7.4136539575469635,9.9082649295223355,0.0358960549442231,0.0371228239517789,0.1467621659172162,0.2203302018944757,0.6929189356697188,0.0212371862378000,0.0521250000000000,1.0003678819319732,0.9974108476163610,2.5202970557986788,112.0773280855362231,109.5570310297375443,0.3677395352554972,0.3723012104994345,0.2317505352378952,0.3958510692505404,2.1987106963861613,0.0000000000000000,0.0000000000000000
16,581.4244258491905839,575.1252883792100192,1453.0593795187508022,233.2568262395698753,429.1910881026380480,1164.3162741461210317,86.1128165148774940,6.0527441866454383,494.3684470701687133,9.6908999387487231,0.0000000000000000,24748.7278573550938745,0.0000000000000000,0.0000000000000000,1.0109526351862088,1.0629253934905438,-2.4824925206228166,7.4178880004681371,9.9003805210909537,0.0358282607465174,0.0371420879630802,0.1471231736425733,0.2205173419966126,0.6931100562859678,0.0212371862378000,0.0521250000000000,1.0003520086962545,0.9974382319959484,2.5007563144707206,112.0526592738486329,109.5519029593779123,0.3677395352554976,0.3722870848900163,0.2317396761051451,0.3958441215335246,2.1986737148172475,0.0000000000000000,0.0000000000000000
