period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058139653464877,582.3058156848065892,1164.9039134657857630,87.3312581747905341,6.8298247167094637,494.9745560484318503,185.0007371795840925,0.0000000000000000,24748.7277131807677506,0.0000000000000000,0.0000000000000000,0.9999999970471529,0.9999999985738288,-1.0975553201237105,13.7358983184133390,14.8334536385370495,0.0574419850770593,0.0571999991484690,0.1437086007778209,0.0000000000000000,0.0000000000000000,0.9999999951714764,1.0000000165545060,1.0975531503138711,112.1945375641993223,111.0969844138854512,0.3677395352555122,0.3699999881086068,0.2194556418064584,0.0000000000000000,0.0000000000000000
1,582.3058137816904036,582.3058146078105892,1164.9039150934158897,87.3312586620738927,6.8298247982105806,494.9745552435138052,184.9963443649928649,0.0000000000000000,24748.7277250108090811,0.0000000000000000,0.0000000000000000,0.9999999985812951,0.9999999999785683,-1.0975552747585127,13.7358980223112379,14.8334532970697506,0.0574419850770594,0.0571999997185451,0.1437086024407155,0.0000000000000000,0.0000000000000000,0.9999999974991598,1.0000000193853598,1.0975529991223141,112.1945374489654625,111.0969844498431485,0.3677395352555130,0.3699999905818045,0.2194556434161108,0.0000000000000000,0.0000000000000000
2,582.3058135750391102,582.3058149608458507,1164.9039141995706359,87.3312580623232861,6.8298247432184960,494.9745557205519617,184.9918642373288264,0.0000000000000000,24748.7277186975552468,0.0000000000000000,0.0000000000000000,0.9999999976201390,0.9999999988178621,-1.0975552642296087,13.7358979648521213,14.8334532290817300,0.0574419850770593,0.0571999993828931,0.1437086017916440,0.0000000000000000,0.0000000000000000,0.9999999958223745,1.0000000162925278,1.0975535571673589,112.1945376498465379,111.0969840926791790,0.3677395352555128,0.3699999888318961,0.2194556423910844,0.0000000000000000,0.0000000000000000
3,582.3058133663511171,582.3058146981411483,1164.9039151510673946,87.3312582966162836,6.8298247811749686,494.9745552694699882,184.9872950623767736,0.0000000000000000,24748.7277416834804171,0.0000000000000000,0.0000000000000000,0.9999999977129028,1.0000000026710336,-1.0975554907763669,13.7358979483218029,14.8334534390981698,0.0574419850770593,0.0571999994935086,0.1437086018692864,0.0000000000000000,0.0000000000000000,0.9999999969096073,1.0000000166617282,1.0975538960180273,112.1945373719433263,111.0969834759252990,0.3677395352555122,0.3699999901257632,0.2194556432040956,0.0000000000000000,0.0000000000000000
4,581.6299473958856652,582.0709118216801699,1164.2157825444185164,87.2156011268859288,6.8371796493235202,494.4804189359035718,184.9826350885406328,0.0000000000000000,24748.7277441189726233,0.0000000000000000,0.0000000000000000,0.9992424214698949,1.0023302326693091,-1.3277447332170613,13.5941128091991104,14.9218575424161717,0.0574419850770593,0.0567495006227330,0.1425117796836276,0.0000000000000000,0.0000000000000000,1.0004735461933059,0.9989785752851167,1.9204785489086049,112.6955603848851268,110.7750818359765219,0.3677395352555127,0.3706365782995716,0.2199222215458307,0.0000000000000000,0.0000000000000000
5,581.6127335705342603,582.0440389505536132,1164.1745573061014056,87.1980425521799560,6.8370354583974686,494.4793063779544582,184.9815658269902201,0.0000000000000000,24748.7277345633301593,0.0000000000000000,0.0000000000000000,0.9992589815354918,1.0023802736501559,-1.3274044106494589,13.5933422963635699,14.9207467070130289,0.0574419850770593,0.0567629226117954,0.1424283562940976,0.0000000000000000,0.0000000000000000,1.0004503448874704,0.9989799060306022,1.9144472309809402,112.6880534418169759,110.7736062108360358,0.3677395352555126,0.3706261712895473,0.2199528654729508,0.0000000000000000,0.0000000000000000
6,581.5956737237464722,582.0240201221384950,1164.1348140739930841,87.1809615444038144,6.8356776140432318,494.4788738798821441,184.9804835260303264,0.0000000000000000,24748.7277555905784538,0.0000000000000000,0.0000000000000000,0.9992640399990669,1.0024726393386507,-1.3296401176008388,13.5879086669440348,14.9175487845448735,0.0574419850770594,0.0567762851614710,0.1422317269689529,0.0000000000000000,0.0000000000000000,1.0004380100885104,0.9989879691135064,1.9116254452617625,112.6854960796027854,110.7738706343410229,0.3677395352555123,0.3706340650078459,0.2199622739547228,0.0000000000000000,0.0000000000000000
7,581.5943814788760164,581.8961261717859088,1164.1468721261237533,87.1574656394210621,6.8122764536092406,494.4821117112288675,184.9793828435938394,0.0000000000000000,24748.7277193538502615,0.0000000000000000,0.0000000000000000,0.9994814457781408,1.0039241863738628,-1.3870010972983771,13.4788293476664887,14.8658304449648657,0.0574419850770593,0.0569432588971788,0.1393702206626560,0.0000000000000000,0.0000000000000000,1.0004614285228524,0.9989033882547023,1.9653585638826030,112.7001963401756228,110.7348377762930198,0.3677395352555122,0.3709680875004253,0.2200509868441009,0.0000000000000000,0.0000000000000000
8,581.5729833726479683,576.3473448004112925,1164.7384188322266709,86.3198157196095366,6.4297420573150905,494.4705212807732551,184.9782359870088726,0.0000000000000000,24748.7277682831918355,0.0000000000000000,0.0000000000000000,1.0090668216300125,1.0614504646066509,-2.5345056296710657,7.5137164568334613,10.0482220865045271,0.0476962403485761,0.0369334050967909,0.1110576522925074,0.0212371862378000,0.0521250000000000,1.0005275251120040,0.9971980976981318,2.6846918666107626,112.3742508666864239,109.6895590000756613,0.3677395352555119,0.3724026161993255,0.2212544050844769,0.0000000000000000,0.0000000000000000
9,581.5638832479115763,576.0352553608817061,1164.6919960515574530,86.2745145324464033,6.4373805281458667,494.4613296630894865,184.9771528387535966,0.0000000000000000,24748.7277663100139762,0.0000000000000000,0.0000000000000000,1.0095977248537786,1.0640492101442525,-2.5721827838563991,7.4044442531607944,9.9766270370171934,0.0423360809428252,0.0370360405948760,0.1194188710070358,0.0212371862378000,0.0521250000000000,1.0005023134814937,0.9971873325155740,2.6781890183300732,112.3197986261603916,109.6416096078303184,0.3677395352555128,0.3723917142660754,0.2213469052852204,0.0000000000000000,0.0000000000000000
10,581.5565135137854895,575.8897016127724555,1164.6604238296163203,86.2549691305863604,6.4380382273346903,494.4527869141528527,184.9761167493560094,0.0000000000000000,24748.7277604930677626,0.0000000000000000,0.0000000000000000,1.0098400993890724,1.0638371882077939,-2.5540508034615756,7.4033338938050859,9.9573846972666615,0.0392100744690479,0.0370797727669721,0.1284867764942986,0.0212371862378000,0.0521250000000000,1.0004730499354817,0.9972337950563042,2.6434076527269639,112.2738563095446125,109.6304486568176486,0.3677395352555120,0.3723673834832978,0.2213375603708050,0.0000000000000000,0.0000000000000000
11,581.5492651074478090,575.7689583972229457,1164.6314303038711842,86.2389024816010590,6.4381466768436013,494.4445859989086784,184.9751238122215682,0.0000000000000000,24748.7278286443215620,0.0000000000000000,0.0000000000000000,1.0100392816005839,1.0634245282821053,-2.5330552979340908,7.4103120914868672,9.9433673894209580,0.0370998929262832,0.0371152285049773,0.1358720404347415,0.0212371862378000,0.0521250000000000,1.0004458299350498,0.9972809618755168,2.6092469718194451,112.2324199454366038,109.6231729736171587,0.3677395352555120,0.3723439726249453,0.2213203003845839,0.0000000000000000,0.0000000000000000
12,581.5421503802950838,575.6607347815224784,1164.6040763861726646,86.2244993034880451,6.4382039344965785,494.4367118628578055,184.9741723368810824,0.0000000000000000,24748.7277875735817361,0.0000000000000000,0.0000000000000000,1.0102168086920236,1.0630337438564799,-2.5137478643216591,7.4172732115835673,9.9310210759052264,0.0360005482436546,0.0371468026330055,0.1401440153456059,0.0212371862378000,0.0521250000000000,1.0004211597896084,0.9973240675394472,2.5781364901071271,112.1949679602521854,109.6168314701450583,0.3677395352555123,0.3723226900318060,0.2213038662262450,0.0000000000000000,0.0000000000000000
13,581.5351831258044513,575.5629749880727104,1164.5781972339009371,86.2114783717869244,6.4382502914847741,494.4291494836606944,184.9732607113352856,0.0000000000000000,24748.7277927413269936,0.0000000000000000,0.0000000000000000,1.0103762896455515,1.0626806644204865,-2.4963512430596353,7.4235904539739597,9.9199416970335950,0.0358108274098308,0.0371751800431689,0.1410027888683537,0.0212371862378000,0.0521250000000000,1.0003988674607942,0.9973630580126897,2.5500186646152230,112.1611158585854753,109.6110971939702523,0.3677395352555122,0.3723034555982749,0.2212889422215086,0.0000000000000000,0.0000000000000000
14,581.5283682754701431,575.4745770121552368,1164.5536907913410687,86.1996947883345399,6.4382898223706668,494.4218828484953292,184.9723874034105222,0.0000000000000000,24748.7277797786045994,0.0000000000000000,0.0000000000000000,1.0105196502245957,1.0623631878591853,-2.4807113059945349,7.4292704973414692,9.9099818033360041,0.0357879209729142,0.0372007026779837,0.1411982095331006,0.0212371862378000,0.0521250000000000,1.0003787317926234,0.9973982859694671,2.5246267145063399,112.1305137735416793,109.6058870590353393,0.3677395352555127,0.3722860845880644,0.2212754570897061,0.0000000000000000,0.0000000000000000
15,581.5217085552931167,575.3946133266745164,1164.5304665318710704,86.1890271022279109,6.4383235465932991,494.4148967458636434,184.9715509697846585,0.0000000000000000,24748.7277975532961136,0.0000000000000000,0.0000000000000000,1.0106485098864491,1.0620779041221464,-2.4666555190636839,7.4343711510118489,9.9010266700755327,0.0357851553048447,0.0372236549896342,0.1413037104006319,0.0212371862378000,0.0521250000000000,1.0003605456495375,0.9974301087766267,2.5016988004635436,112.1028448347663016,109.6011460343027579,0.3677395352555120,0.3722703985152057,0.2212632791868564,0.0000000000000000,0.0000000000000000
16,581.5152059713559538,575.3222532244003560,1164.5084412764635999,86.1793666540885255,6.4383521907666186,494.4081770506677458,184.9707500517985750,0.0000000000000000,24748.7278050855129550,0.0000000000000000,0.0000000000000000,1.0107643198437863,1.0618215918773095,-2.4540249938777379,7.4389496033307108,9.8929745972084486,0.0357848213847376,0.0372442919669014,0.1413900357979705,0.0212371862378000,0.0521250000000000,1.0003441210310602,0.9974588538196210,2.4809962362312774,112.0778232262999268,109.5968269900686494,0.3677395352555123,0.3722562345757583,0.2212522829918664,0.0000000000000000,0.0000000000000000
17,581.5088617183866972,575.2567485575813180,1164.4875388306963941,86.1706158304206582,6.4383763832246030,494.4017102581642575,184.9699833690503965,0.0000000000000000,24748.7278007394488668,0.0000000000000000,0.0000000000000000,1.0108683873357107,1.0615913338951828,-2.4426762760063294,7.4430580109058262,9.8857342869121556,0.0357847810680274,0.0372628436970892,0.1414665750226046,0.0212371862378000,0.0521250000000000,1.0003292880214081,0.9974848175284367,2.4623032942424885,112.0551906839469751,109.5928873897044866,0.3677395352555123,0.3722434458115329,0.2212423545101042,0.0000000000000000,0.0000000000000000
18,581.5026766476935336,575.1974245409772948,1164.4676891157546379,86.1626867793911941,6.4383966858895230,494.3954837923761261,184.9692497163426026,0.0000000000000000,24748.7278264044362004,0.0000000000000000,0.0000000000000000,1.0109618921046941,1.0613845018691466,-2.4324801034886114,7.4467435156342194,9.8792236191228309,0.0357847762002848,0.0372795181610022,0.1415352137688777,0.0212371862378000,0.0521250000000000,1.0003158930128520,0.9975082681125902,2.4454250751593634,112.0347142570199850,109.5892891818606216,0.3677395352555116,0.3722318992965044,0.2212333905866237,0.0000000000000000,0.0000000000000000
19,581.4966512517630690,575.1436717606592310,1164.4488277219923020,86.1555003118998428,6.4384135680135559,494.3894858978890170,184.9685479582605865,0.0000000000000000,24748.7277948774717515,0.0000000000000000,0.0000000000000000,1.0110459000125234,1.0611987345943277,-2.4233201408542024,7.4500485393770761,9.8733686802312786,0.0357847756125653,0.0372945023002101,0.1415968476620527,0.0212371862378000,0.0521250000000000,1.0003037968152637,0.9975294474421168,2.4301856631433196,112.0161835446163678,109.5859978814730482,0.3677395352555125,0.3722214686259957,0.2212252983387487,0.0000000000000000,0.0000000000000000
20,581.4907860814541891,575.0950631005707692,1164.4308966548176159,86.1490038659828201,6.4384270191613986,494.3837055440505992,184.9678770244493933,0.0000000000000000,24748.7278041601057339,0.0000000000000000,0.0000000000000000,1.0111211578593660,1.0610322379037198,-2.4151105475634838,7.4530022757459919,9.8681128233094757,0.0357847755416055,0.0373079247561193,0.1416520528814436,0.0212371862378000,0.0521250000000000,1.0002928881290833,0.9975485479641614,2.4164450308126533,111.9994410247505385,109.5829959939378853,0.3677395352555122,0.3722120653368728,0.2212180023164252,0.0000000000000000,0.0000000000000000
21,581.4850814518828201,575.0510823638422835,1164.4138419838359368,86.1431307786299669,6.4384375956032418,494.3781322545615922,184.9672359055104209,0.0000000000000000,24748.7278195057042467,0.0000000000000000,0.0000000000000000,1.0111885696512255,1.0608830299522265,-2.4077533018013284,7.4556412578301234,9.8633945596314518,0.0357847755330379,0.0373199478819972,0.1417014939527252,0.0212371862378000,0.0521250000000000,1.0002830505378937,0.9975657737256216,2.4040554694625200,111.9843092481761175,109.5802537787135975,0.3677395352555128,0.3722035923106808,0.2212114245874712,0.0000000000000000,0.0000000000000000
22,581.4795369727473826,575.0111808986440565,1164.3976131300469206,86.1378082968903840,6.4384460299159869,494.3727561862501716,184.9666236500885645,0.0000000000000000,24748.7278086600999814,0.0000000000000000,0.0000000000000000,1.0112490961723464,1.0607490850484498,-2.4011467778299904,7.4580049297172950,9.8591517075472854,0.0357847755320036,0.0373307455128488,0.1417458730207938,0.0212371862378000,0.0521250000000000,1.0002741690063564,0.9975813272698695,2.3928706002641178,111.9706059827743729,109.5777353825102551,0.3677395352555123,0.3721959441211505,0.2212054878915939,0.0000000000000000,0.0000000000000000
23,581.4741521392602408,574.9749533066759568,1164.3821643388571374,86.1329845046698921,6.4384526477047972,494.3675680210412793,184.9660393613108624,0.0000000000000000,24748.7278393544947903,0.0000000000000000,0.0000000000000000,1.0113034468635675,1.0606288233855632,-2.3952134075828742,7.4601221050638671,9.8553355126467412,0.0357847755318787,0.0373404436115361,0.1417857217219754,0.0212371862378000,0.0521250000000000,1.0002661502757866,0.9975953717995558,2.3827723745229150,111.9581906479144919,109.5754182733915769,0.3677395352555118,0.3721890395266245,0.2212001288466355,0.0000000000000000,0.0000000000000000
24,581.4689267700878190,574.9420408808305183,1164.3674542246171768,86.1286142150755580,6.4384577178751154,494.3625589784596741,184.9654821939603835,0.0000000000000000,24748.7278180647954287,0.0000000000000000,0.0000000000000000,1.0113522501837888,1.0605208491717049,-2.3898845887911380,7.4620180566585050,9.8519026454496430,0.0357847755318636,0.0373491536865019,0.1418215029205807,0.0212371862378000,0.0521250000000000,1.0002589107177955,0.9976080537595503,2.3736550105310670,111.9469380814941672,109.5732830709631003,0.3677395352555132,0.3721828061043626,0.2211952911746604,0.0000000000000000,0.0000000000000000
25,581.4638607025012789,574.9121220468796309,1164.3534450962968094,86.1246573576422918,6.4384614723936471,494.3577207405207901,184.9649513514987120,0.0000000000000000,24748.7278275768730964,0.0000000000000000,0.0000000000000000,1.0113960697720117,1.0604239096804240,-2.3850987843635139,7.4637154817862914,9.8488142661498053,0.0357847755318618,0.0373569758002433,0.1418536304454623,0.0212371862378000,0.0521250000000000,1.0002523748135299,0.9976195052598175,2.3654230995546612,111.9367356361258317,109.5713125365711704,0.3677395352555126,0.3721771785496667,0.2211909241578598,0.0000000000000000,0.0000000000000000
26,581.4589539008760539,574.8849078024420578,1164.3401026272035779,86.1210783356719958,6.4384641064373795,494.3530455038447826,184.9644460835900190,0.0000000000000000,24748.7278189729622682,0.0000000000000000,0.0000000000000000,1.0114354125655585,1.0603368805133211,-2.3808007277492536,7.4652347701290438,9.8460354978782973,0.0357847755318615,0.0373640000091064,0.1418824761094249,0.0212371862378000,0.0521250000000000,1.0002464742661346,0.9976298455068342,2.3579905248917044,111.9274819111170984,109.5694913862253941,0.3677395352555120,0.3721720977662728,0.2211869817546950,0.0000000000000000,0.0000000000000000
27,581.4542063304285193,574.8601383308581489,1164.3273957926037383,86.1178456477643408,6.4384658101680303,494.3485257428009163,184.9639656831845116,0.0000000000000000,24748.7278193384408951,0.0000000000000000,0.0000000000000000,1.0114707344619800,1.0602587521745572,-2.3769407726138434,7.4665942283102238,9.8435350009240672,0.0357847755318615,0.0373703073696896,0.1419083746359652,0.0212371862378000,0.0521250000000000,1.0002411473851887,0.9976391821499503,2.3512795397042652,111.9190854544535085,109.5678059147492434,0.3677395352555121,0.3721675104339958,0.2211834230434630,0.0000000000000000,0.0000000000000000
