period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058225064921771,582.3058289765651807,1164.9039236494379566,87.3312619442492206,6.8298245445466019,494.9745615325914514,9.6906572762638419,0.0000000000000000,24748.7281497796320764,0.0000000000000000,0.0000000000000000,0.9999999888888648,1.0000000145283781,-1.0975554821182865,13.7358981846786588,14.8334536667969452,0.0574419850770593,0.0571999985665066,0.1437085993591995,0.0000000000000000,0.0000000000000000,0.9999999223885285,1.0000001079109615,1.0975544555013670,112.1945358733616871,111.0969814178603201,0.3677395352555122,0.3699999827768468,0.2194556373245642,0.0000000000000000,0.0000000000000000
1,582.3058228259926636,582.3058291515559404,1164.9039245810092780,87.3312618324089129,6.8298245496981123,494.9745619422594700,9.6903632064169329,0.0000000000000000,24748.7281786884850590,0.0000000000000000,0.0000000000000000,0.9999999891370551,1.0000000141550467,-1.0975554814186168,13.7358981935562365,14.8334536749748533,0.0574419850770593,0.0571999985471127,0.1437085991215635,0.0000000000000000,0.0000000000000000,0.9999999241885440,1.0000001057136327,1.0975545572620007,112.1945360343056990,111.0969814770436983,0.3677395352555128,0.3699999829054046,0.2194556374976917,0.0000000000000000,0.0000000000000000
2,582.3058231138384144,582.3058293281925444,1164.9039254360441191,87.3312617293002376,6.8298245541086189,494.9745623165354118,9.6900632733988772,0.0000000000000000,24748.7282061033074569,0.0000000000000000,0.0000000000000000,0.9999999893280357,1.0000000136289351,-1.0975554806142345,13.7358982023991061,14.8334536830133406,0.0574419850770593,0.0571999985098682,0.1437085991995178,0.0000000000000000,0.0000000000000000,0.9999999258355819,1.0000001036472452,1.0975546505999461,112.1945361860032335,111.0969815354032875,0.3677395352555121,0.3699999830291961,0.2194556376060476,0.0000000000000000,0.0000000000000000
3,582.3058233668941739,582.3058294150100664,1164.9039262922676699,87.3312616439445719,6.8298245553741959,494.9745626300152708,9.6897573607011349,0.0000000000000000,24748.7282299200087436,0.0000000000000000,0.0000000000000000,0.9999999896135073,1.0000000135501623,-1.0975554800834786,13.7358982095834765,14.8334536896669551,0.0574419850770594,0.0571999985824396,0.1437085993866722,0.0000000000000000,0.0000000000000000,0.9999999274043936,1.0000001018554188,1.0975547354463515,112.1945363189191198,111.0969815834727683,0.3677395352555126,0.3699999833009101,0.2194556374940026,0.0000000000000000,0.0000000000000000
4,582.1199787375833239,583.8065784099736675,1164.7142785784556054,87.5897587135819720,6.8321048986092299,494.7832642064656739,9.6894453495247514,0.0000000000000000,24748.7282535729282245,0.0000000000000000,0.0000000000000000,0.9971110300315846,1.0041455155644687,-1.1622138270600022,13.7123657170615019,14.8745795441215041,0.0574419850770593,0.0570187631775991,0.1432292942514834,0.0000000000000000,0.0000000000000000,1.0010851242651759,0.9986339314024446,1.2562768240467506,112.6556442410487193,111.3993674170019688,0.3677395352555124,0.3702334284934315,0.2196263956602548,0.0000000000000000,0.0000000000000000
5,582.1211558465677172,583.7878592385727643,1164.7160724966347516,87.5902999811536489,6.8321718062480770,494.7809245295272831,9.6892019161968825,0.0000000000000000,24748.7282742166244134,0.0000000000000000,0.0000000000000000,0.9971450187501482,1.0041217623820793,-1.1606111677812496,13.7134791359992079,14.8740903037804575,0.0574419850770592,0.0570281885858703,0.1432117925368711,0.0000000000000000,0.0000000000000000,1.0010681848970628,0.9986454419812523,1.2552272764654191,112.6509842177781451,111.3957569413127260,0.3677395352555122,0.3702285318940285,0.2196365613809574,0.0000000000000000,0.0000000000000000
6,582.1228303803271729,583.7717213389129256,1164.7189193139474810,87.5915775699656791,6.8321605415983315,494.7786593821839460,9.6889545419315048,0.0000000000000000,24748.7282944013350061,0.0000000000000000,0.0000000000000000,0.9971754524957062,1.0040727961112341,-1.1588655828314174,13.7148002816934831,14.8736658645249005,0.0574419850770593,0.0570348627343090,0.1432118795005444,0.0000000000000000,0.0000000000000000,1.0010526808352747,0.9986634892304143,1.2542695897432168,112.6469173917771656,111.3926478020339488,0.3677395352555127,0.3702267883262410,0.2196355600529486,0.0000000000000000,0.0000000000000000
7,582.1263997844516780,583.7550809576430311,1164.7266779048236458,87.5938173855032005,6.8306143578026779,494.7769698242873346,9.6887031191326578,0.0000000000000000,24748.7283142425949336,0.0000000000000000,0.0000000000000000,0.9972099922959027,1.0041005818898128,-1.1568604260280004,13.7163768163583981,14.8732372423863985,0.0574419850770593,0.0571443699849790,0.1430323805981262,0.0000000000000000,0.0000000000000000,1.0010409526376927,0.9986801041452922,1.2532549667725874,112.6428023988047045,111.3895474320321171,0.3677395352555125,0.3704659665437700,0.2196284609118327,0.0000000000000000,0.0000000000000000
8,581.5554713852968689,578.7551856800533869,1164.1940101781772228,86.5972165821504092,6.8090014717400944,494.5392573518770405,9.6884473421065795,0.0000000000000000,24748.7283305165474303,0.0000000000000000,0.0000000000000000,1.0048384632647989,1.0316812596731941,-1.2685568134870646,13.1676807654882229,14.4362375789752875,0.0574419850770593,0.0558000897351947,0.1398933364664566,0.0212371862378000,0.0521250000000000,1.0001233580949453,0.9986046657217504,1.1887475668281411,111.6831446702312292,110.4943971034030881,0.3677395352555123,0.3705113997415942,0.2198294602824124,0.0000000000000000,0.0000000000000000
9,581.5181385939307575,578.3376364900252611,1164.1125130493196593,86.5385266413543519,6.8100614130563955,494.5037031604007325,9.6882794737509315,0.0000000000000000,24748.7283460678263509,0.0000000000000000,0.0000000000000000,1.0054993863501758,1.0309252864100540,-1.2633215041530264,13.1622962668320902,14.4256177709851166,0.0574419850770593,0.0558436134327487,0.1397387112041143,0.0212371862378000,0.0521250000000000,0.9999934908363489,0.9987493569166099,1.1806247573471325,111.5948201256449153,110.4141953682977828,0.3677395352555123,0.3704942066592846,0.2198344231877990,0.0000000000000000,0.0000000000000000
10,581.4845455165469730,577.9600525852279134,1164.0387630057825845,86.4863281313004535,6.8100990930013197,494.4708099099528908,9.6881221727393232,0.0000000000000000,24748.7283610397680604,0.0000000000000000,0.0000000000000000,1.0060981600987369,1.0301389006002555,-1.2585884283048525,13.1574229668334652,14.4160113951383178,0.0574419850770594,0.0558559871150611,0.1397594745345409,0.0212371862378000,0.0521250000000000,0.9998753092851005,0.9988841226594355,1.1730904406873464,111.5147245472778366,110.3416341065904902,0.3677395352555124,0.3704822788567570,0.2198272560312648,0.0000000000000000,0.0000000000000000
11,581.4530851317957740,577.6138877212880516,1163.9695497544119007,86.4386561725023910,6.8100796683552209,494.4399014557139935,9.6879746093770986,0.0000000000000000,24748.7283744838969142,0.0000000000000000,0.0000000000000000,1.0066466501102564,1.0294140363688435,-1.2542569874618330,13.1529444147157815,14.4072014021776145,0.0574419850770594,0.0558658610545953,0.1397888654143199,0.0212371862378000,0.0521250000000000,0.9997656833641387,0.9990094228332843,1.1661111228159768,111.4411978833077086,110.2750867604917318,0.3677395352555119,0.3704714035788457,0.2198197604097387,0.0000000000000000,0.0000000000000000
12,581.4235547186985968,577.2962798672604094,1163.9044653326643584,86.3950548090831631,6.8100549725044068,494.4108341642479445,9.6878362019127273,0.0000000000000000,24748.7283879814749525,0.0000000000000000,0.0000000000000000,1.0071493182883171,1.0287502446318122,-1.2502903673784349,13.1488250583787991,14.3991154257572340,0.0574419850770593,0.0558748202434199,0.1398164835140913,0.0212371862378000,0.0521250000000000,0.9996638925005430,0.9991258965490946,1.1596463043097174,111.3736538440037691,110.2140075396940517,0.3677395352555125,0.3704613067078812,0.2198127206453922,0.0000000000000000,0.0000000000000000
13,581.3958324329589686,577.0048588510625223,1163.8432646094627216,86.3551769263519446,6.8100284311459678,494.3834976079740500,9.6877064130570467,0.0000000000000000,24748.7283996776823187,0.0000000000000000,0.0000000000000000,1.0076099421253408,1.0281426435618617,-1.2466577408597903,13.1450358591805365,14.3916936000403268,0.0574419850770593,0.0558830175414782,0.1398418188059400,0.0212371862378000,0.0521250000000000,0.9995693828196396,0.9992341530264414,1.1536579743774666,111.3116023945296007,110.1579444201521341,0.3677395352555116,0.3704519263722815,0.2198061643250191,0.0000000000000000,0.0000000000000000
14,581.3698088876531074,576.7374648928979468,1163.7857208226473631,86.3187076375671012,6.8100004434791108,494.3577910850628996,9.6875847378919389,0.0000000000000000,24748.7284109263928258,0.0000000000000000,0.0000000000000000,1.0080319803666702,1.0275865061315637,-1.2433310109003042,13.1415502862698528,14.3848812971701570,0.0574419850770594,0.0558905180139900,0.1398650072343901,0.0212371862378000,0.0521250000000000,0.9994816420001398,0.9993347539099613,1.1481109390961137,111.2545958158983410,110.1064848768022273,0.3677395352555126,0.3704432082952369,0.2198000604537052,0.0000000000000000,0.0000000000000000
15,581.3453800543401258,576.4921125239640105,1163.7316234549421097,86.2853592932717817,6.8099715607486528,494.3336171841461919,9.6874707007270580,0.0000000000000000,24748.7284211798578326,0.0000000000000000,0.0000000000000000,1.0084186191362245,1.0270775041726907,-1.2402844102409549,13.1383439510876414,14.3786283613285963,0.0574419850770593,0.0558973839836457,0.1398862336167708,0.0212371862378000,0.0521250000000000,0.9994001954321463,0.9994282288957339,1.1429725548549499,111.2022227050098735,110.0592501501549236,0.3677395352555125,0.3704351088633792,0.2197943808727195,0.0000000000000000,0.0000000000000000
16,581.3224492199734641,576.2669818895527669,1163.6807717629440049,86.2548681409830778,6.8099420186827047,494.3108855165504565,9.6873638544116627,0.0000000000000000,24748.7284310647373786,0.0000000000000000,0.0000000000000000,1.0087727867278318,1.0266116515408212,-1.2374943364627686,13.1353944232794166,14.3728887597421853,0.0574419850770593,0.0559036666836907,0.1399056583146611,0.0212371862378000,0.0521250000000000,0.9993245993327294,0.9995150697883989,1.1382126093989768,111.1541052168630443,110.0158926074640675,0.3677395352555125,0.3704275838857667,0.2197890957412760,0.0000000000000000,0.0000000000000000
17,581.3009252543437242,576.0604019284354536,1163.6329786788726324,86.2269933976109542,6.8099121892413370,494.2895096525500094,9.6872637781689779,0.0000000000000000,24748.7284399849959300,0.0000000000000000,0.0000000000000000,1.0090971768036452,1.0261853069615201,-1.2349391477377836,13.1326811013451099,14.3676202490828935,0.0574419850770593,0.0559094162083525,0.1399234348313118,0.0212371862378000,0.0521250000000000,0.9992544425954808,0.9995957416933996,1.1338031033031655,111.1098963349102320,109.9760932316070665,0.3677395352555130,0.3704205962210472,0.2197841798902991,0.0000000000000000,0.0000000000000000
18,581.2807234091928876,575.8708402594782001,1163.5880641154742534,86.2015134956004090,6.8098821623716930,494.2694100717917536,9.6871700765855220,0.0000000000000000,24748.7284482811737689,0.0000000000000000,0.0000000000000000,1.0093942647753138,1.0257951317913279,-1.2325990014618213,13.1301850154165987,14.3627840168784200,0.0574419850770593,0.0559146776471755,0.1399397037123735,0.0212371862378000,0.0521250000000000,0.9991893382654650,0.9996706654576011,1.1297180878875821,111.0692769903056814,109.9395589024180993,0.3677395352555123,0.3704141022316341,0.2197796048766537,0.0000000000000000,0.0000000000000000
19,581.2617629399707084,575.6968885455730742,1163.5458634761607755,86.1782271715960349,6.8098523484655900,494.2505088417339039,9.6870823774228381,0.0000000000000000,24748.7284561925007438,0.0000000000000000,0.0000000000000000,1.0096663270292303,1.0254380607817173,-1.2304557297648859,13.1278887461458016,14.3583444759106875,0.0574419850770594,0.0559194921374961,0.1399545911003638,0.0212371862378000,0.0521250000000000,0.9991289310221312,0.9997402501113652,1.1259334769576270,111.0319543410754335,109.9060208641178065,0.3677395352555119,0.3704080743557845,0.2197753515578947,0.0000000000000000,0.0000000000000000
20,581.2439701902716251,575.5372591615604279,1163.5062164924540866,86.1569491552770899,6.8098226610063826,494.2327360966731931,9.6870003314688891,0.0000000000000000,24748.7284629131827387,0.0000000000000000,0.0000000000000000,1.0099154501951786,1.0251112944472132,-1.2284926590872178,13.1257763064638624,14.3542689655510802,0.0574419850770594,0.0559238970003233,0.1399682132869073,0.0212371862378000,0.0521250000000000,0.9990728852469520,0.9998048619849240,1.1224269944605538,110.9976594451849223,109.8752324507243685,0.3677395352555125,0.3704024723394711,0.2197713925395174,0.0000000000000000,0.0000000000000000
21,581.2272743770006400,575.3907668257666046,1163.4689769282008456,86.1375110381688813,6.8097934429140761,494.2160228087357154,9.6869236098468221,0.0000000000000000,24748.7284698889161518,0.0000000000000000,0.0000000000000000,1.0101435544115867,1.0248122662405377,-1.2266945197894970,13.1238329920881611,14.3505275118776581,0.0574419850770594,0.0559279284491496,0.1399806812601993,0.0212371862378000,0.0521250000000000,0.9990208923548015,0.9998648538813785,1.1191779169119229,110.9661452096038232,109.8469672926919003,0.3677395352555132,0.3703972703324596,0.2197677113861727,0.0000000000000000,0.0000000000000000
22,581.2116101685575131,575.2563272241720824,1163.4340049861950774,86.1197585496585702,6.8097647366918883,494.2003055289320628,9.6868519041011965,0.0000000000000000,24748.7284766650191159,0.0000000000000000,0.0000000000000000,1.0103523988568992,1.0245386214002969,-1.2250473166031721,13.1220453185146564,14.3470926351178285,0.0574419850770593,0.0559316173905470,0.1399920911174489,0.0212371862378000,0.0521250000000000,0.9989726631146125,0.9999205491700767,1.1161670421530090,110.9371848942664514,109.8210178521134424,0.3677395352555119,0.3703924389907216,0.2197642872922384,0.0000000000000000,0.0000000000000000
23,581.1969162304849306,575.1329447720393091,1163.4011703368769304,86.1035509785790651,6.8097366839421110,494.1855238904413454,9.6867849244273128,0.0000000000000000,24748.7284821888788429,0.0000000000000000,0.0000000000000000,1.0105435995513283,1.0242882094508565,-1.2235382119890588,13.1204009023078090,14.3439391142968677,0.0574419850770593,0.0559349938785918,0.1400025351968474,0.0212371862378000,0.0521250000000000,0.9989279291994421,0.9999722513500278,1.1133765385549168,110.9105701875612624,109.7971936490063456,0.3677395352555131,0.3703879525244624,0.2197611029415701,0.0000000000000000,0.0000000000000000
24,581.1831358203777427,575.0197070993132229,1163.3703498013792341,86.0887596756450222,6.8097093060174760,494.1716217984125024,9.6867223988425941,0.0000000000000000,24748.7284880240440543,0.0000000000000000,0.0000000000000000,1.0107186391091709,1.0240590590827034,-1.2221554374191523,13.1188883667738949,14.3410438041930473,0.0574419850770594,0.0559380847703167,0.1400120966152165,0.0212371862378000,0.0521250000000000,0.9988864402216706,1.0000202413222619,1.1107898574989576,110.8861097365669508,109.7753198790679932,0.3677395352555117,0.3703837840539193,0.2197581402206729,0.0000000000000000,0.0000000000000000
25,581.1702152683897111,574.9157780811962084,1163.3414292229017519,86.0752678213088842,6.8096827247929719,494.1585453226582558,9.6866640718743309,0.0000000000000000,24748.7284931516114739,0.0000000000000000,0.0000000000000000,1.0108788755250673,1.0238493638075297,-1.2208882037619286,13.1174973160375554,14.3383855197994841,0.0574419850770594,0.0559409147191678,0.1400208513891544,0.0212371862378000,0.0521250000000000,0.9988479642281877,1.0000647835206733,1.1083916039071369,110.8636281488396094,109.7552365449324725,0.3677395352555126,0.3703799129194247,0.2197553847250146,0.0000000000000000,0.0000000000000000
26,581.1581052220974470,574.8203909235992342,1163.3143007875607964,86.0629686144063157,6.8096569463702767,494.1462445444115019,9.6866097040463774,0.0000000000000000,24748.7284977345334482,0.0000000000000000,0.0000000000000000,1.0110255558058914,1.0236574664723019,-1.2197266114818746,13.1162181864459395,14.3359447979278141,0.0574419850770594,0.0559435058856921,0.1400288681217865,0.0212371862378000,0.0521250000000000,0.9988122847178255,1.0001061228517765,1.1061674775359194,110.8429641308783999,109.7367966533424806,0.3677395352555125,0.3703763164671849,0.2197528211603251,0.0000000000000000,0.0000000000000000
