period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2101046362589258,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2101811988923785,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2102592929068976,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2103389492165277,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2284.9784536747170023,2287.5755810052742163,4717.1775213475366400,335.9350621254425278,8.0086958831937309,1949.4247849066709932,38.2104201989855881,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,0.9988646813018435,1.0030821195105162,0.7474722611784532,16.3985815556919938,15.6511092945135406,0.0404455581306676,0.0406028830528347,0.1521895177777200,0.0000000000000000,0.0000000000000000,0.9995392571762266,1.0009990505374846,-1.9023322490624679,110.7733006992246914,112.6756329482871593,0.0976467978870235,0.0997388639991622,0.1772208146904410,0.0000000000000000,0.0000000000000000
5,2285.0273909681527584,2287.5334573167883718,4717.2866673989965420,335.9632719464999582,8.0100293785759860,1949.4321775728885768,38.2101483938006652,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,0.9989044678928640,1.0031179902733158,0.7484483536321473,16.3983642349711367,15.6499158813389894,0.0404455581306676,0.0406113945393844,0.1520992795837346,0.0000000000000000,0.0000000000000000,0.9995615900191658,1.0009986312601014,-1.8975233141167820,110.7698909601269435,112.6674142742437255,0.0976467978870234,0.0997417921970524,0.1771883971788715,0.0000000000000000,0.0000000000000000
6,2285.0758317217960212,2287.6032273092728246,4717.3995646066077825,336.0108046736698384,8.0102720459005816,1949.4362593557825676,38.2098682595672372,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,0.9988951774690163,1.0031083303346007,0.7488775533590726,16.3990545159482473,15.6501769625891747,0.0404455581306676,0.0406093089692787,0.1521125655042810,0.0000000000000000,0.0000000000000000,0.9995778962181814,1.0009786451317000,-1.8882090706979682,110.7740903931373850,112.6622994638353532,0.0976467978870233,0.0997390206694226,0.1771874793754971,0.0000000000000000,0.0000000000000000
7,2285.1022304283551421,2288.3294621107265812,4717.4884744883975145,336.1474514413341694,8.0129866034390140,1949.4288478320895592,38.2095809274056606,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,0.9985896997194648,1.0031031564811312,0.7272382988492296,16.3911461137349477,15.6639078148857180,0.0404455581306676,0.0406043942421541,0.1524021017735356,0.0000000000000000,0.0000000000000000,0.9996247215046395,1.0008951224005938,-1.8410368905914538,110.8240463654421859,112.6650832560336397,0.0976467978870234,0.0998551557915079,0.1772002034326590,0.0000000000000000,0.0000000000000000
8,2284.9041545430750375,2266.5883134187765791,4717.2458667492201130,332.8745014620905067,8.0751645689391616,1949.3397616494371505,38.2092907572703950,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0080807974769230,0.9966556097086579,1.8566626585933914,17.2466077953757448,15.3899451367823534,0.0404455581306675,0.0423942682704098,0.1589008600820954,0.0000000000000000,0.0000000000000000,0.9994863960201370,1.0027095387267033,-2.6363560743255476,109.7441270736305086,112.3804831479560562,0.0976467978870235,0.0997301498641769,0.1771460625083094,0.0000000000000000,0.0000000000000000
9,2284.7568402891674850,2264.2461442959656779,4717.1352236602433550,332.4744183033640752,8.0816163689832230,1949.2706991938639476,38.2090296980608173,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0090585098465867,0.9951768693849348,2.0223257704040627,17.3507847032957301,15.3284589328916674,0.0404455581306676,0.0425693864578895,0.1600478959977854,0.0000000000000000,0.0000000000000000,0.9995364796723708,1.0027412560887319,-2.6280054403470814,109.6604703248236348,112.2884757651707162,0.0976467978870234,0.0997352446040070,0.1771643950403995,0.0000000000000000,0.0000000000000000
