period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422611377834073,2283.6422545083196383,2792.6844898840327005,893.6590363168752447,1306.5374372697394847,4715.7685332210112392,167.5610686611125857,7.9934797037483776,2116.0811919902375848,192.3810246629494713,0.0000000000000000,21160.8118464401741221,0.0000000000000000,0.0000000000000000,1.0000000029030223,0.9999999850982861,1.0975558620850272,16.6010366240605265,15.5034807619754993,0.0404455581306654,0.0410000014876772,0.1540584467969840,0.2869929057454974,1.5359418849374702,0.0000000000000000,0.0000000000000000,1.0000000053911411,0.9999999871271182,-1.0975545154850721,111.0969847041399277,112.1945392196249998,0.0976467978870193,0.1000000038808714,0.1780867769662349,0.3438753296529262,2.2910392819056775,0.0000000000000000,0.0000000000000000
1,2283.6422608312886950,2283.6422616427144021,2792.6844896385364336,893.6590363295422321,1306.5374372438009232,4715.7685328358929837,167.5610689819074253,7.9934796227530116,2116.0811919089192088,192.3820254411425594,0.0000000000000000,21160.8119104755060107,0.0000000000000000,0.0000000000000000,0.9999999996446789,0.9999999865556751,1.0975555367959693,16.6010365156167410,15.5034809788207717,0.0404455581306653,0.0410000008989254,0.1540584450043812,0.2869929043270903,1.5359418771614644,0.0000000000000000,0.0000000000000000,1.0000000034074834,0.9999999842031608,-1.0975541339868187,111.0969839007321553,112.1945380347189740,0.0976467978870191,0.1000000032474516,0.1780867758523653,0.3438753286887723,2.2910392762370546,0.0000000000000000,0.0000000000000000
2,2283.6422608419047720,2283.6422583163503077,2792.6844891825935520,893.6590366814577919,1306.5374375157000486,4715.7685335079622746,167.5610688879791610,7.9934796368068781,2116.0811917686146444,192.3831263099204989,0.0000000000000000,21160.8118852455954766,0.0000000000000000,0.0000000000000000,1.0000000011059327,0.9999999872869940,1.0975555965983759,16.6010364765706306,15.5034808799722548,0.0404455581306654,0.0410000012098722,0.1540584460123557,0.2869929053129340,1.5359418814804680,0.0000000000000000,0.0000000000000000,1.0000000031545837,0.9999999850712906,-1.0975545946750600,111.0969829505820456,112.1945375452571056,0.0976467978870193,0.1000000032112582,0.1780867758098912,0.3438753287108559,2.2910392760016638,0.0000000000000000,0.0000000000000000
3,2283.6422620431858377,2283.6422582520626747,2792.6844889049284575,893.6590362754590160,1306.5374370766830907,4715.7685337525590512,167.5610690821910680,7.9934797036113192,2116.0811926828228025,192.3843372814038730,0.0000000000000000,21160.8118826095596887,0.0000000000000000,0.0000000000000000,1.0000000016601214,0.9999999818444402,1.0975559977274845,16.6010367786676056,15.5034807809401212,0.0404455581306655,0.0410000012786546,0.1540584463041415,0.2869929055017000,1.5359418827116962,0.0000000000000000,0.0000000000000000,1.0000000055198968,0.9999999896848585,-1.0975555718812444,111.0969847803831669,112.1945403522644114,0.0976467978870192,0.1000000039560944,0.1780867770326351,0.3438753297276308,2.2910392822200492,0.0000000000000000,0.0000000000000000
4,2284.3902603539677330,2285.6701229260579566,2792.6844889309950304,893.6811515341179302,1306.5589921280482031,4716.5566568500144058,167.8296715178783245,7.9713643303946666,2116.6545651771662051,192.3856693593315299,0.0000000000000000,21160.8119112415915879,0.0000000000000000,0.0000000000000000,0.9994400493057803,1.0014974603976079,0.9274377132777225,16.5031277965415875,15.5756900832638649,0.0404455581306653,0.0408075686057765,0.1533187884949082,0.2863661007379429,1.5328554210280170,0.0000000000000000,0.0000000000000000,0.9997304737440913,1.0005899744263345,-1.5740729879642004,110.8905846515472575,112.4646576395114579,0.0976467978870192,0.0998441472770747,0.1777949417181682,0.3436408961634034,2.2896022088306722,0.0000000000000000,0.0000000000000000
5,2284.4287325340387724,2285.6522335206132084,2792.8590965806706663,893.6803842960267730,1306.5854738404646014,4716.6444249099768058,167.8575780738706271,7.9721316533576303,2116.6610079861616214,192.3819228690979060,0.0000000000000000,21160.8118527663718851,0.0000000000000000,0.0000000000000000,0.9994647037862391,1.0015058747538172,0.9286590468107736,16.5034543303379273,15.5747952835271537,0.0404455581306654,0.0408122792426325,0.1532803682008944,0.2863832240781970,1.5327229758912009,0.0000000000000000,0.0000000000000000,0.9997476213433427,1.0005853665890803,-1.5691214657630326,110.8891845835388068,112.4583060493018394,0.0976467978870195,0.0998462651446776,0.1777755080810781,0.3436438726977018,2.2895257256228430,0.0000000000000000,0.0000000000000000
6,2284.4746780702212163,2285.6556599700284096,2793.0552523774872498,893.6800694826349627,1306.6157555135928305,4716.7467399251690949,167.8952559012195707,7.9724464302710647,2116.6661724445380059,192.3777433551755109,0.0000000000000000,21160.8118639547865314,0.0000000000000000,0.0000000000000000,0.9994833071663024,1.0014562306402290,0.9332940733614858,16.5069796688951627,15.5736855955336768,0.0404455581306654,0.0408167927303525,0.1533356562785692,0.2864234436860165,1.5329113667511318,0.0000000000000000,0.0000000000000000,0.9997582028439808,1.0005793156585336,-1.5679959837858632,110.8869914820210738,112.4549874658069371,0.0976467978870192,0.0998466521167161,0.1777704324819545,0.3436412215757489,2.2895040880088007,0.0000000000000000,0.0000000000000000
7,2284.5390852379568969,2285.2995457831707427,2793.2804126167484355,893.6757434972378178,1306.6466485258254124,4716.8686546414292025,167.9200827360987205,7.9767725229474671,2116.6748799022216190,192.3730991747887344,0.0000000000000000,21160.8119190588695346,0.0000000000000000,0.0000000000000000,0.9996672381322529,1.0009476611277350,0.9812090895653718,16.5445592578982108,15.5633501683328390,0.0404455581306654,0.0409044439726949,0.1539773172878239,0.2868980016925203,1.5352601771460637,0.0000000000000000,0.0000000000000000,0.9997363824422001,1.0006605956387036,-1.6203708163500750,110.8474188848945658,112.4677897012446408,0.0976467978870192,0.0999319022128897,0.1777488677810293,0.3436235501833344,2.2893942647154697,0.0000000000000000,0.0000000000000000
8,2284.1675249137406354,2262.8200417268562887,2793.5477505653211665,893.6076796194124654,1306.6219852416470530,4716.4511834394234029,166.1543819764113152,8.0448362889347074,2116.4456396404420957,192.3679117232309750,0.0000000000000000,21160.8119211597440881,0.0000000000000000,0.0000000000000000,1.0094340171967864,0.9938380707082572,2.2157289943673693,17.4805357431415445,15.2648067487741752,0.0404455581306653,0.0428434429415897,0.1609983908590300,0.2928717186794447,1.5648483393690731,0.0000000000000000,0.0000000000000000,0.9996532389531241,1.0024070616716265,-2.3668723151938167,109.7582918361341484,112.1251641513279651,0.0976467978870193,0.0998187553627513,0.1777106670781494,0.3435944021002932,2.2892084079854929,0.0000000000000000,0.0000000000000000
9,2284.0640558384279757,2261.4643397401437142,2793.6567637155535522,893.6047834914354553,1306.6361580477594089,4716.3740971441593501,166.0340061293439931,8.0477324859472361,2116.3708055922320455,192.3642887404598127,0.0000000000000000,21160.8119134712396772,0.0000000000000000,0.0000000000000000,1.0099933992772483,0.9926735986492078,2.3311390923951780,17.5504037079017579,15.2192646155065798,0.0404455581306654,0.0429428139514328,0.1619150858391000,0.2931753775885869,1.5683977797196509,0.0000000000000000,0.0000000000000000,0.9996786747689834,1.0024201925336669,-2.3625390085038731,109.7070699025571372,112.0696089110610103,0.0976467978870193,0.0998209629689804,0.1777176533270156,0.3436024142281354,2.2892452309890645,0.0000000000000000,0.0000000000000000
