period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422590030169886,2283.6422516481779894,5585.3689788965702974,893.6590360937018431,1646.1340193321711922,4715.7685305316535960,335.1221366182146539,8.1516105798600833,1948.5201213054870095,38.2100039376152409,0.0000000000000000,97426.0056479618506273,0.0000000000000000,0.0000000000000000,1.0000000032206617,0.9999999858374478,1.0975558655718132,16.6010366278466286,15.5034807622748154,0.0404455581306668,0.0410000012827560,0.1566443197934143,0.2762895302864038,1.4195816199284281,0.0000000000000000,0.0000000000000000,1.0000000049373698,0.9999999842194761,-1.0975532049156271,111.0969842088377106,112.1945374137533378,0.0976467978870219,0.1000000032107815,0.1809728286190077,0.3317069184639801,2.1298883095431091,0.0000000000000000,0.0000000000000000
1,2283.6422593183319805,2283.6422525859288726,5585.3689778603056766,893.6590361072205724,1646.1340192469692738,4715.7685307200581519,335.1221368657199946,8.1516105697259906,1948.5201214646390326,38.2100784860176574,0.0000000000000000,97426.0056882054486778,0.0000000000000000,0.0000000000000000,1.0000000029480989,0.9999999861241521,1.0975558305905402,16.6010366191904772,15.5034807885999371,0.0404455581306669,0.0410000012365253,0.1566443198433904,0.2762895299430834,1.4195816199896130,0.0000000000000000,0.0000000000000000,1.0000000047904101,0.9999999848024304,-1.0975535265016987,111.0969841808134646,112.1945377073151633,0.0976467978870218,0.1000000031650832,0.1809728286545093,0.3317069181297765,2.1298883095810526,0.0000000000000000,0.0000000000000000
2,2283.6422595323833775,2283.6422534360754071,5585.3689770423798109,893.6590361046294220,1646.1340191634335497,4715.7685308057116345,335.1221370437210112,8.1516105604956017,1948.5201215940355723,38.2101545256253701,0.0000000000000000,97426.0057249332894571,0.0000000000000000,0.0000000000000000,1.0000000026695546,0.9999999865468386,1.0975557859296217,16.6010366080343736,15.5034808221047520,0.0404455581306669,0.0410000011899003,0.1566443197243250,0.2762895299956735,1.4195816194158948,0.0000000000000000,0.0000000000000000,1.0000000045354198,0.9999999850640796,-1.0975537544592555,111.0969840858671773,112.1945378403264328,0.0976467978870218,0.1000000030849554,0.1809728285351248,0.3317069180980391,2.1298883089427179,0.0000000000000000,0.0000000000000000
3,2283.6422597551691069,2283.6422537353387270,5585.3689763581842271,893.6590361162800491,1646.1340191105246049,4715.7685309528187645,335.1221371578520234,8.1516105560651919,1948.5201217139128858,38.2102320862862683,0.0000000000000000,97426.0057391718873987,0.0000000000000000,0.0000000000000000,1.0000000026360656,0.9999999873571058,1.0975557333800214,16.6010366022851521,15.5034808689051307,0.0404455581306668,0.0410000011834565,0.1566443196769993,0.2762895299696964,1.4195816192366852,0.0000000000000000,0.0000000000000000,1.0000000043738990,0.9999999853945561,-1.0975539704572981,111.0969839861700166,112.1945379566273147,0.0976467978870218,0.1000000030296395,0.1809728284424045,0.3317069181931065,2.1298883085065130,0.0000000000000000,0.0000000000000000
4,2284.8335861446844319,2286.8658022247050212,5585.3689758179489218,893.6959029406806394,1646.1792915936266581,4717.0267461393232225,335.7952931989803460,8.1147430339004885,1949.3366963735620629,38.2103111984377506,0.0000000000000000,97426.0057716672308743,0.0000000000000000,0.0000000000000000,0.9991113531549813,1.0023152316482051,0.8328341957553569,16.4488434445904197,15.6160092488350628,0.0404455581306668,0.0406937793240546,0.1555158263473889,0.2753109307683570,1.4152045197202356,0.0000000000000000,0.0000000000000000,0.9995637953453975,1.0009379104519447,-1.8609846585777916,110.7632835307772581,112.6242681893550497,0.0976467978870219,0.0997446170312599,0.1805127454223205,0.3313272370215763,2.1277659456426132,0.0000000000000000,0.0000000000000000
5,2284.8781743607951285,2286.8139587632408620,5585.7436851520724304,893.6939585048355639,1646.2137157335052962,4717.1221955323662769,335.8184586769122006,8.1166882042486428,1949.3439854784892304,38.2100717356831865,0.0000000000000000,97426.0058087265060749,0.0000000000000000,0.0000000000000000,0.9991535015802100,1.0023628976149439,0.8336781142256910,16.4488686604893175,15.6151905462636265,0.0404455581306668,0.0407042728826770,0.1554211398556549,0.2753526943108565,1.4148905473696860,0.0000000000000000,0.0000000000000000,0.9995892294665029,1.0009496115263239,-1.8600149657008416,110.7568049841607376,112.6168199498615792,0.0976467978870217,0.0997491759092294,0.1804607068054682,0.3313330789004887,2.1275699477907803,0.0000000000000000,0.0000000000000000
6,2284.9234730231405592,2286.7794643650186117,5586.1332076634407713,893.6929447637240855,1646.2507362226954228,4717.2221910742064210,335.8472656786873358,8.1177017252984012,1949.3487870256190035,38.2098246301673896,0.0000000000000000,97426.0058209446142428,0.0000000000000000,0.0000000000000000,0.9991883820143939,1.0022603511202248,0.8440062931155143,16.4572735456074781,15.6132672524919638,0.0404455581306669,0.0407163608534217,0.1555526004290906,0.2754556355170864,1.4153141472680590,0.0000000000000000,0.0000000000000000,0.9995981276647554,1.0009548226312526,-1.8647460237143747,110.7502727637659774,112.6150187874803521,0.0976467978870219,0.0997519631509980,0.1804475224491551,0.3313281217297707,2.1275198693312736,0.0000000000000000,0.0000000000000000
7,2284.9877248148841318,2286.1834745771366215,5586.5398518768133727,893.6860855939954718,1646.2822580640620345,4717.3330157212631093,335.8057101245683498,8.1245610030828441,1949.3576522113244209,38.2095707041456123,0.0000000000000000,97426.0058488061913522,0.0000000000000000,0.0000000000000000,0.9994769668420420,1.0015249537890092,0.9153951411800385,16.5137331797452589,15.5983380385652204,0.0404455581306669,0.0408630030790708,0.1564781660555827,0.2761589473288005,1.4185069284681104,0.0000000000000000,0.0000000000000000,0.9995554614635899,1.0010859839215176,-1.9461449822772465,110.6895940533670597,112.6357390356443062,0.0976467978870219,0.0999019261607513,0.1804180187112413,0.3313039584355867,2.1273790736464924,0.0000000000000000,0.0000000000000000
8,2284.7763329816116311,2265.8315991804761325,5586.9774762468068730,893.6258333155127502,1646.2512467698102228,4717.0758054502621235,332.7287875920296756,8.1848134164072466,1949.2655829916766379,38.2093082289562389,0.0000000000000000,97426.0058511638635537,0.0000000000000000,0.0000000000000000,1.0083610511072336,0.9962382878815534,1.9359895321127443,17.3135928998795308,15.3776033677667865,0.0404455581306669,0.0425498748141436,0.1622778520651821,0.2811757962101881,1.4413276918729552,0.0000000000000000,0.0000000000000000,0.9994948487789719,1.0027162745073632,-2.6296660062331512,109.7167219798311066,112.3463879860642578,0.0976467978870219,0.0997334471695673,0.1803989640066339,0.3312916886007177,2.1272954510007258,0.0000000000000000,0.0000000000000000
9,2284.6818154261472955,2264.2301806166283313,5587.2695522177900784,893.6229056842109912,1646.2763382242467287,4717.0183598485191396,332.4606547232968410,8.1877407592348987,1949.2182134066160870,38.2090765894931437,0.0000000000000000,97426.0058937231660821,0.0000000000000000,0.0000000000000000,1.0090324892692413,0.9948815245471356,2.0727476212511888,17.4009050634476985,15.3281574421965097,0.0404455581306669,0.0426707217781621,0.1634379766403516,0.2815361069484809,1.4455203123990170,0.0000000000000000,0.0000000000000000,0.9995144110422055,1.0027618270916852,-2.6422488368265533,109.6496860063773511,112.2919348432039044,0.0976467978870219,0.0997285989623906,0.1804020851987526,0.3312961714326426,2.1273113750527863,0.0000000000000000,0.0000000000000000
