period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422493444629254,2283.6420974814609508,4715.7685206941387150,335.1221127153553994,8.0488188156797609,1948.5201143433691868,38.2053804528394281,0.0000000000000000,97425.9993248691316694,0.0000000000000000,0.0000000000000000,1.0000000665003415,0.9999999090877465,1.0975555994182020,16.6010360761802325,15.5034804767620304,0.0404455581306676,0.0410000024939343,0.1537172180056987,0.0000000000000000,0.0000000000000000,1.0000000776114775,0.9999998920890502,-1.0975544555013670,111.0969814178603201,112.1945358733616871,0.0976467978870235,0.1000000063529505,0.1777091697256613,0.0000000000000000,0.0000000000000000
1,2283.6422492323381448,2283.6421009132004656,4715.7685200410005564,335.1221133465577964,8.0488188060066186,1948.5201141201005157,38.2053625272885355,0.0000000000000000,97425.9994546227826504,0.0000000000000000,0.0000000000000000,1.0000000649485159,0.9999999107680440,1.0975555876178476,16.6010360865500779,15.5034804989322303,0.0404455581306676,0.0410000024498387,0.1537172179359932,0.0000000000000000,0.0000000000000000,1.0000000758114618,0.9999998942863784,-1.0975545572620007,111.0969814770436983,112.1945360343056990,0.0976467978870234,0.1000000062802346,0.1777091696910409,0.0000000000000000,0.0000000000000000
2,2283.6422491208563770,2283.6421041268326917,4715.7685194591422260,335.1221139392301325,8.0488188012385233,1948.5201139039031659,38.2053442433315169,0.0000000000000000,97425.9995772943220800,0.0000000000000000,0.0000000000000000,1.0000000634924584,0.9999999124974775,1.0975555770308212,16.6010360968537505,15.5034805198229293,0.0404455581306677,0.0410000024510560,0.1537172179259798,0.0000000000000000,0.0000000000000000,1.0000000741644235,0.9999998963527654,-1.0975546505999461,111.0969815354032875,112.1945361860032335,0.0976467978870233,0.1000000062319871,0.1777091695957868,0.0000000000000000,0.0000000000000000
3,2283.6422490327445303,2283.6421069693851678,4715.7685189149879079,335.1221144569386183,8.0488187878562769,1948.5201137281551382,38.2053255937981646,0.0000000000000000,97425.9996844494307879,0.0000000000000000,0.0000000000000000,1.0000000622091183,0.9999999141094941,1.0975555670982899,16.6010361052616098,15.5034805381633198,0.0404455581306676,0.0410000024308740,0.1537172178503572,0.0000000000000000,0.0000000000000000,1.0000000725956117,0.9999998981445916,-1.0975547354463515,111.0969815834727683,112.1945363189191198,0.0976467978870234,0.1000000061885336,0.1777091693684197,0.0000000000000000,0.0000000000000000
4,2284.1404748768522950,2293.2441646531410697,4716.2939441596072356,336.6511609136631478,8.0338272829008712,1948.8257472043692360,38.2053065713618167,0.0000000000000000,97425.9997898837755201,0.0000000000000000,0.0000000000000000,0.9960302134780912,1.0055343229963238,1.0045946434190896,16.5723828969687261,15.5677882535496366,0.0404455581306676,0.0408275474620587,0.1530559703717945,0.0000000000000000,0.0000000000000000,0.9989160519531518,1.0013679372937359,-1.2562768240467506,111.3993674170019688,112.6556442410487193,0.0976467978870236,0.0999121268762976,0.1775443693830363,0.0000000000000000,0.0000000000000000
5,2284.1600085846284856,2293.1468049394852642,4716.3401193236531981,336.6462980443633910,8.0345497995032868,1948.8330206331138470,38.2051673376116128,0.0000000000000000,97425.9998825167131145,0.0000000000000000,0.0000000000000000,0.9960810200482816,1.0054995634385171,1.0065918018981144,16.5737311226007265,15.5671393207026121,0.0404455581306676,0.0408349321674947,0.1530303245328857,0.0000000000000000,0.0000000000000000,0.9989329549043927,1.0013563953349252,-1.2552272764654191,111.3957569413127260,112.6509842177781451,0.0976467978870234,0.0999141238812657,0.1775350102951837,0.0000000000000000,0.0000000000000000
6,2284.1799091446105194,2293.0612820807828030,4716.3876452659287679,336.6445949705657767,8.0347863868991691,1948.8391895733834644,38.2050224689991182,0.0000000000000000,97425.9999724869994679,0.0000000000000000,0.0000000000000000,0.9961268488524168,1.0054274271377055,1.0087612196293545,16.5753317287018973,15.5665705090725428,0.0404455581306676,0.0408388664008555,0.1530452521600639,0.0000000000000000,0.0000000000000000,0.9989484261363786,1.0013382994211750,-1.2542695897432168,111.3926478020339488,112.6469173917771656,0.0976467978870236,0.0999147124550487,0.1775356057564170,0.0000000000000000,0.0000000000000000
7,2284.1994977711478896,2292.9746582251709697,4716.4346362812020743,336.6438741932037146,8.0353160919564868,1948.8439518206100729,38.2048722859160179,0.0000000000000000,97426.0000602108630119,0.0000000000000000,0.0000000000000000,0.9961730233596381,1.0053376749287577,1.0112676706438837,16.5772617590187750,15.5659940883748913,0.0404455581306677,0.0408881317863882,0.1530864893704567,0.0000000000000000,0.0000000000000000,0.9989601298179162,1.0013216402822378,-1.2532549667725874,111.3895474320321171,112.6428023988047045,0.0976467978870235,0.1000087087723118,0.1775401642105141,0.0000000000000000,0.0000000000000000
8,2284.0921435384921097,2273.3742669163116261,4716.3438120768414592,333.7178007657815897,8.0420853136828505,1948.8010223268497612,38.2047172336080720,0.0000000000000000,97426.0001330812374363,0.0000000000000000,0.0000000000000000,1.0047145235952042,1.0040139813739983,1.0667946940040736,16.4999996875611821,15.4332049935571085,0.0404455581306676,0.0409612349121058,0.1535037389167727,0.0000000000000000,0.0000000000000000,0.9998766571203972,1.0013972839564504,-1.1887475668281411,110.4943971034030881,111.6831446702312292,0.0976467978870235,0.0999526128581174,0.1775915207378094,0.0000000000000000,0.0000000000000000
9,2284.0639730863954355,2271.5569365298083540,4716.3322441116197297,333.4406263993921016,8.0427093433977710,1948.7874454878024153,38.2045759099165352,0.0000000000000000,97426.0002022266562562,0.0000000000000000,0.0000000000000000,1.0055059313528352,1.0030346981602778,1.0724221493657549,16.4932995724854123,15.4208774231196575,0.0404455581306676,0.0409700335959355,0.1535729006480520,0.0000000000000000,0.0000000000000000,1.0000065092060206,1.0012522091501026,-1.1806247573471325,110.4141953682977828,111.5948201256449153,0.0976467978870235,0.0999559072805634,0.1776032347649201,0.0000000000000000,0.0000000000000000
