period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000017789688087,100.0000017789688087,189.2068176096694572,15.5396597128125880,1.4815692372961826,84.4603420661562296,1.6250489970153463,0.0000000000000000,4223.0170929710575365,0.0000000000000000,0.0000000000000000,1.0000000029421385,1.0000000014706023,1.0975553153394682,14.8334536348753936,13.7358983195359254,0.5448322661549319,0.5500000014507231,0.2523659246791988,0.0000000000000000,0.0000000000000000,0.9999999982351144,1.0000000141406027,-1.0975557453539846,15.5034807956892795,16.6010365410432641,0.4329285589113303,0.4299999891655126,0.2212575902586603,0.0000000000000000,0.0000000000000000
1,100.0000016260332245,100.0000016260331961,189.2068177728906448,15.5396597046532747,1.4815692425158913,84.4603419213799498,1.6244401351545763,0.0000000000000000,4223.0170948562181366,0.0000000000000000,0.0000000000000000,1.0000000014350430,0.9999999999456921,1.0975552814032632,14.8334532990253347,13.7358980176220715,0.5448322661549319,0.5500000009592643,0.2523659244202660,0.0000000000000000,0.0000000000000000,0.9999999989661047,1.0000000134416140,-1.0975556606540362,15.5034808423039632,16.6010365029579994,0.4329285589113296,0.4299999907655144,0.2212575912405360,0.0000000000000000,0.0000000000000000
2,100.0000016028214702,100.0000016028214418,189.2068177354285581,15.5396596540739278,1.4815692418811448,84.4603419487475264,1.6238195659584167,0.0000000000000000,4223.0170941180285809,0.0000000000000000,0.0000000000000000,1.0000000023784887,1.0000000011904093,1.0975552632076067,14.8334532277299296,13.7358979645223229,0.5448322661549313,0.5500000016185400,0.2523659248151295,0.0000000000000000,0.0000000000000000,0.9999999983021051,1.0000000110817810,-1.0975555612476242,15.5034809943584406,16.6010365556060648,0.4329285589113296,0.4299999898783887,0.2212575908080442,0.0000000000000000,0.0000000000000000
3,100.0000016940464320,100.0000016940464320,189.2068178335059088,15.5396596860751988,1.4815692432911254,84.4603420079712350,1.6231870736369247,0.0000000000000000,4223.0170978984633621,0.0000000000000000,0.0000000000000000,1.0000000022907178,0.9999999973425715,1.0975554900343454,14.8334534394514304,13.7358979494170850,0.5448322661549320,0.5500000013968847,0.2523659246938796,0.0000000000000000,0.0000000000000000,0.9999999992536772,1.0000000157727129,-1.0975557963428333,15.5034808938089643,16.6010366901517976,0.4329285589113304,0.4299999906028878,0.2212575911006454,0.0000000000000000,0.0000000000000000
4,98.9429411859633632,98.9429411859633632,188.1252672394340095,15.5194954119486841,1.4986325170179347,83.4234457740146667,1.6225424388482432,0.0000000000000000,4223.0170982800727870,0.0000000000000000,0.0000000000000000,1.0011448463711023,0.9964943043765806,1.4446249146388723,14.9672266000868266,13.5226016854479543,0.5448322661549319,0.5519266924355657,0.2536020830733595,0.0000000000000000,0.0000000000000000,1.0018498743097655,0.9949838819351373,-0.5257674838758852,15.7446651764846592,16.2704326603605445,0.4329285589113303,0.4330088740154242,0.2232725257520247,0.0000000000000000,0.0000000000000000
5,98.9441948936474347,98.9441948936474063,188.1250801341111867,15.5232861000128572,1.4980236300438179,83.4209087936345810,1.6222803872562424,0.0000000000000000,4223.0170966137911819,0.0000000000000000,0.0000000000000000,1.0011021791732435,0.9964518065111956,1.4431403246340722,14.9646013747362616,13.5214610501021895,0.5448322661549322,0.5518763748649653,0.2537128041834437,0.0000000000000000,0.0000000000000000,1.0017764381786485,0.9949330609447422,-0.5276933027373225,15.7420301297123721,16.2697234324496947,0.4329285589113300,0.4329438539984348,0.2233973594165231,0.0000000000000000,0.0000000000000000
6,98.9527832845377446,98.9527832845377020,188.1314704047855457,15.5318809929936332,1.4983422839112044,83.4209022915440954,1.6220141601007594,0.0000000000000000,4223.0170998309095012,0.0000000000000000,0.0000000000000000,1.0011147512801397,0.9965529423463234,1.4374312969671568,14.9657698374423500,13.5283385404751932,0.5448322661549334,0.5518566883821727,0.2541833197146241,0.0000000000000000,0.0000000000000000,1.0017690023647277,0.9949707575188369,-0.5306551841341332,15.7411725258373387,16.2718277099714719,0.4329285589113299,0.4329225224952982,0.2233958058078470,0.0000000000000000,0.0000000000000000
7,98.9888935074645389,98.9888935074645389,188.1589184481156565,15.5583707235971165,1.5039247975910810,83.4305227838674313,1.6217427009117993,0.0000000000000000,4223.0170935436863147,0.0000000000000000,0.0000000000000000,1.0013877190937233,0.9974871973262153,1.4051188736476004,15.0014881035989234,13.5963692299513230,0.6108513076887095,0.5523859518730307,0.2329164594799590,0.0000000000000000,0.0000000000000000,1.0020045223464882,0.9951232653548067,-0.5237088629359850,15.7529256065381222,16.2766344694741072,0.4329285589113305,0.4334371594835752,0.2233439182623053,0.0000000000000000,0.0000000000000000
8,97.6382544482872134,97.6382544482872134,187.1170000083863272,14.7319333554809404,1.2903533818447488,82.9063210928062659,1.6214621992176235,0.0000000000000000,4223.0171014910347367,0.0000000000000000,0.0000000000000000,0.9892253000256397,0.9128404841321814,2.6745996487048522,7.9161519770232962,5.2415523283184440,0.4649792572005519,0.2857466959613586,0.1376144902269549,0.0357662801726000,0.0653100000000000,0.9896658303298308,1.0020853596027814,-1.9240109192086550,15.4859361803177933,17.4099470995264483,0.4329285589113303,0.4350046088194169,0.2247182093880490,0.0000000000000000,0.0000000000000000
9,97.5701719795046074,97.5701719795046358,186.9454869156108430,14.7138497938952568,1.2973052062760226,82.8563221856093435,1.6213793767384659,0.0000000000000000,4223.0171009810028409,0.0000000000000000,0.0000000000000000,0.9881757941944166,0.9040960290642954,2.7575249528600052,7.6596836898484559,4.9021587369884507,0.3842410782163864,0.2852614230714219,0.1457411377413747,0.0357662801726000,0.0653100000000000,0.9885608488694099,1.0039091734933749,-2.1233267611781983,15.4110616772862947,17.5343884384644930,0.4329285589113300,0.4343971697051416,0.2244553357194080,0.0000000000000000,0.0000000000000000
