period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000017789688087,100.0000017789688087,189.2068176096694572,15.5396597128125880,1.4815692372961826,84.4603420661562296,1.6351796082856287,0.0000000000000000,4223.0170929710575365,0.0000000000000000,0.0000000000000000,1.0000000029421385,1.0000000014706023,1.0975553153394682,14.8334536348753936,13.7358983195359254,0.5448322661549319,0.5500000014507231,0.2523659246791988,0.0000000000000000,0.0000000000000000,0.9999999982351144,1.0000000141406027,-1.0975557453539846,15.5034807956892795,16.6010365410432641,0.4329285589113303,0.4299999891655126,0.2212575902586603,0.0000000000000000,0.0000000000000000
1,100.0000016260332245,100.0000016260331961,189.2068177728906448,15.5396597046532747,1.4815692425158913,84.4603419213799498,1.6347668798854942,0.0000000000000000,4223.0170948562181366,0.0000000000000000,0.0000000000000000,1.0000000014350430,0.9999999999456921,1.0975552814032632,14.8334532990253347,13.7358980176220715,0.5448322661549319,0.5500000009592643,0.2523659244202660,0.0000000000000000,0.0000000000000000,0.9999999989661047,1.0000000134416140,-1.0975556606540362,15.5034808423039632,16.6010365029579994,0.4329285589113296,0.4299999907655144,0.2212575912405360,0.0000000000000000,0.0000000000000000
2,100.0000016028214702,100.0000016028214418,189.2068177354285581,15.5396596540739278,1.4815692418811448,84.4603419487475264,1.6343461115594451,0.0000000000000000,4223.0170941180285809,0.0000000000000000,0.0000000000000000,1.0000000023784887,1.0000000011904093,1.0975552632076067,14.8334532277299296,13.7358979645223229,0.5448322661549313,0.5500000016185400,0.2523659248151295,0.0000000000000000,0.0000000000000000,0.9999999983021051,1.0000000110817810,-1.0975555612476242,15.5034809943584406,16.6010365556060648,0.4329285589113296,0.4299999898783887,0.2212575908080442,0.0000000000000000,0.0000000000000000
3,100.0000016940464320,100.0000016940464320,189.2068178335059088,15.5396596860751988,1.4815692432911254,84.4603420079712350,1.6339171509401020,0.0000000000000000,4223.0170978984633621,0.0000000000000000,0.0000000000000000,1.0000000022907178,0.9999999973425715,1.0975554900343454,14.8334534394514304,13.7358979494170850,0.5448322661549320,0.5500000013968847,0.2523659246938796,0.0000000000000000,0.0000000000000000,0.9999999992536772,1.0000000157727129,-1.0975557963428333,15.5034808938089643,16.6010366901517976,0.4329285589113304,0.4299999906028878,0.2212575911006454,0.0000000000000000,0.0000000000000000
4,99.3613710135623904,99.3613710135622199,188.5534092207049355,15.5523581352924793,1.4918659682270055,83.8090128782698827,1.6334798429993154,0.0000000000000000,4223.0170982800727870,0.0000000000000000,0.0000000000000000,1.0006753426034685,0.9979288045158258,1.3024932495802499,14.9114461762185897,13.6089529266383398,0.5448322661549321,0.5511302476989083,0.2530935438264973,0.0000000000000000,0.0000000000000000,1.0011366091117335,0.9969273507616504,-0.7474722611784532,15.6511092945135406,16.3985815556919938,0.4329285589113301,0.4318440930790538,0.2224938980835671,0.0000000000000000,0.0000000000000000
5,99.3650759098907201,99.3650759098906065,188.5590703752690160,15.5574142519645591,1.4915184774866834,83.8076616579261326,1.6332843607102174,0.0000000000000000,4223.0170966137911819,0.0000000000000000,0.0000000000000000,1.0006578428142261,0.9979027453179566,1.3015631218694033,14.9103167043572036,13.6087535824878003,0.5448322661549331,0.5510979990940882,0.2531782458187313,0.0000000000000000,0.0000000000000000,1.0010967336140231,0.9968917013715742,-0.7484483536321473,15.6499158813389894,16.3983642349711367,0.4329285589113301,0.4318029238875294,0.2225700180408587,0.0000000000000000,0.0000000000000000
6,99.3748132785282365,99.3748132785279950,188.5698802059795582,15.5665864303119843,1.4921301569095458,83.8082268482162220,1.6330855402928344,0.0000000000000000,4223.0170998309095012,0.0000000000000000,0.0000000000000000,1.0006834738664920,0.9980169385205068,1.2958481306876415,14.9136530481567764,13.6178049174691349,0.5448322661549317,0.5510811899416705,0.2537033574829439,0.0000000000000000,0.0000000000000000,1.0011060445138829,0.9969013014441184,-0.7488775533590726,15.6501769625891747,16.3990545159482473,0.4329285589113304,0.4317854474065068,0.2225686292473234,0.0000000000000000,0.0000000000000000
7,99.4188661541939211,99.4188661541938927,188.6015980124250575,15.5981400530937595,1.5027337411424124,83.8207261011001492,1.6328825744838307,0.0000000000000000,4223.0170935436863147,0.0000000000000000,0.0000000000000000,1.0010364835381995,0.9993927827024616,1.2459247562396403,14.9759003679492455,13.7299756117096052,0.6108513076887090,0.5515119834423634,0.2332221822665255,0.0000000000000000,0.0000000000000000,1.0014122920363904,0.9969064433093630,-0.7272382988492296,15.6639078148857180,16.3911461137349477,0.4329285589113303,0.4321926762080629,0.2225085846745900,0.0000000000000000,0.0000000000000000
8,98.3846154585247774,98.3846154585247490,187.7315298496599212,14.9632217286376896,1.3927295341788763,83.4213937298870718,1.6326707635623732,0.0000000000000000,4223.0171014910347367,0.0000000000000000,0.0000000000000000,0.9914744914511847,0.9459889553528184,2.4843117428851826,10.2388354213252111,7.7545236784400284,0.4827531755675254,0.3239765550468359,0.1505595867063363,0.0357662801726000,0.0000000000000000,0.9919839783704361,1.0033556127701120,-1.8566626585933914,15.3899451367823534,17.2466077953757448,0.4329285589113300,0.4321108042584152,0.2227245631688902,0.0000000000000000,0.0000000000000000
9,98.3161068758390826,98.3161068758390542,187.5843653218798295,14.9380920154064754,1.4006370833115001,83.3780148604326001,1.6326100222514937,0.0000000000000000,4223.0171009810028409,0.0000000000000000,0.0000000000000000,0.9905634508987355,0.9408199397338948,2.5567863288392898,9.9813413686641255,7.4245550398248357,0.4117575731533573,0.3235793525628194,0.1596955601302145,0.0357662801726000,0.0000000000000000,0.9910228101163687,1.0048465059462708,-2.0223257704040627,15.3284589328916674,17.3507847032957301,0.4329285589113304,0.4316350300749522,0.2224517961718659,0.0000000000000000,0.0000000000000000
10,98.3200031388135329,98.3200031388135329,187.5227714086441893,14.9567699614866143,1.4001023822549414,83.3632331773269328,1.6325650253049928,0.0000000000000000,4223.0170997966451978,0.0000000000000000,0.0000000000000000,0.9902851941569083,0.9407179817673333,2.5426442867018499,9.9459242975797242,7.4032800108778742,0.3707193312749438,0.3234018379897099,0.1753547302947989,0.0357662801726000,0.0000000000000000,0.9907139023645755,1.0054388006158264,-2.0808206804670988,15.2988230377145698,17.3796437181816685,0.4329285589113300,0.4314133954014899,0.2222852700378505,0.0000000000000000,0.0000000000000000
11,98.3291137058971856,98.3291137058970577,187.4731925053766304,14.9771681323044152,1.3990671157577814,83.3519455735927579,1.6325249121489387,0.0000000000000000,4223.0171111604195175,0.0000000000000000,0.0000000000000000,0.9900832243939351,0.9410777820134458,2.5213468391531029,9.9298082522143467,7.4084614130612438,0.3485741226380756,0.3232600253560931,0.1861713669105164,0.0357662801726000,0.0000000000000000,0.9904845123875673,1.0058875450088922,-2.1242323834703285,15.2747064234508194,17.3989388069211479,0.4329285589113301,0.4312332715556506,0.2221528455935256,0.0000000000000000,0.0000000000000000
12,98.3377216055214234,98.3377216055213950,187.4289513083138843,14.9958417269434570,1.3980946986348290,83.3418798785779558,1.6324884145734759,0.0000000000000000,4223.0171045057768424,0.0000000000000000,0.0000000000000000,0.9899061892679967,0.9414457103295492,2.5013086023269500,9.9166827067450871,7.4153741044181372,0.3338848903787788,0.3231342624968685,0.1942365200522514,0.0357662801726000,0.0000000000000000,0.9902826802365632,1.0062824008920390,-2.1623377662107526,15.2532745893029524,17.4156123555137050,0.4329285589113304,0.4310730373814988,0.2220361630667775,0.0000000000000000,0.0000000000000000
13,98.3454065040354095,98.3454065040354095,187.3890359436506969,15.0126622586025373,1.3972173347223595,83.3327442454328633,1.6324551273683474,0.0000000000000000,4223.0171054145430389,0.0000000000000000,0.0000000000000000,0.9897475468059901,0.9417810185210196,2.4832078207975785,9.9050108051610604,7.4218029843634818,0.3272496762893589,0.3230213823052607,0.1980797910914712,0.0357662801726000,0.0000000000000000,0.9901016436915641,1.0066367173342203,-2.1964995513268413,15.2340313538720125,17.4305309051988537,0.4329285589113307,0.4309290747593706,0.2219314891891388,0.0000000000000000,0.0000000000000000
14,98.3522190362830173,98.3522190362829889,187.3529764945454872,15.0277846392663434,1.3964285014336824,83.3244343970166739,1.6324247512225234,0.0000000000000000,4223.0171030084911763,0.0000000000000000,0.0000000000000000,0.9896050617228773,0.9420829138667370,2.4669346229506299,9.8945321091925820,7.4275974862419520,0.3263213682882899,0.3229199463094946,0.1985599091364962,0.0357662801726000,0.0000000000000000,0.9899389392986109,1.0069553355259455,-2.2271967045642462,15.2167329696577944,17.4439296742220407,0.4329285589113310,0.4307996097393040,0.2218373638231824,0.0000000000000000,0.0000000000000000
15,98.3582462789805874,98.3582462789805874,187.3203906168251933,15.0413750686520213,1.3957195668958213,83.3168712103285571,1.6323970215076915,0.0000000000000000,4223.0171057334855504,0.0000000000000000,0.0000000000000000,0.9894770703516627,0.9423542995997699,2.4523142293203337,9.8851149087097561,7.4328006793894223,0.3262053693391727,0.3228287954319840,0.1985558197105932,0.0357662801726000,0.0000000000000000,0.9897926956323706,1.0072418751713896,-2.2547847123328211,15.2011807880028336,17.4559655003356546,0.4329285589113311,0.4306831880809266,0.2217527112764036,0.0000000000000000,0.0000000000000000
16,98.3635708556724921,98.3635708556724637,187.2909374367864643,15.0535863287607210,1.3950825376359783,83.3099845269117623,1.6323716991594199,0.0000000000000000,4223.0171069302650722,0.0000000000000000,0.0000000000000000,0.9893621108671216,0.9425981710245059,2.4391812267103221,9.8766506780343768,7.4374694513240547,0.3261908744127254,0.3227468996909693,0.1984975464759778,0.0357662801726000,0.0000000000000000,0.9896612587945061,1.0074995294051197,-2.2795763697065929,15.1871982992049723,17.4667746689115653,0.4329285589113308,0.4305785097759496,0.2216765875650333,0.0000000000000000,0.0000000000000000
17,98.3682676573817787,98.3682676573818497,187.2643100825518729,15.0645567198888486,1.3945101931506763,83.3037109374929514,1.6323485677042315,0.0000000000000000,4223.0171061984628977,0.0000000000000000,0.0000000000000000,0.9892588682135270,0.9428172836743987,2.4273853434700872,9.8690428682583367,7.4416575247882495,0.3261890631644825,0.3226733302676867,0.1984383682198834,0.0357662801726000,0.0000000000000000,0.9895431427333864,1.0077311721387014,-2.3018525245924533,15.1746268368431725,17.4764793614356257,0.4329285589113301,0.4304844042696343,0.2216081447229621,0.0000000000000000,0.0000000000000000
18,98.3724043000204915,98.3724043000204489,187.2402317536808312,15.0744110600907870,1.3939960142629251,83.2979932399296956,1.6323274310894269,0.0000000000000000,4223.0171104890223432,0.0000000000000000,0.0000000000000000,0.9891661600094852,0.9430141137484821,2.4167917314375025,9.8622049535653336,7.4454132221278311,0.3261888368356218,0.3226072504415082,0.1983843556853041,0.0357662801726000,0.0000000000000000,0.9894370076900990,1.0079394050452704,-2.3218667812779135,15.1633238647598976,17.4851906460378110,0.4329285589113303,0.4303998135886700,0.2215466154000378,0.0000000000000000,0.0000000000000000
19,98.3760411800152212,98.3760411800151502,187.2184528562114281,15.0832617981593735,1.3935341299994484,83.2927793818558371,1.6323081116777249,0.0000000000000000,4223.0171050238886892,0.0000000000000000,0.0000000000000000,0.9890829172329844,0.9431909005616511,2.4072785657827707,9.8560587386380050,7.4487801728552343,0.3261888085541570,0.3225479035390412,0.1983357344786819,0.0357662801726000,0.0000000000000000,0.9893416452479706,1.0081265663583860,-2.3398470233686304,15.1531610062727502,17.4930080296413806,0.4329285589113301,0.4303237834703464,0.2214913083056731,0.0000000000000000,0.0000000000000000
20,98.3792329939745400,98.3792329939745116,187.1987487401870283,15.0912105499301124,1.3931192640132046,83.2880224440444294,1.6322904486126093,0.0000000000000000,4223.0171064611522525,0.0000000000000000,0.0000000000000000,0.9890081822641633,0.9433496785257074,2.3987359244254289,9.8505341699464370,7.4517982455210081,0.3261888050201789,0.3224946110960025,0.1982920562823584,0.0357662801726000,0.0000000000000000,0.9892559702875876,1.0082947674058322,-2.3559984144491981,15.1440230899663089,17.5000215044155070,0.4329285589113301,0.4302554557720167,0.2214416001983293,0.0000000000000000,0.0000000000000000
21,98.3820286262202188,98.3820286262202188,187.1809167055354806,15.0983487207049318,1.3927466540119564,83.2836799055152852,1.6322742961548113,0.0000000000000000,4223.0171090280282442,0.0000000000000000,0.0000000000000000,0.9889410904587705,0.9434922572080774,2.3910655415790814,9.8455682117584207,7.4545026701793393,0.3261888045785813,0.3224467598677260,0.1982528326696578,0.0357662801726000,0.0000000000000000,0.9891790035199476,1.0084459164060382,-2.3705061405467180,15.1358063967468812,17.5063125372935993,0.4329285589113296,0.4301940552119075,0.2213969284269433,0.0000000000000000,0.0000000000000000
22,98.3844719663290306,98.3844719663290306,187.1647740792996615,15.1047586443268873,1.3924120157141333,83.2797133220021379,1.6322595222711607,0.0000000000000000,4223.0171071345212113,0.0000000000000000,0.0000000000000000,0.9888808635068133,0.9436202765907497,2.3841787033131796,9.8411042447122288,7.4569255413990492,0.3261888045234019,0.3224037971858698,0.1982176139142473,0.0357662801726000,0.0000000000000000,0.9891098635276975,1.0085817279970539,-2.3835365233697701,15.1284176975158253,17.5119542208855954,0.4329285589113294,0.4301388831971026,0.2213567863794143,0.0000000000000000,0.0000000000000000
23,98.3866025045245749,98.3866025045245749,187.1501565347905967,15.1105146020135219,1.3921115031468874,83.2760879025110512,1.6322460073193545,0.0000000000000000,4223.0171120844024699,0.0000000000000000,0.0000000000000000,0.9888268038866984,0.9437352155663383,2.3779956329277558,9.8370913707729635,7.4590957378452076,0.3261888045165065,0.3223652279481254,0.1981859948308339,0.0357662801726000,0.0000000000000000,0.9890477589436080,1.0087037500592890,-2.3952393278864754,15.1217733000417844,17.5170126279282599,0.4329285589113303,0.4300893124249083,0.2213207176509075,0.0000000000000000,0.0000000000000000
24,98.3884554398633497,98.3884554398633497,187.1369158125069987,15.1156833275658702,1.3918416481755191,83.2727721122974742,1.6322336428708211,0.0000000000000000,4223.0171083407249171,0.0000000000000000,0.0000000000000000,0.9887782819302808,0.9438384016460180,2.3724446170057414,9.8334837717886128,7.4610391547828714,0.3261888045156446,0.3223306047677955,0.1981576095603109,0.0357662801726000,0.0000000000000000,0.9889919757729052,1.0088133725069126,-2.4057491438754788,15.1157978677024580,17.5215470115779368,0.4329285589113299,0.4300447763855350,0.2212883115609820,0.0000000000000000,0.0000000000000000
25,98.3900624509929571,98.3900624509929287,187.1249184835907613,15.1203249772764003,1.3915993355087812,83.2697374737165603,1.6322223306643706,0.0000000000000000,4223.0171098215896563,0.0000000000000000,0.0000000000000000,0.9887347330448231,0.9439310288189646,2.3674612787022511,9.8302403792218893,7.4627791005196382,0.3261888045155369,0.3222995262814611,0.1981321294450625,0.0357662801726000,0.0000000000000000,0.9889418729862062,1.0089118501358485,-2.4151871832515717,15.1104237561432697,17.5256109393948414,0.4329285589113296,0.4300047660640927,0.2212591975796624,0.0000000000000000,0.0000000000000000
26,98.3914518907276516,98.3914518907276516,187.1140443626725869,15.1244936841104334,1.3913817631555467,83.2669582066172183,1.6322119816159466,0.0000000000000000,4223.0171082057540843,0.0000000000000000,0.0000000000000000,0.9886956491464862,0.9440141734983639,2.3629876560849867,9.8273242691439453,7.4643366130589586,0.3261888045155232,0.3222716310718370,0.1981092589821608,0.0357662801726000,0.0000000000000000,0.9888968740621794,1.0090003103128173,-2.4236623137391344,15.1055901758771558,17.5292524896162902,0.4329285589113298,0.4299688234493767,0.2212330428430021,0.0000000000000000,0.0000000000000000
27,98.3926491054221799,98.3926491054222083,187.1041852288969949,15.1282381648146309,1.3911864144290860,83.2644109406075472,1.6322025149486519,0.0000000000000000,4223.0171080898089713,0.0000000000000000,0.0000000000000000,0.9886605740826940,0.9440888008741219,2.3589717670362029,9.8247022659170291,7.4657304988808262,0.3261888045155213,0.3222465948039737,0.1980887321244386,0.0357662801726000,0.0000000000000000,0.9888564603896327,1.0090797684706327,-2.4312725032596187,15.1012424664576006,17.5325149697172193,0.4329285589113300,0.4299365364516273,0.2212095482780961,0.0000000000000000,0.0000000000000000
28,98.3936767170849436,98.3936767170849436,187.0952434958922765,15.1316021990793175,1.3910110320991100,83.2620745180056332,1.6321938574174570,0.0000000000000000,4223.0171087627741144,0.0000000000000000,0.0000000000000000,0.9886290968442207,0.9441557779199750,2.3553668892726298,9.8223445425582607,7.4669776532856309,0.3261888045155213,0.3222241236402569,0.1980703108889612,0.0357662801726000,0.0000000000000000,0.9888201649394823,1.0091511360139034,-2.4381057403956383,15.0973315355634199,17.5354372759590582,0.4329285589113306,0.4299075322483926,0.2211884447772806,0.0000000000000000,0.0000000000000000
29,98.3945595730512395,98.3945595730512395,187.0871356790516415,15.1346281493385710,1.3908537770055951,83.2599314237126720,1.6321859425950660,0.0000000000000000,4223.0171085726615274,0.0000000000000000,0.0000000000000000,0.9886008878399127,0.9442158256947254,2.3521346730569785,9.8202262079146543,7.4680915348576757,0.3261888045155213,0.3222039806371257,0.1980537997389681,0.0357662801726000,0.0000000000000000,0.9887876101468190,1.0092153671706634,-2.4442476479709150,15.0938162385071237,17.5380638864780387,0.4329285589113299,0.4298815076162530,0.2211695105423075,0.0000000000000000,0.0000000000000000
