period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058136678258734,582.3058151166720791,727.7604678570812666,232.8833493747264640,340.4775224185322031,1164.9039136553776643,43.6656294534372336,6.7822694649564275,538.6401843230338500,48.9590010346482885,0.0000000000000000,5386.4018389907168967,0.0000000000000000,0.0000000000000000,0.9999999975118812,1.0000000052156841,-1.0975556597924054,13.7358977811838923,14.8334534409762977,0.0574419850770575,0.0571999991715401,0.1440591208624354,0.2548024125762191,0.8669992515115729,0.0000000000000000,0.0000000000000000,0.9999999946088590,1.0000000128728819,1.0975545154850721,112.1945392196249998,111.0969847041399277,0.3677395352555066,0.3699999874939802,0.2199212969977918,0.4166484259373902,2.1736930411558832,0.0000000000000000,0.0000000000000000
1,582.3058132118175081,582.3058154029203024,727.7604691304483140,232.8833502397640132,340.4775234602391265,1164.9039153682242613,43.6656297218230733,6.7822695275226490,538.6401836542996762,48.9581723440431773,0.0000000000000000,5386.4018555492766609,0.0000000000000000,0.0000000000000000,0.9999999962371955,0.9999999964033182,-1.0975552691030153,13.7358982615549969,14.8334535306580122,0.0574419850770575,0.0571999990059855,0.1440591204926058,0.2548024122761278,0.8669992504985132,0.0000000000000000,0.0000000000000000,0.9999999965925166,1.0000000157968394,1.0975541339868187,112.1945380347189740,111.0969839007321553,0.3677395352555066,0.3699999899832686,0.2199212984474141,0.4166484271580351,2.1736930470313531,0.0000000000000000,0.0000000000000000
2,582.3058128062409651,582.3058139991824191,727.7604705401391811,232.8833506319159028,340.4775240622967658,1164.9039161716748367,43.6656296268892632,6.7822695523337684,538.6401832688072773,48.9572608228553179,0.0000000000000000,5386.4018498975801776,0.0000000000000000,0.0000000000000000,0.9999999979513490,1.0000000016885324,-1.0975554467741127,13.7358979837091528,14.8334534304832655,0.0574419850770575,0.0571999995904141,0.1440591217438769,0.2548024133427829,0.8669992540294823,0.0000000000000000,0.0000000000000000,0.9999999968454164,1.0000000149287096,1.0975545946750600,112.1945375452571056,111.0969829505820456,0.3677395352555065,0.3699999904711657,0.2199212990193611,0.4166484274436241,2.1736930486014514,0.0000000000000000,0.0000000000000000
3,582.3058140048393625,582.3058162524090449,727.7604718451643748,232.8833488488021430,340.4775225278602306,1164.9039139942003658,43.6656291639917100,6.7822694328193283,538.6401850093872099,48.9562581922538556,0.0000000000000000,5386.4018472921907232,0.0000000000000000,0.0000000000000000,0.9999999961402246,1.0000000085108767,-1.0975559318223915,13.7358976717904682,14.8334536036128597,0.0574419850770575,0.0571999986972772,0.1440591192603608,0.2548024108863733,0.8669992475014634,0.0000000000000000,0.0000000000000000,0.9999999944801032,1.0000000103151416,1.0975555718812444,112.1945403522644114,111.0969847803831669,0.3677395352555062,0.3699999869506454,0.2199212967032420,0.4166484256219578,2.1736930400100691,0.0000000000000000,0.0000000000000000
4,582.2149651694629711,582.3277545461832005,727.7604725299066786,232.8830077695880334,340.4771901940044359,1164.8124970099659095,43.6594983781655301,6.7826118336061230,538.5639230731277394,48.9551553302081359,0.0000000000000000,5386.4018547091773144,0.0000000000000000,0.0000000000000000,0.9998063128953760,1.0005926268557601,-1.1564780568688917,13.7002776868967135,14.8567557437656053,0.0574419850770575,0.0570861644809914,0.1437567095555298,0.2545379462304516,0.8661753435739549,0.0000000000000000,0.0000000000000000,1.0000821486008211,0.9998265220812101,1.2364514570535192,112.2878238079707529,111.0513723509172337,0.3677395352555061,0.3701092864144554,0.2200015049488582,0.4167088947222192,2.1739815826725275,0.0000000000000000,0.0000000000000000
5,582.2121536139575255,582.3196975726453957,727.7458857871368991,232.8830048988051260,340.4749126152746612,1164.8057882216471626,43.6567474341570829,6.7826146499479769,538.5634687946528629,48.9546352597090149,0.0000000000000000,5386.4018406522955047,0.0000000000000000,0.0000000000000000,0.9998153180132213,1.0006005605284185,-1.1562250530222862,13.6999260544053705,14.8561511074276567,0.0574419850770575,0.0570890600068813,0.1437345309050490,0.2545420794391973,0.8661258442696944,0.0000000000000000,0.0000000000000000,1.0000779285081132,0.9998270860813202,1.2352591646601354,112.2858948094195028,111.0506356447593674,0.3677395352555063,0.3701074618598219,0.2200067803524671,0.4167080284904394,2.1739954378620836,0.0000000000000000,0.0000000000000000
6,582.2092042587971719,582.3137439804204405,727.7298168678229331,232.8833054187433618,340.4726995607366007,1164.7990520399782781,43.6536855177042042,6.7823140739217580,538.5633556574960039,48.9540673236689017,0.0000000000000000,5386.4018425013300657,0.0000000000000000,0.0000000000000000,0.9998204752631998,1.0006169918101318,-1.1566232810723918,13.6985444560341190,14.8551677371065107,0.0574419850770575,0.0570914072797909,0.1436839629095613,0.2545097697112849,0.8660211616734618,0.0000000000000000,0.0000000000000000,1.0000755695592753,0.9998285408661919,1.2348453823460375,112.2851721292826994,111.0503267469366619,0.3677395352555063,0.3701092366413734,0.2200087271938729,0.4167089333840452,2.1740007034418598,0.0000000000000000,0.0000000000000000
7,582.2096561613454924,582.2845616503741439,727.7118757198048797,232.8885984240709206,340.4750603934522815,1164.8035436881473288,43.6496629379407750,6.7770212613565715,538.5656083462563402,48.9534436374757718,0.0000000000000000,5386.4018551381113866,0.0000000000000000,0.0000000000000000,0.9998713593078676,1.0009283143683754,-1.1692855327535447,13.6738944489426917,14.8431799816962364,0.0574419850770575,0.0571292511709468,0.1429570608729333,0.2539503287870311,0.8642746943462460,0.0000000000000000,0.0000000000000000,1.0000815923392581,0.9998102648198123,1.2469797073515139,112.2887109886759305,111.0417312813244166,0.3677395352555072,0.3701895816289019,0.2200278640051684,0.4167219151125434,2.1740629701216254,0.0000000000000000,0.0000000000000000
8,582.1425609070768132,580.8241572478760872,727.6932101936982917,232.9798340676820771,340.5610650186711723,1164.8836127031283922,43.5203826896501909,6.6857855687024657,538.5233919822608186,48.9527371284369579,0.0000000000000000,5386.4018560670019724,0.0000000000000000,0.0000000000000000,1.0022698843406372,1.0100771095089878,-1.3838253376257139,12.2191231584192881,13.6029484960450020,0.0546522391288166,0.0526835969527166,0.1388280713596043,0.2481729147935750,0.8334565286415974,0.0000000000000000,0.0173750000000000,1.0000278696819427,0.9994900269333443,1.3458153650383196,112.1600576480808797,110.8142422830425602,0.3677395352555062,0.3704835750217369,0.2202831635699912,0.4169147218622671,2.1749869949940681,0.0000000000000000,0.0000000000000000
9,582.1355505648061808,580.7465816030006636,727.6507823832015447,232.9775204878849024,340.5521915771927297,1164.8614188082440251,43.5160748887865196,6.6880990906567268,538.5153984773328375,48.9523436762306119,0.0000000000000000,5386.4018536306257374,0.0000000000000000,0.0000000000000000,1.0023916954585794,1.0103812555241265,-1.3903342171929260,12.1921053213415735,13.5824395385344996,0.0531178789130790,0.0527135213694001,0.1418889973148812,0.2505480354331868,0.8313048669308032,0.0000000000000000,0.0173750000000000,1.0000191080956362,0.9994939465720578,1.3405772471101187,112.1449278341305131,110.8043505870203944,0.3677395352555063,0.3704792756875129,0.2203014054959135,0.4169132381720186,2.1750374176961462,0.0000000000000000,0.0000000000000000
