period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,rex2,rim2,exrate2,mktpen2,tau2,ntb2
0,582.3058150313256647,582.3058154059433491,1164.9039163238810488,87.3312588011102662,7.0112848999748252,494.9745562302155122,9.7018943655496983,0.0000000000000000,24748.7277735616808059,0.0000000000000000,0.0000000000000000,0.9999999993566651,1.0000000009735119,-1.0975553061371368,13.7358980117050642,14.8334533178422010,0.0571999996374833,0.9505978236682727,0.0000000000000000,0.0000000000000000,0.9999999991743418,1.0000000219186409,1.0975528951337736,112.1945400595958091,111.0969871644620355,0.3699999917641210,0.7066891509941138,0.0000000000000000,0.0000000000000000
1,582.3058150447152457,582.3058154212818636,1164.9039166833645140,87.3312587141892323,7.0112849050581376,494.9745563305259566,9.7018246093389404,0.0000000000000000,24748.7277826983045088,0.0000000000000000,0.0000000000000000,0.9999999993533180,1.0000000009935397,-1.0975553083007306,13.7358980164707525,14.8334533247714830,0.0571999996303258,0.9505978236743087,0.0000000000000000,0.0000000000000000,0.9999999994130162,1.0000000214917564,1.0975531889722134,112.1945402400286582,111.0969870510564448,0.3699999919400965,0.7066891508678854,0.0000000000000000,0.0000000000000000
2,582.3058150596669975,582.3058154380631777,1164.9039170123965050,87.3312586362262095,7.0112849096280634,494.9745564234407311,9.7017534589980343,0.0000000000000000,24748.7277911638957448,0.0000000000000000,0.0000000000000000,0.9999999993501762,1.0000000010118191,-1.0975553102744655,13.7358980208149166,14.8334533310893821,0.0571999996238588,0.9505978236797625,0.0000000000000000,0.0000000000000000,0.9999999996276165,1.0000000211079292,1.0975534531798559,112.1945404028371627,111.0969869496573068,0.3699999920983266,0.7066891507543860,0.0000000000000000,0.0000000000000000
3,582.3058150758845386,582.3058154559944342,1164.9039173137578018,87.3312585663117034,7.0112849137363984,494.9745565095727216,9.7016808866890010,0.0000000000000000,24748.7277990140064503,0.0000000000000000,0.0000000000000000,0.9999999993472333,1.0000000010284964,-1.0975553120747747,13.7358980247776969,14.8334533368524717,0.0571999996180154,0.9505978236846904,0.0000000000000000,0.0000000000000000,0.9999999998205711,1.0000000207628175,1.0975536907444194,112.1945405497691013,111.0969868590246818,0.3699999922405990,0.7066891506523332,0.0000000000000000,0.0000000000000000
4,582.1563607997401277,582.3103777768205873,1164.7529066797414998,87.2940065156554539,7.0122182621465647,494.8623542840847449,9.7016068640185438,0.0000000000000000,24748.7278062990917533,0.0000000000000000,0.0000000000000000,0.9997355070715579,1.0008714903732590,-1.1823290033753810,13.6755417944831148,14.8700901529761929,0.0570394122396812,0.9507332560071724,0.0000000000000000,0.0000000000000000,1.0001226648206119,0.9997255382469001,1.3133928020368018,112.3124345854646151,110.9688327157477659,0.3701654825587523,0.7065704494387928,0.0000000000000000,0.0000000000000000
5,582.1532586805626579,582.3067848247053462,1164.7448048468111210,87.2912394141437034,7.0122359246121180,494.8620192664188835,9.7015753381777632,0.0000000000000000,24748.7278130650774983,0.0000000000000000,0.0000000000000000,0.9997363483508287,1.0008651596843978,-1.1816153429415071,13.6760043659992636,14.8697499373361577,0.0570409405494012,0.9507319670349577,0.0000000000000000,0.0000000000000000,1.0001193084777713,0.9997298249985512,1.3111921625997383,112.3110449141594955,110.9701185188125976,0.3701647958611645,0.7065709419611946,0.0000000000000000,0.0000000000000000
6,582.1493497799850729,582.3025706987035619,1164.7357973920668428,87.2877139594841367,7.0122702367514433,494.8616358205009647,9.7015433133663969,0.0000000000000000,24748.7278193541169458,0.0000000000000000,0.0000000000000000,0.9997368706125843,1.0008588412949495,-1.1808767825931188,13.6765020458631970,14.8694200911577159,0.0570425696423772,0.9507305930637577,0.0000000000000000,0.0000000000000000,1.0001162286793377,0.9997333710025827,1.3096136388337669,112.3099782295987694,110.9710233211338846,0.3701645813693581,0.7065710958019114,0.0000000000000000,0.0000000000000000
7,582.1445308102539684,582.2976326487344068,1164.7256823799129961,87.2833381182397545,7.0123222234197824,494.8611926920142423,9.7015107985960434,0.0000000000000000,24748.7278252045143745,0.0000000000000000,0.0000000000000000,0.9997370728818112,1.0008524397089196,-1.1801013792231014,13.6770429185634512,14.8690954104070556,0.0570443270306451,0.9507291108903121,0.0000000000000000,0.0000000000000000,1.0001133888957190,0.9997362053799783,1.3086531450625358,112.3092247076974672,110.9715446122795299,0.3701648503440116,0.7065709028842727,0.0000000000000000,0.0000000000000000
8,582.0961990949796245,580.8417048375243894,1164.8350645033558521,87.2569175834722444,6.9144607773937397,494.8392815115074654,9.7014778074702583,0.0000000000000000,24748.7278306513435382,0.0000000000000000,0.0000000000000000,1.0021597868180045,1.0111583434328331,-1.4509253055307685,11.7919997296543784,13.3472747849838118,0.0525911173690575,0.9544901378160467,0.0000000000000000,0.0173750000000000,1.0000816698098971,0.9993537846950787,1.4456054716676476,112.5257580678394760,111.0045385801048781,0.3705601517306911,0.7062874141219440,0.0000000000000000,0.0000000000000000
9,582.0915923619177192,580.8055804410362271,1164.8216897525244349,87.2575311095687596,6.9145134108153021,494.8340612523488744,9.7014527467210758,0.0000000000000000,24748.7278357264149236,0.0000000000000000,0.0000000000000000,1.0022141865784155,1.0110460084459019,-1.4424550463792656,11.7960578542822780,13.3417036827807607,0.0526033075971727,0.9544798279685940,0.0000000000000000,0.0173750000000000,1.0000719296468312,0.9993708418369533,1.4334863183199786,112.5182533427196319,111.0110033952940682,0.3705520372498814,0.7062932326922168,0.0000000000000000,0.0000000000000000
