period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422593611173397,2283.6422547621891681,5585.3689796099515661,893.6590362616133234,1646.1340196084515810,4715.7685312837220408,335.1221367334666184,8.0488184758323484,1948.5201219527630201,38.2069829528531528,0.0000000000000000,97426.0057806861877907,0.0000000000000000,0.0000000000000000,1.0000000020138566,0.9999999866303455,1.0975557222689520,16.6010366052293499,15.5034808829603978,0.0404455581306676,0.0410000013629727,0.1537172132909265,0.2864321729106388,1.5304552395749507,0.0000000000000000,0.0000000000000000,1.0000000038709553,0.9999999822863391,-1.0975530983372153,111.0969838582122691,112.1945369565494843,0.0976467978870235,0.1000000032896726,0.1777091633742414,0.3432575430363435,2.2835519892561580,0.0000000000000000,0.0000000000000000
1,2283.6422595489052583,2283.6422555677645505,5585.3689782417086462,893.6590362815851449,1646.1340194985598373,4715.7685313156043776,335.1221370124084160,8.0488184703600503,1948.5201219522682550,38.2069970741557015,0.0000000000000000,97426.0058238812198397,0.0000000000000000,0.0000000000000000,1.0000000017433293,0.9999999871700116,1.0975556692563533,16.6010365769876636,15.5034809077313103,0.0404455581306676,0.0410000013161940,0.1537172131742262,0.2864321727602270,1.5304552390298116,0.0000000000000000,0.0000000000000000,1.0000000035903045,0.9999999826278417,-1.0975533813008553,111.0969837250566741,112.1945371063575294,0.0976467978870235,0.1000000031939391,0.1777091633977215,0.3432575431020942,2.2835519892399820,0.0000000000000000,0.0000000000000000
2,2283.6422597517212125,2283.6422562405091412,5585.3689771438430398,893.6590362952819078,1646.1340194075241925,4715.7685313862384646,335.1221372560767122,8.0488184614116278,1948.5201219803775530,38.2070114778952430,0.0000000000000000,97426.0058602723001968,0.0000000000000000,0.0000000000000000,1.0000000015375492,0.9999999876404871,1.0975556256300418,16.6010365605512717,15.5034809349212299,0.0404455581306677,0.0410000012813182,0.1537172130229738,0.2864321724887791,1.5304552380832570,0.0000000000000000,0.0000000000000000,1.0000000033730769,0.9999999829941781,-1.0975536435455666,111.0969835982883325,112.1945372418338991,0.0976467978870234,0.1000000031225005,0.1777091632673319,0.3432575429956252,2.2835519885933837,0.0000000000000000,0.0000000000000000
3,2283.6422599574316337,2283.6422566455848937,5585.3689762865560624,893.6590363170237197,1646.1340193500029727,4715.7685315141370666,335.1221374628117360,8.0488184564298972,1948.5201220086100875,38.2070261697097422,0.0000000000000000,97426.0058855201641563,0.0000000000000000,0.0000000000000000,1.0000000014502477,0.9999999884438719,1.0975555680083176,16.6010365145247327,15.5034809465164152,0.0404455581306676,0.0410000012683231,0.1537172126138692,0.2864321723649801,1.5304552376177827,0.0000000000000000,0.0000000000000000,1.0000000032440250,0.9999999833690907,-1.0975538682384496,111.0969835252277704,112.1945373934662200,0.0976467978870234,0.1000000030791949,0.1777091631769254,0.3432575429317324,2.2835519881600845,0.0000000000000000,0.0000000000000000
4,2283.7560074340772189,2283.9159406918051900,5585.3689756581843540,893.6624389844620282,1646.1381977969599575,4715.8884525332678095,335.2447929611133191,8.0454157423481902,1948.5346902896171741,38.2070411553610967,0.0000000000000000,97426.0059292569931131,0.0000000000000000,0.0000000000000000,0.9999299741050541,1.0001877746915171,1.0764109747593871,16.5889238712038534,15.5125128964444663,0.0404455581306676,0.0409761779404314,0.1536225121592946,0.2863525209918082,1.5300636692431022,0.0000000000000000,0.0000000000000000,0.9999571801065640,1.0000953951366289,-1.1746450833233268,111.0608883673817786,112.2355334507051055,0.0976467978870234,0.0999740875092529,0.1776609485700052,0.3432189292610832,2.2833156347513026,0.0000000000000000,0.0000000000000000
5,2283.8012980309140403,2284.0449890390532346,5585.4681513283339882,893.6633714695137769,1646.1490859717248441,4715.9498302194278949,335.2879718052209341,8.0444833874359745,1948.5490990166226766,38.2070507274966502,0.0000000000000000,97426.0059571488236543,0.0000000000000000,0.0000000000000000,0.9998933072643891,1.0003002657868119,1.0637644251663509,16.5814690738141799,15.5177046486478289,0.0404455581306676,0.0409620432210530,0.1535621448790143,0.2863074474237228,1.5298145375795755,0.0000000000000000,0.0000000000000000,0.9999513001379581,1.0001139029405752,-1.1897428426402286,111.0564747815410840,112.2462176241813125,0.0976467978870234,0.0999692849631370,0.1776480553460344,0.3432116145971419,2.2832552658646628,0.0000000000000000,0.0000000000000000
6,2283.8470847799485455,2284.1613301104912352,5585.5922566673698384,893.6641872149995152,1646.1622797448817437,4716.0151104323176696,335.3300192935786868,8.0436675367985071,1948.5631987832452978,38.2070548404940169,0.0000000000000000,97426.0059854981518583,0.0000000000000000,0.0000000000000000,0.9998624241963996,1.0003903570969683,1.0533769036643790,16.5756154522113484,15.5222385485469694,0.0404455581306676,0.0409502066792824,0.1535239989344269,0.2862765099189669,1.5296449514313484,0.0000000000000000,0.0000000000000000,0.9999449450974085,1.0001315102923893,-1.2045148658085338,111.0519561363499292,112.2564710021584631,0.0976467978870235,0.0999647826948363,0.1776377930379164,0.3432041294013381,2.2832054184155313,0.0000000000000000,0.0000000000000000
7,2283.8953787542845930,2284.1799437665945334,5585.7406006983273983,893.6636673063570697,1646.1762142594297984,4716.0839923335543062,335.3602061381207591,8.0441874330575267,1948.5769520659173395,38.2070535064108796,0.0000000000000000,97426.0060084246360930,0.0000000000000000,0.0000000000000000,0.9998754191791733,1.0003519398923946,1.0552785137956917,16.5793901491505444,15.5241116353548527,0.0404455581306677,0.0409621673684857,0.1536459607975209,0.2863649177260791,1.5300672809843086,0.0000000000000000,0.0000000000000000,0.9999301715231257,1.0001687548220990,-1.2313815880665970,111.0389864439524104,112.2703680320190074,0.0976467978870234,0.0999848133889766,0.1776279462624604,0.3431959493139317,2.2831520284594462,0.0000000000000000,0.0000000000000000
8,2283.7274941295349890,2278.4559523815764805,5585.9145823139242566,893.6446697136268540,1646.1699754376611509,4715.9068899904477803,334.3753399057365527,8.0631850303780634,1948.5785278730413665,38.2070467522604176,0.0000000000000000,97426.0060319709737087,0.0000000000000000,0.0000000000000000,1.0023136465475440,0.9986448891582486,1.3548907615902248,16.8083929517507435,15.4535021901605187,0.0404455581306676,0.0414376930336734,0.1553816267917826,0.2878474105637493,1.5373873103786992,0.0000000000000000,0.0000000000000000,0.9999779202918052,1.0005022593265225,-1.3402794647059721,110.8073264769232509,112.1476059416292230,0.0976467978870233,0.0999784154418065,0.1776603182798649,0.3432234441174093,2.2833169059810490,0.0000000000000000,0.0000000000000000
9,2283.7194291923324272,2278.2423771191597552,5585.9086736211647803,893.6448506627477855,1646.1696172222975747,4715.8982958023107130,334.3365265432810247,8.0630040912371008,1948.5791345406923938,38.2070392450776950,0.0000000000000000,97426.0060519918188220,0.0000000000000000,0.0000000000000000,1.0024040690877229,0.9984722810239118,1.3694728289351801,16.8172935378477888,15.4478207089126087,0.0404455581306675,0.0414461676558646,0.1555512772513322,0.2878735031575569,1.5380268575144638,0.0000000000000000,0.0000000000000000,0.9999791855431232,1.0005138109908871,-1.3471184381658503,110.7951834100197033,112.1423018481855536,0.0976467978870235,0.0999761760912772,0.1776600965261592,0.3432212063382410,2.2833139782550158,0.0000000000000000,0.0000000000000000
