period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2082577677800614,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2082973873159091,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2083377991394570,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2083790193734885,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2284.4806604755431181,2286.3415696363663301,4716.6531324009656601,335.6862817139397066,8.0233544928979779,1949.0676020127129959,38.2084210640949209,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,0.9991860756128751,1.0022344463340203,0.8431547359558422,16.4529064639938198,15.6097517280379776,0.0404455581306676,0.0407101752770939,0.1526037192060442,0.0000000000000000,0.0000000000000000,0.9997262365981118,1.0005851579150518,-1.5672573873152515,110.9275441991231190,112.4948015864383706,0.0976467978870234,0.0998490668700972,0.1774269578600843,0.0000000000000000,0.0000000000000000
5,2284.5147952343249926,2286.3049235135699746,4716.7278847286506789,335.7048509127962461,8.0242395320789051,1949.0727941019404170,38.2082492886876395,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,0.9992170212027113,1.0022579991020197,0.8440594917147930,16.4527696803695811,15.6087101886547881,0.0404455581306676,0.0407165307519493,0.1525388029143218,0.0000000000000000,0.0000000000000000,0.9997375132656540,1.0005867702127111,-1.5650484672272285,110.9252932046092468,112.4903416718364753,0.0976467978870234,0.0998509716673178,0.1774085458595214,0.0000000000000000,0.0000000000000000
6,2284.5489422828723036,2286.3275126987891781,4716.8054928561141423,335.7342539322524999,8.0244746636454600,1949.0758613489488198,38.2080720442077180,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,0.9992220841475956,1.0022377754877079,0.8459903242076088,16.4542117503926555,15.6082214261850467,0.0404455581306676,0.0407178586060359,0.1525556432944573,0.0000000000000000,0.0000000000000000,0.9997444120137807,1.0005791866336324,-1.5613476163983648,110.9268927488356411,112.4882403652340059,0.0976467978870235,0.0998505980804387,0.1774079626230233,0.0000000000000000,0.0000000000000000
7,2284.5795931832249153,2286.4796901619342862,4716.8784052710552714,335.7832746732367468,8.0264057410886078,1949.0753591629413677,38.2078900542727169,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,0.9991689858489079,1.0021331201033687,0.8493279403501663,16.4595155087452305,15.6101875683950642,0.0404455581306676,0.0407349835491502,0.1527690123591690,0.0000000000000000,0.0000000000000000,0.9997525155468353,1.0005681269972453,-1.5564329501575713,110.9357176870871342,112.4921506372447055,0.0976467978870235,0.0999039448407867,0.1774137082683471,0.0000000000000000,0.0000000000000000
8,2284.3097754737800642,2275.4574029268183040,4716.5930844190597782,334.0460661452554518,8.0611487539953313,1948.9641463388761622,38.2077046231632096,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0038903705846460,0.9988825602329989,1.4097745388796330,16.8811428024595500,15.4713682635799170,0.0404455581306677,0.0416175052845501,0.1560041789221355,0.0000000000000000,0.0000000000000000,0.9998136958757612,1.0012503513312161,-1.7956301728843869,110.4728660515264522,112.2684962244108391,0.0976467978870235,0.0998857860295170,0.1774647790464124,0.0000000000000000,0.0000000000000000
9,2284.2423206544976892,2274.4656491207774707,4716.5427159722876240,333.8766947734368387,8.0636744741988178,1948.9304743856641835,38.2075590786765602,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0042984476540673,0.9982104987237413,1.4814332082219259,16.9253986422177611,15.4439654339958352,0.0404455581306676,0.0416892226506107,0.1565260860006573,0.0000000000000000,0.0000000000000000,0.9998362593767264,1.0012542603536703,-1.7879852213667675,110.4390999187860842,112.2270851401528517,0.0976467978870236,0.0998882741673466,0.1774788596083809,0.0000000000000000,0.0000000000000000
