period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422611377834073,2283.6422545083196383,2792.6844898840327005,893.6590363168752447,1306.5374372697394847,4715.7685332210112392,167.5610686611125857,7.9934797037483776,2116.0811919902375848,192.3738726213556731,0.0000000000000000,21160.8118464401741221,0.0000000000000000,0.0000000000000000,1.0000000029030223,0.9999999850982861,1.0975558620850272,16.6010366240605265,15.5034807619754993,0.0404455581306654,0.0410000014876772,0.1540584467969840,0.2869929057454974,1.5359418849374702,0.0000000000000000,0.0000000000000000,1.0000000053911411,0.9999999871271182,-1.0975545154850721,111.0969847041399277,112.1945392196249998,0.0976467978870193,0.1000000038808714,0.1780867769662349,0.3438753296529262,2.2910392819056775,0.0000000000000000,0.0000000000000000
1,2283.6422608312886950,2283.6422616427144021,2792.6844896385364336,893.6590363295422321,1306.5374372438009232,4715.7685328358929837,167.5610689819074253,7.9934796227530116,2116.0811919089192088,192.3741581427868823,0.0000000000000000,21160.8119104755060107,0.0000000000000000,0.0000000000000000,0.9999999996446789,0.9999999865556751,1.0975555367959693,16.6010365156167410,15.5034809788207717,0.0404455581306653,0.0410000008989254,0.1540584450043812,0.2869929043270903,1.5359418771614644,0.0000000000000000,0.0000000000000000,1.0000000034074834,0.9999999842031608,-1.0975541339868187,111.0969839007321553,112.1945380347189740,0.0976467978870191,0.1000000032474516,0.1780867758523653,0.3438753286887723,2.2910392762370546,0.0000000000000000,0.0000000000000000
2,2283.6422608419047720,2283.6422583163503077,2792.6844891825935520,893.6590366814577919,1306.5374375157000486,4715.7685335079622746,167.5610688879791610,7.9934796368068781,2116.0811917686146444,192.3744722180793474,0.0000000000000000,21160.8118852455954766,0.0000000000000000,0.0000000000000000,1.0000000011059327,0.9999999872869940,1.0975555965983759,16.6010364765706306,15.5034808799722548,0.0404455581306654,0.0410000012098722,0.1540584460123557,0.2869929053129340,1.5359418814804680,0.0000000000000000,0.0000000000000000,1.0000000031545837,0.9999999850712906,-1.0975545946750600,111.0969829505820456,112.1945375452571056,0.0976467978870193,0.1000000032112582,0.1780867758098912,0.3438753287108559,2.2910392760016638,0.0000000000000000,0.0000000000000000
3,2283.6422620431858377,2283.6422582520626747,2792.6844889049284575,893.6590362754590160,1306.5374370766830907,4715.7685337525590512,167.5610690821910680,7.9934797036113192,2116.0811926828228025,192.3748177033611171,0.0000000000000000,21160.8118826095596887,0.0000000000000000,0.0000000000000000,1.0000000016601214,0.9999999818444402,1.0975559977274845,16.6010367786676056,15.5034807809401212,0.0404455581306655,0.0410000012786546,0.1540584463041415,0.2869929055017000,1.5359418827116962,0.0000000000000000,0.0000000000000000,1.0000000055198968,0.9999999896848585,-1.0975555718812444,111.0969847803831669,112.1945403522644114,0.0976467978870192,0.1000000039560944,0.1780867770326351,0.3438753297276308,2.2910392822200492,0.0000000000000000,0.0000000000000000
4,2283.9037156560780204,2284.5338198917197587,2792.6844889309950304,893.6669898596803705,1306.5451892096982647,4716.0444179812202492,167.6721628721226125,7.9855260851959020,2116.2777989542264550,192.3751977302929959,0.0000000000000000,21160.8119112415915879,0.0000000000000000,0.0000000000000000,0.9997241869522109,1.0007606161501001,1.0107330546521904,16.5502407324610736,15.5395076778088832,0.0404455581306653,0.0409007866638329,0.1536773590374274,0.2866699984022285,1.5343518470093467,0.0000000000000000,0.0000000000000000,0.9999178581470172,1.0001735080185998,-1.2364514570535192,111.0513723509172337,112.2878238079707529,0.0976467978870194,0.0999556991993525,0.1780037896788444,0.3438086595404990,2.2906305959476181,0.0000000000000000,0.0000000000000000
5,2283.9186714416009636,2284.5185632434099716,2792.7493337877340309,893.6666976482915743,1306.5550167802309716,4716.0776678566808187,167.6822244546370371,7.9858183355259609,2116.2804786675897049,192.3738285291245234,0.0000000000000000,21160.8118527663718851,0.0000000000000000,0.0000000000000000,0.9997374099683576,1.0007648360714976,1.0113280697485383,16.5502715631176720,15.5389434933691337,0.0404455581306654,0.0409031116694982,0.1536561895858361,0.2866779104443145,1.5342791714310056,0.0000000000000000,0.0000000000000000,0.9999220775642660,1.0001729438230740,-1.2352591646601354,111.0506356447593674,112.2858948094195028,0.0976467978870194,0.0999563435320697,0.1779984521956354,0.3438096463246879,2.2906097117212805,0.0000000000000000,0.0000000000000000
6,2283.9361752896597864,2284.5188989938969826,2792.8225633344700327,893.6665867431302104,1306.5663284442084660,4716.1162284334259311,167.6964207493254264,7.9859292547289780,2116.2825297082395082,192.3722980735492172,0.0000000000000000,21160.8118639547865314,0.0000000000000000,0.0000000000000000,0.9997449249798314,1.0007486011884892,1.0128468329628930,16.5512849513162017,15.5384381183533087,0.0404455581306652,0.0409045289759926,0.1536699918891919,0.2866887895232941,1.5343273794414101,0.0000000000000000,0.0000000000000000,0.9999244361510514,1.0001714885370843,-1.2348453823460375,111.0503267469366619,112.2851721292826994,0.0976467978870194,0.0999565194366845,0.1779976335551111,0.3438093030065972,2.2906061366428774,0.0000000000000000,0.0000000000000000
7,2283.9589595589245619,2284.4391849510907377,2792.9068508765776642,893.6653619645721847,1306.5782786070813017,4716.1612579849734175,167.7092046027632364,7.9871540128136616,2116.2850100940881930,192.3705959583275273,0.0000000000000000,21160.8119190588695346,0.0000000000000000,0.0000000000000000,0.9997897841206150,1.0006234117814368,1.0245237096158206,16.5604727205283488,15.5359490109125282,0.0404455581306653,0.0409262475742599,0.1538282185825392,0.2868055865033222,1.5349055368043545,0.0000000000000000,0.0000000000000000,0.9999184143175086,1.0001897711864580,-1.2469797073515139,111.0417312813244166,112.2887109886759305,0.0976467978870193,0.0999784725909084,0.1779962562927358,0.3438074522303736,2.2905945295182564,0.0000000000000000,0.0000000000000000
8,2283.7781924547539347,2278.6695243557833237,2793.0063833776889624,893.6459410424459975,1306.5748697365943372,4715.9741452290354573,167.2273159496335211,8.0065748858406582,2116.1759608602073968,192.3687011222674812,0.0000000000000000,21160.8119211597440881,0.0000000000000000,0.0000000000000000,1.0022419521762005,0.9988720650396027,1.3283139924835208,16.7918291658855807,15.4635151734020599,0.0404455581306655,0.0414066516763602,0.1555985762364435,0.2883119962851026,1.5423660117974010,0.0000000000000000,0.0000000000000000,0.9999721310947548,1.0005102332718820,-1.3458153650383196,110.8142422830425602,112.1600576480808797,0.0976467978870192,0.0999778239851129,0.1780358920088214,0.3438400932104348,2.2907939518456444,0.0000000000000000,0.0000000000000000
9,2283.7485760879490044,2278.3431113017632015,2793.0282316847342372,893.6452648226450037,1306.5776175007208622,4715.9496438531377862,167.1980721006611645,8.0072511393752404,2116.1538195341981918,192.3676080222759026,0.0000000000000000,21160.8119134712396772,0.0000000000000000,0.0000000000000000,1.0023725420281835,0.9985907412231442,1.3552031287760560,16.8079476367355518,15.4527445079594958,0.0404455581306655,0.0414289995481435,0.1558237470605958,0.2883827091036827,1.5432354824570755,0.0000000000000000,0.0000000000000000,0.9999808922694763,1.0005063096476750,-1.3405772471101187,110.8043505870203944,112.1449278341305131,0.0976467978870193,0.0999792667254454,0.1780430561795883,0.3438433377446832,2.2908269083964465,0.0000000000000000,0.0000000000000000
