period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000013879910767,100.0000013879911052,129.4971603360637289,41.4390913925244249,60.5843191021669725,189.2068173757606360,7.7698298628286198,1.4714429498482833,92.2301715251624472,8.3683316984654503,0.0000000000000000,922.3017145331754136,0.0000000000000000,0.0000000000000000,1.0000000024881188,0.9999999947843160,1.0975556597924054,14.8334534409762977,13.7358977811838923,0.5448322661549126,0.5500000019800017,0.2528828646715642,0.4593803190755184,2.1396732113198724,0.0000000000000000,0.0000000000000000,0.9999999970969778,1.0000000149017141,-1.0975558620850272,15.5034807619754993,16.6010366240605265,0.4329285589113100,0.4299999889042599,0.2217334245338351,0.4127227639886323,1.8779800397418096,0.0000000000000000,0.0000000000000000
1,100.0000015911378739,100.0000015911378455,129.4971605787285114,41.4390914066764040,60.5843191538035057,189.2068176634266194,7.7698299486920037,1.4714429617835587,92.2301716424458675,8.3667122183982645,0.0000000000000000,922.3017174844651436,0.0000000000000000,0.0000000000000000,1.0000000037628045,1.0000000035966818,1.0975552691030153,14.8334535306580122,13.7358982615549969,0.5448322661549114,0.5500000029975893,0.2528828654024272,0.4593803195946662,2.1396732132674869,0.0000000000000000,0.0000000000000000,1.0000000003553211,1.0000000134443250,-1.0975555367959693,15.5034809788207717,16.6010365156167410,0.4329285589113104,0.4299999917985343,0.2217334261264051,0.4127227651253438,1.8779800447783859,0.0000000000000000,0.0000000000000000
2,100.0000014700481472,100.0000014700481472,129.4971608926967974,41.4390914124094110,60.5843192083539108,189.2068176228201821,7.7698298812796436,1.4714429545926677,92.2301715887685134,8.3649315130852795,0.0000000000000000,922.3017164739158034,0.0000000000000000,0.0000000000000000,1.0000000020486510,0.9999999983114676,1.0975554467741127,14.8334534304832655,13.7358979837091528,0.5448322661549111,0.5500000017177302,0.2528828647661754,0.4593803190649826,2.1396732111440735,0.0000000000000000,0.0000000000000000,0.9999999988940674,1.0000000127130062,-1.0975555965983759,15.5034808799722548,16.6010364765706306,0.4329285589113099,0.4299999906900074,0.2217334254465659,0.4127227646645676,1.8779800430127938,0.0000000000000000,0.0000000000000000
3,100.0000014405149074,100.0000014405149074,129.4971611204146313,41.4390914097163829,60.5843192412411469,189.2068176409688363,7.7698298534615660,1.4714429555940263,92.2301715870533343,8.3629736129915297,0.0000000000000000,922.3017164474877063,0.0000000000000000,0.0000000000000000,1.0000000038597754,0.9999999914891234,1.0975559318223915,14.8334536036128597,13.7358976717904682,0.5448322661549110,0.5500000031988914,0.2528828651651006,0.4593803193287112,2.1396732130047043,0.0000000000000000,0.0000000000000000,0.9999999983398786,1.0000000181555602,-1.0975559977274845,15.5034807809401212,16.6010367786676056,0.4329285589113101,0.4299999899287171,0.2217334251418643,0.4127227644520959,1.8779800417528432,0.0000000000000000,0.0000000000000000
4,99.8324039034721125,99.8324039034721125,129.4971613066513214,41.4364211048259108,60.5817165693713591,189.0353877996623169,7.7659355914813650,1.4741131967520635,92.0664683119907465,8.3608209812283878,0.0000000000000000,922.3017177717530330,0.0000000000000000,0.0000000000000000,1.0001937246265860,0.9994077241428189,1.1564780568688917,14.8567557437656053,13.7002776868967135,0.5448322661549114,0.5503329848881189,0.2530959440977547,0.4595360360353562,2.1403333178603932,0.0000000000000000,0.0000000000000000,1.0002758891416141,0.9992399619471176,-1.0107330546521904,15.5395076778088832,16.5502407324610736,0.4329285589113098,0.4304538687930005,0.2220383248763238,0.4129547972831134,1.8789420505225700,0.0000000000000000,0.0000000000000000
5,99.8323717424157735,99.8323717424157451,129.4932670245304394,41.4365336838791194,60.5812190142994424,189.0346230114575974,7.7663956905915761,1.4740005984240945,92.0659760518242081,8.3599362167158233,0.0000000000000000,922.3017150913635760,0.0000000000000000,0.0000000000000000,1.0001847161005151,0.9993997999280538,1.1562250530222862,14.8561511074276567,13.6999260544053705,0.5448322661549118,0.5503242451934641,0.2531043824289090,0.4595311251678001,2.1403522499196828,0.0000000000000000,0.0000000000000000,1.0002626590032784,0.9992357484556512,-1.0113280697485383,15.5389434933691337,16.5502715631176720,0.4329285589113097,0.4304433257307358,0.2220564201017372,0.4129495440458287,1.8789824917941960,0.0000000000000000,0.0000000000000000
6,99.8327961411222020,99.8327961411222304,129.4900665618054347,41.4366780947456448,60.5808606697550047,189.0345197706052431,7.7670768928341758,1.4738561927244453,92.0657192482880191,8.3589676556749080,0.0000000000000000,922.3017154626445517,0.0000000000000000,0.0000000000000000,1.0001795569717182,0.9993833886340312,1.1566232810723918,14.8551677371065107,13.6985444560341190,0.5448322661549123,0.5503210963209315,0.2530584825100598,0.4595122874803084,2.1402734047688186,0.0000000000000000,0.0000000000000000,1.0002551401000348,0.9992519587960452,-1.0128468329628930,15.5384381183533087,16.5512849513162017,0.4329285589113103,0.4304406878387589,0.2220528439163986,0.4129464361098528,1.8789724819500411,0.0000000000000000,0.0000000000000000
7,99.8301546308688614,99.8301546308688614,129.4877393912213108,41.4388836785287538,60.5826474442830474,189.0345091828804414,7.7663929415777657,1.4716506170495327,92.0637616892910842,8.3579048257581761,0.0000000000000000,922.3017178314246394,0.0000000000000000,0.0000000000000000,1.0001286572426891,0.9990725465999418,1.1692855327535447,14.8431799816962364,13.6738944489426917,0.5448322661549128,0.5503782867234650,0.2524203647086459,0.4591827215690954,2.1388739980053493,0.0000000000000000,0.0000000000000000,1.0002102600793925,0.9993769766186792,-1.0245237096158206,15.5359490109125282,16.5604727205283488,0.4329285589113096,0.4305055264736513,0.2220200126614723,0.4129271849972467,1.8788921245623860,0.0000000000000000,0.0000000000000000
8,99.6294366164631242,99.6294366164631526,129.4848678631859684,41.4806851365235048,60.6229342799385051,188.8931111430113106,7.6831074187361779,1.4298491556319115,91.9463291977269535,8.3567537666704492,0.0000000000000000,922.3017180035471938,0.0000000000000000,0.0000000000000000,0.9977352563654742,0.9900234255245262,1.3838253376257139,13.6029484960450020,12.2191231584192881,0.5448322661549116,0.5347648680709941,0.2430073690346454,0.4522014739661817,2.1091835010270219,0.0000000000000000,0.0217700000000000,0.9977630629297322,1.0011292086342936,-1.3283139924835208,15.4635151734020599,16.7918291658855807,0.4329285589113095,0.4304790660191128,0.2220712334954906,0.4129629747547098,1.8790348612960319,0.0000000000000000,0.0000000000000000
9,99.6253867099876373,99.6253867099876373,129.3987876224916249,41.4805569237608580,60.6093725703996853,188.8690924202527412,7.6860090758333968,1.4299773589468128,91.9393776341542406,8.3565534761771687,0.0000000000000000,922.3017177722352926,0.0000000000000000,0.0000000000000000,0.9976140111002363,0.9897254076445220,1.3903342171929260,13.5824395385344996,12.1921053213415735,0.5448322661549115,0.5346868260252335,0.2422017264201146,0.4521664224566726,2.1072287027784986,0.0000000000000000,0.0217700000000000,0.9976330736041683,1.0014112475899082,-1.3552031287760560,15.4527445079594958,16.8079476367355518,0.4329285589113105,0.4303951736486343,0.2220221925602690,0.4129220538847528,1.8788747221849804,0.0000000000000000,0.0000000000000000
