period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000014169064002,100.0000014169064286,258.9943206691734190,41.4390914755725319,76.3314590320619715,189.2068175600189193,15.5396596307347838,1.3480962535544450,84.4603417861716252,1.6492177343698702,0.0000000000000000,4223.0170880656287409,0.0000000000000000,0.0000000000000000,1.0000000009444003,0.9999999942871004,1.0975555784678477,14.8334531921406718,13.7358976136728241,0.5448322661549131,0.5500000010926707,0.2673627384450917,0.4439070701075182,2.2976944641046790,0.0000000000000000,0.0000000000000000,0.9999999962463991,1.0000000147029837,-1.0975559356413420,15.5034806574863069,16.6010365931276489,0.4329285589113117,0.4299999882973066,0.2343967220209812,0.3971325729585986,2.0218599128185151,0.0000000000000000,0.0000000000000000
1,100.0000018390576599,100.0000018390576315,258.9943210597577945,41.4390913439739421,76.3314589088288500,189.2068177927633315,15.5396597981736857,1.3480962596842572,84.4603420408839725,1.6490809672888527,0.0000000000000000,4223.0170998780295122,0.0000000000000000,0.0000000000000000,1.0000000036143650,1.0000000086127379,1.0975549757014615,14.8334534604073625,13.7358984847059009,0.5448322661549134,0.5500000027200782,0.2673627391510419,0.4439070705504271,2.2976944661916208,0.0000000000000000,0.0000000000000000,0.9999999990155010,1.0000000105179769,-1.0975554720909777,15.5034809807437419,16.6010364528347196,0.4329285589113110,0.4299999900436842,0.2343967224089929,0.3971325734519872,2.0218599143796192,0.0000000000000000,0.0000000000000000
2,100.0000016202096162,100.0000016202096162,258.9943215943459904,41.4390913398555298,76.3314589562897794,189.2068176187120230,15.5396596251150090,1.3480962503833180,84.4603419950946090,1.6489414881340261,0.0000000000000000,4223.0170919452129965,0.0000000000000000,0.0000000000000000,1.0000000021898330,0.9999999957620049,1.0975555927691136,14.8334535051236571,13.7358979123545435,0.5448322661549126,0.5500000015214922,0.2673627385725142,0.4439070700426835,2.2976944645545454,0.0000000000000000,0.0000000000000000,0.9999999967641094,1.0000000141249801,-1.0975558644418602,15.5034807558650325,16.6010366203068926,0.4329285589113112,0.4299999880825839,0.2343967214890807,0.3971325725125655,2.0218599112123079,0.0000000000000000,0.0000000000000000
3,100.0000015795550610,100.0000015795550610,258.9943219238002143,41.4390913671004668,76.3314590221127247,189.2068176620145152,15.5396595996862992,1.3480962505255876,84.4603419798687582,1.6487992437186272,0.0000000000000000,4223.0170924025469503,0.0000000000000000,0.0000000000000000,1.0000000006738767,0.9999999962871899,1.0975554644720003,14.8334533355754985,13.7358978711034982,0.5448322661549140,0.5500000004093537,0.2673627380340541,0.4439070696143532,2.2976944625290918,0.0000000000000000,0.0000000000000000,0.9999999970659504,1.0000000116854106,-1.0975556899431034,15.5034808313495311,16.6010365212926345,0.4329285589113117,0.4299999886367430,0.2343967216824191,0.3971325729159988,2.0218599119781544,0.0000000000000000,0.0000000000000000
4,99.7544216841141207,99.7544216841141207,258.9943222080584633,41.4352760761191377,76.3267737607500862,188.9557622055485808,15.5442967292789636,1.3519115298847884,84.2101249548351660,1.6486541797009229,0.0000000000000000,4223.0170932129831272,0.0000000000000000,0.0000000000000000,1.0003002193555985,0.9991606857016339,1.1831905150133650,14.8676794569549138,13.6844889419415487,0.5448322661549139,0.5505001867192001,0.2676466780989236,0.4441368730217182,2.2986108163996231,0.0000000000000000,0.0000000000000000,1.0004352831615497,0.9989074608458947,-0.9691932387249231,15.5576193443823136,16.5268125831072368,0.4329285589113113,0.4306978045006975,0.2348213098944778,0.3974823030017031,2.0232378894243124,0.0000000000000000,0.0000000000000000
5,99.7536942990376190,99.7536942990374484,258.9989594664796755,41.4356794571623581,76.3277246717424873,188.9561461218325462,15.5448268714614599,1.3515081268637095,84.2088674275761377,1.6486037636323405,0.0000000000000000,4223.0170887486874562,0.0000000000000000,0.0000000000000000,1.0002749003258178,0.9991037899228095,1.1843330297825023,14.8664083670051408,13.6820753372226385,0.5448322661549139,0.5504752777124655,0.2676578449707652,0.4441173378535279,2.2986784992014142,0.0000000000000000,0.0000000000000000,1.0004021257441660,0.9988699196705779,-0.9693046788598068,15.5568216117564191,16.5261262906162258,0.4329285589113113,0.4306678770104130,0.2348902858759663,0.3974677395315032,2.0234136274840533,0.0000000000000000,0.0000000000000000
6,99.7544188979384217,99.7544188979383364,259.0038486161404307,41.4362437055064063,76.3288978796232414,188.9582418224677838,15.5463539073891752,1.3509438829894163,84.2080649905492180,1.6485528340066196,0.0000000000000000,4223.0170954027307744,0.0000000000000000,0.0000000000000000,1.0002549519819099,0.9990002367674367,1.1881962702547444,14.8634152516049642,13.6752189813502198,0.5448322661549141,0.5504680418162976,0.2674611487561855,0.4440419660150872,2.2983943293023783,0.0000000000000000,0.0000000000000000,1.0003810828664339,0.9989086134173065,-0.9735809803708104,15.5556245433356342,16.5292055237064446,0.4329285589113109,0.4306621277775945,0.2348863777693087,0.3974566584835952,2.0234022245560914,0.0000000000000000,0.0000000000000000
7,99.7471015102250220,99.7471015102249368,259.0099713653478943,41.4402553364126760,76.3344257940626960,188.9573847821351933,15.5428172505157143,1.3469322560052579,84.2042842597092971,1.6485012027036818,0.0000000000000000,4223.0171036726287639,0.0000000000000000,0.0000000000000000,1.0001463430881985,0.9983498625596027,1.2149646671169414,14.8421677741933298,13.6272031070763884,0.5448322661549148,0.5506489000007538,0.2662204943010467,0.4433952003345075,2.2958544667363148,0.0000000000000000,0.0000000000000000,1.0002884481335039,0.9991268289178795,-0.9951479095025206,15.5505291472556237,16.5456770567581444,0.4329285589113113,0.4308569896312617,0.2348262174135647,0.3974199276328356,2.0232585901527074,0.0000000000000000,0.0000000000000000
8,99.4987786904890328,99.4987786904890044,259.0121903022609331,41.4757935859404228,76.3782794822124202,188.7603127667190392,15.3904528620962378,1.3113940364929688,84.1083258283927790,1.6484500199865590,0.0000000000000000,4223.0171060108723395,0.0000000000000000,0.0000000000000000,0.9979814429750516,0.9899273703226289,1.4163998421207395,13.6488391489079213,12.2324393067871817,0.5448322661549142,0.5351678249296724,0.2583561719799353,0.4369396906132097,2.2695707398420382,0.0000000000000000,0.0217700000000000,0.9980655407812535,1.0003283259139557,-1.2394169615436059,15.4957117210657938,16.7351286826093997,0.4329285589113117,0.4308740082369787,0.2349932568017599,0.3975545757076392,2.0237608351998282,0.0000000000000000,0.0000000000000000
9,99.4859776263038782,99.4859776263038782,258.8617658620631232,41.4749123402291318,76.3624090723194371,188.7289643184541035,15.3868936770963529,1.3122752728111489,84.0990839492075111,1.6484353698418510,0.0000000000000000,4223.0170993024639756,0.0000000000000000,0.0000000000000000,0.9977851034909687,0.9891564829018614,1.4402376298356767,13.6111613473390225,12.1709237175033458,0.5448322661549145,0.5350386114484632,0.2566856095116679,0.4368879008722908,2.2651547555405629,0.0000000000000000,0.0217700000000000,0.9978618673861205,1.0007375309576294,-1.2800563390090502,15.4816931113658747,16.7617494503749249,0.4329285589113115,0.4307418352934385,0.2349606112160391,0.3974975268580961,2.0236218169476370,0.0000000000000000,0.0000000000000000
