period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058138485495192,582.3058148504642304,1455.5209356801562990,232.8833504983839191,428.9747988876846421,1164.9039162249662240,87.3312588467479145,6.8298250896388488,494.9745551520635445,9.7053834636330709,0.0000000000000000,24748.7277851208818902,0.0000000000000000,0.0000000000000000,0.9999999982794012,1.0000000035624674,-1.0975555048368459,13.7358976553467862,14.8334531601836321,0.0574419850770527,0.0571999996905401,0.1437085974349882,0.2542384666912749,0.8637359597810517,0.0000000000000000,0.0000000000000000,0.9999999959006189,1.0000000168303433,1.0975531664101226,112.1945373138110114,111.0969841474008888,0.3677395352554912,0.3699999893428197,0.2194556352890877,0.4159280740772319,2.1673034610019819,0.0000000000000000,0.0000000000000000
1,582.3058141837930179,582.3058143672687947,1455.5209382358325456,232.8833501460825914,428.9747987061267054,1164.9039161598686860,87.3312585608635032,6.8298250786386481,494.9745556504462911,9.7053834642186469,0.0000000000000000,24748.7277533202468476,0.0000000000000000,0.0000000000000000,0.9999999996849152,1.0000000049432685,-1.0975555355255171,13.7358979526485747,14.8334534881740918,0.0574419850770527,0.0571999998832284,0.1437085978856097,0.2542384670868760,0.8637359610482565,0.0000000000000000,0.0000000000000000,0.9999999958458033,1.0000000159773959,1.0975535294192298,112.1945376833448478,111.0969841539256180,0.3677395352554915,0.3699999888957493,0.2194556347952867,0.4159280737077851,2.1673034594875848,0.0000000000000000,0.0000000000000000
2,582.3058143416408257,582.3058152082619472,1455.5209404750291924,232.8833496732157187,428.9747983454217888,1164.9039156170806564,87.3312582859285698,6.8298250483082388,494.9745561856836957,9.7053834646204926,0.0000000000000000,24748.7277711823226127,0.0000000000000000,0.0000000000000000,0.9999999985117423,1.0000000046249329,-1.0975555771666485,13.7358978728122008,14.8334534499788493,0.0574419850770526,0.0571999994754852,0.1437085968692762,0.2542384661659460,0.8637359582789591,0.0000000000000000,0.0000000000000000,0.9999999951716823,1.0000000141388758,1.0975540445102325,112.1945385660415013,111.0969845215312688,0.3677395352554915,0.3699999879083675,0.2194556343179077,0.4159280733931280,2.1673034575239400,0.0000000000000000,0.0000000000000000
3,582.3058145952270479,582.3058163297023384,1455.5209422024845480,232.8833501309522660,428.9747990772336834,1164.9039170592625396,87.3312588691355387,6.8298250923521913,494.9745559862192295,9.7053834648204766,0.0000000000000000,24748.7278460046218242,0.0000000000000000,0.0000000000000000,0.9999999970213671,0.9999999961516399,-1.0975552030059514,13.7358982282149373,14.8334534312208888,0.0574419850770526,0.0571999991639260,0.1437085960357640,0.2542384654888031,0.8637359559624498,0.0000000000000000,0.0000000000000000,0.9999999970462781,1.0000000174386883,1.0975534459490035,112.1945383624608894,111.0969849165118859,0.3677395352554919,0.3699999898964321,0.2194556355252524,0.4159280743553159,2.1673034619929905,0.0000000000000000,0.0000000000000000
4,582.3058141069585645,582.3058150143649527,1455.5209442793432117,232.8833500510589829,428.9747991831563354,1164.9039166847883280,87.3312583177212076,6.8298250749619616,494.9745559253254896,9.7053834651026811,0.0000000000000000,24748.7277949628623901,0.0000000000000000,0.0000000000000000,0.9999999984417014,1.0000000048423430,-1.0975555822863825,13.7358977341921591,14.8334533164785416,0.0574419850770527,0.0571999995774597,0.1437085969731692,0.2542384661803305,0.8637359583236426,0.0000000000000000,0.0000000000000000,0.9999999959198370,1.0000000140969638,1.0975543803079404,112.1945383814956898,111.0969840011877494,0.3677395352554914,0.3699999888830914,0.2194556349951061,0.4159280738707871,2.1673034599605625,0.0000000000000000,0.0000000000000000
5,582.3058141636450955,582.3058152763695716,1455.5209458042156712,232.8833501462423214,428.9747994498471826,1164.9039171405070192,87.3312583921874079,6.8298250844472062,494.9745559383385398,9.7053834654144104,0.0000000000000000,24748.7278154787782114,0.0000000000000000,0.0000000000000000,0.9999999980891061,1.0000000001221974,-1.0975553500264130,13.7358980013874454,14.8334533514138585,0.0574419850770527,0.0571999994824796,0.1437085968431450,0.2542384662005848,0.8637359581849613,0.0000000000000000,0.0000000000000000,0.9999999963942877,1.0000000148797406,1.0975542477968077,112.1945382312039641,111.0969839834071564,0.3677395352554917,0.3699999893422560,0.2194556351319387,0.4159280740087960,2.1673034607845634,0.0000000000000000,0.0000000000000000
6,582.3058140948120354,582.3058152171875008,1455.5209472812691729,232.8833503788371218,428.9747998805830207,1164.9039177615179597,87.3312584933420624,6.8298251054878936,494.9745557697980303,9.7053834657272713,0.0000000000000000,24748.7278303742168646,0.0000000000000000,0.0000000000000000,0.9999999980725327,1.0000000047628586,-1.0975556082791496,13.7358977816608014,14.8334533899399510,0.0574419850770526,0.0571999995301127,0.1437085969112358,0.2542384662760527,0.8637359584051628,0.0000000000000000,0.0000000000000000,0.9999999969597619,1.0000000147567882,1.0975545546130263,112.1945382803818916,111.0969837257688653,0.3677395352554915,0.3699999899735419,0.2194556357248688,0.4159280744532288,2.1673034626578294,0.0000000000000000,0.0000000000000000
7,582.3058142483150732,582.3058159397305644,1455.5209487694069139,232.8833500356068384,428.9747996052885242,1164.9039173977987502,87.3312583559247599,6.8298250740072373,494.9745561460601948,9.7053834661124849,0.0000000000000000,24748.7278485844690294,0.0000000000000000,0.0000000000000000,0.9999999970953142,0.9999999984413535,-1.0975553217240446,13.7358981304515808,14.8334534521756254,0.0574419850770526,0.0571999992008808,0.1437085960858741,0.2542384655415947,0.8637359561363332,0.0000000000000000,0.0000000000000000,0.9999999965715642,1.0000000144563559,1.0975545178777395,112.1945384809485375,111.0969839630707980,0.3677395352554916,0.3699999894147155,0.2194556352573952,0.4159280738696255,2.1673034606899639,0.0000000000000000,0.0000000000000000
8,582.3058143469312427,582.3058160072901046,1455.5209499454972502,232.8833499413596257,428.9747996050920733,1164.9039174528747935,87.3312582845120460,6.8298250792104414,494.9745563114314564,9.7053834663578460,0.0000000000000000,24748.7278501132022939,0.0000000000000000,0.0000000000000000,0.9999999971486480,0.9999999995921875,-1.0975553833135354,13.7358980737868173,14.8334534571003527,0.0574419850770526,0.0571999991791989,0.1437085959771229,0.2542384655053077,0.8637359558522112,0.0000000000000000,0.0000000000000000,0.9999999966101399,1.0000000140199896,1.0975547316741654,112.1945388130279042,111.0969840813537388,0.3677395352554913,0.3699999893441248,0.2194556352916188,0.4159280741110076,2.1673034610246655,0.0000000000000000,0.0000000000000000
9,582.3058142341205894,582.3058158059815241,1455.5209509842670741,232.8833501117322839,428.9747999163610643,1164.9039178310624720,87.3312582852282446,6.8298250864028462,494.9745561846320925,9.7053834665432657,0.0000000000000000,24748.7278537113816128,0.0000000000000000,0.0000000000000000,0.9999999973006264,1.0000000001385327,-1.0975554009378516,13.7358980393367798,14.8334534402746314,0.0574419850770527,0.0571999992840816,0.1437085962743496,0.2542384657685494,0.8637359566490741,0.0000000000000000,0.0000000000000000,0.9999999968080504,1.0000000139372980,1.0975548481913222,112.1945386283902053,111.0969837801988831,0.3677395352554914,0.3699999896732796,0.2194556355077494,0.4159280740784031,2.1673034614347899,0.0000000000000000,0.0000000000000000
10,582.3058144577462372,582.3058152306030024,1455.5209519746995284,232.8833502353192557,428.9748001654280642,1164.9039184584707982,87.3312583904584585,6.8298251177277827,494.9745561831969098,9.7053834667821182,0.0000000000000000,24748.7278392118096235,0.0000000000000000,0.0000000000000000,0.9999999986727648,1.0000000013589876,-1.0975553829145301,13.7358979755288058,14.8334533584433359,0.0574419850770527,0.0571999996265520,0.1437085971370811,0.2542384665129489,0.8637359590255097,0.0000000000000000,0.0000000000000000,0.9999999976649475,1.0000000151603936,1.0975547079233365,112.1945387890440458,111.0969840811207092,0.3677395352554916,0.3699999903586226,0.2194556358552634,0.4159280746070579,2.1673034635916162,0.0000000000000000,0.0000000000000000
11,582.3058142680848732,582.3058154806554967,1455.5209531307668840,232.8833502228251859,428.9748002636583237,1164.9039183946849789,87.3312582897827383,6.8298251065066751,494.9745561601572490,9.7053834670263104,0.0000000000000000,24748.7278532121999888,0.0000000000000000,0.0000000000000000,0.9999999979176395,1.0000000051659308,-1.0975556418849752,13.7358977982661887,14.8334534401511640,0.0574419850770527,0.0571999994600854,0.1437085968103527,0.2542384661546001,0.8637359580897753,0.0000000000000000,0.0000000000000000,0.9999999972783888,1.0000000135985163,1.0975552082903732,112.1945388704269675,111.0969836621365943,0.3677395352554914,0.3699999901072858,0.2194556358540066,0.4159280745077880,2.1673034630939014,0.0000000000000000,0.0000000000000000
