period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422624351093873,2283.6422611937127840,4715.7685345569325364,335.1221387788754669,8.0488184257141899,1948.5201234740602558,38.2062769360941985,0.0000000000000000,97426.0061129343812354,0.0000000000000000,0.0000000000000000,1.0000000005436041,0.9999999890805815,1.0975553866007655,16.6010363405659334,15.5034809539651679,0.0404455581306676,0.0410000009086050,0.1537172114033412,0.0000000000000000,0.0000000000000000,1.0000000036554975,0.9999999862663096,-1.0975553866008880,111.0969832989908070,112.1945386855916951,0.0976467978870235,0.1000000029138072,0.1777091626672510,0.0000000000000000,0.0000000000000000
1,2283.6422627473657485,2283.6422631795094276,4715.7685338122855683,335.1221387781999397,8.0488183443626333,1948.5201240325823164,38.2062769361988046,0.0000000000000000,97426.0061694861069554,0.0000000000000000,0.0000000000000000,0.9999999998107656,0.9999999896803358,1.0975553071720920,16.6010363022288665,15.5034809950567745,0.0404455581306676,0.0410000007989259,0.1537172110852153,0.0000000000000000,0.0000000000000000,1.0000000013491188,0.9999999835384921,-1.0975553071724278,111.0969832279972564,112.1945385351696842,0.0976467978870234,0.1000000020392963,0.1777091612771413,0.0000000000000000,0.0000000000000000
2,2283.6422625118434553,2283.6422605439424842,4715.7685346425696480,335.1221386797365653,8.0488184267293175,1948.5201235433191869,38.2062769360864678,0.0000000000000000,97426.0060843333776575,0.0000000000000000,0.0000000000000000,1.0000000008617376,0.9999999913180857,1.0975552922435803,16.6010364019128289,15.5034811096692486,0.0404455581306676,0.0410000010194617,0.1537172118349487,0.0000000000000000,0.0000000000000000,1.0000000033545107,0.9999999858651010,-1.0975552922437402,111.0969832111825610,112.1945385034263012,0.0976467978870235,0.1000000028459287,0.1777091625562634,0.0000000000000000,0.0000000000000000
3,2283.6422624285710299,2283.6422625049935959,4715.7685345092013449,335.1221388845084448,8.0488183872760324,1948.5201235552772232,38.2062769361637535,0.0000000000000000,97426.0061667103000218,0.0000000000000000,0.0000000000000000,0.9999999999665348,0.9999999867918750,1.0975555166293027,16.6010365175127887,15.5034810008834860,0.0404455581306676,0.0410000008549579,0.1537172113076092,0.0000000000000000,0.0000000000000000,1.0000000023124045,0.9999999852966505,-1.0975555166294697,111.0969826311732760,112.1945381478027457,0.0976467978870234,0.1000000025003898,0.1777091620415687,0.0000000000000000,0.0000000000000000
4,2283.6422623764210584,2283.6422621419824281,4715.7685346259577273,335.1221388517557216,8.0488183833287454,1948.5201234902615397,38.2062769362379058,0.0000000000000000,97426.0061553041014122,0.0000000000000000,0.0000000000000000,1.0000000001026601,0.9999999902784824,1.0975553063313459,16.6010363775442791,15.5034810712129332,0.0404455581306677,0.0410000009044100,0.1537172114673233,0.0000000000000000,0.0000000000000000,1.0000000022587683,0.9999999848295390,-1.0975553063314862,111.0969825810299056,112.1945378873613919,0.0976467978870235,0.1000000025153468,0.1777091619881251,0.0000000000000000,0.0000000000000000
5,2283.6422623335615754,2283.6422604451117877,4715.7685347840633767,335.1221386514976075,8.0488183985003445,1948.5201234049359300,38.2062769363390231,0.0000000000000000,97426.0060885637067258,0.0000000000000000,0.0000000000000000,1.0000000008269465,0.9999999889381538,1.0975554455996157,16.6010363999090700,15.5034809543094543,0.0404455581306676,0.0410000010487919,0.1537172119821930,0.0000000000000000,0.0000000000000000,1.0000000024980200,0.9999999854701341,-1.0975554455998378,111.0969825032061209,112.1945379488059586,0.0976467978870234,0.1000000026139528,0.1777091620368613,0.0000000000000000,0.0000000000000000
6,2283.6422622578634218,2283.6422623225062125,4715.7685347310798534,335.1221388785674549,8.0488183785613003,1948.5201233887823946,38.2062769364756321,0.0000000000000000,97426.0061690834263572,0.0000000000000000,0.0000000000000000,0.9999999999716931,0.9999999904251352,1.0975552819898713,16.6010363255135474,15.5034810435236761,0.0404455581306677,0.0410000008865624,0.1537172114920638,0.0000000000000000,0.0000000000000000,1.0000000017793977,0.9999999843503119,-1.0975552819900827,111.0969822227809658,112.1945375047710485,0.0976467978870235,0.1000000023965883,0.1777091617997321,0.0000000000000000,0.0000000000000000
7,2283.6422624436208935,2283.6422579856184711,4715.7685347023889335,335.1221382633968346,8.0488184113076535,1948.5201235260165049,38.2062769366213075,0.0000000000000000,97426.0059802135510836,0.0000000000000000,0.0000000000000000,1.0000000019521458,0.9999999906168124,1.0975554271406089,16.6010365127841517,15.5034810856435428,0.0404455581306676,0.0410000012519152,0.1537172127303093,0.0000000000000000,0.0000000000000000,1.0000000023874582,0.9999999853973085,-1.0975554271408754,111.0969825690820443,112.1945379962229197,0.0976467978870234,0.1000000025768433,0.1777091621504917,0.0000000000000000,0.0000000000000000
8,2283.6422625041582251,2283.6422624876554437,4715.7685346000316713,335.1221388678473545,8.0488183883447011,1948.5201236338893978,38.2062769367160797,0.0000000000000000,97426.0061675587785430,0.0000000000000000,0.0000000000000000,1.0000000000072264,0.9999999870320603,1.0975555237915362,16.6010365362901808,15.5034810124986446,0.0404455581306676,0.0410000009121242,0.1537172115971472,0.0000000000000000,0.0000000000000000,1.0000000020462492,0.9999999852873116,-1.0975555237915700,111.0969826664239406,112.1945381902155106,0.0976467978870234,0.1000000024910173,0.1777091619839199,0.0000000000000000,0.0000000000000000
9,2283.6422624721612920,2283.6422617443849958,4715.7685347041733621,335.1221387763601456,8.0488183836046812,1948.5201235890003773,38.2062769367704433,0.0000000000000000,97426.0061388157628244,0.0000000000000000,0.0000000000000000,1.0000000003186911,0.9999999883741091,1.0975554636688365,16.6010365715531201,15.5034811078842836,0.0404455581306676,0.0410000009734492,0.1537172117319702,0.0000000000000000,0.0000000000000000,1.0000000019410453,0.9999999851075903,-1.0975554636692664,111.0969824460625262,112.1945379097317925,0.0976467978870234,0.1000000024812474,0.1777091618915350,0.0000000000000000,0.0000000000000000
