period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422493444629254,2283.6420974814609508,4715.7685206941387150,335.1221127153553994,8.0488188156797609,1948.5201143433691868,38.2062767187167083,0.0000000000000000,97425.9993248691316694,0.0000000000000000,0.0000000000000000,1.0000000665003415,0.9999999090877465,1.0975555994182020,16.6010360761802325,15.5034804767620304,0.0404455581306676,0.0410000024939343,0.1537172180056987,0.0000000000000000,0.0000000000000000,1.0000000776114775,0.9999998920890502,-1.0975544555013670,111.0969814178603201,112.1945358733616871,0.0976467978870235,0.1000000063529505,0.1777091697256613,0.0000000000000000,0.0000000000000000
1,2283.6422492323381448,2283.6421009132004656,4715.7685200410005564,335.1221133465577964,8.0488188060066186,1948.5201141201005157,38.2062767180544256,0.0000000000000000,97425.9994546227826504,0.0000000000000000,0.0000000000000000,1.0000000649485159,0.9999999107680440,1.0975555876178476,16.6010360865500779,15.5034804989322303,0.0404455581306676,0.0410000024498387,0.1537172179359932,0.0000000000000000,0.0000000000000000,1.0000000758114618,0.9999998942863784,-1.0975545572620007,111.0969814770436983,112.1945360343056990,0.0976467978870234,0.1000000062802346,0.1777091696910409,0.0000000000000000,0.0000000000000000
2,2283.6422491208563770,2283.6421041268326917,4715.7685194591422260,335.1221139392301325,8.0488188012385233,1948.5201139039031659,38.2062767174664515,0.0000000000000000,97425.9995772943220800,0.0000000000000000,0.0000000000000000,1.0000000634924584,0.9999999124974775,1.0975555770308212,16.6010360968537505,15.5034805198229293,0.0404455581306677,0.0410000024510560,0.1537172179259798,0.0000000000000000,0.0000000000000000,1.0000000741644235,0.9999998963527654,-1.0975546505999461,111.0969815354032875,112.1945361860032335,0.0976467978870233,0.1000000062319871,0.1777091695957868,0.0000000000000000,0.0000000000000000
3,2283.6422490327445303,2283.6421069693851678,4715.7685189149879079,335.1221144569386183,8.0488187878562769,1948.5201137281551382,38.2062767169515070,0.0000000000000000,97425.9996844494307879,0.0000000000000000,0.0000000000000000,1.0000000622091183,0.9999999141094941,1.0975555670982899,16.6010361052616098,15.5034805381633198,0.0404455581306676,0.0410000024308740,0.1537172178503572,0.0000000000000000,0.0000000000000000,1.0000000725956117,0.9999998981445916,-1.0975547354463515,111.0969815834727683,112.1945363189191198,0.0976467978870234,0.1000000061885336,0.1777091693684197,0.0000000000000000,0.0000000000000000
4,2283.6422489333162957,2283.6421097085371912,4715.7685184310721525,335.1221149609910412,8.0488187915824625,1948.5201135412335134,38.2062767164951822,0.0000000000000000,97425.9997898837755201,0.0000000000000000,0.0000000000000000,1.0000000609661346,0.9999999155769361,1.0975555581678158,16.6010361142135139,15.5034805560456981,0.0404455581306676,0.0410000024234275,0.1537172178076461,0.0000000000000000,0.0000000000000000,1.0000000711989510,0.9999998998941173,-1.0975548145744085,111.0969816341531384,112.1945364487275469,0.0976467978870234,0.1000000061415118,0.1777091693992642,0.0000000000000000,0.0000000000000000
5,2283.6422488704738498,2283.6421121426105856,4715.7685179973250342,335.1221154109520626,8.0488187863427072,1948.5201133948494316,38.2062767161030337,0.0000000000000000,97425.9998825167131145,0.0000000000000000,0.0000000000000000,1.0000000598727203,0.9999999169621101,1.0975555497751746,16.6010361215541771,15.5034805717790025,0.0404455581306676,0.0410000023974098,0.1537172177038685,0.0000000000000000,0.0000000000000000,1.0000000699129463,0.9999999015419412,-1.0975548872320928,111.0969816755992099,112.1945365628313027,0.0976467978870233,0.1000000060985148,0.1777091693189503,0.0000000000000000,0.0000000000000000
6,2283.6422488173338934,2283.6421144981059115,4715.7685175943215654,335.1221158365441397,8.0488187808469309,1948.5201132695819979,38.2062767157604455,0.0000000000000000,97425.9999724869994679,0.0000000000000000,0.0000000000000000,1.0000000588179863,0.9999999180476846,1.0975555418218050,16.6010361287902839,15.5034805869684789,0.0404455581306676,0.0410000023724599,0.1537172175971940,0.0000000000000000,0.0000000000000000,1.0000000687215327,0.9999999030119429,-1.0975549547350880,111.0969817184316071,112.1945366731666951,0.0976467978870235,0.1000000060499201,0.1777091692235061,0.0000000000000000,0.0000000000000000
7,2283.6422487763975369,2283.6421167873609193,4715.7685172313676958,335.1221162420430915,8.0488187690242015,1948.5201131651001560,38.2062767154601275,0.0000000000000000,97426.0000602108630119,0.0000000000000000,0.0000000000000000,1.0000000577976136,0.9999999190577145,1.0975555346806090,16.6010361364370880,15.5034806017564790,0.0404455581306676,0.0410000023393918,0.1537172174662984,0.0000000000000000,0.0000000000000000,1.0000000676098995,0.9999999043125880,-1.0975550159824081,111.0969817643914865,112.1945367803738947,0.0976467978870234,0.1000000060213422,0.1777091689117080,0.0000000000000000,0.0000000000000000
8,2283.6422487176409959,2283.6421186772254259,4715.7685169064034199,335.1221165898048753,8.0488187728959222,1948.5201130445398121,38.2062767151947824,0.0000000000000000,97426.0001330812374363,0.0000000000000000,0.0000000000000000,1.0000000569443073,0.9999999202805636,1.0975555279329328,16.6010361420221919,15.5034806140892591,0.0404455581306677,0.0410000023324180,0.1537172174297721,0.0000000000000000,0.0000000000000000,1.0000000665877171,0.9999999055209295,-1.0975550726415122,111.0969817970390636,112.1945368696805758,0.0976467978870234,0.1000000059811724,0.1777091690591650,0.0000000000000000,0.0000000000000000
9,2283.6422486896749433,2283.6421204860203034,4715.7685166189667143,335.1221169160005502,8.0488187617021225,1948.5201129599204251,38.2062767149714020,0.0000000000000000,97426.0002022266562562,0.0000000000000000,0.0000000000000000,1.0000000561399727,0.9999999213619002,1.0975555217667967,16.6010361475271608,15.5034806257603641,0.0404455581306676,0.0410000023320860,0.1537172174226472,0.0000000000000000,0.0000000000000000,1.0000000656425065,0.9999999066239268,-1.0975551245999924,111.0969818296379970,112.1945369542379893,0.0976467978870233,0.1000000059551035,0.1777091688828048,0.0000000000000000,0.0000000000000000
