period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000012801751126,100.0000012801751410,189.2068171012196558,15.5396595175479462,1.4815692451073854,84.4603417626271806,1.6560851402779981,0.0000000000000000,4223.0170638243625945,0.0000000000000000,0.0000000000000000,1.0000000031118934,1.0000000005710192,1.0975553866007477,14.8334536373542356,13.7358982507534879,0.5448322661549319,0.5500000016034714,0.2523659246863370,0.0000000000000000,0.0000000000000000,0.9999999994563961,1.0000000109194187,-1.0975553866007655,15.5034809539651679,16.6010363405659334,0.4329285589113303,0.4299999910799576,0.2212575915117531,0.0000000000000000,0.0000000000000000
1,100.0000011604613519,100.0000011604613519,189.2068172801164962,15.5396595278627707,1.4815692500772588,84.4603416325985847,1.6560851404315473,0.0000000000000000,4223.0170671975247387,0.0000000000000000,0.0000000000000000,1.0000000015383532,0.9999999996303930,1.0975553071721222,14.8334532853295933,13.7358979781574710,0.5448322661549323,0.5500000009183144,0.2523659244269842,0.0000000000000000,0.0000000000000000,1.0000000001892344,1.0000000103196645,-1.0975553071720920,15.5034809950567745,16.6010363022288665,0.4329285589113300,0.4299999927003239,0.2212575926227734,0.0000000000000000,0.0000000000000000
2,100.0000012130947340,100.0000012130947056,189.2068172960467507,15.5396595188668432,1.4815692473619193,84.4603416942278926,1.6560851406391590,0.0000000000000000,4223.0170692630954363,0.0000000000000000,0.0000000000000000,1.0000000024927731,1.0000000008801069,1.0975552922435945,14.8334532179427203,13.7358979256991258,0.5448322661549336,0.5500000016802324,0.2523659248494145,0.0000000000000000,0.0000000000000000,0.9999999991382624,1.0000000086819145,-1.0975552922435803,15.5034811096692486,16.6010364019128289,0.4329285589113303,0.4299999913299701,0.2212575918930683,0.0000000000000000,0.0000000000000000
3,100.0000012768350643,100.0000012768350643,189.2068173571923637,15.5396595297967259,1.4815692488108838,84.4603417470383420,1.6560851408267547,0.0000000000000000,4223.0170723667879429,0.0000000000000000,0.0000000000000000,1.0000000023458697,0.9999999970265543,1.0975555166293365,14.8334534261918609,13.7358979095625244,0.5448322661549332,0.5500000014203665,0.2523659246110169,0.0000000000000000,0.0000000000000000,1.0000000000334652,1.0000000132081253,-1.0975555166293027,15.5034810008834860,16.6010365175127887,0.4329285589113300,0.4299999920465080,0.2212575922614315,0.0000000000000000,0.0000000000000000
4,100.0000013015751534,100.0000013015751819,189.2068174182845439,15.5396595307891960,1.4815692477287681,84.4603417707859734,1.6560851409973927,0.0000000000000000,4223.0170747526108244,0.0000000000000000,0.0000000000000000,1.0000000021561082,1.0000000004828282,1.0975553063313335,14.8334533319240585,13.7358980255927250,0.5448322661549323,0.5500000012954899,0.2523659245939742,0.0000000000000000,0.0000000000000000,0.9999999998973399,1.0000000097215178,-1.0975553063313459,15.5034810712129332,16.6010363775442791,0.4329285589113303,0.4299999919222361,0.2212575919848900,0.0000000000000000,0.0000000000000000
5,100.0000013583743197,100.0000013583743197,189.2068174066367021,15.5396595123541363,1.4815692412553112,84.4603418460201709,1.6560851411621302,0.0000000000000000,4223.0170758027652482,0.0000000000000000,0.0000000000000000,1.0000000016710735,0.9999999975639517,1.0975554455996015,14.8334534573470300,13.7358980117474285,0.5448322661549317,0.5500000006364505,0.2523659238975966,0.0000000000000000,0.0000000000000000,0.9999999991730535,1.0000000110618463,-1.0975554455996157,15.5034809543094543,16.6010363999090700,0.4329285589113300,0.4299999909721217,0.2212575914026244,0.0000000000000000,0.0000000000000000
6,100.0000014897986631,100.0000014897986631,189.2068174023069105,15.5396595174032495,1.4815692405227623,84.4603419723954261,1.6560851413006590,0.0000000000000000,4223.0170780854377881,0.0000000000000000,0.0000000000000000,1.0000000018077047,1.0000000010592058,1.0975552819899068,14.8334536110034545,13.7358983290135477,0.5448322661549314,0.5500000002456809,0.2523659236906602,0.0000000000000000,0.0000000000000000,1.0000000000283069,1.0000000095748649,-1.0975552819898713,15.5034810435236761,16.6010363255135474,0.4329285589113304,0.4299999912705563,0.2212575914060109,0.0000000000000000,0.0000000000000000
7,100.0000015835456821,100.0000015835456821,189.2068172929867274,15.5396594681964348,1.4815692290402778,84.4603421153492349,1.6560851413923998,0.0000000000000000,4223.0170769224414471,0.0000000000000000,0.0000000000000000,1.0000000004353125,0.9999999967605140,1.0975554271406089,14.8334535698493966,13.7358981427087876,0.5448322661549320,0.5499999984166069,0.2523659227981893,0.0000000000000000,0.0000000000000000,0.9999999980478542,1.0000000093831876,-1.0975554271406089,15.5034810856435428,16.6010365127841517,0.4329285589113308,0.4299999887964705,0.2212575901670395,0.0000000000000000,0.0000000000000000
8,100.0000014605859491,100.0000014605859491,189.2068175763780289,15.5396595328032827,1.4815692455707028,84.4603419277826646,1.6560851414299147,0.0000000000000000,4223.0170825694431187,0.0000000000000000,0.0000000000000000,1.0000000020390227,0.9999999966398272,1.0975555237915682,14.8334535032782835,13.7358979794867153,0.5448322661549316,0.5500000009356252,0.2523659242199368,0.0000000000000000,0.0000000000000000,0.9999999999927736,1.0000000129679398,-1.0975555237915362,15.5034810124986446,16.6010365362901808,0.4329285589113299,0.4299999915875649,0.2212575916191317,0.0000000000000000,0.0000000000000000
9,100.0000015149443016,100.0000015149443016,189.2068175394006175,15.5396595130906459,1.4815692408523322,84.4603420018536610,1.6560851415417353,0.0000000000000000,4223.0170831659934265,0.0000000000000000,0.0000000000000000,1.0000000016223543,0.9999999972995397,1.0975554636688969,14.8334534668969873,13.7358980032280904,0.5448322661549315,0.5500000002710019,0.2523659239154183,0.0000000000000000,0.0000000000000000,0.9999999996813089,1.0000000116258911,-1.0975554636688365,15.5034811078842836,16.6010365715531201,0.4329285589113301,0.4299999909736179,0.2212575914425927,0.0000000000000000,0.0000000000000000
