period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000017109392729,100.0000017109392729,258.9943206637630624,41.4390913436313042,76.3314588695052265,189.2068176075752319,15.5396596773761022,1.4815692367578019,84.4603420335631654,1.6560851407624668,0.0000000000000000,4223.0170914826439912,0.0000000000000000,0.0000000000000000,1.0000000018570987,1.0000000002777518,1.0975552999015541,14.8334533982055135,13.7358980983039594,0.5448322661549319,0.5500000007904196,0.2523659241585089,0.4586608248367861,2.1345288669777895,0.0000000000000000,0.0000000000000000,0.9999999979861434,1.0000000133696547,-1.0975557222689520,15.5034808829603978,16.6010366052293499,0.4329285589113303,0.4299999892536224,0.2212575903290088,0.4120202504716865,1.8731590041926383,0.0000000000000000,0.0000000000000000
1,100.0000017043363698,100.0000017043363414,258.9943211013133464,41.4390913423792853,76.3314589109530459,189.2068176490298299,15.5396596676676886,1.4815692369965778,84.4603420366686919,1.6560851408194561,0.0000000000000000,4223.0170932754635942,0.0000000000000000,0.0000000000000000,1.0000000018469752,1.0000000002572826,1.0975553011864605,14.8334534054757849,13.7358981042893245,0.5448322661549314,0.5500000007735100,0.2523659240954295,0.4586608247414760,2.1345288667728584,0.0000000000000000,0.0000000000000000,0.9999999982566707,1.0000000128299886,-1.0975556692563533,15.5034809077313103,16.6010365769876636,0.4329285589113307,0.4299999894999553,0.2212575903082920,0.4120202504824674,1.8731590043860402,0.0000000000000000,0.0000000000000000
2,100.0000017018442975,100.0000017018442975,258.9943215029022099,41.4390913371971052,76.3314589440416995,189.2068176834475253,15.5396596564774665,1.4815692373369009,84.4603420453668434,1.6560851408763673,0.0000000000000000,4223.0170947816695843,0.0000000000000000,0.0000000000000000,1.0000000018355277,1.0000000001611462,1.0975553067530743,14.8334534132664153,13.7358981065133410,0.5448322661549327,0.5500000007367398,0.2523659241960284,0.4586608246971521,2.1345288666283051,0.0000000000000000,0.0000000000000000,0.9999999984624509,1.0000000123595130,-1.0975556256300418,15.5034809349212299,16.6010365605512717,0.4329285589113302,0.4299999896624637,0.2212575904363860,0.4120202505407903,1.8731590046821007,0.0000000000000000,0.0000000000000000
3,100.0000016900352477,100.0000016900352477,258.9943218692055211,41.4390913369055127,76.3314589796695628,189.2068177131055506,15.5396596399245457,1.4815692372747447,84.4603420501107109,1.6560851409310056,0.0000000000000000,4223.0170958072931171,0.0000000000000000,0.0000000000000000,1.0000000017937773,1.0000000002886644,1.0975552972057478,14.8334534165374912,13.7358981193317433,0.5448322661549329,0.5500000007005136,0.2523659238980322,0.4586608246967769,2.1345288665992705,0.0000000000000000,0.0000000000000000,0.9999999985497524,1.0000000115561283,-1.0975555680083176,15.5034809465164152,16.6010365145247327,0.4329285589113306,0.4299999897413060,0.2212575904807686,0.4120202504907967,1.8731590047095021,0.0000000000000000,0.0000000000000000
4,100.0000016904511853,100.0000016904511853,258.9943221969777483,41.4390913399005356,76.3314590155481056,189.2068177574396941,15.5396596405433236,1.4815692398832012,84.4603420499078510,1.6560851409848762,0.0000000000000000,4223.0170976636181877,0.0000000000000000,0.0000000000000000,1.0000000019057711,1.0000000000421483,1.0975553187658544,14.8334534271862815,13.7358981084204270,0.5448322661549323,0.5500000007953945,0.2523659242411258,0.4586608249109210,2.1345288671036444,0.0000000000000000,0.0000000000000000,0.9999999988650785,1.0000000116723444,-1.0975555550013603,15.5034809721674733,16.6010365271688336,0.4329285589113300,0.4299999900228210,0.2212575908031230,0.4120202508597831,1.8731590057308123,0.0000000000000000,0.0000000000000000
5,100.0000016893291814,100.0000016893291814,258.9943225057023710,41.4390913384511279,76.3314590440975991,189.2068177893722520,15.5396596320499860,1.4815692402395606,84.4603420572791919,1.6560851410399036,0.0000000000000000,4223.0170988399131602,0.0000000000000000,0.0000000000000000,1.0000000018917803,0.9999999999111924,1.0975553257843274,14.8334534330006829,13.7358981072163555,0.5448322661549320,0.5500000007729750,0.2523659242566231,0.4586608249008804,2.1345288670984091,0.0000000000000000,0.0000000000000000,0.9999999990124331,1.0000000113866390,-1.0975555272384803,15.5034809882167792,16.6010365154552595,0.4329285589113298,0.4299999901452568,0.2212575909115287,0.4120202509230477,1.8731590060623913,0.0000000000000000,0.0000000000000000
6,100.0000016908558962,100.0000016908558962,258.9943227874101694,41.4390913384952526,76.3314590718269841,189.2068178233138838,15.5396596265359239,1.4815692402249714,84.4603420643199740,1.6560851410931412,0.0000000000000000,4223.0171000473401364,0.0000000000000000,0.0000000000000000,1.0000000019020754,0.9999999999906934,1.0975553222303898,14.8334534357006742,13.7358981134702844,0.5448322661549313,0.5500000007789421,0.2523659241962238,0.4586608247033689,2.1345288667117197,0.0000000000000000,0.0000000000000000,0.9999999991858675,1.0000000110378557,-1.0975554935254728,15.5034810056719721,16.6010364991974448,0.4329285589113305,0.4299999903010880,0.2212575910210619,0.4120202510003318,1.8731590064044006,0.0000000000000000,0.0000000000000000
7,100.0000016906110858,100.0000016906110858,258.9943230467014814,41.4390913390113198,76.3314590979337169,189.2068178536787286,15.5396596192044516,1.4815692400215497,84.4603420714066289,1.6560851411446826,0.0000000000000000,4223.0171010232616027,0.0000000000000000,0.0000000000000000,1.0000000019341777,0.9999999998086337,1.0975553347637295,14.8334534431920613,13.7358981084283318,0.5448322661549315,0.5500000008149175,0.2523659241769111,0.4586608247269884,2.1345288667721829,0.0000000000000000,0.0000000000000000,0.9999999992886474,1.0000000108880531,-1.0975554775866883,15.5034810132035688,16.6010364907902570,0.4329285589113305,0.4299999903929261,0.2212575910624033,0.4120202508504224,1.8731590062402370,0.0000000000000000,0.0000000000000000
8,100.0000016951405399,100.0000016951405399,258.9943232831038245,41.4390913359369222,76.3314591173826784,189.2068178804222782,15.5396596144941928,1.4815692415886998,84.4603420806463561,1.6560851411944755,0.0000000000000000,4223.0171020311918255,0.0000000000000000,0.0000000000000000,1.0000000019674806,0.9999999998618148,1.0975553346245146,14.8334534494429509,13.7358981148184363,0.5448322661549312,0.5500000008165153,0.2523659242800947,0.4586608249204304,2.1345288671593972,0.0000000000000000,0.0000000000000000,0.9999999994189647,1.0000000106509346,-1.0975554542296955,15.5034810329992609,16.6010364872289564,0.4329285589113302,0.4299999904787736,0.2212575911531088,0.4120202510908142,1.8731590067944164,0.0000000000000000,0.0000000000000000
9,100.0000016941164631,100.0000016941164631,258.9943235006117561,41.4390913397174430,76.3314591433933600,189.2068179109393782,15.5396596090858683,1.4815692410189554,84.4603420850305895,1.6560851412416406,0.0000000000000000,4223.0171028942431803,0.0000000000000000,0.0000000000000000,1.0000000019849653,0.9999999999035021,1.0975553330817451,14.8334534497959769,13.7358981167142318,0.5448322661549320,0.5500000008561450,0.2523659242590387,0.4586608247328013,2.1345288668487084,0.0000000000000000,0.0000000000000000,0.9999999995204631,1.0000000103736169,-1.0975554299337809,15.5034810389490403,16.6010364688828211,0.4329285589113305,0.4299999905917968,0.2212575910621954,0.4120202510169169,1.8731590068067401,0.0000000000000000,0.0000000000000000
10,100.0000016971524701,100.0000016971524985,258.9943236996609244,41.4390913364616225,76.3314591589499400,189.2068179312946938,15.5396596018257771,1.4815692418403563,84.4603420953266948,1.6560851412880302,0.0000000000000000,4223.0171035501671213,0.0000000000000000,0.0000000000000000,1.0000000019592958,0.9999999996516051,1.0975553459354614,14.8334534547334762,13.7358981087980148,0.5448322661549321,0.5500000008132325,0.2523659241813036,0.4586608248402155,2.1345288670015621,0.0000000000000000,0.0000000000000000,0.9999999995782149,1.0000000103136333,-1.0975554230971536,15.5034810496802233,16.6010364727773769,0.4329285589113299,0.4299999906204216,0.2212575912442883,0.4120202511614556,1.8731590071155979,0.0000000000000000,0.0000000000000000
11,100.0000016985605811,100.0000016985605811,258.9943238795070215,41.4390913368001037,76.3314591770338353,189.2068179538785273,15.5396595957609307,1.4815692417086017,84.4603421027996575,1.6560851413313098,0.0000000000000000,4223.0171041882949794,0.0000000000000000,0.0000000000000000,1.0000000019538853,0.9999999994141944,1.0975553589560363,14.8334534598846552,13.7358981009286190,0.5448322661549301,0.5500000008096813,0.2523659241724098,0.4586608247250267,2.1345288667788656,0.0000000000000000,0.0000000000000000,0.9999999996392603,1.0000000102883360,-1.0975554179863600,15.5034810530680431,16.6010364710544032,0.4329285589113308,0.4299999906733567,0.2212575912989242,0.4120202511910096,1.8731590072624966,0.0000000000000000,0.0000000000000000
12,100.0000017083122685,100.0000017083122685,258.9943240424975102,41.4390913351768404,76.3314591910527724,189.2068179796641800,15.5396595966627107,1.4815692423353186,84.4603421116495525,1.6560851413725244,0.0000000000000000,4223.0171051427832936,0.0000000000000000,0.0000000000000000,1.0000000020342166,0.9999999998335520,1.0975553415049717,14.8334534655331041,13.7358981240281324,0.5448322661549316,0.5500000008637587,0.2523659241515170,0.4586608247805756,2.1345288669270004,0.0000000000000000,0.0000000000000000,0.9999999997841524,1.0000000099751500,-1.0975553880970068,15.5034810706804294,16.6010364587774362,0.4329285589113298,0.4299999907825108,0.2212575913727571,0.4120202512442768,1.8731590074930611,0.0000000000000000,0.0000000000000000
13,100.0000017092491049,100.0000017092491333,258.9943241966103642,41.4390913371431679,76.3314592086076118,189.2068180020250168,15.5396595927029573,1.4815692429481016,84.4603421165461583,1.6560851414110924,0.0000000000000000,4223.0171057410043431,0.0000000000000000,0.0000000000000000,1.0000000020269981,0.9999999997967237,1.0975553431642187,14.8334534678792735,13.7358981247150549,0.5448322661549321,0.5500000008639151,0.2523659241714083,0.4586608249090690,2.1345288671887532,0.0000000000000000,0.0000000000000000,0.9999999998491054,1.0000000098463977,-1.0975553758291756,15.5034810745139264,16.6010364503431020,0.4329285589113299,0.4299999908456333,0.2212575914218389,0.4120202512769542,1.8731590076433875,0.0000000000000000,0.0000000000000000
14,100.0000017139844886,100.0000017139844886,258.9943243375166730,41.4390913379285450,76.3314592234148250,189.2068180241870436,15.5396595903333932,1.4815692423773901,84.4603421236510883,1.6560851414485118,0.0000000000000000,4223.0171063560801485,0.0000000000000000,0.0000000000000000,1.0000000019881565,1.0000000000095910,1.0975553290599631,14.8334534646430640,13.7358981355831009,0.5448322661549326,0.5500000008379777,0.2523659241419824,0.4586608246305291,2.1345288666271158,0.0000000000000000,0.0000000000000000,0.9999999999294438,1.0000000095378363,-1.0975553506321489,15.5034810825491682,16.6010364331813172,0.4329285589113302,0.4299999909270803,0.2212575914780518,0.4120202513171244,1.8731590078196099,0.0000000000000000,0.0000000000000000
15,100.0000017206446188,100.0000017206446188,258.9943244675990286,41.4390913352855392,76.3314592329485890,189.2068180412178435,15.5396595874421735,1.4815692428418048,84.4603421332024453,1.6560851414838931,0.0000000000000000,4223.0171068744057266,0.0000000000000000,0.0000000000000000,1.0000000020460735,0.9999999998583038,1.0975553413937238,14.8334534723632050,13.7358981309694812,0.5448322661549316,0.5500000008702663,0.2523659242021487,0.4586608247491586,2.1345288668596694,0.0000000000000000,0.0000000000000000,0.9999999999813152,1.0000000096042683,-1.0975553523189543,15.5034810908070799,16.6010364431260342,0.4329285589113300,0.4299999909474400,0.2212575914942377,0.4120202513261430,1.8731590078684413,0.0000000000000000,0.0000000000000000
16,100.0000017176921148,100.0000017176920863,258.9943245869852717,41.4390913385532258,76.3314592486899386,189.2068180579982482,15.5396595816943037,1.4815692433996190,84.4603421359978057,1.6560851415162365,0.0000000000000000,4223.0171071724516878,0.0000000000000000,0.0000000000000000,1.0000000019958006,0.9999999997072540,1.0975553460501395,14.8334534661442490,13.7358981200941095,0.5448322661549312,0.5500000008484467,0.2523659242941430,0.4586608249300766,2.1345288672054115,0.0000000000000000,0.0000000000000000,0.9999999999849729,1.0000000094924706,-1.0975553456717169,15.5034810933336065,16.6010364390053233,0.4329285589113300,0.4299999909698793,0.2212575915069151,0.4120202513351381,1.8731590079089790,0.0000000000000000,0.0000000000000000
17,100.0000017175088800,100.0000017175088800,258.9943246934604417,41.4390913356426864,76.3314592555759788,189.2068180645073028,15.5396595713379568,1.4815692423761502,84.4603421461709303,1.6560851415481308,0.0000000000000000,4223.0171071528784523,0.0000000000000000,0.0000000000000000,1.0000000018900492,0.9999999991271329,1.0975553713406647,14.8334534648912566,13.7358980935505919,0.5448322661549320,0.5500000007461385,0.2523659240889969,0.4586608248342500,2.1345288669468583,0.0000000000000000,0.0000000000000000,0.9999999999234894,1.0000000096245190,-1.0975553594513965,15.5034810910268259,16.6010364504782224,0.4329285589113302,0.4299999909045908,0.2212575913423558,0.4120202511971943,1.8731590075869158,0.0000000000000000,0.0000000000000000
18,100.0000017287356968,100.0000017287356968,258.9943247831907911,41.4390913360805087,76.3314592649288244,189.2068180872632013,15.5396595779605864,1.4815692437590897,84.4603421507751193,1.6560851415766735,0.0000000000000000,4223.0171080664722467,0.0000000000000000,0.0000000000000000,1.0000000020450162,0.9999999997000231,1.0975553506021374,14.8334534785811361,13.7358981279789987,0.5448322661549314,0.5500000008715414,0.2523659243033445,0.4586608249446399,2.1345288672716998,0.0000000000000000,0.0000000000000000,1.0000000000879383,1.0000000094368235,-1.0975553356089129,15.5034811016074308,16.6010364372163437,0.4329285589113305,0.4299999910341132,0.2212575915410693,0.4120202513703439,1.8731590080327900,0.0000000000000000,0.0000000000000000
19,100.0000017300089752,100.0000017300089468,258.9943248741599291,41.4390913381707691,76.3314592764325539,189.2068181025281319,15.5396595748217887,1.4815692431360707,84.4603421551871776,1.6560851416039812,0.0000000000000000,4223.0171083730137980,0.0000000000000000,0.0000000000000000,1.0000000020768269,0.9999999996076097,1.0975553578287105,14.8334534805657405,13.7358981227370300,0.5448322661549316,0.5500000009213649,0.2523659243520768,0.4586608249670947,2.1345288673894465,0.0000000000000000,0.0000000000000000,1.0000000000898714,1.0000000094209898,-1.0975553348980363,15.5034810999653168,16.6010364348633530,0.4329285589113304,0.4299999910445151,0.2212575913243204,0.4120202511538151,1.8731590076591378,0.0000000000000000,0.0000000000000000
20,100.0000017404968276,100.0000017404968276,258.9943249565321253,41.4390913336508788,76.3314592789743926,189.2068181140381853,15.5396595736516048,1.4815692421609019,84.4603421668452370,1.6560851416301052,0.0000000000000000,4223.0171087445442026,0.0000000000000000,0.0000000000000000,1.0000000020869886,0.9999999997891587,1.0975553485905021,14.8334534804514693,13.7358981318609672,0.5448322661549315,0.5500000009077253,0.2523659242165652,0.4586608247199126,2.1345288668883868,0.0000000000000000,0.0000000000000000,1.0000000001388241,1.0000000092486614,-1.0975553208871300,15.5034811124636374,16.6010364333507674,0.4329285589113295,0.4299999910656116,0.2212575912827992,0.4120202510764749,1.8731590075014148,0.0000000000000000,0.0000000000000000
21,100.0000017381215400,100.0000017381215400,258.9943250327917781,41.4390913373146077,76.3314592909652987,189.2068181274735537,15.5396595711865686,1.4815692437527930,84.4603421669349643,1.6560851416521796,0.0000000000000000,4223.0171090074854874,0.0000000000000000,0.0000000000000000,1.0000000020575022,0.9999999996707687,1.0975553529554620,14.8334534803576794,13.7358981274022174,0.5448322661549316,0.5500000008909083,0.2523659243254140,0.4586608249515205,2.1345288672975538,0.0000000000000000,0.0000000000000000,1.0000000001689260,1.0000000092516497,-1.0975553193779906,15.5034811112181483,16.6010364305961389,0.4329285589113301,0.4299999911058867,0.2212575914661462,0.4120202513163629,1.8731590079968976,0.0000000000000000,0.0000000000000000
22,100.0000017395618812,100.0000017395618812,258.9943251020108050,41.4390913364718045,76.3314592967304719,189.2068181354921990,15.5396595670915882,1.4815692439047208,84.4603421724703054,1.6560851416746605,0.0000000000000000,4223.0171091417605567,0.0000000000000000,0.0000000000000000,1.0000000020252264,0.9999999997995057,1.0975553439320116,14.8334534807588447,13.7358981368268331,0.5448322661549320,0.5500000008575813,0.2523659243130766,0.4586608249369862,2.1345288672635974,0.0000000000000000,0.0000000000000000,1.0000000001592892,1.0000000090175274,-1.0975553049624178,15.5034811122707605,16.6010364172331784,0.4329285589113298,0.4299999910909492,0.2212575915896919,0.4120202513995750,1.8731590081802496,0.0000000000000000,0.0000000000000000
23,100.0000017436191939,100.0000017436191939,258.9943251629817382,41.4390913356822423,76.3314593017507121,189.2068181451426199,15.5396595655349170,1.4815692439656076,84.4603421780842751,1.6560851416954205,0.0000000000000000,4223.0171093919925625,0.0000000000000000,0.0000000000000000,1.0000000020339794,0.9999999995913700,1.0975553560296003,14.8334534823451492,13.7358981263155489,0.5448322661549321,0.5500000008581458,0.2523659243135958,0.4586608249380248,2.1345288672661478,0.0000000000000000,0.0000000000000000,1.0000000001850864,1.0000000091592596,-1.0975553130382476,15.5034811164760118,16.6010364295142594,0.4329285589113294,0.4299999911047476,0.2212575916111553,0.4120202514078623,1.8731590082300955,0.0000000000000000,0.0000000000000000
24,100.0000017480090833,100.0000017480090833,258.9943252187377425,41.4390913368208658,76.3314593086264779,189.2068181580649480,15.5396595667359794,1.4815692442402471,84.4603421812730915,1.6560851417143936,0.0000000000000000,4223.0171097721849947,0.0000000000000000,0.0000000000000000,1.0000000020636768,0.9999999997294686,1.0975553504714171,14.8334534844887571,13.7358981340173401,0.5448322661549323,0.5500000008866870,0.2523659243308377,0.4586608249507534,2.1345288673202254,0.0000000000000000,0.0000000000000000,1.0000000002441263,1.0000000090972776,-1.0975553050640059,15.5034811201723421,16.6010364252363480,0.4329285589113308,0.4299999911583010,0.2212575916477612,0.4120202514345127,1.8731590083441541,0.0000000000000000,0.0000000000000000
25,100.0000017513254846,100.0000017513254846,258.9943252723494425,41.4390913384252428,76.3314593158635262,189.2068181702730669,15.5396595668694513,1.4815692437762460,84.4603421844560245,1.6560851417324960,0.0000000000000000,4223.0171100619245408,0.0000000000000000,0.0000000000000000,1.0000000020703677,0.9999999998269002,1.0975553452426592,14.8334534807686023,13.7358981355259431,0.5448322661549326,0.5500000009047369,0.2523659243419899,0.4586608249580591,2.1345288673544318,0.0000000000000000,0.0000000000000000,1.0000000002836740,1.0000000090110830,-1.0975552971130877,15.5034811246505395,16.6010364217636273,0.4329285589113300,0.4299999912041869,0.2212575915109964,0.4120202512674696,1.8731590080744169,0.0000000000000000,0.0000000000000000
