period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000014651047735,100.0000014651047735,258.9943206153892561,41.4390915091960679,76.3314590680682130,189.2068176640880779,15.5396596985434474,1.4815692442785056,84.4603417665613136,1.6560851404982491,0.0000000000000000,4223.0170914141663161,0.0000000000000000,0.0000000000000000,1.0000000017205988,0.9999999964375326,1.0975555048368459,14.8334531601836321,13.7358976553467862,0.5448322661549133,0.5500000021876541,0.2523659278847850,0.4586608154347766,2.1345288059190972,0.0000000000000000,0.0000000000000000,0.9999999976212177,1.0000000158624054,-1.0975559122540339,15.5034807333854694,16.6010366456395033,0.4329285589113109,0.4299999899750887,0.2212575931601362,0.4120202409447227,1.8731589476713011,0.0000000000000000,0.0000000000000000
1,100.0000017096709968,100.0000017096709968,258.9943210770093174,41.4390911352787938,76.3314586542438178,189.2068172804450228,15.5396595623873033,1.4815692246522123,84.4603421472836970,1.6560851406546606,0.0000000000000000,4223.0170856865852329,0.0000000000000000,0.0000000000000000,1.0000000003150848,0.9999999950567315,1.0975555355255171,14.8334534881740918,13.7358979526485747,0.5448322661549135,0.5499999989837212,0.2523659261418572,0.4586608141022243,2.1345288001192428,0.0000000000000000,0.0000000000000000,0.9999999961608882,1.0000000131366014,-1.0975558317135281,15.5034809254470645,16.6010367571605926,0.4329285589113112,0.4299999867557580,0.2212575912712698,0.4120202394960745,1.8731589413675773,0.0000000000000000,0.0000000000000000
2,100.0000016468492987,100.0000016468492987,258.9943213747760637,41.4390912469580570,76.3314588206399947,189.2068174487006331,15.5396595764239134,1.4815692324579559,84.4603420704253978,1.6560851406648973,0.0000000000000000,4223.0170886944879385,0.0000000000000000,0.0000000000000000,1.0000000014882577,0.9999999953750671,1.0975555771666485,14.8334534499788493,13.7358978728122008,0.5448322661549128,0.5500000004692026,0.2523659268100694,0.4586608145433542,2.1345288022640307,0.0000000000000000,0.0000000000000000,0.9999999966599400,1.0000000134744405,-1.0975558242921011,15.5034809059478356,16.6010367302399366,0.4329285589113109,0.4299999876000813,0.2212575918143376,0.4120202400123058,1.8731589431027713,0.0000000000000000,0.0000000000000000
3,100.0000019031472789,100.0000019031472789,258.9943216687133827,41.4390912859262244,76.3314588973699415,189.2068178148744266,15.5396597647547292,1.4815692461950447,84.4603421383925479,1.6560851407054793,0.0000000000000000,4223.0171014449133509,0.0000000000000000,0.0000000000000000,1.0000000029786329,1.0000000038483601,1.0975552030059514,14.8334534312208888,13.7358982282149373,0.5448322661549138,0.5500000017248579,0.2523659276850585,0.4586608153081417,2.1345288050092885,0.0000000000000000,0.0000000000000000,1.0000000000249110,1.0000000135507174,-1.0975556066548329,15.5034811800904748,16.6010367867453077,0.4329285589113111,0.4299999906101912,0.2212575935844524,0.4120202413645751,1.8731589488174170,0.0000000000000000,0.0000000000000000
4,100.0000015704053169,100.0000015704053169,258.9943221333452925,41.4390913482929477,76.3314590196027751,189.2068176463359919,15.5396595818326926,1.4815692384779573,84.4603419885726225,1.6560851407202193,0.0000000000000000,4223.0170927375638712,0.0000000000000000,0.0000000000000000,1.0000000015582986,0.9999999951576571,1.0975555822863825,14.8334533164785416,13.7358977341921591,0.5448322661549138,0.5500000011421808,0.2523659271443407,0.4586608149295516,2.1345288039319374,0.0000000000000000,0.0000000000000000,0.9999999974781356,1.0000000133949996,-1.0975557694905458,15.5034809317559503,16.6010367012464961,0.4329285589113115,0.4299999889148213,0.2212575927538545,0.4120202406004141,1.8731589460193159,0.0000000000000000,0.0000000000000000
5,100.0000016710341129,100.0000016710340844,258.9943223871772489,41.4390913145782775,76.3314590031374678,189.2068177164873930,15.5396596127866129,1.4815692399166225,84.4603420582475053,1.6560851407940069,0.0000000000000000,4223.0170962028796566,0.0000000000000000,0.0000000000000000,1.0000000019108939,0.9999999998778026,1.0975553500264130,14.8334533514138585,13.7358980013874454,0.5448322661549139,0.5500000011869994,0.2523659272197545,0.4586608147466948,2.1345288035358476,0.0000000000000000,0.0000000000000000,0.9999999983051816,1.0000000109970097,-1.0975555558722743,15.5034810394371210,16.6010365953093952,0.4329285589113111,0.4299999893990063,0.2212575930077557,0.4120202408452416,1.8731589468552574,0.0000000000000000,0.0000000000000000
6,100.0000016454064422,100.0000016454064422,258.9943226567332317,41.4390913722758540,76.3314591004721024,189.2068178271435386,15.5396596291436797,1.4815692448999835,84.4603420162627714,1.6560851408419468,0.0000000000000000,4223.0170987230576429,0.0000000000000000,0.0000000000000000,1.0000000019274673,0.9999999952371414,1.0975556082791496,14.8334533899399510,13.7358977816608014,0.5448322661549125,0.5500000014746291,0.2523659276673371,0.4586608152589080,2.1345288048739275,0.0000000000000000,0.0000000000000000,0.9999999988872292,1.0000000153854793,-1.0975558028383752,15.5034809501760193,16.6010367530143945,0.4329285589113111,0.4299999901948894,0.2212575935554602,0.4120202412490835,1.8731589485817355,0.0000000000000000,0.0000000000000000
7,100.0000017010573430,100.0000017010573430,258.9943229264729325,41.4390913741242670,76.3314591292414235,189.2068179188817396,15.5396596600934913,1.4815692475029059,84.4603420409638517,1.6560851409073098,0.0000000000000000,4223.0171019304698348,0.0000000000000000,0.0000000000000000,1.0000000029046858,1.0000000015586465,1.0975553217240446,14.8334534521756254,13.7358981304515808,0.5448322661549130,0.5500000022527419,0.2523659280470646,0.4586608155362507,2.1345288062643606,0.0000000000000000,0.0000000000000000,0.9999999994762501,1.0000000117435925,-1.0975555212875410,15.5034809845689363,16.6010365058564773,0.4329285589113117,0.4299999906178275,0.2212575936811897,0.4120202412539406,1.8731589491285987,0.0000000000000000,0.0000000000000000
8,100.0000017440222564,100.0000017440222564,258.9943232109779956,41.4390913244541537,76.3314590961960278,189.2068179050018557,15.5396596445663544,1.4815692457691048,84.4603420994559144,1.6560851409642940,0.0000000000000000,4223.0171022586418985,0.0000000000000000,0.0000000000000000,1.0000000028513520,1.0000000004078125,1.0975553833135354,14.8334534571003527,13.7358980737868173,0.5448322661549134,0.5500000019226092,0.2523659279705208,0.4586608154423303,2.1345288058184377,0.0000000000000000,0.0000000000000000,0.9999999994614920,1.0000000121457202,-1.0975555540966369,15.5034810716832006,16.6010366257798374,0.4329285589113112,0.4299999903239434,0.2212575934978617,0.4120202411509576,1.8731589486460771,0.0000000000000000,0.0000000000000000
9,100.0000016801875375,100.0000016801875375,258.9943234628856317,41.4390913838081261,76.3314591938309519,189.2068179762230500,15.5396596366999997,1.4815692481317213,84.4603420434875289,1.6560851409994792,0.0000000000000000,4223.0171029627772441,0.0000000000000000,0.0000000000000000,1.0000000026993736,0.9999999998614673,1.0975554009378516,14.8334534402746314,13.7358980393367798,0.5448322661549132,0.5500000021656701,0.2523659280551285,0.4586608155187396,2.1345288061183130,0.0000000000000000,0.0000000000000000,0.9999999995074240,1.0000000119001358,-1.0975555334157168,15.5034809917655725,16.6010365251812892,0.4329285589113114,0.4299999907305887,0.2212575938905569,0.4120202414810088,1.8731589496538366,0.0000000000000000,0.0000000000000000
10,100.0000016754154757,100.0000016754154757,258.9943236918124967,41.4390913126559042,76.3314591289452267,189.2068178685732676,15.5396595754353051,1.4815692414773740,84.4603420999801671,1.6560851410573170,0.0000000000000000,4223.0171004079647901,0.0000000000000000,0.0000000000000000,1.0000000013272352,0.9999999986410124,1.0975553829145301,14.8334533584433359,13.7358979755288058,0.5448322661549128,0.5500000006246568,0.2523659271754773,0.4586608148546364,2.1345288033224743,0.0000000000000000,0.0000000000000000,0.9999999989921827,1.0000000101835183,-1.0975554614823242,15.5034810846076407,16.6010365460899649,0.4329285589113110,0.4299999900159696,0.2212575934917144,0.4120202411487877,1.8731589483470976,0.0000000000000000,0.0000000000000000
11,100.0000016687134803,100.0000016687134803,258.9943238457390180,41.4390913626226123,76.3314592054267536,189.2068179698428878,15.5396596004005652,1.4815692452689759,84.4603420683129116,1.6560851410941571,0.0000000000000000,4223.0171028061640754,0.0000000000000000,0.0000000000000000,1.0000000020823605,0.9999999948340693,1.0975556418849752,14.8334534401511640,13.7358977982661887,0.5448322661549132,0.5500000015761248,0.2523659275721706,0.4586608152193610,2.1345288047003637,0.0000000000000000,0.0000000000000000,0.9999999993607493,1.0000000145282306,-1.0975557195615639,15.5034809912685940,16.6010367108301580,0.4329285589113107,0.4299999905657101,0.2212575936805311,0.4120202413394191,1.8731589490537524,0.0000000000000000,0.0000000000000000
12,100.0000028565499974,100.0000028565499690,258.9943240153951933,41.4390906259987446,76.3314583175120589,189.2068178880922176,15.5396595291366904,1.4815692110812153,84.4603433274133124,1.6560851411441528,0.0000000000000000,4223.0170983404550498,0.0000000000000000,0.0000000000000000,1.0000000014505777,0.9999999945602794,1.0975556112328864,14.8334533367905870,13.7358977255577006,0.5448322661549135,0.5499999963779050,0.2523659244781666,0.4586608128969231,2.1345287949431331,0.0000000000000000,0.0000000000000000,0.9999999984092206,1.0000000118501469,-1.0975556117017806,15.5034809950782577,16.6010366067800383,0.4329285589113110,0.4299999850851828,0.2212575902657668,0.4120202386830004,1.8731589380923535,0.0000000000000000,0.0000000000000000
