period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000016480125566,100.0000016480125566,258.9943206700237965,41.4390913545463064,76.3314588835240357,189.2068175662759018,15.5396596811577918,1.4492159704889689,84.4603419668547701,1.6560851407643093,0.0000000000000000,4223.0170912686589872,0.0000000000000000,0.0000000000000000,1.0000000017167081,0.9999999975473759,1.0975554628301243,14.8334534170966634,13.7358979542665391,0.5448322661549130,0.5500000011855877,0.2608400702824484,0.4559927220685922,2.2203584303431074,0.0000000000000000,0.0000000000000000,0.9999999967793384,1.0000000141625525,-1.0975558655718132,15.5034807622748154,16.6010366278466286,0.4329285589113098,0.4299999881625149,0.2289379818905116,0.4093562449381142,1.9528183161712782,0.0000000000000000,0.0000000000000000
1,100.0000016595604819,100.0000016595604819,258.9943211109801382,41.4390913555424802,76.3314589280672635,189.2068176287422432,15.5396596710168211,1.4492159716955664,84.4603419885436466,1.6560851408474955,0.0000000000000000,4223.0170929695605082,0.0000000000000000,0.0000000000000000,1.0000000018423112,0.9999999974504770,1.0975554770622775,14.8334534380538958,13.7358979609916183,0.5448322661549132,0.5500000012871433,0.2608400704081538,0.4559927221771474,2.2203584306045325,0.0000000000000000,0.0000000000000000,0.9999999970519012,1.0000000138758480,-1.0975558305905402,15.5034807885999371,16.6010366191904772,0.4329285589113099,0.4299999883838007,0.2289379819051976,0.4093562450493585,1.9528183163507620,0.0000000000000000,0.0000000000000000
2,100.0000016708599304,100.0000016708599020,258.9943215153381288,41.4390913515801103,76.3314589629259075,189.2068176795445709,15.5396596618863452,1.4492159723433999,84.4603420089735692,1.6560851409238400,0.0000000000000000,4223.0170945259023938,0.0000000000000000,0.0000000000000000,1.0000000018658652,0.9999999976020884,1.0975554712904234,14.8334534450023607,13.7358979737119373,0.5448322661549126,0.5500000012877748,0.2608400704105630,0.4559927221676680,2.2203584305932353,0.0000000000000000,0.0000000000000000,0.9999999973304454,1.0000000134531615,-1.0975557859296217,15.5034808221047520,16.6010366080343736,0.4329285589113096,0.4299999886073977,0.2289379820307851,0.4093562451485818,1.9528183167718061,0.0000000000000000,0.0000000000000000
3,100.0000016740993800,100.0000016740993800,258.9943218863041920,41.4390913340018514,76.3314589777836261,189.2068176936765269,15.5396596387779997,1.4492159716300430,84.4603420353213750,1.6560851409936994,0.0000000000000000,4223.0170950883921250,0.0000000000000000,0.0000000000000000,1.0000000017378334,0.9999999975734200,1.0975554654763258,14.8334534357540253,13.7358979702776995,0.5448322661549132,0.5500000010865369,0.2608400703041135,0.4559927220850236,2.2203584302485400,0.0000000000000000,0.0000000000000000,0.9999999973639345,1.0000000126428943,-1.0975557333800214,15.5034808689051307,16.6010366022851521,0.4329285589113095,0.4299999885450544,0.2289379820118657,0.4093562450333579,1.9528183167148345,0.0000000000000000,0.0000000000000000
4,100.0000016725527416,100.0000016725527132,258.9943222119039206,41.4390913435196850,76.3314590214588264,189.2068177464200005,15.5396596321590792,1.4492159728617917,84.4603420403936695,1.6560851410546236,0.0000000000000000,4223.0170964606695634,0.0000000000000000,0.0000000000000000,1.0000000018079904,0.9999999973334310,1.0975554837006651,14.8334534513236331,13.7358979676229680,0.5448322661549134,0.5500000011850044,0.2608400703379158,0.4559927220538491,2.2203584303930217,0.0000000000000000,0.0000000000000000,0.9999999975982716,1.0000000126347219,-1.0975557176248429,15.5034808696978033,16.6010365873226462,0.4329285589113096,0.4299999887856762,0.2289379821835856,0.4093562452539981,1.9528183172398141,0.0000000000000000,0.0000000000000000
5,100.0000016835686694,100.0000016835686409,258.9943225113487415,41.4390913470055580,76.3314590551572252,189.2068177986270712,15.5396596318383775,1.4492159739848254,84.4603420517302794,1.6560851411147774,0.0000000000000000,4223.0170980479033460,0.0000000000000000,0.0000000000000000,1.0000000019379478,0.9999999978246246,1.0975554655964714,14.8334534652409662,13.7358979996444948,0.5448322661549148,0.5500000013092863,0.2608400704039275,0.4559927220827094,2.2203584306005473,0.0000000000000000,0.0000000000000000,0.9999999978888974,1.0000000122962280,-1.0975556763481826,15.5034808857172095,16.6010365620653921,0.4329285589113100,0.4299999890501536,0.2289379823548383,0.4093562453724423,1.9528183177794720,0.0000000000000000,0.0000000000000000
6,100.0000016810778050,100.0000016810778050,258.9943227925061819,41.4390913390617825,76.3314590730233249,189.2068178142360182,15.5396596150549939,1.4492159737609045,84.4603420660228039,1.6560851411716886,0.0000000000000000,4223.0170985500853931,0.0000000000000000,0.0000000000000000,1.0000000019248807,0.9999999976222385,1.0975554756024728,14.8334534612178501,13.7358979856153773,0.5448322661549135,0.5500000012527574,0.2608400703822179,0.4559927220875044,2.2203584305342048,0.0000000000000000,0.0000000000000000,0.9999999979007259,1.0000000118843926,-1.0975556506271715,15.5034809120469923,16.6010365626741638,0.4329285589113096,0.4299999890105992,0.2289379823696223,0.4093562453640751,1.9528183178019474,0.0000000000000000,0.0000000000000000
7,100.0000016783884291,100.0000016783884291,258.9943230400107836,41.4390913503677538,76.3314591112222303,189.2068178604374964,15.5396596123728461,1.4492159747570410,84.4603420660155848,1.6560851412241331,0.0000000000000000,4223.0170997546138096,0.0000000000000000,0.0000000000000000,1.0000000019345328,0.9999999975066929,1.0975554823928402,14.8334534662454622,13.7358979838526221,0.5448322661549135,0.5500000013226258,0.2608400704208589,0.4559927221786771,2.2203584306318978,0.0000000000000000,0.0000000000000000,0.9999999981202402,1.0000000118644223,-1.0975556348919646,15.5034809103002438,16.6010365451922084,0.4329285589113102,0.4299999892719042,0.2289379825150776,0.4093562454788945,1.9528183182742338,0.0000000000000000,0.0000000000000000
8,100.0000016842651291,100.0000016842651291,258.9943232699829423,41.4390913279976800,76.3314591063442123,189.2068178524689301,15.5396595921904179,1.4492159733802366,84.4603420920747112,1.6560851412776292,0.0000000000000000,4223.0170998233916180,0.0000000000000000,0.0000000000000000,1.0000000017548467,0.9999999969705078,1.0975555040125240,14.8334534845862294,13.7358979805737054,0.5448322661549139,0.5500000010497844,0.2608400702880353,0.4559927220717337,2.2203584301968498,0.0000000000000000,0.0000000000000000,0.9999999980417512,1.0000000116398104,-1.0975556258469243,15.5034809221498993,16.6010365479968236,0.4329285589113099,0.4299999890833952,0.2289379824249357,0.4093562450181014,1.9528183179386587,0.0000000000000000,0.0000000000000000
9,100.0000017089834330,100.0000017089834046,258.9943234659743325,41.4390913335505005,76.3314591324174927,189.2068179098356211,15.5396596043705664,1.4492159751558584,84.4603421046128631,1.6560851413219759,0.0000000000000000,4223.0171016605490877,0.0000000000000000,0.0000000000000000,1.0000000019598814,0.9999999979333067,1.0975554634632978,14.8334534882257252,13.7358980247624274,0.5448322661549130,0.5500000012370966,0.2608400703626746,0.4559927221427702,2.2203584304503301,0.0000000000000000,0.0000000000000000,0.9999999984320899,1.0000000113326681,-1.0975555804981969,15.5034809552574391,16.6010365357556360,0.4329285589113094,0.4299999894409025,0.2289379826296187,0.4093562455632254,1.9528183186333310,0.0000000000000000,0.0000000000000000
