period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058136678258734,582.3058151166720791,727.7604678570812666,232.8833493747264640,340.4775224185322031,1164.9039136553776643,43.6656294534372336,6.7822694649564275,538.6401843230338500,48.9395191349064831,0.0000000000000000,5386.4018389907168967,0.0000000000000000,0.0000000000000000,0.9999999975118812,1.0000000052156841,-1.0975556597924054,13.7358977811838923,14.8334534409762977,0.0574419850770575,0.0571999991715401,0.1440591208624354,0.2548024125762191,0.8669992515115729,0.0000000000000000,0.0000000000000000,0.9999999946088590,1.0000000128728819,1.0975545154850721,112.1945392196249998,111.0969847041399277,0.3677395352555066,0.3699999874939802,0.2199212969977918,0.4166484259373902,2.1736930411558832,0.0000000000000000,0.0000000000000000
1,582.3058132118175081,582.3058154029203024,727.7604691304483140,232.8833502397640132,340.4775234602391265,1164.9039153682242613,43.6656297218230733,6.7822695275226490,538.6401836542996762,48.9367438323121391,0.0000000000000000,5386.4018555492766609,0.0000000000000000,0.0000000000000000,0.9999999962371955,0.9999999964033182,-1.0975552691030153,13.7358982615549969,14.8334535306580122,0.0574419850770575,0.0571999990059855,0.1440591204926058,0.2548024122761278,0.8669992504985132,0.0000000000000000,0.0000000000000000,0.9999999965925166,1.0000000157968394,1.0975541339868187,112.1945380347189740,111.0969839007321553,0.3677395352555066,0.3699999899832686,0.2199212984474141,0.4166484271580351,2.1736930470313531,0.0000000000000000,0.0000000000000000
2,582.3058128062409651,582.3058139991824191,727.7604705401391811,232.8833506319159028,340.4775240622967658,1164.9039161716748367,43.6656296268892632,6.7822695523337684,538.6401832688072773,48.9336913690641282,0.0000000000000000,5386.4018498975801776,0.0000000000000000,0.0000000000000000,0.9999999979513490,1.0000000016885324,-1.0975554467741127,13.7358979837091528,14.8334534304832655,0.0574419850770575,0.0571999995904141,0.1440591217438769,0.2548024133427829,0.8669992540294823,0.0000000000000000,0.0000000000000000,0.9999999968454164,1.0000000149287096,1.0975545946750600,112.1945375452571056,111.0969829505820456,0.3677395352555065,0.3699999904711657,0.2199212990193611,0.4166484274436241,2.1736930486014514,0.0000000000000000,0.0000000000000000
3,582.3058140048393625,582.3058162524090449,727.7604718451643748,232.8833488488021430,340.4775225278602306,1164.9039139942003658,43.6656291639917100,6.7822694328193283,538.6401850093872099,48.9303341027831991,0.0000000000000000,5386.4018472921907232,0.0000000000000000,0.0000000000000000,0.9999999961402246,1.0000000085108767,-1.0975559318223915,13.7358976717904682,14.8334536036128597,0.0574419850770575,0.0571999986972772,0.1440591192603608,0.2548024108863733,0.8669992475014634,0.0000000000000000,0.0000000000000000,0.9999999944801032,1.0000000103151416,1.0975555718812444,112.1945403522644114,111.0969847803831669,0.3677395352555062,0.3699999869506454,0.2199212967032420,0.4166484256219578,2.1736930400100691,0.0000000000000000,0.0000000000000000
4,582.2276932626858752,582.0425341647896857,727.7604725299066786,232.9932042814788531,340.5845872966365278,1165.0089944133144400,43.6308994687611502,6.6724151158922460,538.5829139526557583,48.9266416261151562,0.0000000000000000,5386.4018547091773144,0.0000000000000000,0.0000000000000000,1.0003181195308373,1.0012916860841163,-1.1483302283164800,13.6374382679118842,14.7857684962283642,0.0546522391288167,0.0573460644359921,0.1479999245042059,0.2533439454254840,0.8594767145807892,0.0000000000000000,0.0000000000000000,0.9999036316127292,0.9995416891006046,1.2466953556823768,111.7818724440141409,110.5351770883317641,0.3677395352555065,0.3701417972035688,0.2169408060541437,0.4130822853426298,2.1659530174903012,0.0000000000000000,0.0000000000000000
5,582.0106538193230108,582.1393999746245527,727.7396224924723356,232.8777929202301493,340.4688559089839828,1164.5939245209228829,43.6010353936438690,6.7878262595593100,538.4192612460659575,48.9231003018554702,0.0000000000000000,5386.4018406522955047,0.0000000000000000,0.0000000000000000,0.9997788396468049,1.0008571645992708,-1.1766174532864948,13.6810280594376952,14.8576455127241900,0.0574419850770576,0.0570587462560556,0.1433968688586202,0.2544693568187116,0.8653660967329283,0.0000000000000000,0.0000000000000000,1.0001660735134310,0.9995867372106250,1.4183300202931974,112.3474693674495910,110.9291393471563936,0.3677395352555061,0.3702422931139315,0.2198563541020352,0.4167833698391982,2.1738096865916141,0.0000000000000000,0.0000000000000000
6,582.0064871768062176,582.1473879594561822,727.6666255086500996,232.8803758046572341,340.4599891604702862,1164.5745858869697713,43.5936003434193822,6.7852435995156561,538.4234380658307373,48.9206910810302915,0.0000000000000000,5386.4018425013300657,0.0000000000000000,0.0000000000000000,0.9997579637295189,1.0008299545642030,-1.1760231888295678,13.6838020374611062,14.8598252262906740,0.0574419850770575,0.0570600678518204,0.1435276795458097,0.2543979622937834,0.8656125669467154,0.0000000000000000,0.0000000000000000,1.0001716934526084,0.9996069382619209,1.4165240074500360,112.3789204450295358,110.9623964375794998,0.3677395352555064,0.3702701382545622,0.2200969651488527,0.4167854924835627,2.1743493747292497,0.0000000000000000,0.0000000000000000
7,581.9505482743256835,581.6474899958916467,727.5896635177875851,233.1017730176795908,340.6637254222637807,1164.8672643786278513,43.5276794551905368,6.5638465740404506,538.4001894062143947,48.9180032866414791,0.0000000000000000,5386.4018551381113866,0.0000000000000000,0.0000000000000000,1.0005210342753066,1.0032205605755951,-1.2480831943514428,13.4972685915394788,14.7453517858909215,0.0546522391288167,0.0574717850143976,0.1441355646319075,0.2486557131758204,0.8502983300482045,0.0000000000000000,0.0000000000000000,0.9998876681389093,0.9988514176265382,1.5765093757405140,111.4612476416281481,109.8847382658876342,0.3582869076298678,0.3705879765735334,0.2198334420795973,0.4110582305164161,2.1585157233798093,0.0000000000000000,0.0000000000000000
8,581.6763746807671396,576.0229571160460864,727.4846172857930924,233.2769302642457205,340.8179548124739995,1164.8569956630578872,43.0499277213990723,6.3886888055935813,538.2039304354457272,48.9152581344916086,0.0000000000000000,5386.4018560670019724,0.0000000000000000,0.0000000000000000,1.0098145698793384,1.0594430771427639,-2.4235998529689518,7.5677480245907915,9.9913478775597433,0.0461618801328370,0.0371764884375596,0.1153947986187063,0.2197550027983175,0.7053112020821199,0.0212371862378000,0.0521250000000000,1.0003984385143825,0.9974225999151360,2.4764054848136823,112.1157749000608845,109.6393694152472023,0.3677395352555071,0.3722236916858935,0.2210804586922472,0.4178731694634282,2.1785057936244470,0.0000000000000000,0.0000000000000000
9,581.6719125161383772,575.7356853449734899,727.3079129007995789,233.2727444281701423,340.7862812478170440,1164.7983362171282806,43.0412701792473555,6.3928746793078304,538.1868575168369944,48.9140212880948582,0.0000000000000000,5386.4018536306257374,0.0000000000000000,0.0000000000000000,1.0103106813113516,1.0619311334592625,-2.4621017516677624,7.4612735786904798,9.9233753303582422,0.0414921828548553,0.0372661884491479,0.1229194260236129,0.2280684500621915,0.6943538263072531,0.0212371862378000,0.0521250000000000,1.0003897474481704,0.9974432026423014,2.4674187307745825,112.1219032015478945,109.6544844707733120,0.3677395352555065,0.3722190228930392,0.2216371069606397,0.4178734769772208,2.1798285471200747,0.0000000000000000,0.0000000000000000
