period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2118595075030498,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2119711763789383,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2120850791170241,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2122012606953945,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2284.2364147834864525,2283.7878797894500167,4716.6725886587928471,335.3114393308734407,7.8780078074343471,1948.8591204247572932,38.2123197666242547,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0001963995859704,1.0013635659804294,0.9989592912411673,16.4562550377250361,15.4572957464838687,0.0404455581306676,0.0410013582017146,0.1499886614140480,0.0000000000000000,0.0000000000000000,1.0000186451133077,1.0006789364786330,-1.4049058210837444,110.4349698754712534,111.8398756965549978,0.0976467978870235,0.1000224049130845,0.1742183779882483,0.0000000000000000,0.0000000000000000
5,2285.1339869479506888,2288.0661822837064392,4717.3705416062202858,336.0677827856585509,8.0084458048551781,1949.4968806841570768,38.2123076835536537,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,0.9987184831634419,1.0036741008723049,0.6840980737451758,16.3544170337877297,15.6703189600425539,0.0404455581306676,0.0405369989932526,0.1516332158216887,0.0000000000000000,0.0000000000000000,0.9995242348461432,1.0010890461024438,-1.9584048862046188,110.7267643418686873,112.6851692280733062,0.0976467978870234,0.0997278009435739,0.1769206425229546,0.0000000000000000,0.0000000000000000
6,2285.2032627083549414,2288.1811081827308954,4717.5145100208483200,336.1324995180418682,8.0072439380050415,1949.5082069918112211,38.2120453484465656,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,0.9986985971242704,1.0036640498168223,0.6838870203190464,16.3604821207086282,15.6765951003895818,0.0404455581306676,0.0405383446797454,0.1518445929285141,0.0000000000000000,0.0000000000000000,0.9995296342174992,1.0010611457190637,-1.9496756475460018,110.7655919829559963,112.7152676305019980,0.0976467978870234,0.0997340785351607,0.1771506443122110,0.0000000000000000,0.0000000000000000
7,2285.7224221318797390,2286.3734500183759337,4718.6808662693219958,336.1357600216680908,7.6927364479260376,1949.6823742754399973,38.2117733318569890,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,0.9997152574149725,1.0045749984521881,0.6939505544288593,16.1924511391786581,15.4985005847497987,0.0383482058679881,0.0408096560681575,0.1536277091631371,0.0000000000000000,0.0000000000000000,0.9998256498207670,1.0019045205967829,-2.1409486106230133,109.5982943952561186,111.7392430058791319,0.0934344754357573,0.0999995279046663,0.1782050853596111,0.0000000000000000,0.0000000000000000
8,2285.4237229317209312,2261.7592041644688834,4717.7793425124009445,332.2560421695079071,8.0922262711794861,1949.6913251311730164,38.2114276348238064,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0104628816028143,0.9980680413972988,1.9098929833282963,17.3882366323643041,15.4783436490360078,0.0404455581306677,0.0427506196818398,0.1596749556010488,0.0000000000000000,0.0000000000000000,0.9995132374513668,1.0036592083584921,-3.0774637830703568,109.3619298184466260,112.4393936015169828,0.0976467978870235,0.0997052078897713,0.1765611657028259,0.0000000000000000,0.0000000000000000
9,2285.2776422401498166,2259.2699272601948906,4717.7024443616892313,331.8386344534951604,8.0927082742506151,1949.6190283676082800,38.2110715234737341,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0115115571920577,0.9962815034771084,2.1028869686610889,17.5206122457542222,15.4177252770931332,0.0404455581306675,0.0429376743049789,0.1614666007845116,0.0000000000000000,0.0000000000000000,0.9995542572461226,1.0036382750116635,-3.0524157629580912,109.3447384003672340,112.3971541633253253,0.0976467978870235,0.0997049807113535,0.1770585941228613,0.0000000000000000,0.0000000000000000
10,2285.1752461105552356,2258.2103618922442365,4717.6488116582249859,331.6522155899723430,8.0962266283125572,1949.5628309992962386,38.2107366219950535,0.0000000000000000,97426.0059911641874351,0.0000000000000000,0.0000000000000000,1.0119408203386839,0.9954688377754256,2.1841735970037170,17.5613668585991896,15.3771932615954725,0.0455875714441888,0.0430118939067063,0.1436505802570335,0.0000000000000000,0.0000000000000000,0.9995990048927014,1.0035663272065349,-3.0003149065555306,109.3293379337719529,112.3296528403274834,0.0976467978870235,0.0997174195029830,0.1771240278496633,0.0000000000000000,0.0000000000000000
