period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,rex1,rim1,exrate1,mktpen1,tau1,ntb1
0,2283.6422616053027923,2283.6422557700425386,4715.7685350260717314,335.1221382805183566,2.4015439998949693,1948.5201233247839809,38.2092754628621378,38.2067830572649854,97426.0058025364123750,0.0000000000000000,0.0000000000000000,1.0000000025552429,0.9999999904560283,1.0975558110825006,16.6010367049628655,15.5034808938803650,0.0410000017129559,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000042716872,0.9999999887583086,-1.0975533623729348,111.0969850504475147,112.1945384128204495,0.1000000104344618,1.0000000000000000,0.0000000000000000,0.0000000000000000
1,2283.6422618467172470,2283.6422565054404004,4715.7685351823929523,335.1221383755193983,2.4015439982694451,1948.5201234711980760,38.2093354383614496,38.2067931799883311,97426.0058361035189591,0.0000000000000000,0.0000000000000000,1.0000000023389286,0.9999999907435235,1.0975557696003317,16.6010366875594890,15.5034809179591573,0.0410000016766234,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000040769592,0.9999999890010617,-1.0975536125239813,111.0969849582264999,112.1945385707504812,0.1000000103716949,1.0000000000000000,0.0000000000000000,0.0000000000000000
2,2283.6422620739353988,2283.6422571778298334,4715.7685353433043929,335.1221384617108470,2.4015439968048757,1948.5201236122243245,38.2093966135072876,38.2068035051142374,97426.0058671484293882,0.0000000000000000,0.0000000000000000,1.0000000021439894,0.9999999910026152,1.0975557322213856,16.6010366719463569,15.5034809397249713,0.0410000016438808,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000039015273,0.9999999892197589,-1.0975538378922067,111.0969848756222973,112.1945387135145040,0.1000000103151474,1.0000000000000000,0.0000000000000000,0.0000000000000000
3,2283.6422622878744733,2283.6422577929479303,4715.7685355073235769,335.1221385399319388,2.4015439954853104,1948.5201237479423071,38.2094590123025384,38.2068140366931104,97426.0058958799054381,0.0000000000000000,0.0000000000000000,1.0000000019683146,0.9999999912361066,1.0975556985402655,16.6010366579430197,15.5034809594027543,0.0410000016143736,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000037434786,0.9999999894167859,-1.0975540409351225,111.0969848016562338,112.1945388425913563,0.1000000102642022,1.0000000000000000,0.0000000000000000,0.0000000000000000
4,2283.8495791752657169,2284.3117910763266991,4715.9785242600673882,335.1911922226067304,2.4000713512951584,1948.6583869526593844,38.2095226592304158,38.2068247788563156,97426.0059224882279523,0.0000000000000000,0.0000000000000000,0.9997976581380587,1.0003077169260566,1.0428529530758865,16.5664682209601999,15.5286586411610159,0.0409405408701239,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999171957386839,1.0001067970621484,-1.2327369609072605,111.0208409349782670,112.2653016450446160,0.0999583657788717,1.0000000000000000,0.0000000000000000,0.0000000000000000
5,2284.5000458580889244,2286.3680847524087767,4716.6472478943624083,335.4287004326203601,2.3955330230176992,1949.0713454254682802,38.2095333529783829,38.2084068330828686,97426.0059471469139680,0.0000000000000000,0.0000000000000000,0.9991829666855578,1.0012424330523089,0.8769560819055684,16.4620973910258677,15.6054105968983059,0.0407605976172168,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996603141069519,1.0004387701681468,-1.6545177082421674,110.7833333728417529,112.4857493284524281,0.0998281355954318,1.0000000000000000,0.0000000000000000,0.0000000000000000
6,2284.5342081137209789,2286.3924234369760597,4716.7252711040555369,335.4594395687033170,2.3955494304843961,1949.0747685450173776,38.2093823463918483,38.2082333058580517,97426.0059700144483941,0.0000000000000000,0.0000000000000000,0.9991872719205123,1.0012359386630603,0.8782308901404576,16.4632499263111320,15.6051831933882195,0.0407620803170591,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996674801600370,1.0004305550246515,-1.6497670990666933,110.7852788848918237,112.4820309202442417,0.0998281293221512,1.0000000000000000,0.0000000000000000,0.0000000000000000
7,2284.5720921088668547,2286.4218718268070916,4716.8088640123914956,335.4947716872716796,2.3955538354646269,1949.0773204215947771,38.2092269790576822,38.2080549679493089,97426.0059912349679507,0.0000000000000000,0.0000000000000000,0.9991909718233835,1.0012300730043837,0.8794566925288390,16.4644201223601776,15.6050328269636918,0.0407635707104627,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996737389277128,1.0004235869591971,-1.6468213677475205,110.7861689362922561,112.4791996405786136,0.0998275013744093,1.0000000000000000,0.0000000000000000,0.0000000000000000
8,2284.6829530927388987,2267.3587481921163089,4716.9414704440368951,335.4737095144624845,2.4100783241861987,1949.2092435782760731,38.2090675053672371,38.2090675053672371,97426.0060109405312687,0.0000000000000000,0.0000000000000000,1.0076406986386410,0.9977913586260998,1.9376962919769554,17.3849886412717538,15.3963504899197208,0.0423286008869368,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9993452538209369,1.0018121100058894,-2.6698813391659826,110.5176328022998291,113.4127661137902976,0.0996771879260879,1.0000000000000000,0.0000000000000000,0.0000000000000000
9,2284.6191870553816443,2266.7455779524116224,4716.9186116709242924,335.4445309762826923,2.4107664851542876,1949.1746560790993499,38.2088531350352270,38.2088531350352270,97426.0060292517155176,0.0000000000000000,0.0000000000000000,1.0078851412689709,0.9974646411571363,1.9847144930130707,17.4100245605557831,15.3684192911486086,0.0423703472571696,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9993806711937563,1.0017692647249667,-2.6243552483913817,110.5402454049241214,113.3852725499094021,0.0996886442101230,1.0000000000000000,0.0000000000000000,0.0000000000000000
