period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422590030169886,2283.6422516481779894,5585.3689788965702974,893.6590360937018431,1646.1340193321711922,4715.7685305316535960,335.1221366182146539,8.1516105798600833,1948.5201213054870095,38.2098997799901454,0.0000000000000000,97426.0056479618506273,0.0000000000000000,0.0000000000000000,1.0000000032206617,0.9999999858374478,1.0975558655718132,16.6010366278466286,15.5034807622748154,0.0404455581306668,0.0410000012827560,0.1566443197934143,0.2762895302864038,1.4195816199284281,0.0000000000000000,0.0000000000000000,1.0000000049373698,0.9999999842194761,-1.0975532049156271,111.0969842088377106,112.1945374137533378,0.0976467978870219,0.1000000032107815,0.1809728286190077,0.3317069184639801,2.1298883095431091,0.0000000000000000,0.0000000000000000
1,2283.6422593183319805,2283.6422525859288726,5585.3689778603056766,893.6590361072205724,1646.1340192469692738,4715.7685307200581519,335.1221368657199946,8.1516105697259906,1948.5201214646390326,38.2099722448312917,0.0000000000000000,97426.0056882054486778,0.0000000000000000,0.0000000000000000,1.0000000029480989,0.9999999861241521,1.0975558305905402,16.6010366191904772,15.5034807885999371,0.0404455581306669,0.0410000012365253,0.1566443198433904,0.2762895299430834,1.4195816199896130,0.0000000000000000,0.0000000000000000,1.0000000047904101,0.9999999848024304,-1.0975535265016987,111.0969841808134646,112.1945377073151633,0.0976467978870218,0.1000000031650832,0.1809728286545093,0.3317069181297765,2.1298883095810526,0.0000000000000000,0.0000000000000000
2,2283.6422595323833775,2283.6422534360754071,5585.3689770423798109,893.6590361046294220,1646.1340191634335497,4715.7685308057116345,335.1221370437210112,8.1516105604956017,1948.5201215940355723,38.2100461591900000,0.0000000000000000,97426.0057249332894571,0.0000000000000000,0.0000000000000000,1.0000000026695546,0.9999999865468386,1.0975557859296217,16.6010366080343736,15.5034808221047520,0.0404455581306669,0.0410000011899003,0.1566443197243250,0.2762895299956735,1.4195816194158948,0.0000000000000000,0.0000000000000000,1.0000000045354198,0.9999999850640796,-1.0975537544592555,111.0969840858671773,112.1945378403264328,0.0976467978870218,0.1000000030849554,0.1809728285351248,0.3317069180980391,2.1298883089427179,0.0000000000000000,0.0000000000000000
3,2283.6422597551691069,2283.6422537353387270,5585.3689763581842271,893.6590361162800491,1646.1340191105246049,4715.7685309528187645,335.1221371578520234,8.1516105560651919,1948.5201217139128858,38.2101215520797268,0.0000000000000000,97426.0057391718873987,0.0000000000000000,0.0000000000000000,1.0000000026360656,0.9999999873571058,1.0975557333800214,16.6010366022851521,15.5034808689051307,0.0404455581306668,0.0410000011834565,0.1566443196769993,0.2762895299696964,1.4195816192366852,0.0000000000000000,0.0000000000000000,1.0000000043738990,0.9999999853945561,-1.0975539704572981,111.0969839861700166,112.1945379566273147,0.0976467978870218,0.1000000030296395,0.1809728284424045,0.3317069181931065,2.1298883085065130,0.0000000000000000,0.0000000000000000
4,2283.8971645515434830,2284.0058514269530860,5585.3689758179489218,893.7021293717416484,1646.1869376023248606,4716.1016216261086811,335.2344518224014109,8.1085172686330047,1948.6786652211535511,38.2101984530867327,0.0000000000000000,97426.0057716672308743,0.0000000000000000,0.0000000000000000,0.9999524139242602,1.0005361920600460,1.0488771035507387,16.5539626597695353,15.5050855562187966,0.0401696398008173,0.0409690709315550,0.1568168975162794,0.2672556705796385,1.4165058338837988,0.0000000000000000,0.0000000000000000,0.9999646714564019,1.0002488445986972,-1.2422492476487861,110.9195730610661030,112.1618223087148891,0.0970926434913956,0.0999806563587564,0.1812075842199497,0.3238998085663943,2.1268761273867436,0.0000000000000000,0.0000000000000000
5,2284.4625314001996230,2285.9101185695280947,5585.4653338288298983,893.6825222248232876,1646.1723265223517956,4716.6454009165800016,335.6118502941851602,8.1281243820449660,1949.0632123881559892,38.2102147106498009,0.0000000000000000,97426.0058087265060749,0.0000000000000000,0.0000000000000000,0.9993667348695958,1.0017347880405116,0.9008514245402264,16.4850747156733846,15.5842232911331582,0.0404455581306669,0.0407751460181840,0.1557085858126240,0.2755777624372150,1.4160334036672035,0.0000000000000000,0.0000000000000000,0.9997190324753981,1.0006309755254426,-1.6030183205896833,110.8701830244273907,112.4732013450170740,0.0976467978870218,0.0998346494927175,0.1805721145995332,0.3314611187121517,2.1281714314291365,0.0000000000000000,0.0000000000000000
6,2284.4994611324864309,2285.8894711263860700,5585.7367108393664239,893.6819481091894204,1646.1982815271232994,4716.7206786324468339,335.6341421192776693,8.1286986084844024,1949.0694123509365454,38.2100805142416462,0.0000000000000000,97426.0058209446142428,0.0000000000000000,0.0000000000000000,0.9993919172333269,1.0016974097778055,0.9059481766517941,16.4910009044059969,15.5850527277542028,0.0404455581306668,0.0407848929080612,0.1558114361101045,0.2756552721737956,1.4163367027772680,0.0000000000000000,0.0000000000000000,0.9997250850412737,1.0006353611451297,-1.6061305854845784,110.8763044208425441,112.4824350063271226,0.0976467978870219,0.0998397219003651,0.1806260810251118,0.3314625329142369,2.1283337137295222,0.0000000000000000,0.0000000000000000
7,2284.6526295471576304,2285.1508824234083477,5586.0225325989113117,893.7507052146911519,1646.3107956018022833,4717.0400840652946499,335.6091351055825385,8.0599414539831677,1949.1166704485285663,38.2099412044146618,0.0000000000000000,97426.0058488061913522,0.0000000000000000,0.0000000000000000,0.9997819606223446,1.0015249486557050,0.9453274205510240,16.4837202862788210,15.5383928657277970,0.0399203355925186,0.0409231424089574,0.1570162101203035,0.2574766537296455,1.4134614488300166,0.0000000000000000,0.0000000000000000,0.9997743020735094,1.0009064071535376,-1.6953540227210624,110.5859985071952991,112.2813525299163615,0.0965790818528193,0.0999757520951375,0.1811796776767404,0.3156524821959820,2.1228176015306359,0.0000000000000000,0.0000000000000000
8,2284.7857880648030005,2265.8526272820772647,5586.3970978907736935,893.6259613234105927,1646.1943975012720784,4717.0012669787265622,332.7416901035457499,8.1846853276191780,1949.2637530076658550,38.2097805843375511,0.0000000000000000,97426.0058511638635537,0.0000000000000000,0.0000000000000000,1.0083558659353014,0.9963173815857321,1.9273178351199309,17.3021911866349889,15.3748733515150580,0.0404455581306668,0.0425430883443277,0.1620583180266259,0.2811548480829016,1.4406330923076758,0.0000000000000000,0.0000000000000000,0.9994391311070310,1.0028285412622913,-2.7057737109076356,109.6529650585119242,112.3587387694195598,0.0976467978870217,0.0997134075650491,0.1802057053232023,0.3312620973786766,2.1266045652934662,0.0000000000000000,0.0000000000000000
9,2284.7013587425772130,2264.2707583631977286,5586.7352729620452010,893.6248797249609197,1646.2262861989136127,4716.9639524941667332,332.4792507275126923,8.1857669247823761,1949.2221352066180771,38.2095591034753141,0.0000000000000000,97426.0058937231660821,0.0000000000000000,0.0000000000000000,1.0090230376839466,0.9949303366968947,2.0663163543711534,17.3953137763166588,15.3289974219455054,0.0404455581306668,0.0426629609227812,0.1633816362021608,0.2815122515081346,1.4453296943317966,0.0000000000000000,0.0000000000000000,0.9994592738811470,1.0028662409441229,-2.7153597801134737,109.6091386425498229,112.3244984226632965,0.0976467978870218,0.0997081273942168,0.1803405004161615,0.3312660441075980,2.1270625865916402,0.0000000000000000,0.0000000000000000
10,2284.6358387873783613,2263.5584325105510288,5587.0103575492230448,893.6226543572814762,1646.2505721230922973,4716.9343144473596112,332.3538114652568538,8.1879922861608314,1949.1872734110697820,38.2093495068616136,0.0000000000000000,97426.0058938967558788,0.0000000000000000,0.0000000000000000,1.0093116245527836,0.9943455107192763,2.1233721146150479,17.4249783447955053,15.3016062301804574,0.0404455581306668,0.0427131082529539,0.1637285411616671,0.2816642516692491,1.4465560332482792,0.0000000000000000,0.0000000000000000,0.9994895627841451,1.0028234275171659,-2.6827543984503421,109.5974960655195645,112.2802504639699066,0.0976467978870219,0.0997159871170435,0.1803746268636228,0.3312797236984253,2.1271933099507820,0.0000000000000000,0.0000000000000000
11,2284.5762295175600229,2263.0073510722777428,5587.2382859770204959,893.6204514205447822,1646.2702531363986509,4716.9037834650898731,332.2552290777247208,8.1901952950422743,1949.1542530382457699,38.2091493844250323,0.0000000000000000,97426.0059189369785599,0.0000000000000000,0.0000000000000000,1.0095310686618242,0.9939211891474872,2.1648041530240114,17.4439328498226445,15.2791286967986331,0.0404455581306669,0.0427507732710463,0.1639058973258208,0.2817790651177800,1.4472118860505334,0.0000000000000000,0.0000000000000000,0.9995190540334326,1.0027735020544395,-2.6471259152862530,109.5914164559010686,112.2385423711873216,0.0976467978870218,0.0997249259617141,0.1803959119972598,0.3312936773077257,2.1272861478973364,0.0000000000000000,0.0000000000000000
12,2284.5204345722304424,2262.5219796075916747,5587.4259547929286782,893.6184383648781022,1646.2862126356767476,4716.8715682997371914,332.1683916937783465,8.1922082882837479,1949.1223763951147703,38.2089582040335998,0.0000000000000000,97426.0059185576974414,0.0000000000000000,0.0000000000000000,1.0097229795612654,0.9935550998915377,2.2006013553097752,17.4598537696693192,15.2592524143595440,0.0404455581306668,0.0427836472440339,0.1640443410028759,0.2818793192235466,1.4477352634849783,0.0000000000000000,0.0000000000000000,0.9995460119389015,1.0027267392870873,-2.6140407186346266,109.5865981542397805,112.2006388728744071,0.0976467978870218,0.0997332602873791,0.1804141469594551,0.3313065109560793,2.1273680400887680,0.0000000000000000,0.0000000000000000
13,2284.4679674893004631,2262.0850867119211216,5587.5784487465698476,893.6166212536567173,1646.2989577424648360,4716.8379318256329498,332.0904441184809457,8.1940253986427969,1949.0915546591759266,38.2087756963515019,0.0000000000000000,97426.0059565259871306,0.0000000000000000,0.0000000000000000,1.0098948005576194,0.9932283161054927,2.2325655309687189,17.4739987208000791,15.2414331898313602,0.0404455581306669,0.0428130803500967,0.1641655639136867,0.2819690364603992,1.4481959682543750,0.0000000000000000,0.0000000000000000,0.9995703900763682,1.0026842797679190,-2.5840515713279615,109.5823181750356241,112.1663697463635856,0.0976467978870217,0.0997408190260117,0.1804305104837064,0.3313181257027557,2.1274418550192120,0.0000000000000000,0.0000000000000000
14,2284.4185868995632518,2261.6903896384069412,5587.7001502343100583,893.6149841459251775,1646.3088994842669308,4716.8032399425292169,332.0202655872531636,8.1956625189199457,1949.0617805879296611,38.2086016214561752,0.0000000000000000,97426.0059519621863728,0.0000000000000000,0.0000000000000000,1.0100492080460182,0.9929349005464779,2.2612664875440949,17.4866852515603881,15.2254187640162932,0.0404455581306668,0.0428395389677992,0.1642740522746436,0.2820496401709519,1.4486087063824851,0.0000000000000000,0.0000000000000000,0.9995923928238669,1.0026459295308670,-2.5569798659648200,109.5784274979581028,112.1354073639229227,0.0976467978870219,0.0997476432940029,0.1804452657242934,0.3313286085143275,2.1275084569860518,0.0000000000000000,0.0000000000000000
15,2284.3720984170267911,2261.3335447803942770,5587.7949448517383644,893.6135097461739178,1646.3163983674378414,4716.7678308880049372,331.9570540415513733,8.1971369066170912,1949.0330530667415587,38.2084357374514525,0.0000000000000000,97426.0059836876316695,0.0000000000000000,0.0000000000000000,1.0101880386862034,0.9926711990694599,2.2870598222979464,17.4980795978997250,15.2110197756017786,0.0404455581306669,0.0428633363533545,0.1643715088465076,0.2821220973389609,1.4489795476180798,0.0000000000000000,0.0000000000000000,0.9996122439376830,1.0026113238884196,-2.5325595916024639,109.5748732934428915,112.1074328850453554,0.0976467978870218,0.0997537993869455,0.1804585748820917,0.3313380648626897,2.1275685377710429,0.0000000000000000,0.0000000000000000
16,2284.3283250111671805,2261.0108316640994417,5587.8662919926691757,893.6121821161940488,1646.3217746592213189,4716.7320008353017329,331.9001178796928002,8.1984645424789448,1949.0053669211711167,38.2082777980263444,0.0000000000000000,97426.0059787845821120,0.0000000000000000,0.0000000000000000,1.0103128622917330,0.9924341831105929,2.3102416029814012,17.5083136344685286,15.1980720314871274,0.0404455581306669,0.0428847391795399,0.1644591048735802,0.2821872318383863,1.4493128801618467,0.0000000000000000,0.0000000000000000,0.9996301520857909,1.0025801035306361,-2.5105340700297916,109.5716214392536756,112.0821555092834672,0.0976467978870218,0.0997593517602435,0.1804705791833352,0.3313465943144019,2.1276227300084449,0.0000000000000000,0.0000000000000000
17,2284.2871018613832348,2260.7189243142779560,5587.9172717879546326,893.6109868469062576,1646.3253132221814212,4716.6960058712893442,331.8488387173446199,8.1996599037507210,1948.9787121730732906,38.2081275539583203,0.0000000000000000,97426.0059935857862001,0.0000000000000000,0.0000000000000000,1.0104250808420399,0.9922211642375729,2.3310748297548542,17.5175037117182733,15.1864288819634190,0.0404455581306669,0.0429039856931474,0.1645378390927685,0.2822457785939190,1.4496124928893559,0.0000000000000000,0.0000000000000000,0.9996463066976402,1.0025519391144377,-2.4906690611744438,109.5686432090248701,112.0593122701993138,0.0976467978870219,0.0997643593295114,0.1804814061003143,0.3313542874057485,2.1276716085034773,0.0000000000000000,0.0000000000000000
18,2284.2482752771707055,2260.4548256563753057,5587.9506248371990296,893.6099106060938766,1646.3272668710005746,4716.6600657254875841,331.8026598617170180,8.2007360546041905,1948.9530749842710975,38.2079847549384439,0.0000000000000000,97426.0060103613504907,0.0000000000000000,0.0000000000000000,1.0105259567016061,0.9920297280002405,2.3497957894943724,17.5257543961391420,15.1759586066447696,0.0404455581306669,0.0429212906390587,0.1646086020800161,0.2822983987253901,1.4498817736093459,0.0000000000000000,0.0000000000000000,0.9996608787562130,1.0025265318857184,-2.4727526929202810,109.5659135991022595,112.0386662920225405,0.0976467978870218,0.0997688752613857,0.1804911706331720,0.3313612258051508,2.1277156921388745,0.0000000000000000,0.0000000000000000
19,2284.2117016661782145,2260.2158311148332359,5587.9687875414756490,893.6089418643304043,1646.3278607417814783,4716.6243695417770141,331.7610801393702218,8.2017047940608965,1948.9284375727770566,38.2078491510632503,0.0000000000000000,97426.0060101636627223,0.0000000000000000,0.0000000000000000,1.0106166279436719,0.9918577010832740,2.3666172167426929,17.5331599880070712,15.1665427712643783,0.0404455581306669,0.0429368479039837,0.1646721935609342,0.2823456868770295,1.4501237671242333,0.0000000000000000,0.0000000000000000,0.9996740231128010,1.0025036130411908,-2.4565939786426441,109.5634091959816345,112.0200031746242786,0.0976467978870217,0.0997729478773658,0.1804999768556335,0.3313674834929032,2.1277554507464598,0.0000000000000000,0.0000000000000000
20,2284.1772476498649667,2259.9994914886378865,5587.9739243745170825,893.6080700689942660,1646.3272944526129322,4716.5890788466431331,331.7236470040610925,8.2025765919443092,1948.9047797366033592,38.2077204943894628,0.0000000000000000,97426.0060161322326167,0.0000000000000000,0.0000000000000000,1.0106981246023639,0.9917031334480975,2.3817304897647933,17.5398052310032959,15.1580747412385026,0.0404455581306669,0.0429508305442141,0.1647293196274592,0.2823881683031214,1.4503411689184387,0.0000000000000000,0.0000000000000000,0.9996858794320830,1.0024829397731723,-2.4420206381075644,109.5611087997190225,112.0031294378265869,0.0976467978870217,0.0997766155593190,0.1805079177701838,0.3313731265460972,2.1277913046577610,0.0000000000000000,0.0000000000000000
