period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000017789688087,100.0000017789688087,189.2068176096694572,15.5396597128125880,1.4815692372961826,84.4603420661562296,1.6250121400655748,0.0000000000000000,4223.0170929710575365,0.0000000000000000,0.0000000000000000,1.0000000029421385,1.0000000014706023,1.0975553153394682,14.8334536348753936,13.7358983195359254,0.5448322661549319,0.5500000014507231,0.2523659246791988,0.0000000000000000,0.0000000000000000,0.9999999982351144,1.0000000141406027,-1.0975557453539846,15.5034807956892795,16.6010365410432641,0.4329285589113303,0.4299999891655126,0.2212575902586603,0.0000000000000000,0.0000000000000000
1,100.0000016260332245,100.0000016260331961,189.2068177728906448,15.5396597046532747,1.4815692425158913,84.4603419213799498,1.6244025692482209,0.0000000000000000,4223.0170948562181366,0.0000000000000000,0.0000000000000000,1.0000000014350430,0.9999999999456921,1.0975552814032632,14.8334532990253347,13.7358980176220715,0.5448322661549319,0.5500000009592643,0.2523659244202660,0.0000000000000000,0.0000000000000000,0.9999999989661047,1.0000000134416140,-1.0975556606540362,15.5034808423039632,16.6010365029579994,0.4329285589113296,0.4299999907655144,0.2212575912405360,0.0000000000000000,0.0000000000000000
2,100.0000016028214702,100.0000016028214418,189.2068177354285581,15.5396596540739278,1.4815692418811448,84.4603419487475264,1.6237812780216252,0.0000000000000000,4223.0170941180285809,0.0000000000000000,0.0000000000000000,1.0000000023784887,1.0000000011904093,1.0975552632076067,14.8334532277299296,13.7358979645223229,0.5448322661549313,0.5500000016185400,0.2523659248151295,0.0000000000000000,0.0000000000000000,0.9999999983021051,1.0000000110817810,-1.0975555612476242,15.5034809943584406,16.6010365556060648,0.4329285589113296,0.4299999898783887,0.2212575908080442,0.0000000000000000,0.0000000000000000
3,100.0000016940464320,100.0000016940464320,189.2068178335059088,15.5396596860751988,1.4815692432911254,84.4603420079712350,1.6231480503770406,0.0000000000000000,4223.0170978984633621,0.0000000000000000,0.0000000000000000,1.0000000022907178,0.9999999973425715,1.0975554900343454,14.8334534394514304,13.7358979494170850,0.5448322661549320,0.5500000013968847,0.2523659246938796,0.0000000000000000,0.0000000000000000,0.9999999992536772,1.0000000157727129,-1.0975557963428333,15.5034808938089643,16.6010366901517976,0.4329285589113304,0.4299999906028878,0.2212575911006454,0.0000000000000000,0.0000000000000000
4,99.7585431238473461,99.7585431238472751,188.9958516393457160,15.5090643532565160,1.4603205441221538,84.2494787705908266,1.6225026667510336,0.0000000000000000,4223.0170982800727870,0.0000000000000000,0.0000000000000000,0.9998222804313871,0.9981196301841064,1.2010910337653069,14.8011761971563853,13.6000851633910784,0.5448322661549335,0.5503935874804869,0.2494422590176307,0.0000000000000000,0.0000000000000000,0.9998036389792528,0.9986382907999112,-0.9989592912411673,15.4572957464838687,16.4562550377250361,0.4230156428587092,0.4304121928260031,0.2233232447799160,0.0000000000000000,0.0000000000000000
5,99.2193295321380617,99.2193295321380617,188.4043801669517109,15.5365794165794924,1.4942869619377848,83.6827501155585765,1.6219244138089643,0.0000000000000000,4223.0170966137911819,0.0000000000000000,0.0000000000000000,1.0008067855920209,0.9973262015113431,1.3560265359932782,14.9274173956618679,13.5713908596685897,0.5448322661549323,0.5514088690620713,0.2530540301537635,0.0000000000000000,0.0000000000000000,1.0012831612292774,0.9963393487297203,-0.6840980737451758,15.6703189600425539,16.3544170337877297,0.4329285589113299,0.4321536938679369,0.2224456699473987,0.0000000000000000,0.0000000000000000
6,99.2301531975395221,99.2301531975393942,188.4157550636057010,15.5460837150464517,1.4938033557841734,83.6840694824930438,1.6215505838817379,0.0000000000000000,4223.0170998309095012,0.0000000000000000,0.0000000000000000,1.0008321200166113,0.9974537546889768,1.3500830559771426,14.9322146470757389,13.5821315910985962,0.5448322661549316,0.5514263179276673,0.2536072607321646,0.0000000000000000,0.0000000000000000,1.0013030987321669,0.9963493264329921,-0.6838870203190464,15.6765951003895818,16.3604821207086282,0.4329285589113299,0.4321773369077667,0.2227695886745687,0.0000000000000000,0.0000000000000000
7,99.1401106411706223,99.1401106411705939,188.3951495114671957,15.4911307594175778,1.4460809341403247,83.6489798817530357,1.6211689497822717,0.0000000000000000,4223.0170935436863147,0.0000000000000000,0.0000000000000000,1.0001104238481666,0.9950864987700186,1.4241101372506577,14.8226575708888184,13.3985474336381607,0.5246577454885736,0.5517726953881701,0.2573990502790712,0.0000000000000000,0.0000000000000000,1.0002848236864603,0.9954458368372325,-0.6939505544288593,15.4985005847497987,16.1924511391786581,0.4230156428587097,0.4321898229511280,0.2210158185084599,0.0000000000000000,0.0000000000000000
8,97.5908237427123453,97.5908237427121890,187.0620956379026154,14.7244817152059504,1.2914841542389746,82.8663420275063771,1.6207932995889827,0.0000000000000000,4223.0171014910347367,0.0000000000000000,0.0000000000000000,0.9891637344124121,0.9121136822472330,2.6879567642235571,7.9069935761269319,5.2190368119033748,0.4175727997143485,0.2857639615994217,0.1511847679063204,0.0357662801726000,0.0653100000000000,0.9896454567571865,1.0019356982916681,-1.9098929833282963,15.4783436490360078,17.3882366323643041,0.4329285589113308,0.4350694837280640,0.2241494289704304,0.0000000000000000,0.0000000000000000
9,97.5330044792742967,97.5330044792741404,186.9011114926742891,14.7127002786043146,1.2978845617329231,82.8203042006699661,1.6207127654635030,0.0000000000000000,4223.0171009810028409,0.0000000000000000,0.0000000000000000,0.9881787806961609,0.9039315532293960,2.7624376869612766,7.6600311466449993,4.8975934596837227,0.3586760816802230,0.2853016694385889,0.1558670103746213,0.0357662801726000,0.0653100000000000,0.9886194506526317,1.0037323753476439,-2.1028869686610889,15.4177252770931332,17.5206122457542222,0.4329285589113306,0.4345035002921250,0.2244783060290717,0.0000000000000000,0.0000000000000000
