period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000017789688087,100.0000017789688087,189.2068176096694572,15.5396597128125880,1.4815692372961826,84.4603420661562296,1.6382171702164001,0.0000000000000000,4223.0170929710575365,0.0000000000000000,0.0000000000000000,1.0000000029421385,1.0000000014706023,1.0975553153394682,14.8334536348753936,13.7358983195359254,0.5448322661549319,0.5500000014507231,0.2523659246791988,0.0000000000000000,0.0000000000000000,0.9999999982351144,1.0000000141406027,-1.0975557453539846,15.5034807956892795,16.6010365410432641,0.4329285589113303,0.4299999891655126,0.2212575902586603,0.0000000000000000,0.0000000000000000
1,100.0000016260332245,100.0000016260331961,189.2068177728906448,15.5396597046532747,1.4815692425158913,84.4603419213799498,1.6378637427649652,0.0000000000000000,4223.0170948562181366,0.0000000000000000,0.0000000000000000,1.0000000014350430,0.9999999999456921,1.0975552814032632,14.8334532990253347,13.7358980176220715,0.5448322661549319,0.5500000009592643,0.2523659244202660,0.0000000000000000,0.0000000000000000,0.9999999989661047,1.0000000134416140,-1.0975556606540362,15.5034808423039632,16.6010365029579994,0.4329285589113296,0.4299999907655144,0.2212575912405360,0.0000000000000000,0.0000000000000000
2,100.0000016028214702,100.0000016028214418,189.2068177354285581,15.5396596540739278,1.4815692418811448,84.4603419487475264,1.6375034038870528,0.0000000000000000,4223.0170941180285809,0.0000000000000000,0.0000000000000000,1.0000000023784887,1.0000000011904093,1.0975552632076067,14.8334532277299296,13.7358979645223229,0.5448322661549313,0.5500000016185400,0.2523659248151295,0.0000000000000000,0.0000000000000000,0.9999999983021051,1.0000000110817810,-1.0975555612476242,15.5034809943584406,16.6010365556060648,0.4329285589113296,0.4299999898783887,0.2212575908080442,0.0000000000000000,0.0000000000000000
3,100.0000016940464320,100.0000016940464320,189.2068178335059088,15.5396596860751988,1.4815692432911254,84.4603420079712350,1.6371360215257507,0.0000000000000000,4223.0170978984633621,0.0000000000000000,0.0000000000000000,1.0000000022907178,0.9999999973425715,1.0975554900343454,14.8334534394514304,13.7358979494170850,0.5448322661549320,0.5500000013968847,0.2523659246938796,0.0000000000000000,0.0000000000000000,0.9999999992536772,1.0000000157727129,-1.0975557963428333,15.5034808938089643,16.6010366901517976,0.4329285589113304,0.4299999906028878,0.2212575911006454,0.0000000000000000,0.0000000000000000
4,99.8525176337841742,99.8525176337841316,189.0919264893043987,15.5199644782456510,1.4588567607910923,84.3325531555385055,1.6367614612823667,0.0000000000000000,4223.0170982800727870,0.0000000000000000,0.0000000000000000,0.9997052947705747,0.9984647055885689,1.1665411833113257,14.7870592526975031,13.6205180693861774,0.5448322661549320,0.5501921646740517,0.2493179614271342,0.0000000000000000,0.0000000000000000,0.9996519329944006,0.9990518201908256,-1.0462481787198072,15.4377381905100108,16.4839863692298181,0.4230156428587090,0.4301624799836165,0.2231629426961908,0.0000000000000000,0.0000000000000000
5,99.6009081120310356,99.6009081120309503,188.7960190375453351,15.5851162426359764,1.4881494527135204,84.0157918693950450,1.6364285897551083,0.0000000000000000,4223.0170966137911819,0.0000000000000000,0.0000000000000000,1.0003503478316240,0.9987252294987944,1.2166129470209377,14.8707859144958743,13.6541729674749366,0.5448322661549320,0.5506120959213696,0.2524951089131236,0.0000000000000000,0.0000000000000000,1.0006874815259534,0.9980186573835887,-0.8754363643005281,15.5912247373376456,16.4666611016381736,0.4329285589113305,0.4311617900166371,0.2217673406056655,0.0000000000000000,0.0000000000000000
6,99.6137863535735733,99.6137863535736017,188.8157504284340007,15.5963472855269174,1.4871038821290852,84.0174390680466558,1.6362112740481103,0.0000000000000000,4223.0170998309095012,0.0000000000000000,0.0000000000000000,1.0003793054065588,0.9987344129616594,1.2164494355063216,14.8729975401295640,13.6565481046232424,0.5448322661549340,0.5506513797617809,0.2525961855505792,0.0000000000000000,0.0000000000000000,1.0007184633022426,0.9980685006210900,-0.8779615526294382,15.5978976443101214,16.4758591969395596,0.4329285589113305,0.4312138035628673,0.2220440268959623,0.0000000000000000,0.0000000000000000
7,99.4656239868611181,99.4656239868611465,188.7787192863241330,15.5048549356868293,1.4140611941931653,83.9607690511742817,1.6359890344258261,0.0000000000000000,4223.0170935436863147,0.0000000000000000,0.0000000000000000,0.9992091783312598,0.9948801324984117,1.3386835909332060,14.6965030263564334,13.3578194354232274,0.5246577454885731,0.5509597983002497,0.2523665254598452,0.0000000000000000,0.0000000000000000,0.9991067083912051,0.9966488843566308,-0.8921203954896146,15.3237760468585140,16.2158964423481287,0.4132276180657259,0.4310167970638110,0.2219261367172189,0.0000000000000000,0.0000000000000000
8,98.5221688528283721,98.5221688528283437,187.9768130101931831,14.9767318128909999,1.3121580416911283,83.5454370399373545,1.6357843379210928,0.0000000000000000,4223.0171014910347367,0.0000000000000000,0.0000000000000000,0.9908331046421569,0.9421446879644727,2.5226410731986153,10.0315857909220565,7.5089447177234412,0.5034585123103360,0.4809029238869590,0.2266876547001551,0.0357662801726000,0.0653100000000000,0.9913224642519977,1.0041034284855264,-1.9830722192002117,15.3406998480161949,17.3237720672164066,0.4329285589113302,0.4319656787230602,0.2217609440439531,0.0000000000000000,0.0000000000000000
9,98.5135561212493371,98.5135561212493656,187.9036260424508384,14.9876072356067365,1.3115957260952029,83.5259488856426060,1.6357371776374650,0.0000000000000000,4223.0171009810028409,0.0000000000000000,0.0000000000000000,0.9903878728609998,0.9399902505370049,2.5609424378008692,9.9685462594082956,7.4076038216074265,0.4917989344862926,0.4805726005027985,0.2287536926334517,0.0357662801726000,0.0653100000000000,0.9908887964358331,1.0052558723751162,-2.0908416302970476,15.3172490318013796,17.4080906620984273,0.4329285589113306,0.4316570597893351,0.2223888742681978,0.0000000000000000,0.0000000000000000
10,98.5215388718995655,98.5215388718995655,187.8527599437203435,15.0073432840418945,1.3106148798253268,83.5141955878576709,1.6356966982705818,0.0000000000000000,4223.0170997966451978,0.0000000000000000,0.0000000000000000,0.9901707669420643,0.9401563382651945,2.5448328209273665,9.9509939882304419,7.4061611673030754,0.4853492431000520,0.4804018169973934,0.2313957691642053,0.0357662801726000,0.0653100000000000,0.9906452952823943,1.0057602390871472,-2.1392490701911075,15.2930103502990971,17.4322594204902046,0.4329285589113304,0.4314651822410432,0.2223164292408545,0.0000000000000000,0.0000000000000000
11,98.5299490628833325,98.5299490628833752,187.8080759506831043,15.0259346971991423,1.3097065715727565,83.5040143656841849,1.6356600093175544,0.0000000000000000,4223.0171111604195175,0.0000000000000000,0.0000000000000000,0.9899905233247264,0.9404872397664945,2.5258621105090677,9.9380333667328724,7.4121712562238047,0.4806024655614907,0.4802586683657261,0.2335549636019667,0.0357662801726000,0.0653100000000000,0.9904384924936632,1.0061667649601100,-2.1785470155630051,15.2711886101397631,17.4497356257027683,0.4329285589113303,0.4312999453300748,0.2222016707828430,0.0000000000000000,0.0000000000000000
12,98.5375307974948811,98.5375307974948811,187.7678191448021039,15.0427285382879212,1.3088883475642250,83.4948022592069634,1.6356265721008225,0.0000000000000000,4223.0171045057768424,0.0000000000000000,0.0000000000000000,0.9898297918598016,0.9408009264171148,2.5084030094104293,9.9265985344325802,7.4181955250221510,0.4780433167645078,0.4801308325809154,0.2347128856873022,0.0357662801726000,0.0653100000000000,0.9902535860278495,1.0065283358088828,-2.2135063890434008,15.2515813061197694,17.4650876951631702,0.4329285589113302,0.4311519398184058,0.2220945221772325,0.0000000000000000,0.0000000000000000
13,98.5442627636611803,98.5442627636611519,187.7314556232477116,15.0578347136341311,1.3081526305831115,83.4864280500270581,1.6355960728653576,0.0000000000000000,4223.0171054145430389,0.0000000000000000,0.0000000000000000,0.9896854528454427,0.9410844868750053,2.4926733511006391,9.9163353480145435,7.4236619969139044,0.4776101914614887,0.4800159667913027,0.2348446555997041,0.0357662801726000,0.0653100000000000,0.9900874178455701,1.0068532692753989,-2.2449035718216965,15.2339526645070844,17.4788562363287809,0.4329285589113311,0.4310188534619260,0.2219978098722047,0.0000000000000000,0.0000000000000000
14,98.5502237178468476,98.5502237178467766,187.6985949686103652,15.0714144036574371,1.3074912580118119,83.4788093141893910,1.6355682427880698,0.0000000000000000,4223.0171030084911763,0.0000000000000000,0.0000000000000000,0.9895557595103648,0.9413395696712107,2.4785341037270854,9.9071092852988656,7.4285751815717802,0.4775560692521265,0.4799127089674446,0.2347985671433907,0.0357662801726000,0.0653100000000000,0.9899380281466119,1.0071455380407535,-2.2731256901452639,15.2181008195163798,17.4912265096616437,0.4329285589113309,0.4308991519999734,0.2219107827737718,0.0000000000000000,0.0000000000000000
15,98.5554938280586583,98.5554938280586583,187.6688932291599485,15.0836190102217937,1.3068967922670927,83.4718748178368770,1.6355428398154079,0.0000000000000000,4223.0171057334855504,0.0000000000000000,0.0000000000000000,0.9894392322397924,0.9415688778683331,2.4658288614122865,9.8988143558632764,7.4329854944509899,0.4775493062818604,0.4798198962110591,0.2347365571909114,0.0357662801726000,0.0653100000000000,0.9898037303887428,1.0074084089347692,-2.2984933677150110,15.2038463114094178,17.5023396791244288,0.4329285589113300,0.4307915006069094,0.2218325033652246,0.0000000000000000,0.0000000000000000
16,98.5601462454163340,98.5601462454163340,187.6420409659646964,15.0945858610951209,1.3063625261298506,83.4655603843212219,1.6355196448441345,0.0000000000000000,4223.0171069302650722,0.0000000000000000,0.0000000000000000,0.9893345464720216,0.9417749689681203,2.4544136764911002,9.8913565027030774,7.4369428262119772,0.4775484611987162,0.4797364851205078,0.2346782543151823,0.0357662801726000,0.0653100000000000,0.9896830118865002,1.0076448045156767,-2.3212930562401350,15.1910280023266555,17.5123210585667906,0.4329285589113311,0.4306946992174472,0.2217621048029079,0.0000000000000000,0.0000000000000000
17,98.5642469368388703,98.5642469368388703,187.6177592127170612,15.1044389903389611,1.3058824154916808,83.4598079464999074,1.6354984594381781,0.0000000000000000,4223.0171061984628977,0.0000000000000000,0.0000000000000000,0.9892405098718611,0.9419601655337619,2.4441585141596205,9.8846512301910803,7.4404927160314598,0.4775483555993290,0.4796615351619378,0.2346255413103202,0.0357662801726000,0.0653100000000000,0.9895745100563548,1.0078573612882615,-2.3417826686062835,15.1795009987508660,17.5212836673571495,0.4329285589113310,0.4306076654175146,0.2216988028318739,0.0000000000000000,0.0000000000000000
18,98.5678551929256912,98.5678551929256912,187.5957963416915106,15.1132902490955541,1.3054510100353800,83.4545649438301496,1.6354791038667882,0.0000000000000000,4223.0171104890223432,0.0000000000000000,0.0000000000000000,0.9891560468664534,0.9421265617612443,2.4349462552461594,9.8786225037695399,7.4436762485233805,0.4775483424039046,0.4795941964816695,0.2345781393103342,0.0357662801726000,0.0653100000000000,0.9894769968296218,1.0080484583483669,-2.3601945567340934,15.1691349643815450,17.5293295211156384,0.4329285589113305,0.4305294224988491,0.2216418893511205,0.0000000000000000,0.0000000000000000
19,98.5710243086255105,98.5710243086254820,187.5759255404188366,15.1212405117986108,1.3050634037715110,83.4497837968268925,1.6354614153362079,0.0000000000000000,4223.0171050238886892,0.0000000000000000,0.0000000000000000,0.9890801897159559,0.9422760483063266,2.4266714166323871,9.8732019229986623,7.4465305063662752,0.4775483407550382,0.4795337038957886,0.2345355502406629,0.0357662801726000,0.0653100000000000,0.9893893661220422,1.0082202419127742,-2.3767379848805152,15.1598127128379279,17.5365506977184431,0.4329285589113306,0.4304590900452374,0.2215907259908015,0.0000000000000000,0.0000000000000000
