period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000016480125566,100.0000016480125566,258.9943206700237965,41.4390913545463064,76.3314588835240357,189.2068175662759018,15.5396596811577918,1.4492159704889689,84.4603419668547701,1.6382212986783917,0.0000000000000000,4223.0170912686589872,0.0000000000000000,0.0000000000000000,1.0000000017167081,0.9999999975473759,1.0975554628301243,14.8334534170966634,13.7358979542665391,0.5448322661549130,0.5500000011855877,0.2608400702824484,0.4559927220685922,2.2203584303431074,0.0000000000000000,0.0000000000000000,0.9999999967793384,1.0000000141625525,-1.0975558655718132,15.5034807622748154,16.6010366278466286,0.4329285589113098,0.4299999881625149,0.2289379818905116,0.4093562449381142,1.9528183161712782,0.0000000000000000,0.0000000000000000
1,100.0000016595604819,100.0000016595604819,258.9943211109801382,41.4390913555424802,76.3314589280672635,189.2068176287422432,15.5396596710168211,1.4492159716955664,84.4603419885436466,1.6378679520177244,0.0000000000000000,4223.0170929695605082,0.0000000000000000,0.0000000000000000,1.0000000018423112,0.9999999974504770,1.0975554770622775,14.8334534380538958,13.7358979609916183,0.5448322661549132,0.5500000012871433,0.2608400704081538,0.4559927221771474,2.2203584306045325,0.0000000000000000,0.0000000000000000,0.9999999970519012,1.0000000138758480,-1.0975558305905402,15.5034807885999371,16.6010366191904772,0.4329285589113099,0.4299999883838007,0.2289379819051976,0.4093562450493585,1.9528183163507620,0.0000000000000000,0.0000000000000000
2,100.0000016708599304,100.0000016708599020,258.9943215153381288,41.4390913515801103,76.3314589629259075,189.2068176795445709,15.5396596618863452,1.4492159723433999,84.4603420089735692,1.6375076954103829,0.0000000000000000,4223.0170945259023938,0.0000000000000000,0.0000000000000000,1.0000000018658652,0.9999999976020884,1.0975554712904234,14.8334534450023607,13.7358979737119373,0.5448322661549126,0.5500000012877748,0.2608400704105630,0.4559927221676680,2.2203584305932353,0.0000000000000000,0.0000000000000000,0.9999999973304454,1.0000000134531615,-1.0975557859296217,15.5034808221047520,16.6010366080343736,0.4329285589113096,0.4299999886073977,0.2289379820307851,0.4093562451485818,1.9528183167718061,0.0000000000000000,0.0000000000000000
3,100.0000016740993800,100.0000016740993800,258.9943218863041920,41.4390913340018514,76.3314589777836261,189.2068176936765269,15.5396596387779997,1.4492159716300430,84.4603420353213750,1.6371403968927496,0.0000000000000000,4223.0170950883921250,0.0000000000000000,0.0000000000000000,1.0000000017378334,0.9999999975734200,1.0975554654763258,14.8334534357540253,13.7358979702776995,0.5448322661549132,0.5500000010865369,0.2608400703041135,0.4559927220850236,2.2203584302485400,0.0000000000000000,0.0000000000000000,0.9999999973639345,1.0000000126428943,-1.0975557333800214,15.5034808689051307,16.6010366022851521,0.4329285589113095,0.4299999885450544,0.2289379820118657,0.4093562450333579,1.9528183167148345,0.0000000000000000,0.0000000000000000
4,99.9016054406682059,99.9016054406670548,258.9943222119039206,41.4430280555855433,76.3362932686773803,189.1140711892823276,15.5391864292426636,1.4452792642127559,84.3624190114253594,1.6367659221045765,0.0000000000000000,4223.0170964606695634,0.0000000000000000,0.0000000000000000,1.0000122581154574,0.9994740214647527,1.1329949543536006,14.8318891917426843,13.6988942373890836,0.5435073342397825,0.5501613245806252,0.2608974113782468,0.4504680779941805,2.2191629679567613,0.0000000000000000,0.0000000000000000,1.0000475883402822,0.9994640952878056,-1.0488771035507387,15.5050855562187966,16.5539626597695353,0.4316244597907912,0.4302299402109722,0.2290706251682852,0.4028910585897270,1.9515673191688352,0.0000000000000000,0.0000000000000000
5,99.6455914179695839,99.6455914179696123,258.9938493069933543,41.4334865235114549,76.3245296340508190,188.8443092797150200,15.5667644584247551,1.4548208008376453,84.0788269595448270,1.6364216716157349,0.0000000000000000,4223.0170980479033460,0.0000000000000000,0.0000000000000000,1.0003525208449611,0.9988640602721469,1.2076378659029015,14.8720835027768690,13.6644456368739675,0.5448322661549139,0.5505932615370581,0.2610921837428810,0.4562556777856401,2.2213214268058605,0.0000000000000000,0.0000000000000000,1.0006336664092454,0.9982682162372486,-0.9008514245402264,15.5842232911331582,16.4850747156733846,0.4329285589113098,0.4310380843884105,0.2295372242266820,0.4098825459314979,1.9548233146828726,0.0000000000000000,0.0000000000000000
6,99.6495322430130841,99.6495322430125583,259.0209780725674591,41.4347439377656173,76.3287386893354380,188.8531691305534821,15.5714971292245021,1.4535633862695128,84.0780351137885020,1.6361798523383235,0.0000000000000000,4223.0170985500853931,0.0000000000000000,0.0000000000000000,1.0003333705248179,0.9987193980201324,1.2129886726475370,14.8685022181881052,13.6555135455405683,0.5448322661549135,0.5505888349753320,0.2609024376541129,0.4561234148422260,2.2209897919109460,0.0000000000000000,0.0000000000000000,1.0006084527563086,0.9983054665398586,-0.9059481766517941,15.5850527277542028,16.4910009044059969,0.4329285589113096,0.4310357882052421,0.2296569631973613,0.4098610360707912,1.9550880139206146,0.0000000000000000,0.0000000000000000
7,99.6164318796799506,99.6164318796798796,259.0512106385532434,41.4533819356409694,76.3545966525360029,188.8502883706943010,15.5527607792921927,1.4349253827279500,84.0636711003877366,1.6359335760670404,0.0000000000000000,4223.0170997546138096,0.0000000000000000,0.0000000000000000,0.9999923397809354,0.9970163359843885,1.2782679562205939,14.8027686986331535,13.5245007424125596,0.5421781959985410,0.5508501781321153,0.2586624652446081,0.4457603369485556,2.2128614215751199,0.0000000000000000,0.0000000000000000,1.0002180869291937,0.9984773732718772,-0.9453274205510240,15.5383928657277970,16.4837202862788210,0.4303367908085888,0.4312389930557716,0.2294950380409191,0.3963615889710083,1.9512145542547019,0.0000000000000000,0.0000000000000000
8,98.5468112207944102,98.5468112207941545,259.0608981758119285,41.6048464043754507,76.5414298656197758,187.9990153794803405,14.9943690394920175,1.2834609135087369,83.5524421813023537,1.6356879966956930,0.0000000000000000,4223.0170998233916180,0.0000000000000000,0.0000000000000000,0.9911571548007015,0.9446115993344933,2.4700532973055145,10.0911936050061133,7.6211403077005988,0.5383521085541856,0.4813619507915076,0.2223860863501111,0.4240647378590113,2.0844399734075680,0.0357662801726000,0.0653100000000000,0.9917133759840323,1.0036962302197385,-1.9273178351199309,15.3748733515150580,17.3021911866349889,0.4329285589113098,0.4322063393441550,0.2302026649658653,0.4104351828355909,1.9570300103421920,0.0000000000000000,0.0000000000000000
9,98.5118107151316593,98.5118107151312188,258.5096442673283832,41.6038526205949850,76.4858826523609281,187.8990981269697045,14.9887790754963834,1.2844546987448182,83.5230316396352208,1.6356361768907690,0.0000000000000000,4223.0171016605490877,0.0000000000000000,0.0000000000000000,0.9905217587253987,0.9408548968068535,2.5456073665074879,9.9951089023175559,7.4495015358100680,0.5347525254865362,0.4809192058998737,0.2184071517855807,0.4241985259008762,2.0704267186778007,0.0357662801726000,0.0653100000000000,0.9910576494817626,1.0050954957509248,-2.0663163543711534,15.3289974219455054,17.3953137763166588,0.4329285589113102,0.4317571146990319,0.2302174477686449,0.4102271912834236,1.9568125558718206,0.0000000000000000,0.0000000000000000
