period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2063517634897352,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2063532608476564,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2063547879652035,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2063563457111712,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2283.9834467814412164,2282.9516971803609522,4716.4059641440207997,335.1448361023710163,7.8855352581201403,1948.6871464359242054,38.2063579346032753,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0004519366758198,1.0006765107563873,1.0771998945861068,16.5018046038866686,15.4246047093005618,0.0404455581306676,0.0410918473024701,0.1503224121932684,0.0000000000000000,0.0000000000000000,1.0001017100137524,1.0005036288820561,-1.2645177591265764,110.4846105365059827,111.7491282956325591,0.0976467978870234,0.1000678453639450,0.1743025348151795,0.0000000000000000,0.0000000000000000
5,2283.6335318173873929,2283.5005874655162188,4715.7772568086638785,335.0905175318839611,8.0531308436581099,1948.5235054699965076,38.2062940609238098,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,1.0000582195391590,0.9999836738716930,1.1022761392028535,16.5970590150447137,15.4947828758418602,0.0404455581306675,0.0410110535663178,0.1534797139292985,0.0000000000000000,0.0000000000000000,1.0000233934621303,1.0000063195408313,-1.0888745641860282,111.0615731858780322,112.1504477500640604,0.0976467978870234,0.1000086318655503,0.1774508408106963,0.0000000000000000,0.0000000000000000
6,2283.6460845072583652,2283.6053834837421164,4715.7932466330594252,335.1123903356300389,8.0494524633526865,1948.5277214158372772,38.2062930772533775,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,1.0000178231422165,0.9999695110948179,1.1007443823827820,16.6021653160102929,15.5014209336275108,0.0404455581306676,0.0410033462750333,0.1537101109924220,0.0000000000000000,0.0000000000000000,1.0000090790938168,0.9999867730121117,-1.0874076761978131,111.0983456207898854,112.1857532969876985,0.0976467978870236,0.1000031444607972,0.1776938848926954,0.0000000000000000,0.0000000000000000
7,2283.6468170042558086,2283.6151789133068633,4715.7925831005350119,335.1146526512665105,8.0491713581359381,1948.5275215445349204,38.2062904206055762,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,1.0000138543880952,0.9999718442966254,1.1003551023265015,16.6023927156305824,15.5020376133040809,0.0404455581306676,0.0410026228595346,0.1537265710324683,0.0000000000000000,0.0000000000000000,1.0000074498300127,0.9999867456044083,-1.0881708433189488,111.1006028976768363,112.1887737409957850,0.0976467978870235,0.1000025606863114,0.1777126390531885,0.0000000000000000,0.0000000000000000
8,2283.6466266679058208,2283.6182263536056780,4715.7908554089644895,335.1154743851280955,8.0491254060983515,1948.5269846050591696,38.2062877892055468,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0000124365421386,0.9999742767842600,1.1001118654171584,16.6023105421849806,15.5021986767678221,0.0404455581306676,0.0410023856534494,0.1537270590799289,0.0000000000000000,0.0000000000000000,1.0000067081188500,0.9999878567468573,-1.0889951313254898,111.1004743817645846,112.1894695130900743,0.0976467978870234,0.1000023182093955,0.1777137381348594,0.0000000000000000,0.0000000000000000
9,2283.6463738381426083,2283.6205405397054164,4715.7891776344949903,335.1161238042687955,8.0490988353706374,1948.5264590560454963,38.2062853157409350,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0000113124304053,0.9999764365832525,1.0999037937104070,16.6022170958357478,15.5023133021253408,0.0404455581306677,0.0410022012407166,0.1537264017938719,0.0000000000000000,0.0000000000000000,1.0000060905290253,0.9999889330075564,-1.0897455460320202,111.1002004011478022,112.1899459471798224,0.0976467978870235,0.1000021194345755,0.1777134618549495,0.0000000000000000,0.0000000000000000
10,2283.6461222048965283,2283.6225700994350518,4715.7876221109763719,335.1166997264581369,8.0490760190831523,1948.5259662576263509,38.2062829989036814,0.0000000000000000,97426.0059911641874351,0.0000000000000000,0.0000000000000000,1.0000103134842728,0.9999783709774290,1.0997178704084387,16.6021316399398771,15.5024137695314383,0.0404455581306676,0.0410020376486426,0.1537257257840335,0.0000000000000000,0.0000000000000000,1.0000055382220043,0.9999899066276929,-1.0904213378426277,111.0999409949521350,112.1903623327947628,0.0976467978870235,0.1000019418992406,0.1777131103438871,0.0000000000000000,0.0000000000000000
11,2283.6458770915819514,2283.6243719455860628,4715.7861845723837178,335.1172157709265775,8.0490555853250285,1948.5255054843714788,38.2062808289830897,0.0000000000000000,97426.0062506946269423,0.0000000000000000,0.0000000000000000,1.0000094171117895,0.9999801075681954,1.0995509699123058,16.6020546478517730,15.5025036779394672,0.0404455581306676,0.0410018908706400,0.1537251121757494,0.0000000000000000,0.0000000000000000,1.0000050415217951,0.9999907831794350,-1.0910294781686787,111.0997055733174221,112.1907350514861008,0.0976467978870235,0.1000017822524252,0.1777127856081780,0.0000000000000000,0.0000000000000000
12,2283.6456391774936492,2283.6259723584707899,4715.7848555486307305,335.1176785383910328,8.0490372121271800,1948.5250745715875382,38.2062787963587027,0.0000000000000000,97426.0060974649386480,0.0000000000000000,0.0000000000000000,1.0000086121016580,0.9999816671152684,1.0994010720612781,16.6019853550192664,15.5025842829579883,0.0404455581306676,0.0410017590481395,0.1537245603837366,0.0000000000000000,0.0000000000000000,1.0000045945947038,0.9999915719650586,-1.0915766911982701,111.0994926791648965,112.1910693703631665,0.0976467978870235,0.1000016385973216,0.1777124926997312,0.0000000000000000,0.0000000000000000
13,2283.6454086768894740,2283.6273928764171615,4715.7836260708909322,335.1180935327691373,8.0490206882826172,1948.5246713587434897,38.2062768920665619,0.0000000000000000,97426.0061178275354905,0.0000000000000000,0.0000000000000000,1.0000078891155924,0.9999830677272006,1.0992664392396598,16.6019229928529661,15.5026565536133063,0.0404455581306676,0.0410016406516329,0.1537240647421696,0.0000000000000000,0.0000000000000000,1.0000041924410128,0.9999922817590321,-1.0920690804663735,111.0993001633269017,112.1913692437932752,0.0976467978870233,0.1000015093272573,0.1777122290750504,0.0000000000000000,0.0000000000000000
14,2283.6451857112906509,2283.6286527765273604,4715.7824879205809339,335.1184656742853463,8.0490058267200322,1948.5242938580713599,38.2062751078106686,0.0000000000000000,97426.0060632223030552,0.0000000000000000,0.0000000000000000,1.0000072397649868,0.9999843255836585,1.0991455153626095,16.6018668553090585,15.5027213399464490,0.0404455581306677,0.0410015343087229,0.1537236195670121,0.0000000000000000,0.0000000000000000,1.0000038305649983,0.9999929204475817,-1.0925121325781078,111.0991260536081455,112.1916381861862533,0.0976467978870234,0.1000013929978252,0.1777119918481310,0.0000000000000000,0.0000000000000000
15,2283.6449703577577566,2283.6297692393272882,4715.7814336126812123,335.1187993703953794,8.0489924601074350,1948.5239402489883105,38.2062734359086207,0.0000000000000000,97426.0061258848872967,0.0000000000000000,0.0000000000000000,1.0000066565599359,0.9999854553370201,1.0990368987906027,16.6018163231866751,15.5027794243960724,0.0404455581306676,0.0410014387927926,0.1537232197250730,0.0000000000000000,0.0000000000000000,1.0000035049309206,0.9999934951358596,-1.0929107836290086,111.0989685692622686,112.1918793528912772,0.0976467978870235,0.1000012883113393,0.1777117783774644,0.0000000000000000,0.0000000000000000
