period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2066527412430190,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2066602582284389,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2066679253689543,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2066757459413964,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2283.9834467814412164,2282.9516971803609522,4716.4059641440207997,335.1448361023710163,7.8855352581201403,1948.6871464359242054,38.2066837229196778,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0004519366758198,1.0006765107563873,1.0771998945861068,16.5018046038866686,15.4246047093005618,0.0404455581306676,0.0410918473024701,0.1503224121932684,0.0000000000000000,0.0000000000000000,1.0001017100137524,1.0005036288820561,-1.2645177591265764,110.4846105365059827,111.7491282956325591,0.0976467978870234,0.1000678453639450,0.1743025348151795,0.0000000000000000,0.0000000000000000
5,2284.0912183854552495,2284.7311187252898890,4716.2595244176873166,335.3736604822577760,8.0395829630146096,1948.8114883082043889,38.2066263639521111,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,0.9997199231303011,1.0008842480716973,0.9998523357278302,16.5381809013022369,15.5383285655744068,0.0404455581306676,0.0408948567582575,0.1530408984075541,0.0000000000000000,0.0000000000000000,0.9998576796668184,1.0003692524950127,-1.3819496775788593,110.9338670584338757,112.3158167360127351,0.0976467978870235,0.0999125163269160,0.1772725373137481,0.0000000000000000,0.0000000000000000
6,2284.1209163503967829,2284.8464112719138939,4716.3143444017478032,335.4098120981454372,8.0375076801189262,1948.8176051155492132,38.2065191072528805,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,0.9996824754093121,1.0008422322762793,1.0010513105796424,16.5461715633328801,15.5451202527532377,0.0404455581306676,0.0408943852645032,0.1533232185049023,0.0000000000000000,0.0000000000000000,0.9998488489756125,1.0003479125615926,-1.3800586221108659,110.9711107396849883,112.3511693617958542,0.0976467978870234,0.0999164989486189,0.1775171358600442,0.0000000000000000,0.0000000000000000
7,2284.6072886142692369,2282.8707219476818864,4717.3977781530493303,335.3604305379850530,7.7213711183803317,1948.9917513199679888,38.2064073080002871,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,1.0007606942652916,1.0017191350058701,1.0144522715255277,16.3795511596126673,15.3650988880871395,0.0383482058679881,0.0411653904725473,0.1550921506979457,0.0000000000000000,0.0000000000000000,1.0001328579026159,1.0012104497301608,-1.5872979171354018,109.7905872793627395,111.3778851964981413,0.0934344754357572,0.1001506004743562,0.1785701874214300,0.0000000000000000,0.0000000000000000
8,2283.7325243608379424,2278.4966711645579380,4715.9559597051493256,334.3506776527538591,8.0710615662598926,1948.6135282433601787,38.2062250078190786,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0022979419994509,0.9989619801320834,1.3240407657458295,16.7767948049905726,15.4527540392447431,0.0404455581306676,0.0414137750564866,0.1547553180979531,0.0000000000000000,0.0000000000000000,1.0000409451090673,1.0004804029301784,-1.2960342635884956,110.7667508987285743,112.0627851623170699,0.0976467978870235,0.1000053238765807,0.1771679407258840,0.0000000000000000,0.0000000000000000
9,2283.7257699960414357,2278.3770348527878014,4715.9528118624857598,334.3324959785314263,8.0642753495147499,1948.6083925236148389,38.2061873419307716,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0023476075563558,0.9986715255014850,1.3468754951447401,16.8026504024666963,15.4557749073219561,0.0404455581306676,0.0414208308393541,0.1554068855958406,0.0000000000000000,0.0000000000000000,1.0000164405296639,1.0004422082612694,-1.2914504567309137,110.8292461077696203,112.1206965645005340,0.0976467978870235,0.0999947282891365,0.1776543841282341,0.0000000000000000,0.0000000000000000
10,2283.6998039636514477,2278.2307648581172543,4715.9183263868007998,334.3007506848825869,8.0643301866764521,1948.5965428804779549,38.2061509366077985,0.0000000000000000,97426.0059911641874351,0.0000000000000000,0.0000000000000000,1.0024005641526283,0.9985523361819185,1.3578102743786857,16.8083687315184420,15.4505584571397563,0.0404455581306677,0.0414292758799182,0.1554953912642651,0.0000000000000000,0.0000000000000000,1.0000187764033341,1.0004318354134545,-1.2850140208117153,110.8310871269766835,112.1161011477883989,0.0976467978870235,0.0999956503687734,0.1776972368739686,0.0000000000000000,0.0000000000000000
11,2283.6697445713352863,2278.1233065408455332,4715.8758160566030710,334.2720867767844766,8.0657013088636216,1948.5838215068897625,38.2061184497368700,0.0000000000000000,97426.0062506946269423,0.0000000000000000,0.0000000000000000,1.0024346522484324,0.9984426733164801,1.3668214802385670,16.8127472825614852,15.4459258023229182,0.0404455581306676,0.0414392609810008,0.1555707420000816,0.0000000000000000,0.0000000000000000,1.0000207154770628,1.0004181159185850,-1.2771795731104447,110.8323249799745440,112.1095045530849887,0.0976467978870234,0.1000063374830650,0.1777193055782444,0.0000000000000000,0.0000000000000000
