period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058136980434938,582.3058154112678722,1164.9039131777433340,87.3312583441718573,6.8298247191186103,494.9745556108123310,9.7018511786678623,0.0000000000000000,24748.7277588927136094,0.0000000000000000,0.0000000000000000,0.9999999970578615,0.9999999985293977,-1.0975553153394682,13.7358983195359254,14.8334536348753936,0.0574419850770593,0.0571999991518478,0.1437086011265786,0.0000000000000000,0.0000000000000000,0.9999999952929759,1.0000000162555245,1.0975533868381717,112.1945376796445686,111.0969842928063969,0.3677395352555122,0.3699999882792446,0.2194556419149081,0.0000000000000000,0.0000000000000000
1,582.3058137509917742,582.3058145866255018,1164.9039150847115707,87.3312588015017042,6.8298247996799732,494.9745550748141341,9.7017805595995519,0.0000000000000000,24748.7277696964156348,0.0000000000000000,0.0000000000000000,0.9999999985649570,1.0000000000543079,-1.0975552814032632,13.7358980176220715,14.8334532990253347,0.0574419850770593,0.0571999997064935,0.1437086024615980,0.0000000000000000,0.0000000000000000,0.9999999975310617,1.0000000193202865,1.0975530524251127,112.1945374855263395,111.0969844331012268,0.3677395352555128,0.3699999906220105,0.2194556434596698,0.0000000000000000,0.0000000000000000
2,582.3058134060541988,582.3058147910618345,1164.9039140631086866,87.3312582231772438,6.8298247471144968,494.9745553905933093,9.7017085294190135,0.0000000000000000,24748.7277644988789689,0.0000000000000000,0.0000000000000000,0.9999999976215113,0.9999999988095907,-1.0975552632076067,13.7358979645223229,14.8334532277299296,0.0574419850770594,0.0571999993808415,0.1437086017882483,0.0000000000000000,0.0000000000000000,0.9999999959236163,1.0000000160715841,1.0975537386338914,112.1945377471245138,111.0969840084906224,0.3677395352555123,0.3699999889712301,0.2194556424939184,0.0000000000000000,0.0000000000000000
3,582.3058133109495884,582.3058146448479420,1164.9039151567185399,87.3312584377861327,6.8298247848210805,494.9745550732147876,9.7016350596129843,0.0000000000000000,24748.7277864729294379,0.0000000000000000,0.0000000000000000,0.9999999977092822,1.0000000026574285,-1.0975554900343454,13.7358979494170850,14.8334534394514304,0.0574419850770593,0.0571999994918412,0.1437086020198909,0.0000000000000000,0.0000000000000000,0.9999999969629594,1.0000000165444018,1.0975539911055989,112.1945374283106815,111.0969834372050826,0.3677395352555126,0.3699999901988171,0.2194556432655435,0.0000000000000000,0.0000000000000000
4,582.2052648274227522,582.0224386090350208,1165.0025520905787744,87.2640409791702467,6.7103832619716357,494.9138122682941230,9.7015601216815526,0.0000000000000000,24748.7277886299889360,0.0000000000000000,0.0000000000000000,1.0003141222850862,1.0014791412636650,-1.1608762831437325,13.6244411434214925,14.7853174265652250,0.0546522391288184,0.0573407806903543,0.1473483269539163,0.0000000000000000,0.0000000000000000,0.9999091870054501,0.9994743953403810,1.2821688139078020,111.7624145744616158,110.4802457605538137,0.3677395352555124,0.3701714171221684,0.2162451182034912,0.0000000000000000,0.0000000000000000
5,581.9909133927689027,582.1530839521279859,1164.5741941540156859,87.2493006093693282,6.8355269502442244,494.7659178472625854,9.7015074907325261,0.0000000000000000,24748.7277791248779977,0.0000000000000000,0.0000000000000000,0.9997214296997997,1.0010509102184106,-1.1952516266596174,13.6694268103440084,14.8646784370036258,0.0574419850770593,0.0570244437902406,0.1429331793286915,0.0000000000000000,0.0000000000000000,1.0001857926417519,0.9995404730277165,1.4535641842649198,112.3694580455110383,110.9158938612461185,0.3677395352555124,0.3702693662132159,0.2193916319387867,0.0000000000000000,0.0000000000000000
6,581.9928404484637667,582.1660460799648718,1164.5667838051492708,87.2494105956795636,6.8328146724751688,494.7693882358985320,9.7015117905081834,0.0000000000000000,24748.7277991226546874,0.0000000000000000,0.0000000000000000,0.9997024807051741,1.0010150703084399,-1.1938795364343342,13.6733919923074847,14.8672715287418189,0.0574419850770593,0.0570245901775795,0.1430810034708987,0.0000000000000000,0.0000000000000000,1.0001922996529389,0.9995599067685534,1.4512496394673917,112.4029316079784024,110.9516819685110107,0.3677395352555130,0.3702865097507517,0.2196511245873643,0.0000000000000000,0.0000000000000000
7,581.9551590157998362,581.8795860118809742,1164.7229776864392079,87.1851929580876828,6.7086136556098594,494.7586426721054522,9.7015148152935407,0.0000000000000000,24748.7277641855471302,0.0000000000000000,0.0000000000000000,1.0001298773934257,1.0025251662996608,-1.2439857237193657,13.5571206598681524,14.8011063835875181,0.0546522391288184,0.0572578611697442,0.1462380296700206,0.0000000000000000,0.0000000000000000,1.0000559297376734,0.9991264040459115,1.5602100967822139,111.9258741028927346,110.3656640061105207,0.3677395352555124,0.3705087926671384,0.2164488594736373,0.0000000000000000,0.0000000000000000
8,582.0933858524714424,580.8710437056778346,1164.8029130868478660,87.0752905898105496,6.7339517596667307,494.8348604486938029,9.7015221147531836,0.0000000000000000,24748.7278110601873777,0.0000000000000000,0.0000000000000000,1.0021043261839937,1.0107506551524861,-1.4361364741451084,12.1831992189399134,13.6193356930850218,0.0531178789130808,0.0525974994491762,0.1419174652568677,0.0000000000000000,0.0173750000000000,1.0000384008272871,0.9994006570842885,1.4040598900738104,112.1720274745017178,110.7679675844279075,0.3677395352555126,0.3705272407667288,0.2195951960933716,0.0000000000000000,0.0000000000000000
9,582.1005803795521842,580.8225431105516918,1164.8026388308810510,87.0743179431692624,6.7343522915996585,494.8346648050164731,9.7014996732455820,0.0000000000000000,24748.7278089761639421,0.0000000000000000,0.0000000000000000,1.0022003919857447,1.0109754316569723,-1.4404647799735564,12.1623075228414095,13.6027723028149659,0.0522739808251123,0.0526188208636056,0.1435147882896317,0.0000000000000000,0.0173750000000000,1.0000471620219713,0.9994217912130200,1.3997968072226854,112.1939090053350299,110.7941121981123445,0.3677395352555125,0.3705306208841800,0.2198543511551526,0.0000000000000000,0.0000000000000000
10,582.0964772779951772,580.7877590519063915,1164.7929371192810777,87.0699040020426906,6.7344675852347624,494.8303742883957739,9.7014768597193637,0.0000000000000000,24748.7278027438915160,0.0000000000000000,0.0000000000000000,1.0022533502225068,1.0109007822222338,-1.4338197874998109,12.1633693875206053,13.5971891750204161,0.0517528608976397,0.0526305533365281,0.1449302513023513,0.0000000000000000,0.0173750000000000,1.0000416793565727,0.9994333224423871,1.3921235683188797,112.1858372963769597,110.7937137280580799,0.3677395352555118,0.3705254377705356,0.2198722036816642,0.0000000000000000,0.0000000000000000
11,582.0918780863246411,580.7570842962887809,1164.7831386265011133,87.0657214859125759,6.7345527928216367,494.8260474885184976,9.7014552721919518,0.0000000000000000,24748.7278683755066595,0.0000000000000000,0.0000000000000000,1.0022983685023028,1.0108115689002284,-1.4269893002245286,12.1658176288337785,13.5928069290583071,0.0513220025685252,0.0526405188498270,0.1461719709757520,0.0000000000000000,0.0173750000000000,1.0000358017356168,0.9994435527329965,1.3847804952413725,112.1765229915385049,110.7917424962971324,0.3677395352555119,0.3705201927063950,0.2198700052914994,0.0000000000000000,0.0000000000000000
12,582.0875117030949468,580.7294577322583109,1164.7738586744987970,87.0619640254440412,6.7346269703596064,494.8219505561697815,9.7014349494195642,0.0000000000000000,24748.7278287597364397,0.0000000000000000,0.0000000000000000,1.0023385312261235,1.0107297768429573,-1.4207936330316766,12.1681258546652558,13.5889194876969324,0.0512521428345954,0.0526494102397206,0.1463982263060874,0.0000000000000000,0.0173750000000000,1.0000304201874108,0.9994528176377152,1.3781005387690755,112.1679509788001923,110.7898504400311168,0.3677395352555124,0.3705154145943043,0.2198664506417815,0.0000000000000000,0.0000000000000000
13,582.0834119512993539,580.7045213665498977,1164.7651109900791653,87.0586014771220675,6.7346924762307268,494.8180886707792752,9.7014158265830090,0.0000000000000000,24748.7278332807545667,0.0000000000000000,0.0000000000000000,1.0023745132576283,1.0106563170805600,-1.4152341360169061,12.1702000456195432,13.5854341816364492,0.0512437081384368,0.0526573776690133,0.1464469568762989,0.0000000000000000,0.0173750000000000,1.0000255478633080,0.9994612022421961,1.3720558527970041,112.1601892092285766,110.7881333564315725,0.3677395352555125,0.3705110951199687,0.2198631042425161,0.0000000000000000,0.0000000000000000
