period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058136980434938,582.3058154112678722,1164.9039131777433340,87.3312583441718573,6.8298247191186103,494.9745556108123310,9.6972643074231293,0.0000000000000000,24748.7277588927136094,0.0000000000000000,0.0000000000000000,0.9999999970578615,0.9999999985293977,-1.0975553153394682,13.7358983195359254,14.8334536348753936,0.0574419850770593,0.0571999991518478,0.1437086011265786,0.0000000000000000,0.0000000000000000,0.9999999952929759,1.0000000162555245,1.0975533868381717,112.1945376796445686,111.0969842928063969,0.3677395352555122,0.3699999882792446,0.2194556419149081,0.0000000000000000,0.0000000000000000
1,582.3058137509917742,582.3058145866255018,1164.9039150847115707,87.3312588015017042,6.8298247996799732,494.9745550748141341,9.6971020632620384,0.0000000000000000,24748.7277696964156348,0.0000000000000000,0.0000000000000000,0.9999999985649570,1.0000000000543079,-1.0975552814032632,13.7358980176220715,14.8334532990253347,0.0574419850770593,0.0571999997064935,0.1437086024615980,0.0000000000000000,0.0000000000000000,0.9999999975310617,1.0000000193202865,1.0975530524251127,112.1945374855263395,111.0969844331012268,0.3677395352555128,0.3699999906220105,0.2194556434596698,0.0000000000000000,0.0000000000000000
2,582.3058134060541988,582.3058147910618345,1164.9039140631086866,87.3312582231772438,6.8298247471144968,494.9745553905933093,9.6969365800204024,0.0000000000000000,24748.7277644988789689,0.0000000000000000,0.0000000000000000,0.9999999976215113,0.9999999988095907,-1.0975552632076067,13.7358979645223229,14.8334532277299296,0.0574419850770594,0.0571999993808415,0.1437086017882483,0.0000000000000000,0.0000000000000000,0.9999999959236163,1.0000000160715841,1.0975537386338914,112.1945377471245138,111.0969840084906224,0.3677395352555123,0.3699999889712301,0.2194556424939184,0.0000000000000000,0.0000000000000000
3,582.3058133109495884,582.3058146448479420,1164.9039151567185399,87.3312584377861327,6.8298247848210805,494.9745550732147876,9.6967677928088065,0.0000000000000000,24748.7277864729294379,0.0000000000000000,0.0000000000000000,0.9999999977092822,1.0000000026574285,-1.0975554900343454,13.7358979494170850,14.8334534394514304,0.0574419850770593,0.0571999994918412,0.1437086020198909,0.0000000000000000,0.0000000000000000,0.9999999969629594,1.0000000165444018,1.0975539911055989,112.1945374283106815,111.0969834372050826,0.3677395352555126,0.3699999901988171,0.2194556432655435,0.0000000000000000,0.0000000000000000
4,582.1112434230070676,582.0077908639408406,1164.9071841747677354,87.2606139492477269,6.7111907466920560,494.8351187985407478,9.6965956360304641,0.0000000000000000,24748.7277886299889360,0.0000000000000000,0.0000000000000000,1.0001777511584722,1.0018839122676575,-1.2010910337653069,13.6000851633910784,14.8011761971563853,0.0546522391288184,0.0572610511728633,0.1471472330028373,0.0000000000000000,0.0000000000000000,0.9999813552343261,0.9993215241633623,1.4049058210837444,111.8398756965549978,110.4349698754712534,0.3677395352555123,0.3702680810153861,0.2163115647808090,0.0000000000000000,0.0000000000000000
5,581.5970582712890291,582.0662823982639793,1164.1719696891598232,87.2240359527963989,6.8393186583891641,494.4433366853592133,9.6964746380388984,0.0000000000000000,24748.7277791248779977,0.0000000000000000,0.0000000000000000,0.9991938647862548,1.0026809668537786,-1.3560265359932782,13.5713908596685897,14.9274173956618679,0.0574419850770593,0.0567113727856663,0.1421215781976185,0.0000000000000000,0.0000000000000000,1.0004759916140804,0.9989121386287427,1.9584048862046188,112.6851692280733062,110.7267643418686873,0.3677395352555123,0.3706598940926589,0.2196835311578156,0.0000000000000000,0.0000000000000000
6,581.5903341610180632,582.0742871195402586,1164.1435191109776497,87.2179760194531184,6.8384045762526844,494.4448736236347486,9.6965047878602491,0.0000000000000000,24748.7277991226546874,0.0000000000000000,0.0000000000000000,0.9991685718314102,1.0025527452265866,-1.3500830559771426,13.5821315910985962,14.9322146470757389,0.0574419850770593,0.0567127537803148,0.1426186179804103,0.0000000000000000,0.0000000000000000,1.0004705871305848,0.9989399791175579,1.9496756475460018,112.7152676305019980,110.7655919829559963,0.3677395352555124,0.3706788826335580,0.2199546796945389,0.0000000000000000,0.0000000000000000
7,581.4993584556740416,581.5635698525410362,1164.4202692437906990,87.0931341070906342,6.6040917774495220,494.4158404457538154,9.6965349379572032,0.0000000000000000,24748.7277641855471302,0.0000000000000000,0.0000000000000000,0.9998895883439133,1.0049377629342320,-1.4241101372506577,13.3985474336381607,14.8226575708888184,0.0521074987051807,0.0571363888800938,0.1508201739503787,0.0000000000000000,0.0000000000000000,1.0001743805825187,0.9980990997069776,2.1409486106230133,111.7392430058791319,109.5982943952561186,0.3582869076298735,0.3711011411996412,0.2192072668032124,0.0000000000000000,0.0000000000000000
8,581.8366641206631584,579.4139092704314180,1164.6388644203339027,86.8224212744193693,6.6573807331969386,494.6512045434243419,9.6965770811749259,0.0000000000000000,24748.7278110601873777,0.0000000000000000,0.0000000000000000,1.0041813888335580,1.0222382009997373,-1.7344760242505348,10.8177867344623202,12.5522627587128550,0.0468596252134122,0.0404406679379071,0.1231673085637563,0.0000000000000000,0.0173750000000000,1.0000992260942656,0.9987991011451497,1.7310583839362437,112.1505325889753237,110.4194742050390801,0.3677395352555122,0.3710332970028404,0.2197304603793962,0.0000000000000000,0.0000000000000000
9,581.8423044871459524,579.2349397920238516,1164.6204200334038887,86.8045164117272492,6.6631532855492628,494.6470467441889696,9.6965277710635291,0.0000000000000000,24748.7278089761639421,0.0000000000000000,0.0000000000000000,1.0045013940216698,1.0234483971214616,-1.7581777293894962,10.7016484154481226,12.4598261448376189,0.0439732948978972,0.0405036585876107,0.1270991321476335,0.0000000000000000,0.0173750000000000,1.0001108773630867,0.9988369976636335,1.7223737818159464,112.1830231054172060,110.4606493236012597,0.3677395352555122,0.3710460232190740,0.2202412200271865,0.0000000000000000,0.0000000000000000
