period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,rex2,rim2,exrate2,mktpen2,tau2,ntb2
0,582.3058150313256647,582.3058154059433491,1164.9039163238810488,87.3312588011102662,7.0112848999748252,494.9745562302155122,9.7018373017714445,9.7034573769113699,24748.7277735616808059,0.0000000000000000,0.0000000000000000,0.9999999993566651,1.0000000009735119,-1.0975553061371368,13.7358980117050642,14.8334533178422010,0.0571999996374833,0.9505978236682727,0.0000000000000000,0.0000000000000000,0.9999999991743418,1.0000000219186409,1.0975528951337736,112.1945400595958091,111.0969871644620355,0.3699999917641210,0.7066891509941138,0.0000000000000000,0.0000000000000000
1,582.3058150447152457,582.3058154212818636,1164.9039166833645140,87.3312587141892323,7.0112849050581376,494.9745563305259566,9.7017664051289483,9.7034188631373581,24748.7277826983045088,0.0000000000000000,0.0000000000000000,0.9999999993533180,1.0000000009935397,-1.0975553083007306,13.7358980164707525,14.8334533247714830,0.0571999996303258,0.9505978236743087,0.0000000000000000,0.0000000000000000,0.9999999994130162,1.0000000214917564,1.0975531889722134,112.1945402400286582,111.0969870510564448,0.3699999919400965,0.7066891508678854,0.0000000000000000,0.0000000000000000
2,582.3058150596669975,582.3058154380631777,1164.9039170123965050,87.3312586362262095,7.0112849096280634,494.9745564234407311,9.7016940915817393,9.7033795793635047,24748.7277911638957448,0.0000000000000000,0.0000000000000000,0.9999999993501762,1.0000000010118191,-1.0975553102744655,13.7358980208149166,14.8334533310893821,0.0571999996238588,0.9505978236797625,0.0000000000000000,0.0000000000000000,0.9999999996276165,1.0000000211079292,1.0975534531798559,112.1945404028371627,111.0969869496573068,0.3699999920983266,0.7066891507543860,0.0000000000000000,0.0000000000000000
3,582.3058150758845386,582.3058154559944342,1164.9039173137578018,87.3312585663117034,7.0112849137363984,494.9745565095727216,9.7016203328377237,9.7033395102054349,24748.7277990140064503,0.0000000000000000,0.0000000000000000,0.9999999993472333,1.0000000010284964,-1.0975553120747747,13.7358980247776969,14.8334533368524717,0.0571999996180154,0.9505978236846904,0.0000000000000000,0.0000000000000000,0.9999999998205711,1.0000000207628175,1.0975536907444194,112.1945405497691013,111.0969868590246818,0.3699999922405990,0.7066891506523332,0.0000000000000000,0.0000000000000000
4,582.1969799402415902,582.2463918131888931,1164.7926874631266401,87.2950120802511407,7.0127209390740877,494.9019678599904637,9.7015451000404642,9.7032986399713543,24748.7278062990917533,9.7033008148235425,0.0000000000000000,0.9999151358022275,1.0002810853740023,-1.1247530165238118,13.7160076921206660,14.8447127882032994,0.0571473580881725,0.9506422177578633,0.0000000000000000,0.0000000000000000,1.0000672600824723,0.9998454607218931,1.2198291905808389,112.2599347025799261,111.0229996619852955,0.3700920468367216,0.7066231211700019,0.0000000000000000,0.0000000000000000
5,581.8472165739009370,582.0439001923474507,1164.4302182073342919,87.1678877571023065,7.0174396846011327,494.6793288167986020,9.7014968112201156,9.6969240247515014,24748.7278130650774983,9.7032875881163143,9.6969265687620236,0.9996620811275893,1.0011149655569500,-1.2051173770226384,13.6571168988419895,14.8778729659286579,0.0569916850007538,0.9507735096398201,0.0000000000000000,0.0000000000000000,1.0002752712251524,0.9993643705499738,1.6017109845218869,112.4636078577162550,110.7917036818876113,0.3703797700598856,0.7064167655045079,0.0000000000000000,0.0000000000000000
6,581.8312948465680847,582.0317858808015217,1164.3926997962939822,87.1534512408255324,7.0174906494249383,494.6778436057426234,9.7015348614004040,9.6968706265935563,24748.7278193541169458,9.7032742304865636,9.6968729944552070,0.9996555324999475,1.0011126624889897,-1.2042969031590580,13.6577409909647631,14.8776416709049020,0.0569946369453447,0.9507710199057706,0.0000000000000000,0.0000000000000000,1.0002656687959102,0.9993757184619613,1.5965263123824940,112.4591168967214685,110.7936667587928952,0.3703790081638842,0.7064173118893911,0.0000000000000000,0.0000000000000000
7,581.8122764014947279,582.0166356938312902,1164.3513500271219527,87.1359137692989663,7.0175999133101659,494.6763626321958327,9.7015742555669693,9.6968167431821577,24748.7278252045143745,9.7032607383988054,9.6968189289987077,0.9996488772316742,1.0011084039076585,-1.2032232967597274,13.6585618178649462,14.8773267148535631,0.0569981635529800,0.9507680454943900,0.0000000000000000,0.0000000000000000,1.0002568359694128,0.9993848415586475,1.5932494812736877,112.4555491291371254,110.7943985492379397,0.3703797134018999,0.7064168061361167,0.0000000000000000,0.0000000000000000
8,582.1150573552655487,580.8874766057633678,1164.8048699589194257,87.2740504686639298,6.9133091549342485,494.8410068866015763,9.7016150189675567,9.7016150189675567,24748.7278306513435382,9.7032471107508638,9.6967643613996302,1.0021132849285634,1.0112450070281027,-1.4571985416185669,11.7885119977336199,13.3509449654075176,0.0525836846445776,0.9544964240589132,0.0000000000000000,0.0173750000000000,1.0000405379013868,0.9994300997541808,1.3923445911291026,112.4934182624363217,111.0341553416286615,0.3705277359573604,0.7063106583536232,0.0000000000000000,0.0000000000000000
9,582.1094224763537568,580.8472337069177911,1164.7956343103544441,87.2729447183420461,6.9134683330102273,494.8364777580115970,9.7015920253083134,9.7015920253083134,24748.7278357264149236,9.7032337367381079,9.6967108448837376,1.0021730133091635,1.0111219299567589,-1.4479278454944406,11.7930394620480907,13.3449340195071233,0.0525969510002549,0.9544852040306453,0.0000000000000000,0.0173750000000000,1.0000345663952974,0.9994403900939141,1.3848453924393027,112.4887983315711324,111.0381151107956157,0.3705223056510947,0.7063145522842799,0.0000000000000000,0.0000000000000000
