period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000012801751126,100.0000012801751410,189.2068171012196558,15.5396595175479462,1.4815692451073854,84.4603417626271806,1.6496038064960450,0.0000000000000000,4223.0170638243625945,0.0000000000000000,0.0000000000000000,1.0000000031118934,1.0000000005710192,1.0975553866007477,14.8334536373542356,13.7358982507534879,0.5448322661549319,0.5500000016034714,0.2523659246863370,0.0000000000000000,0.0000000000000000,0.9999999994563961,1.0000000109194187,-1.0975553866007655,15.5034809539651679,16.6010363405659334,0.4329285589113303,0.4299999910799576,0.2212575915117531,0.0000000000000000,0.0000000000000000
1,100.0000011604613519,100.0000011604613519,189.2068172801164962,15.5396595278627707,1.4815692500772588,84.4603416325985847,1.6494746973916343,0.0000000000000000,4223.0170671975247387,0.0000000000000000,0.0000000000000000,1.0000000015383532,0.9999999996303930,1.0975553071721222,14.8334532853295933,13.7358979781574710,0.5448322661549323,0.5500000009183144,0.2523659244269842,0.0000000000000000,0.0000000000000000,1.0000000001892344,1.0000000103196645,-1.0975553071720920,15.5034809950567745,16.6010363022288665,0.4329285589113300,0.4299999927003239,0.2212575926227734,0.0000000000000000,0.0000000000000000
2,100.0000012130947340,100.0000012130947056,189.2068172960467507,15.5396595188668432,1.4815692473619193,84.4603416942278926,1.6493430269742855,0.0000000000000000,4223.0170692630954363,0.0000000000000000,0.0000000000000000,1.0000000024927731,1.0000000008801069,1.0975552922435945,14.8334532179427203,13.7358979256991258,0.5448322661549336,0.5500000016802324,0.2523659248494145,0.0000000000000000,0.0000000000000000,0.9999999991382624,1.0000000086819145,-1.0975552922435803,15.5034811096692486,16.6010364019128289,0.4329285589113303,0.4299999913299701,0.2212575918930683,0.0000000000000000,0.0000000000000000
3,100.0000012768350643,100.0000012768350643,189.2068173571923637,15.5396595297967259,1.4815692488108838,84.4603417470383420,1.6492087447790615,0.0000000000000000,4223.0170723667879429,0.0000000000000000,0.0000000000000000,1.0000000023458697,0.9999999970265543,1.0975555166293365,14.8334534261918609,13.7358979095625244,0.5448322661549332,0.5500000014203665,0.2523659246110169,0.0000000000000000,0.0000000000000000,1.0000000000334652,1.0000000132081253,-1.0975555166293027,15.5034810008834860,16.6010365175127887,0.4329285589113300,0.4299999920465080,0.2212575922614315,0.0000000000000000,0.0000000000000000
4,99.9908063872634614,99.9908063872634330,189.2332776004716948,15.5625822177322100,1.4567224929627403,84.4282241695312621,1.6490717994431823,0.0000000000000000,4223.0170747526108244,0.0000000000000000,0.0000000000000000,0.9995661658569681,0.9988780164051541,1.1256166130915108,14.7719509294400666,13.6463343163485558,0.5448322661549317,0.5499776181892423,0.2491823820363025,0.0000000000000000,0.0000000000000000,0.9993846739395733,0.9997488528640656,-1.1256166130915517,15.4040367372367548,16.5296533503283065,0.4230156428587087,0.4297463933147819,0.2228937610167326,0.0000000000000000,0.0000000000000000
5,99.9990556068489553,99.9990556068489553,189.2080540822734065,15.6624384400338919,1.4818820313315291,84.3366171668150599,1.6489446300343529,0.0000000000000000,4223.0170758027652482,0.0000000000000000,0.0000000000000000,0.9999758455864115,0.9999133029389772,1.1001341637370796,14.8292076540792728,13.7290734903421932,0.5448322661549329,0.5499876517564285,0.2520876198150872,0.0000000000000000,0.0000000000000000,0.9999635656000539,0.9999988450931137,-1.1001341637372200,15.4965314461649584,16.5966656099021783,0.4329285589113301,0.4299756608694499,0.2209505494035162,0.0000000000000000,0.0000000000000000
6,100.0183104996946923,100.0183104996946639,189.2424588142633866,15.6792218035317497,1.4810285050880951,84.3390886961629320,1.6488506136126562,0.0000000000000000,4223.0170780854377881,0.0000000000000000,0.0000000000000000,1.0000244059504106,0.9999354944170582,1.1004354846541435,14.8338193250406825,13.7333838403865389,0.5448322661549329,0.5500044191313685,0.2521974013052367,0.0000000000000000,0.0000000000000000,1.0000316633623845,1.0000342822729564,-1.1004354846540316,15.5050674398708033,16.6055029245248349,0.4329285589113299,0.4300090388161163,0.2211843521676648,0.0000000000000000,0.0000000000000000
7,100.0149051002979945,100.0149051002979945,189.3266471922791823,15.6832286523327191,1.4304595542587444,84.3316764479652647,1.6487537644487138,0.0000000000000000,4223.0170769224414471,0.0000000000000000,0.0000000000000000,0.9991524559701639,0.9975146490431722,1.1630184452039671,14.7059296005293039,13.5429111553253367,0.5347609927038042,0.5501066967318490,0.2502035455205158,0.0000000000000000,0.0000000000000000,0.9987937766563522,0.9995855560789806,-1.1630184452040417,15.3049453001747899,16.4679637453788317,0.4230156428587097,0.4296417726483414,0.2192536892576876,0.0000000000000000,0.0000000000000000
8,99.7053958322935756,99.7053958322935756,189.0182640170643538,15.4572849457009625,1.4398302103820477,84.2481108865926132,1.6486578793095659,0.0000000000000000,4223.0170825694431187,0.0000000000000000,0.0000000000000000,0.9977085971579129,0.9899481941835347,1.3775127947810404,13.5952977893521130,12.2177849945710726,0.5448322661549321,0.5346555925949346,0.2419149322471935,0.0000000000000000,0.0217700000000000,0.9977233672324994,1.0012110882685437,-1.3477499145392731,15.4486397730304841,16.7963896875697571,0.4329285589113309,0.4303416702292119,0.2208965267552031,0.0000000000000000,0.0000000000000000
9,99.6932541134585080,99.6932541134585080,188.9941978184893969,15.4572078607698646,1.4396156753877258,84.2360462526886380,1.6485926937483686,0.0000000000000000,4223.0170831659934265,0.0000000000000000,0.0000000000000000,0.9976687615939076,0.9897040653489929,1.3877155264381269,13.5859496995817626,12.1982341731436357,0.5448322661549313,0.5346342719944922,0.2416207379070669,0.0000000000000000,0.0217700000000000,0.9977098782294990,1.0013730318428524,-1.3582158445190444,15.4571149311498921,16.8153307756689365,0.4329285589113305,0.4303524252226918,0.2214599336850471,0.0000000000000000,0.0000000000000000
10,99.6807952180052155,99.6807952180052155,188.9702010621788020,15.4565334778638039,1.4396354890215599,84.2242617401414009,1.6485309222618387,0.0000000000000000,4223.0170845352522520,0.0000000000000000,0.0000000000000000,0.9976522304779157,0.9896927174584068,1.3884618967039373,13.5841845369152985,12.1957226402113612,0.5448322661549344,0.5346379760476179,0.2416000090924286,0.0000000000000000,0.0217700000000000,0.9976931662592223,1.0013963033387854,-1.3589862211554085,15.4565313469884913,16.8155175681438998,0.4329285589113311,0.4303592360878332,0.2215125749727175,0.0000000000000000,0.0000000000000000
