period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058136980434938,582.3058154112678722,1164.9039131777433340,87.3312583441718573,6.8298247191186103,494.9745556108123310,9.7053872566705213,0.0000000000000000,24748.7277588927136094,0.0000000000000000,0.0000000000000000,0.9999999970578615,0.9999999985293977,-1.0975553153394682,13.7358983195359254,14.8334536348753936,0.0574419850770593,0.0571999991518478,0.1437086011265786,0.0000000000000000,0.0000000000000000,0.9999999952929759,1.0000000162555245,1.0975533868381717,112.1945376796445686,111.0969842928063969,0.3677395352555122,0.3699999882792446,0.2194556419149081,0.0000000000000000,0.0000000000000000
1,582.3058137509917742,582.3058145866255018,1164.9039150847115707,87.3312588015017042,6.8298247996799732,494.9745550748141341,9.7053873329369758,0.0000000000000000,24748.7277696964156348,0.0000000000000000,0.0000000000000000,0.9999999985649570,1.0000000000543079,-1.0975552814032632,13.7358980176220715,14.8334532990253347,0.0574419850770593,0.0571999997064935,0.1437086024615980,0.0000000000000000,0.0000000000000000,0.9999999975310617,1.0000000193202865,1.0975530524251127,112.1945374855263395,111.0969844331012268,0.3677395352555128,0.3699999906220105,0.2194556434596698,0.0000000000000000,0.0000000000000000
2,582.3058134060541988,582.3058147910618345,1164.9039140631086866,87.3312582231772438,6.8298247471144968,494.9745553905933093,9.7053874109389575,0.0000000000000000,24748.7277644988789689,0.0000000000000000,0.0000000000000000,0.9999999976215113,0.9999999988095907,-1.0975552632076067,13.7358979645223229,14.8334532277299296,0.0574419850770594,0.0571999993808415,0.1437086017882483,0.0000000000000000,0.0000000000000000,0.9999999959236163,1.0000000160715841,1.0975537386338914,112.1945377471245138,111.0969840084906224,0.3677395352555123,0.3699999889712301,0.2194556424939184,0.0000000000000000,0.0000000000000000
3,582.3058133109495884,582.3058146448479420,1164.9039151567185399,87.3312584377861327,6.8298247848210805,494.9745550732147876,9.7053874903771451,0.0000000000000000,24748.7277864729294379,0.0000000000000000,0.0000000000000000,0.9999999977092822,1.0000000026574285,-1.0975554900343454,13.7358979494170850,14.8334534394514304,0.0574419850770593,0.0571999994918412,0.1437086020198909,0.0000000000000000,0.0000000000000000,0.9999999969629594,1.0000000165444018,1.0975539911055989,112.1945374283106815,111.0969834372050826,0.3677395352555126,0.3699999901988171,0.2194556432655435,0.0000000000000000,0.0000000000000000
4,582.1112434230070676,582.0077908639408406,1164.9071841747677354,87.2606139492477269,6.7111907466920560,494.8351187985407478,9.7053875715285596,0.0000000000000000,24748.7277886299889360,0.0000000000000000,0.0000000000000000,1.0001777511584722,1.0018839122676575,-1.2010910337653069,13.6000851633910784,14.8011761971563853,0.0546522391288184,0.0572610511728633,0.1471472330028373,0.0000000000000000,0.0000000000000000,0.9999813552343261,0.9993215241633623,1.4049058210837444,111.8398756965549978,110.4349698754712534,0.3677395352555123,0.3702680810153861,0.2163115647808090,0.0000000000000000,0.0000000000000000
5,582.3001406370538007,582.2735091454238727,1164.8872975768767901,87.3228175479364523,6.8319764714107469,494.9733291981913226,9.7054423509590304,0.0000000000000000,24748.7277791248779977,0.0000000000000000,0.0000000000000000,1.0000457370826796,1.0000727358910604,-1.0980770237322925,13.7294274842462354,14.8275045079785279,0.0574419850770594,0.0572164325623867,0.1434322006776183,0.0000000000000000,0.0000000000000000,0.9999709630103404,0.9999986562312172,1.0836587932794259,112.1463892110552933,111.0627304177758674,0.3677395352555126,0.3699823242391891,0.2191864333249142,0.0000000000000000,0.0000000000000000
6,582.3125863088990855,582.3042731958469176,1164.9031910006699491,87.3331808922569479,6.8298181773501554,494.9781586275674954,9.7054440100718153,0.0000000000000000,24748.7277991226546874,0.0000000000000000,0.0000000000000000,1.0000142762356981,0.9999773544325379,-1.0950662003590974,13.7366387755637440,14.8317049759228414,0.0574419850770593,0.0572054632035568,0.1436989110866819,0.0000000000000000,0.0000000000000000,0.9999868106754165,1.0000207240792083,1.0818305823628265,112.1823669892163622,111.1005364068535357,0.3677395352555127,0.3699892800895654,0.2194255308790070,0.0000000000000000,0.0000000000000000
7,582.3131100157636411,582.3064850845888714,1164.9048284438288192,87.3336223041661697,6.8296742014914429,494.9784941124330544,9.7054438084587336,0.0000000000000000,24748.7277641855471302,0.0000000000000000,0.0000000000000000,1.0000113770520240,0.9999720349165411,-1.0949732751780825,13.7371244042878669,14.8320976794659494,0.0574419850770593,0.0572045128312533,0.1437196481698561,0.0000000000000000,0.0000000000000000,0.9999888018092975,1.0000204350832347,1.0828998048244642,112.1856289352506479,111.1027291304261837,0.3677395352555126,0.3699904067044777,0.2194461692996802,0.0000000000000000,0.0000000000000000
8,582.3128527034816670,582.3067666675078726,1164.9054128121822487,87.3334222725028155,6.8296769512483602,494.9785176571967895,9.7054434712510798,0.0000000000000000,24748.7278110601873777,0.0000000000000000,0.0000000000000000,1.0000104515975468,0.9999731297276339,-1.0950924287099095,13.7371207601018046,14.8322131888117141,0.0574419850770593,0.0572042562892343,0.1437207961176947,0.0000000000000000,0.0000000000000000,0.9999898003872374,1.0000188898118021,1.0840304382455628,112.1865130348340642,111.1024825965885015,0.3677395352555122,0.3699911312507430,0.2194484273207427,0.0000000000000000,0.0000000000000000
9,582.3125615480348642,582.3068913892284399,1164.9058587866813923,87.3331995727830446,6.8296895076212616,494.9785115764020702,9.7054431180660909,0.0000000000000000,24748.7278089761639421,0.0000000000000000,0.0000000000000000,1.0000097374063235,0.9999745545854928,-1.0952152905521384,13.7370840368449549,14.8322993273970933,0.0574419850770594,0.0572040678506185,0.1437204019650592,0.0000000000000000,0.0000000000000000,0.9999906454387041,1.0000174136334448,1.0850587519267663,112.1871566347017506,111.1020978827749843,0.3677395352555126,0.3699917666261140,0.2194490768270364,0.0000000000000000,0.0000000000000000
