period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058138485495192,582.3058148504642304,1455.5209356801562990,232.8833504983839191,428.9747988876846421,1164.9039162249662240,87.3312588467479145,6.8298250896388488,494.9745551520635445,9.7053877742434072,0.0000000000000000,24748.7277851208818902,0.0000000000000000,0.0000000000000000,0.9999999982794012,1.0000000035624674,-1.0975555048368459,13.7358976553467862,14.8334531601836321,0.0574419850770527,0.0571999996905401,0.1437085974349882,0.2542384666912749,0.8637359597810517,0.0000000000000000,0.0000000000000000,0.9999999959006189,1.0000000168303433,1.0975531664101226,112.1945373138110114,111.0969841474008888,0.3677395352554912,0.3699999893428197,0.2194556352890877,0.4159280740772319,2.1673034610019819,0.0000000000000000,0.0000000000000000
1,582.3058141837930179,582.3058143672687947,1455.5209382358325456,232.8833501460825914,428.9747987061267054,1164.9039161598686860,87.3312585608635032,6.8298250786386481,494.9745556504462911,9.7053878610412294,0.0000000000000000,24748.7277533202468476,0.0000000000000000,0.0000000000000000,0.9999999996849152,1.0000000049432685,-1.0975555355255171,13.7358979526485747,14.8334534881740918,0.0574419850770527,0.0571999998832284,0.1437085978856097,0.2542384670868760,0.8637359610482565,0.0000000000000000,0.0000000000000000,0.9999999958458033,1.0000000159773959,1.0975535294192298,112.1945376833448478,111.0969841539256180,0.3677395352554915,0.3699999888957493,0.2194556347952867,0.4159280737077851,2.1673034594875848,0.0000000000000000,0.0000000000000000
2,582.3058143416408257,582.3058152082619472,1455.5209404750291924,232.8833496732157187,428.9747983454217888,1164.9039156170806564,87.3312582859285698,6.8298250483082388,494.9745561856836957,9.7053879493795669,0.0000000000000000,24748.7277711823226127,0.0000000000000000,0.0000000000000000,0.9999999985117423,1.0000000046249329,-1.0975555771666485,13.7358978728122008,14.8334534499788493,0.0574419850770526,0.0571999994754852,0.1437085968692762,0.2542384661659460,0.8637359582789591,0.0000000000000000,0.0000000000000000,0.9999999951716823,1.0000000141388758,1.0975540445102325,112.1945385660415013,111.0969845215312688,0.3677395352554915,0.3699999879083675,0.2194556343179077,0.4159280733931280,2.1673034575239400,0.0000000000000000,0.0000000000000000
3,582.3058145952270479,582.3058163297023384,1455.5209422024845480,232.8833501309522660,428.9747990772336834,1164.9039170592625396,87.3312588691355387,6.8298250923521913,494.9745559862192295,9.7053880392747747,0.0000000000000000,24748.7278460046218242,0.0000000000000000,0.0000000000000000,0.9999999970213671,0.9999999961516399,-1.0975552030059514,13.7358982282149373,14.8334534312208888,0.0574419850770526,0.0571999991639260,0.1437085960357640,0.2542384654888031,0.8637359559624498,0.0000000000000000,0.0000000000000000,0.9999999970462781,1.0000000174386883,1.0975534459490035,112.1945383624608894,111.0969849165118859,0.3677395352554919,0.3699999898964321,0.2194556355252524,0.4159280743553159,2.1673034619929905,0.0000000000000000,0.0000000000000000
4,582.1935078802149519,582.0157747100020060,1455.5209442793432117,233.0026351503260571,429.1212700355270044,1164.9905350475794421,87.2682047871538771,6.7105399567005231,494.8986535495786256,9.7053881310461101,0.0000000000000000,24748.7277949628623901,0.0000000000000000,0.0000000000000000,1.0003053751769895,1.0015051620190418,-1.1634489563518891,13.6228327647479190,14.7862817210998081,0.0546522391288119,0.0573355719297192,0.1473352219070324,0.2522851364928985,0.8554952956395870,0.0000000000000000,0.0000000000000000,0.9999165698959457,0.9994584444653852,1.2950289820843324,111.7698048271178237,110.4747758450334914,0.3677395352554916,0.3701814072115389,0.2162520579855938,0.4120827790823210,2.1590083847763397,0.0000000000000000,0.0000000000000000
5,582.2974346951465350,582.2745818342444863,1455.4845404356060499,232.8811262916497640,428.9684920276777689,1164.8869714056102111,87.3222621087062976,6.8320488176681566,494.9717454000716543,9.7054179950000563,0.0000000000000000,24748.7278154787782114,0.0000000000000000,0.0000000000000000,1.0000392475674105,1.0000729794552707,-1.0987084776926075,13.7292502334652404,14.8279587111578479,0.0574419850770526,0.0572137000762770,0.1434401699070454,0.2542695083006267,0.8631817032384723,0.0000000000000000,0.0000000000000000,0.9999763530126510,0.9999931320927841,1.0888278044009070,112.1499352072125362,111.0611074028116292,0.3677395352554909,0.3699871163683579,0.2191850843022603,0.4159217822667380,2.1667076241903809,0.0000000000000000,0.0000000000000000
6,582.3095443772708677,582.3028020791119843,1455.4811572914379667,232.8832953580046592,428.9708232774050316,1164.9022471948205748,87.3321284182067217,6.8298797422633841,494.9764047682429009,9.7054197880933941,0.0000000000000000,24748.7278303742168646,0.0000000000000000,0.0000000000000000,1.0000115786806019,0.9999851503465225,-1.0958682389329066,13.7361790885680346,14.8320473275009412,0.0574419850770527,0.0572038034452189,0.1436951983871420,0.2542472271423917,0.8637178394865213,0.0000000000000000,0.0000000000000000,0.9999908734962731,1.0000134049883871,1.0871475147547329,112.1853529370734037,111.0982054223186708,0.3677395352554914,0.3699928445803121,0.2194280036868739,0.4159241992850468,2.1672424415946789,0.0000000000000000,0.0000000000000000
7,582.3101783760766921,582.3049767621076853,1455.4854274420997626,232.8834456151936934,428.9714273036604482,1164.9037015340684320,87.3326532467872738,6.8297294904388091,494.9767450041535994,9.7054197898285004,0.0000000000000000,24748.7278485844690294,0.0000000000000000,0.0000000000000000,1.0000089328001247,0.9999802131918196,-1.0957792935400104,13.7366455151721105,14.8324248087121209,0.0574419850770527,0.0572029310568790,0.1437151381012244,0.2542452501471751,0.8637553474352040,0.0000000000000000,0.0000000000000000,0.9999924902979694,1.0000135378768003,1.0878620018606426,112.1883834863028255,111.1005214844421829,0.3677395352554915,0.3699936809800001,0.2194487488487803,0.4159246098391571,2.1672826259221321,0.0000000000000000,0.0000000000000000
8,582.3100481704943832,582.3053615887498609,1455.4897351462482220,232.8834485206883755,428.9718540706677459,1164.9041509231271903,87.3325597204013206,6.8297265719428948,494.9767855694276477,9.7054196581725520,0.0000000000000000,24748.7278501132022939,0.0000000000000000,0.0000000000000000,1.0000080483231886,0.9999812671618524,-1.0958929573694860,13.7366399792941358,14.8325329366636218,0.0574419850770527,0.0572026921167110,0.1437162640003868,0.2542447000137553,0.8637567878910722,0.0000000000000000,0.0000000000000000,0.9999931996380208,1.0000124895130884,1.0886455034329714,112.1890772271728451,111.1004317237398737,0.3677395352554917,0.3699941912864090,0.2194508606808685,0.4159248855025980,2.1672869142221103,0.0000000000000000,0.0000000000000000
9,582.3098765719763605,582.3055911599922183,1455.4936136213150348,232.8834410646580864,428.9722259445056807,1164.9044843776043763,87.3324349608331687,6.8297340406429541,494.9767988979887150,9.7054195079755594,0.0000000000000000,24748.7278537113816128,0.0000000000000000,0.0000000000000000,1.0000073593866337,0.9999826306355473,-1.0960102874033399,13.7366026888510628,14.8326129762544028,0.0574419850770526,0.0572025162314073,0.1437159013355176,0.2542442930823889,0.8637556603158050,0.0000000000000000,0.0000000000000000,0.9999937874930735,1.0000114674625527,1.0893599062400767,112.1895515303766189,111.1001916241365421,0.3677395352554916,0.3699946368288355,0.2194513612798977,0.4159251298970047,2.1672883877202227,0.0000000000000000,0.0000000000000000
