period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,582.3058136678258734,582.3058151166720791,727.7604678570812666,232.8833493747264640,340.4775224185322031,1164.9039136553776643,43.6656294534372336,6.7822694649564275,538.6401843230338500,48.9673579244020516,0.0000000000000000,5386.4018389907168967,0.0000000000000000,0.0000000000000000,0.9999999975118812,1.0000000052156841,-1.0975556597924054,13.7358977811838923,14.8334534409762977,0.0574419850770575,0.0571999991715401,0.1440591208624354,0.2548024125762191,0.8669992515115729,0.0000000000000000,0.0000000000000000,0.9999999946088590,1.0000000128728819,1.0975545154850721,112.1945392196249998,111.0969847041399277,0.3677395352555066,0.3699999874939802,0.2199212969977918,0.4166484259373902,2.1736930411558832,0.0000000000000000,0.0000000000000000
1,582.3058132118175081,582.3058154029203024,727.7604691304483140,232.8833502397640132,340.4775234602391265,1164.9039153682242613,43.6656297218230733,6.7822695275226490,538.6401836542996762,48.9673647684615503,0.0000000000000000,5386.4018555492766609,0.0000000000000000,0.0000000000000000,0.9999999962371955,0.9999999964033182,-1.0975552691030153,13.7358982615549969,14.8334535306580122,0.0574419850770575,0.0571999990059855,0.1440591204926058,0.2548024122761278,0.8669992504985132,0.0000000000000000,0.0000000000000000,0.9999999965925166,1.0000000157968394,1.0975541339868187,112.1945380347189740,111.0969839007321553,0.3677395352555066,0.3699999899832686,0.2199212984474141,0.4166484271580351,2.1736930470313531,0.0000000000000000,0.0000000000000000
2,582.3058128062409651,582.3058139991824191,727.7604705401391811,232.8833506319159028,340.4775240622967658,1164.9039161716748367,43.6656296268892632,6.7822695523337684,538.6401832688072773,48.9673723030086521,0.0000000000000000,5386.4018498975801776,0.0000000000000000,0.0000000000000000,0.9999999979513490,1.0000000016885324,-1.0975554467741127,13.7358979837091528,14.8334534304832655,0.0574419850770575,0.0571999995904141,0.1440591217438769,0.2548024133427829,0.8669992540294823,0.0000000000000000,0.0000000000000000,0.9999999968454164,1.0000000149287096,1.0975545946750600,112.1945375452571056,111.0969829505820456,0.3677395352555065,0.3699999904711657,0.2199212990193611,0.4166484274436241,2.1736930486014514,0.0000000000000000,0.0000000000000000
3,582.3058140048393625,582.3058162524090449,727.7604718451643748,232.8833488488021430,340.4775225278602306,1164.9039139942003658,43.6656291639917100,6.7822694328193283,538.6401850093872099,48.9673805945176284,0.0000000000000000,5386.4018472921907232,0.0000000000000000,0.0000000000000000,0.9999999961402246,1.0000000085108767,-1.0975559318223915,13.7358976717904682,14.8334536036128597,0.0574419850770575,0.0571999986972772,0.1440591192603608,0.2548024108863733,0.8669992475014634,0.0000000000000000,0.0000000000000000,0.9999999944801032,1.0000000103151416,1.0975555718812444,112.1945403522644114,111.0969847803831669,0.3677395352555062,0.3699999869506454,0.2199212967032420,0.4166484256219578,2.1736930400100691,0.0000000000000000,0.0000000000000000
4,582.2276932626858752,582.0425341647896857,727.7604725299066786,232.9932042814788531,340.5845872966365278,1165.0089944133144400,43.6308994687611502,6.6724151158922460,538.5829139526557583,48.9673896993572200,0.0000000000000000,5386.4018547091773144,0.0000000000000000,0.0000000000000000,1.0003181195308373,1.0012916860841163,-1.1483302283164800,13.6374382679118842,14.7857684962283642,0.0546522391288167,0.0573460644359921,0.1479999245042059,0.2533439454254840,0.8594767145807892,0.0000000000000000,0.0000000000000000,0.9999036316127292,0.9995416891006046,1.2466953556823768,111.7818724440141409,110.5351770883317641,0.3677395352555065,0.3701417972035688,0.2169408060541437,0.4130822853426298,2.1659530174903012,0.0000000000000000,0.0000000000000000
5,582.3053637783841623,582.2816258668254932,727.7396224924723356,232.8814160186342690,340.4723872288648749,1164.8946771256594275,43.6615647378065290,6.7842034900993946,538.6420190868298050,48.9679204238987040,0.0000000000000000,5386.4018406522955047,0.0000000000000000,0.0000000000000000,1.0000407670627136,1.0000489325741606,-1.0969237367988196,13.7308413050412081,14.8277650418400277,0.0574419850770575,0.0572156998697945,0.1438199464675113,0.2548382062449741,0.8665154987177729,0.0000000000000000,0.0000000000000000,0.9999729684940133,1.0000056293166746,1.0805664306186742,112.1484857592477340,111.0679193286290598,0.3677395352555065,0.3699819369605797,0.2196650760376448,0.4166391817449996,2.1731215293637618,0.0000000000000000,0.0000000000000000
6,582.3148527585099146,582.3062159734279248,727.7385898320360411,232.8833803384865462,340.4741407377944142,1164.9071666082163574,43.6666644677648890,6.7822392580578796,538.6475406253314304,48.9679668387104243,0.0000000000000000,5386.4018425013300657,0.0000000000000000,0.0000000000000000,1.0000148320331212,0.9999721223463911,-1.0946228818046624,13.7370216684137549,14.8316445502184173,0.0574419850770575,0.0572061724233276,0.1440545338652693,0.2548166946366756,0.8670039071816226,0.0000000000000000,0.0000000000000000,0.9999872726385355,1.0000215839215545,1.0808908859856388,112.1820681948981786,111.1011773089125398,0.3677395352555069,0.3699883167750101,0.2198915254256743,0.4166420331811142,2.1736218932915388,0.0000000000000000,0.0000000000000000
7,582.3152800072164155,582.3081539262307160,727.7415865547259273,232.8835128274798478,340.4747372105637169,1164.9086144796547160,43.6668362586550032,6.7821067300251272,538.6479093692821607,48.9679676987149861,0.0000000000000000,5386.4018551381113866,0.0000000000000000,0.0000000000000000,1.0000122376458884,0.9999681397280210,-1.0945828316702535,13.7374351910512882,14.8320180227215417,0.0574419850770574,0.0572053225832525,0.1440727835112991,0.2548147623369117,0.8670377603652746,0.0000000000000000,0.0000000000000000,0.9999890647497574,1.0000210777123824,1.0819602684077836,112.1850901081352987,111.1031298397275151,0.3677395352555070,0.3699893099292335,0.2199110229221648,0.4166425349925615,2.1736600079423041,0.0000000000000000,0.0000000000000000
8,582.3151119030782183,582.3085340915326924,727.7444619804413151,232.8835118470874477,340.4751846781600193,1164.9092120359866840,43.6666967262098140,6.7821076854361202,538.6479219137869450,48.9679652925034006,0.0000000000000000,5386.4018560670019724,0.0000000000000000,0.0000000000000000,1.0000112960933258,0.9999693532309769,-1.0947061459059917,13.7374282515966151,14.8321343975026068,0.0574419850770575,0.0572050809337081,0.1440737546852580,0.2548142039129402,0.8670388772379398,0.0000000000000000,0.0000000000000000,0.9999899496488882,1.0000197157232955,1.0829448675859368,112.1858841446047137,111.1029392770187769,0.3677395352555070,0.3699899280339625,0.2199131085037355,0.4166428706023869,2.1736644206414479,0.0000000000000000,0.0000000000000000
9,582.3149176121677328,582.3087674910827900,727.7469842363366297,232.8835020621804119,340.4755684864214231,1164.9096744972498527,43.6665534712530814,6.7821174967785032,538.6479029515832053,48.9679625316301070,0.0000000000000000,5386.4018536306257374,0.0000000000000000,0.0000000000000000,1.0000105616151227,0.9999707796997265,-1.0948272844486695,13.7373937513683444,14.8322210358170139,0.0574419850770575,0.0572049039938364,0.1440733746092675,0.2548137939314182,0.8670377111362314,0.0000000000000000,0.0000000000000000,0.9999906822343079,1.0000184553908400,1.0838144809602852,112.1864451333019730,111.1026306523416878,0.3677395352555068,0.3699904577864269,0.2199136671061703,0.4166431605173682,2.1736661191420885,0.0000000000000000,0.0000000000000000
