period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,rex2,rim2,exrate2,mktpen2,tau2,ntb2
0,582.3058150313256647,582.3058154059433491,1164.9039163238810488,87.3312588011102662,7.0112848999748252,494.9745562302155122,9.7053796534169479,9.7034573769113699,24748.7277735616808059,0.0000000000000000,0.0000000000000000,0.9999999993566651,1.0000000009735119,-1.0975553061371368,13.7358980117050642,14.8334533178422010,0.0571999996374833,0.9505978236682727,0.0000000000000000,0.0000000000000000,0.9999999991743418,1.0000000219186409,1.0975528951337736,112.1945400595958091,111.0969871644620355,0.3699999917641210,0.7066891509941138,0.0000000000000000,0.0000000000000000
1,582.3058150447152457,582.3058154212818636,1164.9039166833645140,87.3312587141892323,7.0112849050581376,494.9745563305259566,9.7053795773754263,9.7034188631373581,24748.7277826983045088,0.0000000000000000,0.0000000000000000,0.9999999993533180,1.0000000009935397,-1.0975553083007306,13.7358980164707525,14.8334533247714830,0.0571999996303258,0.9505978236743087,0.0000000000000000,0.0000000000000000,0.9999999994130162,1.0000000214917564,1.0975531889722134,112.1945402400286582,111.0969870510564448,0.3699999919400965,0.7066891508678854,0.0000000000000000,0.0000000000000000
2,582.3058150596669975,582.3058154380631777,1164.9039170123965050,87.3312586362262095,7.0112849096280634,494.9745564234407311,9.7053794997737413,9.7033795793635047,24748.7277911638957448,0.0000000000000000,0.0000000000000000,0.9999999993501762,1.0000000010118191,-1.0975553102744655,13.7358980208149166,14.8334533310893821,0.0571999996238588,0.9505978236797625,0.0000000000000000,0.0000000000000000,0.9999999996276165,1.0000000211079292,1.0975534531798559,112.1945404028371627,111.0969869496573068,0.3699999920983266,0.7066891507543860,0.0000000000000000,0.0000000000000000
3,582.3058150758845386,582.3058154559944342,1164.9039173137578018,87.3312585663117034,7.0112849137363984,494.9745565095727216,9.7053794205835846,9.7033395102054349,24748.7277990140064503,0.0000000000000000,0.0000000000000000,0.9999999993472333,1.0000000010284964,-1.0975553120747747,13.7358980247776969,14.8334533368524717,0.0571999996180154,0.9505978236846904,0.0000000000000000,0.0000000000000000,0.9999999998205711,1.0000000207628175,1.0975536907444194,112.1945405497691013,111.0969868590246818,0.3699999922405990,0.7066891506523332,0.0000000000000000,0.0000000000000000
4,582.1969799402415902,582.2463918131888931,1164.7926874631266401,87.2950120802511407,7.0127209390740877,494.9019678599904637,9.7053793397758490,9.7032986399713543,24748.7278062990917533,0.0000000000000000,0.0000000000000000,0.9999151358022275,1.0002810853740023,-1.1247530165238118,13.7160076921206660,14.8447127882032994,0.0571473580881725,0.9506422177578633,0.0000000000000000,0.0000000000000000,1.0000672600824723,0.9998454607218931,1.2198291905808389,112.2599347025799261,111.0229996619852955,0.3700920468367216,0.7066231211700019,0.0000000000000000,0.0000000000000000
5,582.3088683992542656,582.3099209611608558,1164.9023278809177100,87.3331852334946177,7.0111691481647940,494.9756831657597331,9.7054077277231148,9.7054077277231148,24748.7278130650774983,0.0000000000000000,0.0000000000000000,0.9999981924369331,1.0000006839361133,-1.0975117713034663,13.7359889705559031,14.8335092754856390,0.0572005043754528,0.9505973980155971,0.0000000000000000,0.0000000000000000,0.9999948812623354,1.0000096397351270,1.0907532800981272,112.1906163504613971,111.1009384614784636,0.3699956985792016,0.7066922305275865,0.0000000000000000,0.0000000000000000
6,582.3087208448484944,582.3095505311640636,1164.9027090626618701,87.3329956742313556,7.0111803866899969,494.9757251706171246,9.7054077712321902,9.7054077712321902,24748.7278193541169458,0.0000000000000000,0.0000000000000000,0.9999985751799625,0.9999999308440360,-1.0974490763136853,13.7360295746573797,14.8334767064785513,0.0572005821574346,0.9505973324209622,0.0000000000000000,0.0000000000000000,0.9999953130569305,1.0000088648190233,1.0912834812928338,112.1909362955290277,111.1006415040174886,0.3699960093002668,0.7066920076447815,0.0000000000000000,0.0000000000000000
7,582.3085860352422287,582.3092163503454231,1164.9030467647623937,87.3328253100553837,7.0111904760179211,494.9757607251868876,9.7054077991389498,9.7054077991389498,24748.7278252045143745,0.0000000000000000,0.0000000000000000,0.9999989175594590,0.9999992572638490,-1.0973929985430235,13.7360658656818160,14.8334475481054486,0.0572006516923493,0.9505972737811974,0.0000000000000000,0.0000000000000000,0.9999957010006196,1.0000081686117954,1.0917598360208700,112.1912232843628061,111.1003742445316362,0.3699962884937783,0.7066918073769897,0.0000000000000000,0.0000000000000000
8,582.3084627882454924,582.3089147582338683,1164.9033456586580542,87.3326721908846935,7.0111995337018076,494.9757905973607421,9.7054078136608712,9.7054078136608712,24748.7278306513435382,0.0000000000000000,0.0000000000000000,0.9999992238312396,0.9999986548026850,-1.0973428395033960,13.7360982986441531,14.8334214400808300,0.0572007138542041,0.9505972213592391,0.0000000000000000,0.0000000000000000,0.9999960495477632,1.0000075431169173,1.0921878139208872,112.1914806895987908,111.1001336910598241,0.3699965393593585,0.7066916274290841,0.0000000000000000,0.0000000000000000
9,582.3083500365398777,582.3086424704868023,1164.9036099275251672,87.3325345654367311,7.0112076652653945,494.9758154711030329,9.7054078167586528,9.7054078167586528,24748.7278357264149236,0.0000000000000000,0.0000000000000000,0.9999994978024958,0.9999981159533817,-1.0972979744310880,13.7361272807201527,14.8333980603325593,0.0572007694244220,0.9505971744961017,0.0000000000000000,0.0000000000000000,0.9999963627001197,1.0000069811505257,1.0925723288868738,112.1917115398436380,111.0999171543165716,0.3699967647718256,0.7066914657389257,0.0000000000000000,0.0000000000000000
10,582.3082468162425585,582.3083965399164299,1164.9038433167054336,87.3324108609531322,7.0112149654345473,494.9758359552894262,9.7054078101639814,9.7054078101639814,24748.7278404591161234,0.0000000000000000,0.0000000000000000,0.9999997428790744,0.9999976340010297,-1.0972578445066485,13.7361531762681377,14.8333771209428242,0.0572008191016432,0.9505971326026117,0.0000000000000000,0.0000000000000000,0.9999966440528536,1.0000064762587981,1.0929177955564739,112.1919185547216529,111.0997222170031336,0.3699969673141805,0.7066913204537004,0.0000000000000000,0.0000000000000000
11,582.3081522566353669,582.3081743215826691,1164.9040491789814951,87.3322996650061469,7.0112215192426168,494.9758525916292911,9.7054077954044029,9.7054077954044029,24748.7278448760480387,0.0000000000000000,0.0000000000000000,0.9999999621077836,0.9999972029393824,-1.0972219498954860,13.7361763113243605,14.8333583645206115,0.0572008635104919,0.9505970951520144,0.0000000000000000,0.0000000000000000,0.9999968968358598,1.0000060226437382,1.0932281800520798,112.1921041763548317,111.0995467062393942,0.3699971493072354,0.7066911899086652,0.0000000000000000,0.0000000000000000
