period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422654617135777,2283.6422646796359004,4715.7685425390427554,335.1221387540475121,2.3650394084148232,1948.5201265928972134,38.2062913500557144,0.0000000000000000,97426.0061511731473729,0.0000000000000000,0.0000000000000000,1.0000000003424692,0.9999999886604163,1.0975558928816689,16.6010376513826117,15.5034817585009428,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999988383008,0.9999999816724202,-1.0975531225686552,111.0969886791533270,112.1945418017219822,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
1,2283.6422657553080171,2283.6422655926198786,4715.7685427603601056,335.1221389517676243,2.3650394084148232,1948.5201267796660431,38.2062916372165802,0.0000000000000000,97426.0061935594712850,0.0000000000000000,0.0000000000000000,1.0000000000712401,0.9999999889695488,1.0975558450991709,16.6010376328741955,15.5034817877750246,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999986098729,0.9999999819321902,-1.0975534023164215,111.0969885824556229,112.1945419847720444,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
2,2283.6422660320531577,2283.6422664281813013,4715.7685429846678744,335.1221391308524744,2.3650394084148232,1948.5201269593317193,38.2062919300474348,0.0000000000000000,97426.0062327769992407,0.0000000000000000,0.0000000000000000,0.9999999998265365,0.9999999892484559,1.0975558019948632,16.6010376162628326,15.5034818142679693,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999984038861,0.9999999821664387,-1.0975536545881397,111.0969884958519174,112.1945421504400571,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
3,2283.6422662929817307,2283.6422671932846242,4715.7685432103999119,335.1221392930795560,2.3650394084148232,1948.5201271320211163,38.2062922286644451,0.0000000000000000,97426.0062690858758288,0.0000000000000000,0.0000000000000000,0.9999999996057602,0.9999999895000978,1.0975557631100887,16.6010376013580334,15.5034818382479447,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999982181367,0.9999999823776716,-1.0975538820814990,111.0969884183201657,112.1945423004016646,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
4,2283.8425578861056238,2284.3580957325393683,4715.9688347832443469,335.2613670592081689,2.3650394084148232,1948.6568531862662894,38.2062925331860868,0.0000000000000000,97426.0063027233263711,0.0000000000000000,0.0000000000000000,0.9997743182877514,1.0002641781046580,1.0447571411963175,16.5734556328701608,15.5286984916738433,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999128665282403,1.0000974848986122,-1.2300491828086848,111.0496343052493700,112.2796834880580548,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
5,2283.6424690767926222,2283.6334488551292452,4715.7779721969200182,335.1196557516749976,2.3650394084148232,1948.5214896216220950,38.2062392295305244,0.0000000000000000,97426.0063339062035084,0.0000000000000000,0.0000000000000000,1.0000039499428719,0.9999956149520522,1.0985313161139665,16.6016428621669299,15.5031115460529634,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000052255106429,0.9999940085068023,-1.0908073670702834,111.1001221857580958,112.1909295528283792,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
6,2283.6423190817172326,2283.6331528259820516,4715.7771002817662520,335.1197545875893979,2.3650394084148232,1948.5212193597885744,38.2062379397619338,0.0000000000000000,97426.0063628321513534,0.0000000000000000,0.0000000000000000,1.0000040138915149,0.9999955115646988,1.0985434318773635,16.6016419277293110,15.5030984958519475,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000048258823897,0.9999944699734211,-1.0912971620138734,111.0998674845778709,112.1911646465917443,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
7,2283.6421740367654820,2283.6328799193479426,4715.7762940881630129,335.1198436305268729,2.3650394084148232,1948.5209665078632497,38.2062367301827379,0.0000000000000000,97426.0063896821666276,0.0000000000000000,0.0000000000000000,1.0000040698824662,0.9999954203672625,1.0985540533985692,16.6016409058985808,15.5030868525000116,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000044659421323,0.9999948855900719,-1.0917383066325215,111.0996377546208151,112.1913760612533366,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
8,2283.6420339655851421,2283.6326279830100248,4715.7755481850153956,335.1199238282682700,2.3650394084148232,1948.5207298224077022,38.2062355955693462,0.0000000000000000,97426.0064146210934268,0.0000000000000000,0.0000000000000000,1.0000041188685342,0.9999953399546437,1.0985633582840624,16.6016398200113287,15.5030764617272663,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000041417471761,0.9999952599136575,-1.0921356344777280,111.0994305240720195,112.1915661585497475,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
9,2283.6418988636751237,2283.6323950901864919,4715.7748576242529452,335.1199960394851018,2.3650394084148232,1948.5205081581570994,38.2062345310812930,0.0000000000000000,97426.0064378000824945,0.0000000000000000,0.0000000000000000,1.0000041616914828,0.9999952690809423,1.0985715035616987,16.6016386897963457,15.5030671862346470,0.0404455581306690,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000038497466335,0.9999955970480330,-1.0924934987330346,111.0992435671307135,112.1917370658637481,0.0976467978870262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
