period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2063547135985218,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2063562699588601,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2063578572588796,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2063594763909791,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2284.0711969010872053,2283.8646598977952635,4716.5011032948850698,335.2852313332451786,7.8814620607085564,1948.7556446788057656,38.2063611278969546,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0000904331184408,1.0012059004182390,1.0104253172583757,16.4599336269342160,15.4495083096758403,0.0404455581306676,0.0410063180853536,0.1500034886238791,0.0000000000000000,0.0000000000000000,1.0001002299155213,1.0004946351721955,-1.2760180215704509,110.5068520285283427,111.7828700500987935,0.0976467978870235,0.1000602716141676,0.1742833071259099,0.0000000000000000,0.0000000000000000
5,2283.6347145708264179,2283.5511805307428403,4715.7810920362062461,335.0984268614791404,8.0532089026619982,1948.5240295538656028,38.2062704615552136,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,1.0000365807610514,1.0000277070352730,1.0980571584147469,16.5944194214744769,15.4963622630597300,0.0404455581306676,0.0410075241555615,0.1534410866343865,0.0000000000000000,0.0000000000000000,1.0000267939190008,0.9999989158867959,-1.0837922911928359,111.0662114295921583,112.1500037207849942,0.0976467978870236,0.1000102406725920,0.1774518868764037,0.0000000000000000,0.0000000000000000
6,2283.6455482280543947,2283.6133685533641255,4715.7952509091855973,335.1132874749505390,8.0495315996340935,1948.5275384841224877,38.2062688003767192,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,1.0000140915599520,0.9999764316536177,1.1001986978247196,16.6019638795693609,15.5017651817446414,0.0404455581306677,0.0410030592152744,0.1537059239452142,0.0000000000000000,0.0000000000000000,1.0000114291206517,0.9999822045633872,-1.0842001682922842,111.1004101940826985,112.1846103623749826,0.0976467978870235,0.1000040418134821,0.1776955925931514,0.0000000000000000,0.0000000000000000
7,2283.6460776364319827,2283.6192147158049011,4715.7942159383419494,335.1149642358918754,8.0492458716825421,1948.5271713393476603,38.2062657299324826,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,1.0000117633099483,0.9999746760499791,1.1001858812138305,16.6024304717004760,15.5022445904866455,0.0404455581306676,0.0410026252138164,0.1537262493495614,0.0000000000000000,0.0000000000000000,1.0000095412190133,0.9999827614266588,-1.0853458828845106,111.1023220451648825,112.1876679280493931,0.0976467978870235,0.1000033490941045,0.1777142277405260,0.0000000000000000,0.0000000000000000
8,2283.6458412043230055,2283.6211834372206795,4715.7922406832212801,335.1156667769624846,8.0491968983751523,1948.5265559620374916,38.2062627420570280,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0000107976608736,0.9999760959537919,1.1000353132338443,16.6023923907968474,15.5023570775630031,0.0404455581306676,0.0410024621992736,0.1537273337941198,0.0000000000000000,0.0000000000000000,1.0000086278536957,0.9999841955603378,-1.0863864502029656,111.1020368874325470,112.1884233376355127,0.0976467978870235,0.1000030499881952,0.1777152156252036,0.0000000000000000,0.0000000000000000
9,2283.6455520298618467,2283.6227101246749953,4715.7903413411713700,335.1162397674583531,8.0491677653365041,1948.5259602667597392,38.2062599357470916,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0000100024864376,0.9999775840271136,1.0998895244323190,16.6023236545352688,15.5024341301029498,0.0404455581306676,0.0410023304816977,0.1537269262659487,0.0000000000000000,0.0000000000000000,1.0000078600858384,0.9999855423945704,-1.0873199248449339,111.1016345319527971,112.1889544567977310,0.0976467978870234,0.1000028033393382,0.1777148428230515,0.0000000000000000,0.0000000000000000
