period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2063705237797606,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2063723963451665,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2063743061744177,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2063762542863969,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2284.2364147834864525,2283.7878797894500167,4716.6725886587928471,335.3114393308734407,7.8780078074343471,1948.8591204247572932,38.2063782413519135,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0001963995859704,1.0013635659804294,0.9989592912411673,16.4562550377250361,15.4572957464838687,0.0404455581306676,0.0410013582017146,0.1499886614140480,0.0000000000000000,0.0000000000000000,1.0000186451133077,1.0006789364786330,-1.4049058210837444,110.4349698754712534,111.8398756965549978,0.0976467978870235,0.1000224049130845,0.1742183779882483,0.0000000000000000,0.0000000000000000
5,2283.6355673451666917,2283.4648184236152701,4715.7901662793956348,335.0842253436705960,8.0536160751516235,1948.5262856618296610,38.2062473504543192,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,1.0000747762436162,0.9999740293777502,1.1043406042730908,16.5979412630092185,15.4936006587361277,0.0404455581306677,0.0410148801656648,0.1534672638259750,0.0000000000000000,0.0000000000000000,1.0000290378328309,1.0000013437705886,-1.0836587932794259,111.0627304177758674,112.1463892110552933,0.0976467978870234,0.1000107683643680,0.1774482472205330,0.0000000000000000,0.0000000000000000
6,2283.6471330072868113,2283.5844122547096049,4715.8047352145231343,335.1080719640476104,8.0497076775320657,1948.5298569908923128,38.2062443423139868,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,1.0000274659225385,0.9999479267613167,1.1030967457665319,16.6034575084613252,15.5003607626947932,0.0404455581306676,0.0410058773813120,0.1537187480496675,0.0000000000000000,0.0000000000000000,1.0000131894985440,0.9999792763502702,-1.0818305823628265,111.1005364068535357,112.1823669892163622,0.0976467978870237,0.1000047710447377,0.1776967050188502,0.0000000000000000,0.0000000000000000
7,2283.6475363467457100,2283.5959830358356157,4715.8030113501254164,335.1107333453768433,8.0494017461374341,1948.5292377105056403,38.2062398735042166,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,1.0000225754955312,0.9999505503650489,1.1026287592967368,16.6036655746752437,15.5010368153785070,0.0404455581306675,0.0410049940190423,0.1537363336438367,0.0000000000000000,0.0000000000000000,1.0000111983161033,0.9999795653343494,-1.0828998048244642,111.1027291304261837,112.1856289352506479,0.0976467978870235,0.1000040709834034,0.1777156742428384,0.0000000000000000,0.0000000000000000
8,2283.6471050611062310,2283.5999454773609614,4715.8003109191322437,335.1118270363969600,8.0493444382708450,1948.5283574893055629,38.2062355581715138,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0000206514209458,0.9999538737647450,1.1022968548646563,16.6035430033447504,15.5012461484800941,0.0404455581306676,0.0410046733482988,0.1537365985618392,0.0000000000000000,0.0000000000000000,1.0000101997167958,0.9999811105450163,-1.0840304382455628,111.1024825965885015,112.1865130348340642,0.0976467978870234,0.1000037458006324,0.1777166372726722,0.0000000000000000,0.0000000000000000
9,2283.6466231101958329,2283.6030242273532167,4715.7977289880864191,335.1127147809057760,8.0493083240865104,1948.5275103083395152,38.2062315017140435,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0000190921462180,0.9999568714364500,1.1020080735599276,16.6034117503284833,15.5014036767685557,0.0404455581306676,0.0410044176593755,0.1537356521967506,0.0000000000000000,0.0000000000000000,1.0000093546488045,0.9999825866697846,-1.0850587519267663,111.1020978827749843,112.1871566347017506,0.0976467978870235,0.1000034738256990,0.1777162141833860,0.0000000000000000,0.0000000000000000
