period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422611377834073,2283.6422545083196383,2792.6844898840327005,893.6590363168752447,1306.5374372697394847,4715.7685332210112392,167.5610686611125857,7.9934797037483776,2116.0811919902375848,192.3718627449660517,0.0000000000000000,21160.8118464401741221,0.0000000000000000,0.0000000000000000,1.0000000029030223,0.9999999850982861,1.0975558620850272,16.6010366240605265,15.5034807619754993,0.0404455581306654,0.0410000014876772,0.1540584467969840,0.2869929057454974,1.5359418849374702,0.0000000000000000,0.0000000000000000,1.0000000053911411,0.9999999871271182,-1.0975545154850721,111.0969847041399277,112.1945392196249998,0.0976467978870193,0.1000000038808714,0.1780867769662349,0.3438753296529262,2.2910392819056775,0.0000000000000000,0.0000000000000000
1,2283.6422608312886950,2283.6422616427144021,2792.6844896385364336,893.6590363295422321,1306.5374372438009232,4715.7685328358929837,167.5610689819074253,7.9934796227530116,2116.0811919089192088,192.3719472745054304,0.0000000000000000,21160.8119104755060107,0.0000000000000000,0.0000000000000000,0.9999999996446789,0.9999999865556751,1.0975555367959693,16.6010365156167410,15.5034809788207717,0.0404455581306653,0.0410000008989254,0.1540584450043812,0.2869929043270903,1.5359418771614644,0.0000000000000000,0.0000000000000000,1.0000000034074834,0.9999999842031608,-1.0975541339868187,111.0969839007321553,112.1945380347189740,0.0976467978870191,0.1000000032474516,0.1780867758523653,0.3438753286887723,2.2910392762370546,0.0000000000000000,0.0000000000000000
2,2283.6422608419047720,2283.6422583163503077,2792.6844891825935520,893.6590366814577919,1306.5374375157000486,4715.7685335079622746,167.5610688879791610,7.9934796368068781,2116.0811917686146444,192.3720402578238122,0.0000000000000000,21160.8118852455954766,0.0000000000000000,0.0000000000000000,1.0000000011059327,0.9999999872869940,1.0975555965983759,16.6010364765706306,15.5034808799722548,0.0404455581306654,0.0410000012098722,0.1540584460123557,0.2869929053129340,1.5359418814804680,0.0000000000000000,0.0000000000000000,1.0000000031545837,0.9999999850712906,-1.0975545946750600,111.0969829505820456,112.1945375452571056,0.0976467978870193,0.1000000032112582,0.1780867758098912,0.3438753287108559,2.2910392760016638,0.0000000000000000,0.0000000000000000
3,2283.6422620431858377,2283.6422582520626747,2792.6844889049284575,893.6590362754590160,1306.5374370766830907,4715.7685337525590512,167.5610690821910680,7.9934797036113192,2116.0811926828228025,192.3721425408533605,0.0000000000000000,21160.8118826095596887,0.0000000000000000,0.0000000000000000,1.0000000016601214,0.9999999818444402,1.0975559977274845,16.6010367786676056,15.5034807809401212,0.0404455581306655,0.0410000012786546,0.1540584463041415,0.2869929055017000,1.5359418827116962,0.0000000000000000,0.0000000000000000,1.0000000055198968,0.9999999896848585,-1.0975555718812444,111.0969847803831669,112.1945403522644114,0.0976467978870192,0.1000000039560944,0.1780867770326351,0.3438753297276308,2.2910392822200492,0.0000000000000000,0.0000000000000000
4,2283.9512923989709634,2283.0049232412352467,2792.6844889309950304,893.8088143181969372,1306.6834175544588561,4716.3493076330314580,167.5916584856759073,7.8437019089550279,2116.2901625008294104,192.3722550440003545,0.0000000000000000,21160.8119112415915879,0.0000000000000000,0.0000000000000000,1.0004145278654899,1.0006318657988247,1.0777543897456479,16.5088000497474603,15.4310456600018124,0.0404455581306653,0.0410834272035655,0.1509150770244839,0.2819615446630707,1.5252031152968464,0.0000000000000000,0.0000000000000000,1.0000963776750318,1.0004585210445878,-1.2466953556823768,110.5351770883317641,111.7818724440141409,0.0976467978870195,0.1000644995460320,0.1749398148432528,0.3394789025565014,2.2788719527053396,0.0000000000000000,0.0000000000000000
5,2283.6247413522610259,2283.4699211749129972,2792.7845435194994934,893.6546648556204673,1306.5487794112193569,4715.7721268743780456,167.5394948561577166,7.9978511204248708,2116.0738872510942201,192.3704792514546398,0.0000000000000000,21160.8118527663718851,0.0000000000000000,0.0000000000000000,1.0000678004014472,0.9999501461553835,1.1057771032289825,16.5995359582057596,15.4937588549767771,0.0404455581306654,0.0410144599474291,0.1538547458463623,0.2870391292526686,1.5353718876375670,0.0000000000000000,0.0000000000000000,1.0000270322367089,0.9999943707150144,-1.0805664306186742,111.0679193286290598,112.1484857592477340,0.0976467978870194,0.1000107758010960,0.1778533565453428,0.3438916988294717,2.2902802574042775,0.0000000000000000,0.0000000000000000
6,2283.6374513343448598,2283.5745166021829391,2792.7683248525145245,893.6581165763950594,1306.5496145471593081,4715.7863914466952338,167.5523890440988737,7.9943993633949209,2116.0804445890712486,192.3704918379628168,0.0000000000000000,21160.8118639547865314,0.0000000000000000,0.0000000000000000,1.0000275597453485,0.9999424397603595,1.1037146540024771,16.6039015175520674,15.5001868635495903,0.0404455581306654,0.0410065502258801,0.1540664418623952,0.2870141242611705,1.5360013189183443,0.0000000000000000,0.0000000000000000,1.0000127275234523,0.9999784165443010,-1.0808908859856388,111.1011773089125398,112.1820681948981786,0.0976467978870194,0.1000051719939532,0.1780773183420883,0.3438831010512337,2.2910303820707729,0.0000000000000000,0.0000000000000000
7,2283.6378121703592114,2283.5848943161267925,2792.7592320572953213,893.6583860325247315,1306.5484592091850118,4715.7846016741987114,167.5539327082559282,7.9941300495447187,2116.0799967097655099,192.3704460710691251,0.0000000000000000,21160.8119190588695346,0.0000000000000000,0.0000000000000000,1.0000231731495353,0.9999460770565202,1.1032142916894543,16.6040454093418788,15.5008311176524245,0.0404455581306653,0.0410057619010864,0.1540811007706133,0.2870116108697192,1.5360377155545553,0.0000000000000000,0.0000000000000000,1.0000109353698237,0.9999789227318782,-1.0819602684077836,111.1031298397275151,112.1850901081352987,0.0976467978870192,0.1000045418513890,0.1780944340209568,0.3438821422955595,2.2910798595154032,0.0000000000000000,0.0000000000000000
8,2283.6372981801278002,2283.5885511940768993,2792.7514935587128093,893.6584354716159169,1306.5473006171312136,4715.7819309145561419,167.5546117180148542,7.9940804981491205,2116.0791097309565885,192.3703997991187578,0.0000000000000000,21160.8119211597440881,0.0000000000000000,0.0000000000000000,1.0000213466589791,0.9999492821341970,1.1029019708889969,16.6039322059597012,15.5010302350707043,0.0404455581306654,0.0410054726590556,0.1540812391786057,0.2870106770626493,1.5360361001131422,0.0000000000000000,0.0000000000000000,1.0000100504521223,0.9999802846654067,-1.0829448675859368,111.1029392770187769,112.1858841446047137,0.0976467978870194,0.1000042641855087,0.1780953324833312,0.3438817248162625,2.2910811165193627,0.0000000000000000,0.0000000000000000
9,2283.6367524028619300,2283.5913555976808311,2792.7445923659383880,893.6584658690906053,1306.5462540372075182,4715.7794369421835654,167.5551612921228468,7.9940501504097812,2116.0782601868431811,192.3703569633996153,0.0000000000000000,21160.8119134712396772,0.0000000000000000,0.0000000000000000,1.0000198795660480,0.9999520500537866,1.1026391973716301,16.6038164468928890,15.5011772495212590,0.0404455581306653,0.0410052459326975,0.1540803907480605,0.2870099432447575,1.5360324095190547,0.0000000000000000,0.0000000000000000,1.0000093178525138,0.9999815449497551,-1.0838144809602852,111.1026306523416878,112.1864451333019730,0.0976467978870193,0.1000040384184864,0.1780949888438601,0.3438813860988173,2.2910791712903600,0.0000000000000000,0.0000000000000000
