period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422493444629254,2283.6420974814609508,4715.7685206941387150,335.1221127153553994,8.0488188156797609,1948.5201143433691868,38.2063452400893340,0.0000000000000000,97425.9993248691316694,0.0000000000000000,0.0000000000000000,1.0000000665003415,0.9999999090877465,1.0975555994182020,16.6010360761802325,15.5034804767620304,0.0404455581306676,0.0410000024939343,0.1537172180056987,0.0000000000000000,0.0000000000000000,1.0000000776114775,0.9999998920890502,-1.0975544555013670,111.0969814178603201,112.1945358733616871,0.0976467978870235,0.1000000063529505,0.1777091697256613,0.0000000000000000,0.0000000000000000
1,2283.6422492323381448,2283.6421009132004656,4715.7685200410005564,335.1221133465577964,8.0488188060066186,1948.5201141201005157,38.2063466098570075,0.0000000000000000,97425.9994546227826504,0.0000000000000000,0.0000000000000000,1.0000000649485159,0.9999999107680440,1.0975555876178476,16.6010360865500779,15.5034804989322303,0.0404455581306676,0.0410000024498387,0.1537172179359932,0.0000000000000000,0.0000000000000000,1.0000000758114618,0.9999998942863784,-1.0975545572620007,111.0969814770436983,112.1945360343056990,0.0976467978870234,0.1000000062802346,0.1777091696910409,0.0000000000000000,0.0000000000000000
2,2283.6422491208563770,2283.6421041268326917,4715.7685194591422260,335.1221139392301325,8.0488188012385233,1948.5201139039031659,38.2063480071076924,0.0000000000000000,97425.9995772943220800,0.0000000000000000,0.0000000000000000,1.0000000634924584,0.9999999124974775,1.0975555770308212,16.6010360968537505,15.5034805198229293,0.0404455581306677,0.0410000024510560,0.1537172179259798,0.0000000000000000,0.0000000000000000,1.0000000741644235,0.9999998963527654,-1.0975546505999461,111.0969815354032875,112.1945361860032335,0.0976467978870233,0.1000000062319871,0.1777091695957868,0.0000000000000000,0.0000000000000000
3,2283.6422490327445303,2283.6421069693851678,4715.7685189149879079,335.1221144569386183,8.0488187878562769,1948.5201137281551382,38.2063494323882793,0.0000000000000000,97425.9996844494307879,0.0000000000000000,0.0000000000000000,1.0000000622091183,0.9999999141094941,1.0975555670982899,16.6010361052616098,15.5034805381633198,0.0404455581306676,0.0410000024308740,0.1537172178503572,0.0000000000000000,0.0000000000000000,1.0000000725956117,0.9999998981445916,-1.0975547354463515,111.0969815834727683,112.1945363189191198,0.0976467978870234,0.1000000061885336,0.1777091693684197,0.0000000000000000,0.0000000000000000
4,2283.8363822831925063,2285.1541629714211012,4716.1971251155591744,335.4114350952814902,7.9195834716237705,1948.6183690230509455,38.2063508862435128,0.0000000000000000,97425.9997898837755201,0.0000000000000000,0.0000000000000000,0.9994233296336942,1.0017679703445792,1.0823389798969743,16.5962108473020500,15.5138718674050757,0.0404455581306676,0.0412329645694401,0.1508210966729808,0.0000000000000000,0.0000000000000000,0.9998503837776725,1.0006247159859618,-1.1102521114994914,111.1586709488528300,112.2689230603523214,0.0976467978870235,0.1003936680298230,0.1748683766261229,0.0000000000000000,0.0000000000000000
5,2283.6380889084725823,2283.5325975541863954,4715.7693178657509634,335.0983115514864039,8.0537550542842560,1948.5242969671976425,38.2063138395169588,0.0000000000000000,97425.9998825167131145,0.0000000000000000,0.0000000000000000,1.0000461965616134,0.9999952230297552,1.0980340841060450,16.6007891932732967,15.5027551091672517,0.0404455581306677,0.0410147835488017,0.1535321352335886,0.0000000000000000,0.0000000000000000,1.0000159967131661,1.0000048010336196,-1.0968560798691271,111.0924619886869351,112.1893180685560623,0.0976467978870234,0.1000209643334948,0.1775161461733663,0.0000000000000000,0.0000000000000000
6,2283.6505730111821322,2283.5921680921592269,4715.7881096002820414,335.1132924668717692,8.0491507065339949,1948.5287097211203218,38.2063129410271287,0.0000000000000000,97425.9999724869994679,0.0000000000000000,0.0000000000000000,1.0000255758974135,0.9999685899129355,1.0979530525279682,16.6010972449738219,15.5031441924458537,0.0404455581306676,0.0410015106987859,0.1537072990299596,0.0000000000000000,0.0000000000000000,1.0000052629714562,0.9999950248131783,-1.0971468840353964,111.0949841956659725,112.1921310797013689,0.0976467978870235,0.1000014266086426,0.1776957761843658,0.0000000000000000,0.0000000000000000
7,2283.6507943778346998,2283.5977249222537466,4715.7880659610145813,335.1145430937203855,8.0488822894285441,1948.5284634210570403,38.2063102940840338,0.0000000000000000,97426.0000602108630119,0.0000000000000000,0.0000000000000000,1.0000232394063888,0.9999688568190367,1.0979401063746739,16.6011210692502758,15.5031809628756019,0.0404455581306677,0.0410007501673273,0.1537192275001192,0.0000000000000000,0.0000000000000000,1.0000044122726615,0.9999948429342562,-1.0971766901272133,111.0952189481054120,112.1923956382326253,0.0976467978870233,0.1000002831281501,0.1777085691460359,0.0000000000000000,0.0000000000000000
8,2283.6503204070731954,2283.5999721151265476,4715.7869853333259016,335.1149614510974857,8.0488644179015481,1948.5279704176500672,38.2063076907900268,0.0000000000000000,97426.0001330812374363,0.0000000000000000,0.0000000000000000,1.0000220477721860,0.9999702253880550,1.0979315323488255,16.6011276592619978,15.5031961269131724,0.0404455581306677,0.0410006898555846,0.1537200210418883,0.0000000000000000,0.0000000000000000,1.0000041580835106,0.9999950730591355,-1.0971907559219432,111.0953133294369479,112.1925040853588911,0.0976467978870234,0.1000002057120027,0.1777095024779666,0.0000000000000000,0.0000000000000000
9,2283.6498290788863414,2283.6018434021552821,4715.7859003094263244,335.1152990473536306,8.0488621253929082,1948.5274882022163183,38.2063052287638669,0.0000000000000000,97426.0002022266562562,0.0000000000000000,0.0000000000000000,1.0000210131538025,0.9999715289029927,1.0979238473813986,16.6011326434344966,15.5032087960530980,0.0404455581306676,0.0410006724578236,0.1537200227746373,0.0000000000000000,0.0000000000000000,1.0000039561006042,0.9999953030426953,-1.0972029610955758,111.0953916384651876,112.1925945995607634,0.0976467978870236,0.1000001948268406,0.1777095606365574,0.0000000000000000,0.0000000000000000
10,2283.6493617066826118,2283.6035344487163457,4715.7848716981616235,335.1156050281339276,8.0488609342090953,1948.5270315929337812,38.2063029066003708,0.0000000000000000,97426.0002684717765078,0.0000000000000000,0.0000000000000000,1.0000200679571902,0.9999727261238869,1.0979168023486103,16.6011370485651675,15.5032202462165571,0.0404455581306676,0.0410006588912447,0.1537199703743392,0.0000000000000000,0.0000000000000000,1.0000037710393452,0.9999955167235358,-1.0972142065012491,111.0954621865964498,112.1926763930976989,0.0976467978870234,0.1000001886595088,0.1777095530085344,0.0000000000000000,0.0000000000000000
11,2283.6489196430438824,2283.6050716846425530,4715.7839003474064157,335.1158848941121846,8.0488598992824514,1948.5266001217005396,38.2063007170552709,0.0000000000000000,97426.0003281218523625,0.0000000000000000,0.0000000000000000,1.0000192012003071,0.9999738243544235,1.0979103340081764,16.6011409876895151,15.5032306536813387,0.0404455581306677,0.0410006466159347,0.1537199182064904,0.0000000000000000,0.0000000000000000,1.0000035996161634,0.9999957148779559,-1.0972246104328747,111.0955261214115524,112.1927507318444270,0.0976467978870234,0.1000001831988098,0.1777095411349338,0.0000000000000000,0.0000000000000000
12,2283.6485016528658889,2283.6064692978693529,4715.7829833187543045,335.1161410730809393,8.0488589536445367,1948.5261923889011086,38.2062986529229676,0.0000000000000000,97426.0003873317764373,0.0000000000000000,0.0000000000000000,1.0000184061288862,0.9999748314954979,1.0979043941251909,16.6011445089734515,15.5032401148482606,0.0404455581306677,0.0410006353403649,0.1537198699457010,0.0000000000000000,0.0000000000000000,1.0000034407373015,0.9999958988031243,-1.0972342372131010,111.0955840684419371,112.1928183056550381,0.0976467978870235,0.1000001782079130,0.1777095298503444,0.0000000000000000,0.0000000000000000
13,2283.6481064667323153,2283.6077395480501764,4715.7821174836753926,335.1163755696484827,8.0488580795978031,1948.5258071058624409,38.2062967074025934,0.0000000000000000,97426.0004390128742671,0.0000000000000000,0.0000000000000000,1.0000176768181377,0.9999757553654434,1.0978989393594993,16.6011476517847250,15.5032487124252256,0.0404455581306677,0.0410006250037593,0.1537198256694197,0.0000000000000000,0.0000000000000000,1.0000032934722733,0.9999960693923083,-1.0972431459954777,111.0956365600318634,112.1928797060273411,0.0976467978870235,0.1000001735491862,0.1777095193266971,0.0000000000000000,0.0000000000000000
14,2283.6477328174564718,2283.6088937166600772,4715.7812999640500493,335.1165902512429398,8.0488572735900004,1948.5254429794481439,38.2062948740626354,0.0000000000000000,97426.0004883509973297,0.0000000000000000,0.0000000000000000,1.0000170077726009,0.9999766027399678,1.0978939296749459,16.6011504528415799,15.5032565231666339,0.0404455581306676,0.0410006155139088,0.1537197850320497,0.0000000000000000,0.0000000000000000,1.0000031569803227,0.9999962275980773,-1.0972513892171918,111.0956840926699130,112.1929354818871047,0.0976467978870234,0.1000001692295833,0.1777095095772934,0.0000000000000000,0.0000000000000000
15,2283.6473795328620326,2283.6099419781803590,4715.7805280110405874,335.1167867973572925,8.0488565286408988,1948.5250988230809526,38.2062931468500437,0.0000000000000000,97426.0005333742738003,0.0000000000000000,0.0000000000000000,1.0000163940233273,0.9999773800358093,1.0978893284814877,16.6011529444958299,15.5032636160143422,0.0404455581306677,0.0410006068111884,0.1537197477640110,0.0000000000000000,0.0000000000000000,1.0000030304655465,0.9999963742301048,-1.0972590164164018,111.0957271097819614,112.1929861261983632,0.0976467978870233,0.1000001652009651,0.1777095005140307,0.0000000000000000,0.0000000000000000
