period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,mktpenw2,Z2,tau2,ntb2
0,100.0000014651047735,100.0000014651047735,258.9943206153892561,41.4390915091960679,76.3314590680682130,189.2068176640880779,15.5396596985434474,1.4815692442785056,84.4603417665613136,1.6560772908238748,0.0000000000000000,4223.0170914141663161,0.0000000000000000,0.0000000000000000,1.0000000017205988,0.9999999964375326,1.0975555048368459,14.8334531601836321,13.7358976553467862,0.5448322661549133,0.5500000021876541,0.2523659278847850,0.4586608154347766,2.1345288059190972,0.0000000000000000,0.0000000000000000,0.9999999976212177,1.0000000158624054,-1.0975559122540339,15.5034807333854694,16.6010366456395033,0.4329285589113109,0.4299999899750887,0.2212575931601362,0.4120202409447227,1.8731589476713011,0.0000000000000000,0.0000000000000000
1,100.0000017096709968,100.0000017096709968,258.9943210770093174,41.4390911352787938,76.3314586542438178,189.2068172804450228,15.5396595623873033,1.4815692246522123,84.4603421472836970,1.6560771339875564,0.0000000000000000,4223.0170856865852329,0.0000000000000000,0.0000000000000000,1.0000000003150848,0.9999999950567315,1.0975555355255171,14.8334534881740918,13.7358979526485747,0.5448322661549135,0.5499999989837212,0.2523659261418572,0.4586608141022243,2.1345288001192428,0.0000000000000000,0.0000000000000000,0.9999999961608882,1.0000000131366014,-1.0975558317135281,15.5034809254470645,16.6010367571605926,0.4329285589113112,0.4299999867557580,0.2212575912712698,0.4120202394960745,1.8731589413675773,0.0000000000000000,0.0000000000000000
2,100.0000016468492987,100.0000016468492987,258.9943213747760637,41.4390912469580570,76.3314588206399947,189.2068174487006331,15.5396595764239134,1.4815692324579559,84.4603420704253978,1.6560769738652403,0.0000000000000000,4223.0170886944879385,0.0000000000000000,0.0000000000000000,1.0000000014882577,0.9999999953750671,1.0975555771666485,14.8334534499788493,13.7358978728122008,0.5448322661549128,0.5500000004692026,0.2523659268100694,0.4586608145433542,2.1345288022640307,0.0000000000000000,0.0000000000000000,0.9999999966599400,1.0000000134744405,-1.0975558242921011,15.5034809059478356,16.6010367302399366,0.4329285589113109,0.4299999876000813,0.2212575918143376,0.4120202400123058,1.8731589431027713,0.0000000000000000,0.0000000000000000
3,100.0000019031472789,100.0000019031472789,258.9943216687133827,41.4390912859262244,76.3314588973699415,189.2068178148744266,15.5396597647547292,1.4815692461950447,84.4603421383925479,1.6560768105706505,0.0000000000000000,4223.0171014449133509,0.0000000000000000,0.0000000000000000,1.0000000029786329,1.0000000038483601,1.0975552030059514,14.8334534312208888,13.7358982282149373,0.5448322661549138,0.5500000017248579,0.2523659276850585,0.4586608153081417,2.1345288050092885,0.0000000000000000,0.0000000000000000,1.0000000000249110,1.0000000135507174,-1.0975556066548329,15.5034811800904748,16.6010367867453077,0.4329285589113111,0.4299999906101912,0.2212575935844524,0.4120202413645751,1.8731589488174170,0.0000000000000000,0.0000000000000000
4,99.8693352825048208,99.8693352825047924,258.9943221333452925,41.4620694564833911,76.3596737706374853,189.1091252834895897,15.5114315052504708,1.4585911181596745,84.3579037772543501,1.6560766439835484,0.0000000000000000,4223.0170927375638712,0.0000000000000000,0.0000000000000000,0.9996947180485404,0.9984971000888230,1.1634489563518891,14.7862817210998081,13.6228327647479190,0.5448322661549132,0.5501783720524934,0.2493091324020056,0.4553043373318875,2.1280456577867590,0.0000000000000000,0.0000000000000000,0.9996113134141911,0.9991536511247087,-1.0577517691329117,15.4326909977151328,16.4904427668480444,0.4230156428586913,0.4300996332855440,0.2231224595793319,0.4093331327244226,1.8655136537501218,0.0000000000000000,0.0000000000000000
5,99.9973996576223527,99.9973996576223527,258.9660891792758548,41.4388810006934634,76.3284269898052514,189.2006722670553813,15.5377342559365044,1.4817795759075909,84.4596654016858537,1.6561166953089344,0.0000000000000000,4223.0170962028796566,0.0000000000000000,0.0000000000000000,0.9999607539729005,0.9999270258703415,1.0987084776926075,14.8279587111578479,13.7292502334652404,0.5448322661549136,0.5499801734761658,0.2521018950639776,0.4586523851517709,2.1340615128090210,0.0000000000000000,0.0000000000000000,0.9999371079136018,1.0000197947818796,-1.1028808521535112,15.4944069035659417,16.5972877557194529,0.4329285589113114,0.4299572917900820,0.2209580242517405,0.4119997288232596,1.8725376665720794,0.0000000000000000,0.0000000000000000
6,100.0025239085408657,100.0025239085408657,258.9658580841120852,41.4391522179296814,76.3287373308551196,189.2061592063456317,15.5408950138347119,1.4815083584152575,84.4616288947061662,1.6561175918274378,0.0000000000000000,4223.0170987230576429,0.0000000000000000,0.0000000000000000,0.9999884214534625,1.0000148498739929,1.0958682389329066,14.8320473275009412,13.7361790885680346,0.5448322661549146,0.5499905950627793,0.2523378185093153,0.4586565055445738,2.1344778688615680,0.0000000000000000,0.0000000000000000,0.9999792950554073,1.0000367891873019,-1.1014077516353780,15.5010846723051436,16.6024924239405216,0.4329285589113110,0.4299817989691748,0.2212200449602427,0.4120110817722096,1.8730759054878459,0.0000000000000000,0.0000000000000000
7,100.0027737649314616,100.0027737649314616,258.9688015571417168,41.4391690169064191,76.3290471491241647,189.2067711388608018,15.5409750714504789,1.4814915556792840,84.4617986934809863,1.6561177362549402,0.0000000000000000,4223.0171019304698348,0.0000000000000000,0.0000000000000000,0.9999910672796696,1.0000197871997059,1.0957792935400104,14.8324248087121209,13.7366455151721105,0.5448322661549139,0.5499917946283869,0.2523583695895645,0.4586570123932822,2.1345091900943642,0.0000000000000000,0.0000000000000000,0.9999835576447211,1.0000342644112961,-1.1009876647131414,15.5017245733061308,16.6027122380192722,0.4329285589113110,0.4299844985133123,0.2212440985420199,0.4120123782951926,1.8731204965898509,0.0000000000000000,0.0000000000000000
8,100.0027040648276966,100.0027040648276966,258.9716484830036620,41.4391653091626182,76.3293222981975532,189.2070229990501673,15.5408610997395726,1.4814952634125245,84.4618429650881239,1.6561178169827961,0.0000000000000000,4223.0171022586418985,0.0000000000000000,0.0000000000000000,0.9999919517415864,1.0000187331890733,1.0958929573694860,14.8325329366636218,13.7366399792941358,0.5448322661549121,0.5499923802858302,0.2523604889619407,0.4586572791850430,2.1345125997667935,0.0000000000000000,0.0000000000000000,0.9999851514343383,1.0000315046819719,-1.1007129975506569,15.5019046404327394,16.6026176379833963,0.4329285589113110,0.4299857101535121,0.2212469701446282,0.4120129866210072,1.8731263498858743,0.0000000000000000,0.0000000000000000
9,100.0026201216570314,100.0026201216570598,258.9742106315164847,41.4391604132876310,76.3295680079529149,189.2072262117266064,15.5407457871635621,1.4815001607411356,84.4618743344934728,1.6561178819637239,0.0000000000000000,4223.0171029627772441,0.0000000000000000,0.0000000000000000,0.9999926406675266,1.0000173696661527,1.0960102874033399,14.8326129762544028,13.7366026888510628,0.5448322661549116,0.5499928749744558,0.2523609800830590,0.4586575068994136,2.1345138059489246,0.0000000000000000,0.0000000000000000,0.9999864282063200,1.0000290426320004,-1.1004765289036467,15.5020361907891395,16.6025127196927862,0.4329285589113109,0.4299867194167077,0.2212478848818933,0.4120134971570782,1.8731288868761580,0.0000000000000000,0.0000000000000000
