period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,exitrate0,tau0,ntb0,rer1,tot1,nx1,rex1,rim1,exrate1,exitrate1,tau1,ntb1
0,2283.6422206756560627,2283.6422195926852510,4715.7684542781362325,335.1221309067714742,21.9934821541111312,1948.5200897688846453,38.2062973290029220,38.2069958743838569,97426.0045541613217210,0.0000000000000000,0.0000000000000000,1.0000000004742295,0.9999999662391845,1.0975563660986172,16.6010367488486352,15.5034803827500181,0.0410000016312821,0.4499999758839929,0.0000000000000000,0.0000000000000000,1.0000000042333628,0.9999999766111417,-1.0975525147059813,111.0969817775243342,112.1945342922303155,0.0999999921019760,0.4500001145404950,0.0000000000000000,0.0000000000000000
1,2283.6422204627460815,2283.6422210499154062,4715.7684536340202612,335.1221309547056535,21.9934820159009021,1948.5200895080406553,38.2062977501836585,38.2070102667484619,97426.0046013075334486,0.0000000000000000,0.0000000000000000,0.9999999997428803,0.9999999644976434,1.0975564054998621,16.6010367632505442,15.5034803577506821,0.0410000020910262,0.4499999788933803,0.0000000000000000,0.0000000000000000,1.0000000040252186,0.9999999780547448,-1.0975529762677496,111.0969808234538618,112.1945337997216114,0.0999999895503917,0.4500001099980481,0.0000000000000000,0.0000000000000000
2,2283.6422204450182107,2283.6422218720081219,4715.7684530900751270,335.1221311084918852,21.9934819564427109,1948.5200893365263255,38.2062981798903039,38.2070249470738261,97426.0046218303177739,0.0000000000000000,0.0000000000000000,0.9999999993751252,0.9999999648871720,1.0975563732514111,16.6010367535869818,15.5034803803355707,0.0410000021886089,0.4499999800317788,0.0000000000000000,0.0000000000000000,1.0000000038386814,0.9999999793538922,-1.0975534030617808,111.0969804509572469,112.1945338540190278,0.0999999886685591,0.4500001087591122,0.0000000000000000,0.0000000000000000
3,2283.6422204326522660,2283.6422225294036252,4715.7684525741678954,335.1221312517228625,21.9934819177577019,1948.5200891809295172,38.2062986182583515,38.2070399210845792,97426.0046365719026653,0.0000000000000000,0.0000000000000000,0.9999999990818391,0.9999999656689892,1.0975563276769478,16.6010367338620739,15.5034804061851261,0.0410000021689000,0.4499999806162347,0.0000000000000000,0.0000000000000000,1.0000000036176646,0.9999999803579737,-1.0975537597452814,111.0969802419138546,112.1945340016591359,0.0999999882939624,0.4500001085870699,0.0000000000000000,0.0000000000000000
4,2283.8212279694057543,2283.9801771874772385,4715.9731664742648718,335.1762816833397096,21.9793132981862094,1948.6449462860659878,38.2062990654547932,38.2070551946486674,97426.0046486660430674,0.0000000000000000,0.0000000000000000,0.9999304069187380,1.0005593182938193,1.0622478900359074,16.5740446113081603,15.5208279774107218,0.0409551541675888,0.4503220604760598,0.0000000000000000,0.0000000000000000,0.9999617370822237,1.0002333975291182,-1.1974823000932417,111.0290214807451434,112.2524895065909192,0.0999524251922825,0.4501780444217977,0.0000000000000000,0.0000000000000000
5,2283.6935023904366062,2283.2505642071846523,4715.8521428254389321,335.1515991685361087,21.9799511972267716,1948.5419032219001565,38.2062505611649286,38.2062505611649286,97426.0046588688564952,0.0000000000000000,0.0000000000000000,1.0001939945576697,1.0002209366483796,1.0973897229277476,16.5979397924251373,15.5039995598244822,0.0409585500663618,0.4499979245179305,0.0000000000000000,0.0000000000000000,1.0000730058797578,1.0001422701607185,-1.1152353337822518,111.0756505455950389,112.2069333069918002,0.0999385744836174,0.4501485487484673,0.0000000000000000,0.0000000000000000
6,2283.6450178628788308,2283.5908912542686267,4715.7816203076681632,335.1220069285191130,21.9941948529070999,1948.5230109343597178,38.2062414928031444,38.2062414928031444,97426.0046675196645083,0.0000000000000000,0.0000000000000000,1.0000237024104524,0.9999901642609520,1.0993480349500597,16.6021911922906931,15.5026704009724270,0.0409911261671603,0.4499034291626561,0.0000000000000000,0.0000000000000000,1.0000140289458106,1.0000028431692127,-1.0936085905327531,111.0974847287128426,112.1914259509861296,0.0999870123713986,0.4499415517108675,0.0000000000000000,0.0000000000000000
7,2283.6411827515639743,2283.6219983598989529,4715.7770213471985699,335.1199343310627228,21.9942199074746227,1948.5212484205012515,38.2062396517090832,38.2062396517090832,97426.0046748418972129,0.0000000000000000,0.0000000000000000,1.0000084008612977,0.9999768972199791,1.0991487627366112,16.6021327256334921,15.5026086714723235,0.0409995455829046,0.4499670129984078,0.0000000000000000,0.0000000000000000,1.0000072187112929,0.9999851689537886,-1.0907663612332925,111.1005620661412081,112.1896763498182708,0.0999993974034729,0.4499798328646122,0.0000000000000000,0.0000000000000000
8,2283.6405170186521900,2283.6302260218985793,4715.7753879523679643,335.1197850930745403,21.9942152452874211,1948.5207319255773655,38.2062384649723938,38.2062384649723938,97426.0046810096828267,0.0000000000000000,0.0000000000000000,1.0000045064199257,0.9999769444850201,1.0989576466292466,16.6021162835408163,15.5027848823714667,0.0410017183687912,0.4499835747478831,0.0000000000000000,0.0000000000000000,1.0000053985442965,0.9999827350166046,-1.0906633106538948,111.1012679135380097,112.1900054556464141,0.1000025080020920,0.4499899130314701,0.0000000000000000,0.0000000000000000
9,2283.6403995393061450,2283.6328784431525492,4715.7743986196219339,335.1199824259237516,21.9941781181062268,1948.5204171133823365,38.2062374570474859,38.2062374570474859,97426.0046861691516824,0.0000000000000000,0.0000000000000000,1.0000032934786602,0.9999780174353623,1.0988543997198015,16.6020848472527724,15.5028740442952806,0.0410022375507154,0.4499881990727044,0.0000000000000000,0.0000000000000000,1.0000046086446879,0.9999833809246539,-1.0911032841837596,111.1012010754863866,112.1904502748721484,0.1000031397313107,0.4499929984440607,0.0000000000000000,0.0000000000000000
10,2283.6403843079178841,2283.6340249440918342,4715.7736075902976154,335.1201541494569369,21.9941322138856492,1948.5202301584613451,38.2062365524195684,38.2062365524195684,97426.0046904469345463,0.0000000000000000,0.0000000000000000,1.0000027847561199,0.9999789858286858,1.0987895935216034,16.6020497708429460,15.5029194779094261,0.0410023197523556,0.4499896477289453,0.0000000000000000,0.0000000000000000,1.0000040887082147,0.9999846215380895,-1.0916244219526021,111.1009266212570168,112.1908353138635732,0.1000031092175482,0.4499942015165384,0.0000000000000000,0.0000000000000000
11,2283.6403859602228295,2283.6347157536365557,4715.7729132972090156,335.1203505372444056,21.9940871263050752,1948.5200354229787081,38.2062357030146202,38.2062357030146202,97426.0046939538588049,0.0000000000000000,0.0000000000000000,1.0000024829744207,0.9999798179340625,1.0987404603707436,16.6020164659649687,15.5029488383063612,0.0410022907230567,0.4499902220647167,0.0000000000000000,0.0000000000000000,1.0000036697002628,0.9999858993089952,-1.0921232045868123,111.1006177589537600,112.1911677980033062,0.1000029148404523,0.4499948527697188,0.0000000000000000,0.0000000000000000
12,2283.6403866384653156,2283.6352381667743430,4715.7722867143320400,335.1205290023273733,21.9940456133986331,1948.5198576361381129,38.2062349129883074,38.2062349129883074,97426.0046967880189186,0.0000000000000000,0.0000000000000000,1.0000022545070264,0.9999805476230966,1.0986991307959872,16.6019861977025656,15.5029717797984894,0.0410022373511824,0.4499905415222766,0.0000000000000000,0.0000000000000000,1.0000033071986747,0.9999870866151168,-1.0925779076600008,111.1003230826657102,112.1914603068932337,0.1000026938618950,0.4499953167646251,0.0000000000000000,0.0000000000000000
13,2283.6403827862636717,2283.6356756155896619,4715.7717163065826753,335.1206890352745518,21.9940081530729366,1948.5196937509895179,38.2062341768816793,38.2062341768816793,97426.0046990357222967,0.0000000000000000,0.0000000000000000,1.0000020612616645,0.9999811959438522,1.0986628857610263,16.6019589806717676,15.5029913670742214,0.0410021823040759,0.4499907753628448,0.0000000000000000,0.0000000000000000,1.0000029864869591,0.9999881602698377,-1.0929867666647937,111.1000541610482202,112.1917200468753890,0.1000024829498415,0.4499956982341529,0.0000000000000000,0.0000000000000000
14,2283.6403741545482262,2283.6360553406802865,4715.7711953939224259,335.1208319802202027,21.9939745646311451,1948.5195421743283077,38.2062334903215159,38.2062334903215159,97426.0047007741377456,0.0000000000000000,0.0000000000000000,1.0000018912005955,0.9999817752429114,1.0986306280240203,16.6019345549409003,15.5030086351288592,0.0410021310865980,0.4499909710063201,0.0000000000000000,0.0000000000000000,1.0000027007699510,0.9999891233440482,-1.0933528725148136,111.0998120321155938,112.1919514872744230,0.1000022906325445,0.4499960297758630,0.0000000000000000,0.0000000000000000
15,2283.6403612586641430,2283.6363886281560553,4715.7707189492521138,335.1209594977805182,21.9939445086779415,1948.5194017608832837,38.2062328494718955,38.2062328494718955,97426.0047020706988405,0.0000000000000000,0.0000000000000000,1.0000017396072896,0.9999822940177283,1.0986017753708843,16.6019126344685759,15.5030240176568501,0.0410020846925443,0.4499911427464605,0.0000000000000000,0.0000000000000000,1.0000024456766710,0.9999899850672012,-1.0936802678280202,111.0995949406170524,112.1921579449159907,0.1000021176629074,0.4499963234327586,0.0000000000000000,0.0000000000000000
