period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.6016519948479981,2286.7692352699668845,0.0927221677349127,1848.0094424086159961,22.5065999291958256,22.5063242197745730,92588.5001435894519091,0.0000000000000000,0.0000000000000000,1913.8410686166305368,672.0864023714519817,126.7606546099911071,423.6439099479298420,441.8827562064474819,2796.3293214648615503,1611.5423259500526001,309.7812463396672342,1424.3655324606861541,1065.3211588613651202,0.9980271035431062,0.7605975121006754,16.4627836741713374,15.6979326247570352,6.0798179334633797,5.3886612771017512,11.7514018237103119,9.4946107217612976,4.0924667569424837,4.9741963604345312,4.7113818504610263,6.2033219029957394,1.2961945201592673,1.1056215730288483,1.0129987171716301,-2.9481562674370565,109.8925613626773554,111.6184770316348249,33.8516922931109079,41.2627080668463861,77.5541107616540444,78.0778183747219714,34.5108806177627301,28.6785846410609366,32.3384506010233110,33.5406586569128677,6.7518274490836561,5.1731076520499721
1,2283.5832645865757513,2286.3358258898260829,0.0927115313904961,1848.0236242390790267,22.5065892585508962,22.5063080352767813,92572.3417975699412636,0.0000000000000000,0.0000000000000000,1913.7280354779375102,672.0467083567406235,127.0177694936231347,423.5376550417342969,442.1324727532928023,2796.3658071425752496,1611.5633528775590548,309.4821270920510301,1424.4859691973447298,1065.0714423145193450,0.9982183285063715,0.7607251620252367,16.4667941780452196,15.7035222991027474,6.0786454491831474,5.3917710007468305,11.7495392634222338,9.5091720452153687,4.0973246166311812,4.9716262112584664,4.7172549146229850,6.1943502538873787,1.2944463841156491,1.1070192379246810,1.0127498999682119,-2.9392781319218813,109.8686390701336961,111.5835209845967455,33.8490482121590048,41.2335386018102170,77.5818377924639861,77.9834616407687236,34.4690861538453390,28.6835171449048438,32.2868012776697100,33.6000593438280362,6.7644524479648762,5.1655310672541619
2,2283.5607860026511844,2285.9389691638298245,0.0927029255496068,1848.0320308150671735,22.5065748629138191,22.5062880156128493,92557.3814611783600412,0.0000000000000000,0.0000000000000000,1913.6295446103929407,672.0121211729248216,127.2339216019317405,423.4475186653676815,442.3429981861331726,2796.3863986563087565,1611.5752198975419560,309.2310144909615133,1424.5845121496995489,1064.8609168816790316,0.9983904481470519,0.7608368291508345,16.4702837894759035,15.7083292958224359,6.0776586179098793,5.3945095394535860,11.7478076399021347,9.5220044992853072,4.1016307549339937,4.9693930814402343,4.7224761495737670,6.1863247965371286,1.2928787845195924,1.1082655364696452,1.0125279841574641,-2.9351403355917967,109.8465241416053715,111.5560200506280921,33.8463538184922683,41.2092639091114492,77.6053596025873844,77.9032160361729780,34.4336133693587101,28.6875873581714202,32.2411645390179800,33.6528040144551071,6.7756505397527400,5.1587664603208490
3,2283.5354220142426129,2285.5759734550383655,0.0926960374128739,1848.0359727243701400,22.5065580942648893,22.5062655105284648,92543.5713410087482771,0.0000000000000000,0.0000000000000000,1913.5430380792706728,671.9817425462786105,127.4155940805298712,423.3710642525921344,442.5203187473131266,2796.3947313561584451,1611.5800220853222982,309.0204284826194794,1424.6649084717780624,1064.6835963204994187,0.9985453723840918,0.7609437770282881,16.4733122446720692,15.7124440643512706,6.0768292703035778,5.3969159380811158,11.7461930380901869,9.5333011650027064,4.1054431150232000,4.9674516085348612,4.7271192065818823,6.1791428993485651,1.2914728230579158,1.1093776617687168,1.0123300226561871,-2.9349846731654168,109.8260152492400437,111.5348377684266978,33.8436068620118462,41.1891865579866305,77.6251654866227625,77.8352126891569469,34.4036051978425590,28.6908794112039622,32.2008497626172812,33.6996250792697438,6.7855813601440742,5.1527274508078813
4,2283.5086420623670165,2287.6171923271131163,0.0927199729599994,1848.2011214942399420,22.5065400061134149,22.5062415712595438,92530.8548570012208074,0.0000000000000000,0.0000000000000000,1913.3523828019685880,671.9147898501972804,127.6216316208352595,423.3519708471667400,442.6295475112416398,2796.4630479947245476,1611.6193933974816446,308.9259885570671145,1424.8491506470732020,1064.5743675565711328,0.9976607092327522,0.6516859983495618,16.4197383391723903,15.7819832285890183,6.0485850444151206,5.4181352210133431,11.7179355350326055,9.5713557204400175,4.1198294237342150,4.9470048137476352,4.7018028041397857,6.2106275081490008,1.2983057972791283,1.1015802306674856,1.0119697215982624,-3.1028197329434732,109.7211747321616144,111.6101679445755934,33.8155203277180760,41.2059814744264514,77.5897195114175275,77.8342747099881080,34.4037072757468820,28.6743294976370997,32.1314552207440940,33.7758932345874925,6.8022741986795703,5.1411908300809728
5,2283.4949470674673648,2289.5179100668510728,0.0927421077920072,1848.3263348857108213,22.5064813225939204,22.5056518449629017,92519.1702854847389972,0.0000000000000000,0.0000000000000000,1913.2134032510734869,671.8659841954874992,127.8030892034659871,423.3325930626266427,442.7245209594237281,2796.5230629288412274,1611.6539803847065286,308.8499289910870402,1424.9937418230840649,1064.4793941083887603,0.9968412412894527,0.5494770638128497,16.3697129905764385,15.8468640185151166,6.0220657492094016,5.4378697792158359,11.6916524996663629,9.6067702158130892,4.1331965982162604,4.9278227181637844,4.6780604909100738,6.2400938027020292,1.3046731809995760,1.0942430310456177,1.0116847459462248,-3.2241736936204006,109.6436635240847153,111.6619203707398214,33.7968257652973705,41.2160777317205884,77.5674304605332878,77.8249474347226169,34.4004075411080308,28.6645160444893961,32.0762330635514346,33.8369729360171974,6.8156701906125585,5.1323097208079709
6,2283.4928793798717379,2289.1700167921098910,0.0927429710768311,1848.3232238725549905,22.5063909679632275,22.5056152016847655,92508.4534333835326834,0.0000000000000000,0.0000000000000000,1913.1808466759978273,671.8545512548034822,127.9297256040944433,423.2869785216212790,442.8289596640478862,2796.5390466198173272,1611.6631918872055849,308.7320750482790004,1425.0362453509337683,1064.3749554037642611,0.9969963764565312,0.5490898173322503,16.3712340234852824,15.8493229219409368,6.0211245095580859,5.4397587059239054,11.6892042339393125,9.6160761478960897,4.1364568023493984,4.9259322752036638,4.6820297895459699,6.2332467740448472,1.3033019035745068,1.0951922343544220,1.0115415607421452,-3.2303555637763708,109.6283899697168067,111.6534795307560159,33.7947267480984266,41.2048359148843488,77.5804033524384948,77.7825505284949372,34.3820073750129040,28.6667728820126015,32.0479866172783048,33.8709290022610787,6.8228285398714439,5.1279538660858286
7,2283.4917444092852747,2288.8701782758698755,0.0927450569381845,1848.3174458977146060,22.5062995590608317,22.5055789181600225,92498.6395794678683160,0.0000000000000000,0.0000000000000000,1913.1585245487001430,671.8467123603023765,128.0415776792118550,423.2483415486300373,442.9166177478567761,2796.5504372642649287,1611.6697563878551591,308.6342203531750101,1425.0691043490846823,1064.2872973199557691,0.9971303792289149,0.5485584055642718,16.3722558592490444,15.8513093785712798,6.0202006246445245,5.4413467061149507,11.6869193338262960,9.6239528738189630,4.1392239015388421,4.9242163780640071,4.6853365254227484,6.2273565047523167,1.3021228045761082,1.0959842465805172,1.0114118592712729,-3.2379162160236774,109.6144478639214697,111.6479568671820175,33.7927504733580903,41.1956671132010968,77.5918365863171573,77.7463583243355174,34.3663826595312756,28.6687465769420839,32.0226112776043053,33.9015985428464930,6.8292844536698221,5.1240038964160073
8,2283.4923692171892071,2288.4175395932488755,0.0926946961463960,1848.2225166178109248,22.5062077268419181,22.5055433439930219,92489.6648623454384506,0.0000000000000000,0.0000000000000000,1913.6075581658587907,672.0044001606369193,128.0556023216260257,423.1775220907742323,443.1520564795200130,2796.2775601592416024,1611.5124955812857479,308.4090950825171831,1425.0449945270368062,1064.0518585882928164,0.9973459257789243,0.7932777538286544,16.7056393606187079,15.9614191547775146,6.1927345061364143,5.4725381117378342,12.0543082876796923,9.6795264451058287,4.1590408586350112,5.1050456536889595,4.6513310729390156,6.2818927096716850,1.3134972531028233,1.0876888524474548,1.0114095701199257,-3.1436881341696790,109.7431875805265094,111.6932337304317002,33.8420304922680231,41.1983031193926408,77.7296842326512234,77.7592763389687320,34.3626521158322049,28.7231812931332691,32.0135033478752788,33.9339573914629682,6.8356510035604385,5.1188491991347531
9,2283.4700435017230120,2287.9893352633566792,0.0926917237866476,1848.2062466944912558,22.5061371721073549,22.5055087354674548,92481.4672518395527732,0.0000000000000000,0.0000000000000000,1913.5835354767791614,671.9959640773363390,128.1147844977865873,423.1475354461248912,443.2154079245670459,2796.2533018932385858,1611.4985153887103024,308.3349275784741508,1425.0587112483663077,1063.9885071432454424,0.9975248608719917,0.8004120428111179,16.7093984676738927,15.9572771670423386,6.1937310881191747,5.4720829794396888,12.0537727944611319,9.6828336448645977,4.1601135241055269,5.1048896674815314,4.6556256732127625,6.2744435221777426,1.3119694553341614,1.0888414206376436,1.0113169266410555,-3.1423874795362678,109.7352992758488028,111.6843547327349739,33.8412011031403352,41.1895389286113627,77.7404936696296716,77.7283380603161618,34.3492875810121845,28.7252690859016937,31.9948056062191348,33.9560166724188193,6.8402513475991800,5.1159320172386389
