period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,582.2562232405909981,592.2270389431245121,0.0962458048810631,469.9360590123195607,5.7352880574545093,0.0000000000000000,23826.9155238037164963,0.0000000000000000,0.0000000000000000,366.9054166091572142,115.5511189997266115,21.0937595973651213,107.6738816644753030,75.3531728317326639,793.9454258719376867,466.7343784733152461,90.6999168009503762,362.2621773478442719,308.9686549237455324,0.9852205009002126,-1.0823978037331550,13.7634120641293602,14.9717678806939425,6.5402265677155791,4.4848385947686573,11.7423905042733985,9.4694982808451016,3.8973530740886249,5.9721850544198682,2.0210215598559609,5.5022695998488400,0.5874855206800327,0.5680415132957106,0.9871680813101882,2.9481562674370565,111.6184770316348249,109.8925613626773554,41.2627080668463861,33.8516922931109079,78.0778183747219714,77.5541107616540444,28.6785846410609366,34.5108806177627301,33.5406586569128677,32.3384506010233110,5.1731076520499721,6.7518274490836561
1,582.3060344978331386,592.0355025315088824,0.0962598084921956,469.9966626942646712,5.7353370935592194,0.0000000000000000,23822.3416978000059316,0.0000000000000000,0.0000000000000000,366.5747291892383828,115.4469741719835554,21.2296578777962495,107.6342401378006599,75.4088575090914475,794.2066972896875541,466.8879713385205719,90.5767604347901027,362.3624225564640255,308.9129702463867488,0.9856513721084579,-1.0908031706157164,13.7538425533856117,14.9744952650436201,6.5336221553724654,4.4885338499243144,11.7266716592642908,9.4888905177895335,3.9027449827285428,5.9638428752882087,2.0271708941213213,5.4856047472540865,0.5857888671957718,0.5697792800842569,0.9874106134509497,2.9392781319218813,111.5835209845967455,109.8686390701336961,41.2335386018102170,33.8490482121590048,77.9834616407687236,77.5818377924639861,28.6835171449048438,34.4690861538453390,33.6000593438280362,32.2868012776697100,5.1655310672541619,6.7644524479648762
2,582.3534763183931773,591.8654454050813456,0.0962704365810821,470.0497227619458158,5.7353721804867117,0.0000000000000000,23818.1208220285952848,0.0000000000000000,0.0000000000000000,366.2930837345764985,115.3582743437059293,21.3465341075723529,107.6004331341119808,75.4564369056261626,794.4377611725225279,467.0238061884086278,90.4700275408345789,362.4492896278338208,308.8653908498521332,0.9860373873792967,-1.0977502514162278,13.7458195859495689,14.9766942876695470,6.5280261359839100,4.4917279810699693,11.7131709477824657,9.5058574119327766,3.9074514801001223,5.9566970465617697,2.0326486381671041,5.4708368757367714,0.5842765009698467,0.5713290894221403,0.9876270242862583,2.9351403355917967,111.5560200506280921,109.8465241416053715,41.2092639091114492,33.8463538184922683,77.9032160361729780,77.6053596025873844,28.6875873581714202,34.4336133693587101,33.6528040144551071,32.2411645390179800,5.1587664603208490,6.7756505397527400
3,582.3986101185707867,591.7146035645866959,0.0962781298649718,470.0962182877662485,5.7353949129510680,0.0000000000000000,23814.2357001251257316,0.0000000000000000,0.0000000000000000,366.0539430152017530,115.2829607166204227,21.4469326425204478,107.5716251387220410,75.4971522930886039,794.6422010751792868,467.1439896768352469,90.3774752906953580,362.5245931490442217,308.8246754623894503,0.9863832446301191,-1.1034195198105188,13.7391294165955919,14.9784214775166848,6.5233009025105844,4.4944773885274341,11.7016024024912024,9.5206753887952686,3.9115494509903463,5.9505897076248955,2.0375270141043904,5.4577460887214153,0.5829279375370876,0.5727111948856889,0.9878201551072889,2.9349846731654168,111.5348377684266978,109.8260152492400437,41.1891865579866305,33.8436068620118462,77.8352126891569469,77.6251654866227625,28.6908794112039622,34.4036051978425590,33.6996250792697438,32.2008497626172812,5.1527274508078813,6.7855813601440742
4,582.4418527250152238,592.5542040136724609,0.0962912708216883,469.9865964407775323,5.7354066707960083,0.0000000000000000,23810.6674252917146077,0.0000000000000000,0.0000000000000000,365.9454358763987329,115.2487880913590601,21.5205642241282931,107.5063950190458399,75.5614295490893682,794.7732524216119145,467.2210304490749309,90.3224751998074566,362.4802014217316923,308.7603982063887429,0.9850593135112800,-1.2533140377533236,13.6719471286978234,15.0787999870751150,6.4747719881319838,4.5144019104409931,11.6511983271445363,9.5779420844597567,3.9269562554059982,5.9085210866563003,2.0207488015532875,5.5008579026153575,0.5874456550349952,0.5662509014756838,0.9882933192134573,3.2172092233999194,111.6727716140409399,109.6619135537536351,41.2293275439518538,33.7995364106578364,77.8736625162539724,77.5535500908006554,28.6623235077841834,34.4216748058222706,33.7991090977869675,32.1083634629529797,5.1372129028736566,6.8076527381295850
5,582.4838136003255613,592.4086832058619621,0.0962975891603036,470.0230189632956694,5.7354453459162604,0.0000000000000000,23807.3962539840140380,0.0000000000000000,0.0000000000000000,365.7668585003194721,115.1925479414460511,21.5903329518923215,107.4855451704724061,75.5903033919700107,794.9399274932424078,467.3190132365933209,90.2605707069982657,362.5374737928232776,308.7315243635082425,0.9853842158031678,-1.2582527189137007,13.6662011903173948,15.0799384550318436,6.4706824482970324,4.5168402851695362,11.6412077663421680,9.5911930834377621,3.9306599895715393,5.9032317010678215,2.0249934239752272,5.4887453715940815,0.5861802955979968,0.5674507472292111,0.9884482541243623,3.2214903563879176,111.6607395141181911,109.6452581512519941,41.2155975188246231,33.7973409683885251,77.8239055394025456,77.5684782937594548,28.6649494657268420,34.3999795040337091,33.8368339747156384,32.0767798574925393,5.1323915026616866,6.8156180147909105
6,582.5238795704863151,592.2819604172091204,0.0963025311418797,470.0551287553751649,5.7354758523228373,0.0000000000000000,23804.4022378964909876,0.0000000000000000,0.0000000000000000,365.6146263412804274,115.1446048053449971,21.6489434385384634,107.4676940060799097,75.6150785749869243,795.0893080294475794,467.4068291360869125,90.2088457893244566,362.5874347492952552,308.7067491804912152,0.9856723376779400,-1.2623567913207783,13.6611712354906825,15.0806205015535433,6.4670959413465958,4.5188794567650294,11.6324577753338119,9.6025157991062571,3.9338155687702461,5.8985930385819056,2.0287134601568715,5.4781047024472862,0.5850638879947835,0.5685029027646906,0.9885881638359975,3.2276823662658387,111.6523109520506978,109.6299958753606489,41.2043600830646923,33.7952330919135804,77.7815350264557281,77.5814772289745207,28.6671987732609601,34.3815856052580813,33.8707759255949696,32.0485186463861282,5.1280343186526229,6.8227744778066093
7,582.5621161302238988,592.1723691936716705,0.0963065092043374,470.0834848472240424,5.7354990904397187,0.0000000000000000,23801.6656740304133564,0.0000000000000000,0.0000000000000000,365.4846432611113300,115.1036686684425376,21.6977493146611771,107.4523796022871096,75.6363588103569526,795.2236922505710481,467.4858291956360858,90.1662933677800282,362.6311052449369186,308.6854689451211584,0.9859269754920470,-1.2657926856350556,13.6567045833966088,15.0809120183185641,6.4639151731106095,4.5205679126107050,11.6247479979734401,9.6121249789880920,3.9364856705761961,5.8944948758271254,2.0319565854231683,5.4687870393304738,0.5840822420345093,0.5694202972834842,0.9887149341622750,3.2352577222626309,111.6467998277861113,109.6160584357258330,41.1951958614950655,33.7932479761147135,77.7453675007227645,77.5929288929803107,28.6691648791002258,34.3659672345127802,33.9014323270633469,32.0231295427455223,5.1240830970144859,6.8292286269822862
8,582.6019182457359875,591.9889489642113176,0.0962295021228510,470.0593132821047675,5.7355158397007457,0.0000000000000000,23799.1674182713031769,0.0000000000000000,0.0000000000000000,365.1348515760136024,114.9935072513574852,21.7215835193314675,107.3899209595681441,75.5798581661325812,795.4723443646458918,467.6320035876496490,90.0204497228788796,362.6693923225366234,308.7419695893455582,0.9861386971179895,-1.2634624962216208,12.3799315148537321,13.8051156408196611,5.8354931377860755,4.0908276880064820,10.4404016222200600,8.6591379306255156,3.5324328602188131,5.2803692431989075,1.9395298926336708,5.1459777101941455,0.5583948277876688,0.5551238945871682,0.9887172175360569,3.1410819761448181,111.6921085730235745,109.7447853746575959,41.1978428734653832,33.8425186569592285,77.7583195812904933,77.7307886596308606,28.7235926198591969,34.3622473655765290,33.9337889917330742,32.0139967150267211,5.1189260371000316,6.8355955078888524
9,582.6231325011480067,591.8551419184806264,0.0962314198084943,470.0764878844317991,5.7355387479097626,0.0000000000000000,23796.8890969194726495,0.0000000000000000,0.0000000000000000,365.0304563067746813,114.9606295950658108,21.7627946786455091,107.3778315605657667,75.5946218600580835,795.5642038922973143,467.6860047798577398,89.9811415569772066,362.6986563238660324,308.7272058954201839,0.9864025350455851,-1.2600569817497984,12.3786187219619421,13.8005669665658779,5.8347276039587497,4.0910511608075968,10.4360251671181210,8.6635040193974522,3.5336152103438887,5.2786567791727306,1.9425935548438216,5.1370629471684248,0.5574359504637085,0.5560708247860192,0.9888077900265406,3.1398064715545786,111.6832409453451902,109.7368890615582302,41.1890839261122039,33.8416800392066577,77.7274043687198173,77.7416012953393221,28.7256722262261412,34.3488896734788653,33.9558365766253587,31.9952877662189046,5.1160078129805155,6.8401942526333350
