period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.6016519948479981,2286.7692352699668845,0.0927221677349127,1848.0094424086159961,22.5066077123887744,0.0000000000000000,92588.5001435894519091,0.0000000000000000,0.0000000000000000,1913.8410686166305368,672.0864023714519817,126.7606546099911071,423.6439099479298420,441.8827562064474819,2796.3293214648615503,1611.5423259500526001,309.7812463396672342,1424.3655324606861541,1065.3211588613651202,0.9980271035431062,0.7605975121006754,16.4627836741713374,15.6979326247570352,6.0798179334633797,5.3886612771017512,11.7514018237103119,9.4946107217612976,4.0924667569424837,4.9741963604345312,4.7113818504610263,6.2033219029957394,1.2961945201592673,1.1056215730288483,1.0129987171716301,-2.9481562674370565,109.8925613626773554,111.6184770316348249,33.8516922931109079,41.2627080668463861,77.5541107616540444,78.0778183747219714,34.5108806177627301,28.6785846410609366,32.3384506010233110,33.5406586569128677,6.7518274490836561,5.1731076520499721
1,2283.5832645865757513,2286.3358258898260829,0.0927115313904961,1848.0236242390790267,22.5065971974002323,0.0000000000000000,92572.3417975699412636,0.0000000000000000,0.0000000000000000,1913.7280354779375102,672.0467083567406235,127.0177694936231347,423.5376550417342969,442.1324727532928023,2796.3658071425752496,1611.5633528775590548,309.4821270920510301,1424.4859691973447298,1065.0714423145193450,0.9982183285063715,0.7607251620252367,16.4667941780452196,15.7035222991027474,6.0786454491831474,5.3917710007468305,11.7495392634222338,9.5091720452153687,4.0973246166311812,4.9716262112584664,4.7172549146229850,6.1943502538873787,1.2944463841156491,1.1070192379246810,1.0127498999682119,-2.9392781319218813,109.8686390701336961,111.5835209845967455,33.8490482121590048,41.2335386018102170,77.5818377924639861,77.9834616407687236,34.4690861538453390,28.6835171449048438,32.2868012776697100,33.6000593438280362,6.7644524479648762,5.1655310672541619
2,2283.5607860026511844,2285.9389691638298245,0.0927029255496068,1848.0320308150671735,22.5065829605298404,0.0000000000000000,92557.3814611783600412,0.0000000000000000,0.0000000000000000,1913.6295446103929407,672.0121211729248216,127.2339216019317405,423.4475186653676815,442.3429981861331726,2796.3863986563087565,1611.5752198975419560,309.2310144909615133,1424.5845121496995489,1064.8609168816790316,0.9983904481470519,0.7608368291508345,16.4702837894759035,15.7083292958224359,6.0776586179098793,5.3945095394535860,11.7478076399021347,9.5220044992853072,4.1016307549339937,4.9693930814402343,4.7224761495737670,6.1863247965371286,1.2928787845195924,1.1082655364696452,1.0125279841574641,-2.9351403355917967,109.8465241416053715,111.5560200506280921,33.8463538184922683,41.2092639091114492,77.6053596025873844,77.9032160361729780,34.4336133693587101,28.6875873581714202,32.2411645390179800,33.6528040144551071,6.7756505397527400,5.1587664603208490
3,2283.5354220142426129,2285.5759734550383655,0.0926960374128739,1848.0359727243701400,22.5065663538209861,0.0000000000000000,92543.5713410087482771,0.0000000000000000,0.0000000000000000,1913.5430380792706728,671.9817425462786105,127.4155940805298712,423.3710642525921344,442.5203187473131266,2796.3947313561584451,1611.5800220853222982,309.0204284826194794,1424.6649084717780624,1064.6835963204994187,0.9985453723840918,0.7609437770282881,16.4733122446720692,15.7124440643512706,6.0768292703035778,5.3969159380811158,11.7461930380901869,9.5333011650027064,4.1054431150232000,4.9674516085348612,4.7271192065818823,6.1791428993485651,1.2914728230579158,1.1093776617687168,1.0123300226561871,-2.9349846731654168,109.8260152492400437,111.5348377684266978,33.8436068620118462,41.1891865579866305,77.6251654866227625,77.8352126891569469,34.4036051978425590,28.6908794112039622,32.2008497626172812,33.6996250792697438,6.7855813601440742,5.1527274508078813
4,2283.5089110094377247,2289.7798424776929096,0.0927422739838293,1848.3311498794921590,22.5065484308471540,0.0000000000000000,92530.8548570012208074,0.0000000000000000,0.0000000000000000,1913.2668646334734603,671.8847583083186237,127.6577990056208307,423.3878103120021592,442.5995728077411968,2796.5150152563360280,1611.6493424599930222,308.9926354961223183,1424.9433395674900567,1064.6043422600719168,0.9967276863666840,0.5527339259238460,16.3693979044699098,15.8421870272419198,6.0237188613189447,5.4354272487728652,11.6943611856307648,9.5967108590712975,4.1297029399471814,4.9301500793932931,4.6750367188391442,6.2454761681706215,1.3057243088256838,1.0935687819256517,1.0118453505239311,-3.2172092233999194,109.6619135537536351,111.6727716140409399,33.7995364106578364,41.2293275439518538,77.5535500908006554,77.8736625162539724,34.4216748058222706,28.6623235077841834,32.1083634629529797,33.7991090977869675,6.8076527381295850,5.1372129028736566
5,2283.5059108329896844,2289.3928875854744547,0.0927417750005085,1848.3306787227420500,22.5064582550453380,0.0000000000000000,92519.1702854847389972,0.0000000000000000,0.0000000000000000,1913.2231951752933128,671.8694228400171369,127.8029438440116365,423.3337867673840265,442.7241063583275604,2796.5361249841212157,1611.6615081300212751,308.8505597021492690,1424.9968919553580236,1064.4798087094848142,0.9969001530344056,0.5524268501589287,16.3713749349528470,15.8451705322727214,6.0227301006754246,5.4376061399920248,11.6917969900994585,9.6073562680641977,4.1334141464371523,4.9280776470168108,4.6795779448533876,6.2378142642085228,1.3041919935548725,1.0946524536586140,1.0116867482212015,-3.2214903563879176,109.6452581512519941,111.6607395141181911,33.7973409683885251,41.2155975188246231,77.5684782937594548,77.8239055394025456,34.3999795040337091,28.6649494657268420,32.0767798574925393,33.8368339747156384,6.8156180147909105,5.1323915026616866
6,2283.5032368428023801,2289.0554077945698737,0.0927426418413968,1848.3270905841304739,22.5063663816372994,0.0000000000000000,92508.4534333835326834,0.0000000000000000,0.0000000000000000,1913.1904833456164852,671.8579353783449051,127.9296560051480043,423.2880129718179205,442.8287355172099637,2796.5511528686952261,1611.6701687952277098,308.7325486756664645,1425.0390776123126670,1064.3751795506029794,0.9970505148000728,0.5520003415936099,16.3728320748697982,15.8476125350331447,6.0217829901692710,5.4394555821910409,11.6894084399319276,9.6164492369377399,4.1365937028932276,4.9262110239014589,4.6834236349378724,6.2311632980954048,1.3028618792978137,1.0955719662678121,1.0115435694877444,-3.2276823662658387,109.6299958753606489,111.6523109520506978,33.7952330919135804,41.2043600830646923,77.5814772289745207,77.7815350264557281,34.3815856052580813,28.6671987732609601,32.0485186463861282,33.8707759255949696,6.8227744778066093,5.1280343186526229
7,2283.5015231717407005,2288.7649061474130576,0.0927447335372054,1848.3208629879384262,22.5062735397575935,0.0000000000000000,92498.6395794678683160,0.0000000000000000,0.0000000000000000,1913.1679802429762276,671.8500329304647494,128.0415687435289556,423.2492321630517722,442.9165526726092708,2796.5616508865250580,1611.6762188694951874,308.6345654033623873,1425.0716308248865971,1064.2873623952036723,0.9971802199259888,0.5514230509522822,16.3737938572135100,15.8495933124109314,6.0208516525366393,5.4410118773358311,11.6871742418252804,9.6241448442114006,4.1392922559330350,4.9245144847520343,4.6866196153882296,6.2254484681995299,1.3017196214027960,1.0963371677846050,1.0114138721362460,-3.2352577222626309,109.6160584357258330,111.6467998277861113,33.7932479761147135,41.1951958614950655,77.5929288929803107,77.7453675007227645,34.3659672345127802,28.6691648791002258,32.0231295427455223,33.9014323270633469,6.8292286269822862,5.1240830970144859
8,2283.5015998990093067,2288.3202946782930667,0.0926943806096439,1848.2255099938615786,22.5061803553818187,0.0000000000000000,92489.6648623454384506,0.0000000000000000,0.0000000000000000,1913.6168163844135961,672.0076513829577607,128.0556419276603606,423.1782825330764126,443.1521244178025540,2796.2879387432922158,1611.5184768251085643,308.4093353079093731,1425.0472274607850522,1064.0517906500099343,0.9973920547024626,0.7961079245983793,16.7071260254717018,15.9596743560341654,6.1933854487918669,5.4721703503393151,12.0546129958203707,9.6795586455095055,4.1590487591201271,5.1053693099862230,4.6525130296513284,6.2801157105246590,1.3131215912191878,1.0880161388056442,1.0114115363461158,-3.1410819761448181,109.7447853746575959,111.6921085730235745,33.8425186569592285,41.1978428734653832,77.7307886596308606,77.7583195812904933,34.3622473655765290,28.7235926198591969,32.0139967150267211,33.9337889917330742,6.8355955078888524,5.1189260371000316
9,2283.4787497430561416,2287.8995791154770814,0.0926914171967778,1848.2088409498917372,22.5061085244954491,0.0000000000000000,92481.4672518395527732,0.0000000000000000,0.0000000000000000,1913.5925784856717655,671.9991397241614095,128.1148625497297644,423.1481774132818714,443.2155862886662590,2796.2629028455648950,1611.5040484784378805,308.3350823557092895,1425.0606635366098089,1063.9883287791465136,0.9975675201943028,0.8031933773829092,16.7108374693479078,15.9555437116555101,6.1943741499359977,5.4716955434099770,12.0541179203211435,9.6827342269531442,4.1600717141694155,5.1052269999358764,4.6567195490267661,6.2728094847023650,1.3116238292405615,1.0891471500001213,1.0113188934051167,-3.1398064715545786,109.7368890615582302,111.6832409453451902,33.8416800392066577,41.1890839261122039,77.7416012953393221,77.7274043687198173,34.3488896734788653,28.7256722262261412,31.9952877662189046,33.9558365766253587,6.8401942526333350,5.1160078129805155
10,2283.4556266925364980,2287.5185617017395998,0.0926890747545851,1848.1920449816448127,22.5060393169581943,0.0000000000000000,92473.9872075499442872,0.0000000000000000,0.0000000000000000,1913.5697153288024310,671.9911108355044007,128.1643991052762885,423.1223074362104626,443.2689243273632655,2796.2365654623617957,1611.4888700774315566,308.2728819235809965,1425.0697375454344638,1063.9349907404491660,0.9977253364053058,0.8097400503077221,16.7141569560320988,15.9515779151518355,6.1953130625741153,5.4711799559547760,12.0536846207947139,9.6853162470119791,4.1608992894663990,5.1051507214116238,4.6604723352373831,6.2662616681398555,1.3102806664883773,1.0901623411624914,1.0112363044202366,-3.1402806340085903,109.7293992862812786,111.6767305350808641,33.8407103689266862,41.1819134837857419,77.7506215768485163,77.7013751171053713,34.3376503444148042,28.7273056521516850,31.9787777094327623,33.9753554179754858,6.8442631393709368,5.1134047167750012
11,2283.4325119309796719,2287.1735587275916259,0.0926872498220662,1848.1753178456428941,22.5059728166866435,0.0000000000000000,92467.1681033978238702,0.0000000000000000,0.0000000000000000,1913.5480179659516580,671.9834913404594090,128.2058245506222534,423.1000329151522692,443.3137259841510627,2796.2095406001571973,1611.4732954779160536,308.2208024049958794,1425.0752849304906249,1063.8901890836609709,0.9978672592534384,0.8157855057483836,16.7171250022892579,15.9477851869690053,6.1962009727488105,5.4706361504942880,12.0533049949121462,9.6873923161477364,4.1615600686153762,5.1051274240317008,4.6638200073771134,6.2603928708212671,1.3090760818789113,1.0910735487171093,1.0111626643902381,-3.1421421593525736,109.7223079757122548,111.6721580543267436,33.8396419106365656,41.1760822465231371,77.7581021803298569,77.6795224913044962,34.3282187669680354,28.7285595126900439,31.9642057953824121,33.9926355630222545,6.8478634795550990,5.1110823979465243
12,2283.4096278461502152,2286.8612155871505820,0.0926858544272761,1848.1588099215962302,22.5059090613410753,0.0000000000000000,92460.9564779706706759,0.0000000000000000,0.0000000000000000,1913.5273343142550857,671.9762278318615927,128.2404582837628197,423.0808124573893565,443.3513337458797992,2796.1823059833650404,1611.4575999955011412,308.1772166715790036,1425.0779974642068737,1063.8525813219332576,0.9979948718202698,0.8213650091494795,16.7197781378847807,15.9441706445179197,6.1970375869632157,5.4700746767299657,12.0529721459934542,9.6890384718361773,4.1620789419574349,5.1051461942703993,4.6668059918913274,6.2551321726817424,1.3079957347725308,1.0918913926928164,1.0110969912357570,-3.1450838495714919,109.7156065929452211,111.6691673123063708,33.8385027331792472,41.1713766078582566,77.7642644953233884,77.6612332294679817,34.3203270983702922,28.7294924849362872,31.9513420976218327,34.0079340828383820,6.8510495094879635,5.1090102482429618
13,2283.3871480795733078,2286.5784793355414877,0.0926848139765043,1848.1426351460381738,22.5058480525457973,0.0000000000000000,92455.3021560741326539,0.0000000000000000,0.0000000000000000,1913.5075544538201484,671.9692817089796790,128.2694065990999377,423.0641879843772131,443.3828821894519479,2796.1552293212807854,1611.4419955433861560,308.1407550860689071,1425.0784471616609608,1063.8210328783609384,0.9981096012604180,0.8265116354558550,16.7221492406453400,15.9407367874011303,6.1978233310992277,5.4695043312116605,12.0526801636089793,9.6903206034679368,4.1624775477369758,5.1051979270684678,4.6694690770363616,6.2504161839331935,1.3070267834746845,1.0926254040307595,1.0110384119910560,-3.1488470233183818,109.7092857149203127,111.6674569229063252,33.8373169416825235,41.1676139969403110,77.7693017588283340,77.6459782249241641,34.3137448087609371,28.7301559403492277,31.9399839560919752,34.0214786979821540,6.8538691881793747,5.1071610013332931
14,2283.3652059561163696,2286.3225732482951571,0.0926840653909471,1848.1268782163317610,22.5057897641071740,0.0000000000000000,92450.1582759635057300,0.0000000000000000,0.0000000000000000,1913.4885993649149896,671.9626252223372376,128.2935967860817641,423.0497719715140192,443.4093296048804973,2796.1285897061948162,1611.4266429642286766,308.1102655387136906,1425.0771062448177418,1063.7945854629315363,0.9982127340359981,0.8312563761804768,16.7242678597776404,15.9374839287888861,6.1985591854240045,5.4689323879635676,12.0524239518636946,9.6912957115575935,4.1627746634329652,5.1052750474195738,4.6718439079139440,6.2461882172312926,1.3061577245306026,1.0932841380044307,1.0109861505504445,-3.1532153720256844,109.7033348595222151,111.6667728874875962,33.8361049810357883,41.1646387385240686,77.7733820585727358,77.6333018436861266,34.3082738266877030,28.7305946083393522,31.9299528009494864,34.0334710438014625,6.8563649118363639,5.1055103726964344
