period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9878980052689883,99.4732166642800308,0.1035939557175874,80.7882941318313073,1.0582939046383222,0.0000000000000000,4066.2280248882757405,0.0000000000000000,0.0000000000000000,37.5020006297729509,15.8692428424706051,3.2420013316787788,14.3818833203912799,10.5250811961554351,151.7670473302773644,84.1187637300999000,16.3505866114650580,66.4064108114400256,55.4633739391957121,1.0512298719184809,-0.6579619674439741,14.2886107707078551,14.2720484252588662,4.2445186120104061,6.7201378545058246,9.2067949047700743,12.0609334218342070,6.0913113908432237,3.7203581023190231,5.0818158659377808,2.2111150034246592,0.6288264636626005,0.5241605096913831,1.0120171143430714,-0.5559412350962365,15.8569016696786029,16.2668186278613902,5.5298719994788836,6.0239564845494336,9.7566581172090245,11.4808259273785396,4.8874566184671835,4.2576319290564255,6.1002435524695766,4.7859927004828524,1.1364998660822505,1.2722400704224581
1,100.0405999511064863,99.5707539723084523,0.1031476703747357,80.7363686979189765,1.0580691804730804,0.0000000000000000,4061.4818854700884003,0.0000000000000000,0.0000000000000000,37.6318718350457075,15.9241987824233533,3.2250375839349994,14.3685224165477852,10.5550004712722156,151.7633186350055610,84.1166970546119757,16.2944188787546835,66.3678462813711860,55.4366992309094400,1.0451904172309132,-0.4044694678042777,14.3688010911330331,14.1980952011472681,4.2658193359759151,6.6864428816852746,9.2549853331441270,11.9939636084002927,6.0589321803519116,3.7406099026814053,5.1138157579889061,2.2041315927469740,0.6275107013333631,0.5252094332945095,1.0116385873846718,-0.5334523451679978,15.8744936289678034,16.2609115775067146,5.5292821635589249,6.0223866308471052,9.7621975550847182,11.4822171585345743,4.8870605885690646,4.2559338222810839,6.1122960738830843,4.7786944189721385,1.1353260422780409,1.2733483412778412
2,100.0814692658268683,99.6464570385424082,0.1027668117806554,80.6883414768654319,1.0578535245376219,0.0000000000000000,4057.0927850673970170,0.0000000000000000,0.0000000000000000,37.7399848639307933,15.9699475926468359,3.2093676954690418,14.3572537775613522,10.5789853401746008,151.7549194691706020,84.1120417130287450,16.2469027841949014,66.3310876993040779,55.4148892619810240,1.0404270029368814,-0.1983541357343004,14.4394095032031586,14.1359370738947057,4.2851097805648086,6.6583197463561401,9.2971478816206261,11.9382061955639163,6.0320492717902594,3.7588916107979800,5.1422616215825325,2.1977308783307885,0.6262704745658808,0.5262181697668286,1.0111406901241642,-0.5120036377587489,15.8898250685775171,16.2570388120052272,5.5284225188359448,6.0211488651564888,9.7668440374856349,11.4848085120652499,4.8869236290654259,4.2540598986530931,6.1229810310918831,4.7722302999399773,1.1342252360910632,1.2743626201828515
3,100.1126262390698543,99.7055988410323408,0.1024407056648814,80.6438458580031607,1.0576461084979025,0.0000000000000000,4053.0259500694974122,0.0000000000000000,0.0000000000000000,37.8300752111181424,16.0080699747403266,3.1949599274090512,14.3476413077541221,10.5982943844250279,151.7427726636454679,84.1053091957793271,16.2064886095915845,66.2962045502490440,55.3970809555353512,1.0365875311423651,-0.0277683183517503,14.5018683637026022,14.0831581370287147,4.3026458661620017,6.6346106773020690,9.3343110799495008,11.8913196555758880,6.0095137515000605,3.7754561273869189,5.1675572837531023,2.1918384814528267,0.6250969258020089,0.5271897387750825,1.0105689376563036,-0.4924346202531868,15.9029485114336016,16.2550285067412403,5.5272934201385668,6.0202503239960583,9.7705680477611239,11.4884945824281939,4.8870561560732115,4.2520049426998545,6.1323804636724777,4.7665339243130473,1.1331941679228466,1.2752884774387125
4,100.1196063414771658,99.6286211852615367,0.1029274883387587,80.4054303220051025,1.0574461813772988,0.0000000000000000,4049.2537304447305360,0.0000000000000000,0.0000000000000000,37.9308097633322063,16.0506965291872241,3.2460940283868345,14.2955150828707183,10.6247850967191475,151.6793286236101039,84.0701445516243808,16.2472487329233637,66.1099152391343807,55.3558568480691449,1.0385616367609483,0.0736422817278335,14.5141640921074710,13.9681708915314804,4.3031063501596183,6.5754760514803312,9.3335893476937422,11.7848046598882235,5.9518663532986924,3.7752363198976857,5.1805747444137271,2.1833662316432561,0.6236096981816386,0.5278700302619326,1.0155673171675301,-0.5509724621932950,15.9277185056032344,16.2540128377312811,5.5293759662347428,6.0210498703512059,9.7810233891123293,11.4964529687185113,4.8894035992802829,4.2526347808254856,6.1466951164909052,4.7575598690127681,1.1316462710709225,1.2767411854092574
5,100.1516661017090826,99.6697999647350912,0.1026384996384895,80.3576754944428018,1.0573044405311496,0.0000000000000000,4045.7536220304477865,0.0000000000000000,0.0000000000000000,38.0228257853977283,16.0896337745350522,3.2344615479579963,14.2803229359146204,10.6431068599801364,151.6679353787018272,84.0638297046703258,16.2084152499299776,66.0773525585281760,55.3394813381276691,1.0356951201294273,0.2223677718513724,14.5174714810022962,13.8602572722705961,4.3013858210110785,6.5195810159867555,9.3272383983479354,11.6849292209585123,5.8973999514673423,3.7728809160795698,5.1902330826543599,2.1753280513120830,0.6221810645194130,0.5285049049315086,1.0146740302864201,-0.5232256317273478,15.9488451632147559,16.2566086864989359,5.5307677560964290,6.0228246765439657,9.7894982182535237,11.5070271470472711,4.8926353882138498,4.2526842093298622,6.1593469449612321,4.7495815394516647,1.1301892883301154,1.2780835467665665
6,100.1759056526114335,99.6997710225705021,0.1024069693324616,80.3131452855084405,1.0571723984053147,0.0000000000000000,4042.5067443110924614,0.0000000000000000,0.0000000000000000,38.0989702748180079,16.1218548660350898,3.2250623822133333,14.2663865843064457,10.6571738968749692,151.6546149582119085,84.0564466968060486,16.1765077805895672,66.0467587012019948,55.3267571451171776,1.0332345184407055,0.3503248595426030,14.5124190780939539,13.7576121148525665,4.2975787722245062,6.4659593380151197,9.3156568111004070,11.5899407295283368,5.8451540349361792,3.7684823382292088,5.1967622669935460,2.1676713853242302,0.6208053030789403,0.5290964339952976,1.0137986258033516,-0.5023585634405769,15.9665312948470994,16.2624333071690650,5.5315089277301830,6.0254766477990724,9.7960875944049732,11.5199166951156364,4.8966583778836785,4.2521872928515041,6.1704437004421262,4.7425166120534268,1.1288182699153944,1.2793216348786787
7,100.1938631741504935,99.7205640089426737,0.1022274414018468,80.2715908469281487,1.0570494115715428,0.0000000000000000,4039.4967360566356547,0.0000000000000000,0.0000000000000000,38.1616700414949150,16.1483867258519780,3.2180282267726890,14.2534417240344382,10.6676343202812571,151.6402689742927237,84.0484952577222657,16.1506438838335455,66.0181491228937034,55.3171646479123922,1.0310935330946902,0.4613551924476589,14.4994819368084169,13.6587137552014646,4.2917491667295318,6.4137797733508091,9.2991260745513635,11.4983633074785221,5.7943023413935890,3.7621027084498690,5.2003558622570534,2.1603504477229429,0.6194774319572197,0.5296464582796625,1.0129513546767615,-0.4880817586678159,15.9809707859407606,16.2711451372760720,5.5316356965979114,6.0289101919083841,9.8008808372500980,11.5348558050307570,4.9013818013364725,4.2511744093465467,6.1800899486906626,4.7362893322453141,1.1275283905719111,1.2804612872513643
8,100.2063664558318123,99.7924022972487990,0.1011017434171307,80.1602962402027828,1.0569348875899507,0.0000000000000000,4036.7089848287500899,0.0000000000000000,0.0000000000000000,38.3765765120045685,16.2393259534042400,3.1753685786843171,14.2231881154867743,10.7443072031830216,151.5003556123889155,83.9709465458002455,15.9873923950598336,65.9371081247160049,55.2410223431222036,1.0277093855430690,0.5894624405679885,14.4790195504500225,13.5624266254457719,4.2839387629884502,6.3624029631201635,9.2778446519701117,11.4090885596232638,5.7442074976292208,3.7537823363840892,5.2011748984799127,2.1533380658225072,0.6181954654909431,0.5301564266043610,1.0103085113275923,-0.4362832337179370,15.9923424180770279,16.2824211465474278,5.5311791415904290,6.0330246753898464,9.8039569784722271,11.5515804685686128,4.9067074024143595,4.2496710843302621,6.1883854396048008,4.7308406779788150,1.1263172729754873,1.2815080572601671
9,100.1986112739958514,99.7858127247621667,0.1009368618376109,80.1240257814863810,1.0568473137876011,0.0000000000000000,4034.1301063048244941,0.0000000000000000,0.0000000000000000,38.4098759437872133,16.2534168488391764,3.1617268072475890,14.2127036843728227,10.7493952816021334,151.4620375945560795,83.9497083103243256,15.9661082860233421,65.9113220971135547,55.2382252131197973,1.0260536176560651,0.6731969172126053,14.4577315460204474,13.4751432968427807,4.2762322540010862,6.3162610994050814,9.2566582417532697,11.3284484383710442,5.6993024233440108,3.7455874741962050,5.2010733042671786,2.1466948584717374,0.6169586760610706,0.5306447798048811,1.0095297045411957,-0.4312595089667859,16.0018410509821543,16.2948238293114933,5.5304802816943903,6.0375193927512143,9.8061980488689677,11.5688477721292955,4.9123493006594297,4.2479990956899014,6.1956430021131865,4.7259760571821987,1.1251700920917851,1.2824811860044891
