period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,582.1716265122414597,615.3907790943304690,0.0905652708842536,466.0382170055802362,5.7335041672014828,0.0000000000000000,24248.8467648856312735,0.0000000000000000,0.0000000000000000,371.1759565649048795,116.8960587261012307,19.8081785897205762,106.4744681366038463,76.6860309325364682,791.4713485259313757,465.2799498504473945,85.4963997795660617,359.5637488689764041,307.5110353054797656,0.9512667273952299,0.6579619674439741,14.2720484252588662,14.2886107707078551,6.7201378545058246,4.2445186120104061,12.0609334218342070,9.2067949047700743,3.7203581023190231,6.0913113908432237,2.2111150034246592,5.0818158659377808,0.5241605096913831,0.6288264636626005,0.9626982084290977,15.5296283339231280,116.9185628915549984,106.0738462959092345,43.5114665599676655,32.1456318958834544,81.4492147640552275,75.4994131212712603,27.4263025605001900,36.3093955594289994,35.4693481274997708,30.5744331746379778,4.7193293353832644,7.2020710005386643
1,581.5627757550354318,610.7747489002737211,0.0923343758777111,467.0828430966522546,5.7344762617858214,0.0000000000000000,24213.8220408214147028,0.0000000000000000,0.0000000000000000,368.3207597049772062,115.9968591580539794,20.2064071717838267,106.8006799826253541,76.0908034131539921,791.9797800202690041,465.5788399879468784,86.9496011920587932,360.2821631140269005,308.1605958753037271,0.9567634600490895,0.4044694678042777,14.1980952011472681,14.3688010911330331,6.6864428816852746,4.2658193359759151,11.9939636084002927,9.2549853331441270,3.7406099026814053,6.0589321803519116,2.2041315927469740,5.1138157579889061,0.5252094332945095,0.6275107013333631,0.9678988351853318,11.3090967845724890,114.9897126543397263,107.4966882419456198,42.8059493389711108,32.5456723292924579,79.9824812631106568,76.5542355281286575,27.7946506877464401,35.6527614501896792,35.0072313912290767,30.9424527138169623,4.7510216415460160,7.1531878887814289
2,581.1691763560196478,607.2604145498991102,0.0936080629160957,467.8726933304448039,5.7352094656386523,0.0000000000000000,24181.9169625909416936,0.0000000000000000,0.0000000000000000,366.3334485737394175,115.3709866181024779,20.5302191386612627,107.0292500592239264,75.7062085094455455,792.3895162015941196,465.8197104000646505,87.9669044067778572,360.8434432712208491,308.5749085357946342,0.9611438353457133,0.1983541357343004,14.1359370738947057,14.4394095032031586,6.6583197463561401,4.2851097805648086,11.9382061955639163,9.2971478816206261,3.7588916107979800,6.0320492717902594,2.1977308783307885,5.1422616215825325,0.5262181697668286,0.6262704745658808,0.9718516409800507,8.3033920597792132,113.6199921301049613,108.5197746356938637,42.2948933805381557,32.8581689115492708,78.9600527432918255,77.2885508341216791,28.0782308455730103,35.1832503353100279,34.6599393868131500,31.2312238015721917,4.7799380659762587,7.1116430452281243
3,580.9339590382803635,604.5404402088615825,0.0945254184354184,468.4800301604716992,5.7357626626973941,0.0000000000000000,24152.7264190269743267,0.0000000000000000,0.0000000000000000,364.9584685783061104,114.9379581865712936,20.7954225567550814,107.1898424649513828,75.4642703327105977,792.7381074456186525,466.0246357164896835,88.6775171340650417,361.2901876955203306,308.8331741441194254,0.9647038672151071,0.0277683183517503,14.0831581370287147,14.5018683637026022,6.6346106773020690,4.3026458661620017,11.8913196555758880,9.3343110799495008,3.7754561273869189,6.0095137515000605,2.1918384814528267,5.1675572837531023,0.5271897387750825,0.6250969258020089,0.9748997622444987,6.1593234469769698,112.6398597335111020,109.2437353941446787,41.9198865248094918,33.1017821967588333,78.2415628084740149,77.7879465610794512,28.2954114740810709,34.8437727583633503,34.3982969250370871,31.4557888330652204,4.8063707226777650,7.0761137664461433
4,580.7858286139201027,610.2627046493846592,0.0954022121521340,468.5400735157553527,5.7361776008848082,0.0000000000000000,24125.9392469258527854,0.0000000000000000,0.0000000000000000,364.0279608064327022,114.6449093259913781,21.0491834749616693,107.1945397333614949,75.3218954883848966,792.9902826659160837,466.1728812266676982,89.3778051701166731,361.3455337823938294,308.9547134147090333,0.9550385344426575,-0.0410064687680372,13.7442606520229340,14.3661550812373680,6.4627779824182889,4.2543441945853768,11.5667364469283740,9.2045804365405814,3.7269795735445568,5.8398923209804945,2.1775242050945591,5.1615746446967865,0.5273646210408197,0.6228856614377944,0.9794486929286986,4.7033218864040833,112.0775596547887147,109.6411940630193840,41.6871668069514811,33.2692878142488482,77.8377712248726539,78.0450157634847415,28.4412413272445619,34.6373472122689847,34.2397884299160609,31.5961782995346390,4.8280464870042854,7.0498195946824955
5,580.7657199682838609,608.1062008312607077,0.0958452728125933,468.8861928355028681,5.7365861241189693,0.0000000000000000,24101.3106035704477108,0.0000000000000000,0.0000000000000000,363.3579523432003953,114.4339006459307910,21.2211592128764686,107.2580391559576327,75.2251897683525073,793.3184617988440550,466.3658069349641551,89.6880669897006726,361.6281536795452212,309.0472502913369794,0.9581566306057452,-0.2684655985286781,13.4177423207216542,14.2167707314051448,6.2968858664855132,4.2026582989958134,11.2540152562023010,9.0659803124855838,3.6751878188066280,5.6761438725956470,2.1637270645193540,5.1507904189195610,0.5274704801891854,0.6207419938898660,0.9811605893781618,3.8007597424569042,111.6767803284347877,109.9125648981992356,41.5127300569388282,33.4018505718541334,77.5541712692182443,78.2105851840474884,28.5539595018414190,34.4855529721979437,34.1226090592165363,31.7019797141517508,4.8478910700127136,7.0271770847408819
6,580.7971189575142716,606.2457516178403694,0.0961816688445937,469.1687240743108873,5.7369178379253301,0.0000000000000000,24078.6425079176588042,0.0000000000000000,0.0000000000000000,362.8692134970823986,114.2799799949644211,21.3703597127380007,107.3029486738853819,75.1602453920150566,793.6357241670492613,466.5523150366697678,89.9126252319966426,361.8657754004254912,309.1060146983619461,0.9609519173415701,-0.4663580777078309,13.0994798941408934,14.0542898937844214,6.1346432285745518,4.1476453570965557,10.9491034341947486,8.9189068076390789,3.6201362724260742,5.5159840274497931,2.1503764599461452,5.1353830861453416,0.5275090846704817,0.6186592011247585,0.9825599655749607,3.1525129796711298,111.3910081540258545,110.0968370419677882,41.3804072788639701,33.5076020305975959,77.3541384991262078,78.3158899796339512,28.6415143448517497,34.3728065564028498,34.0368696548996539,31.7809470623338370,4.8660876857458444,7.0076007224611239
7,580.8651578341532513,604.6030896061342901,0.0964472106810184,469.4040809609787175,5.7371868844009466,0.0000000000000000,24057.7702523844272946,0.0000000000000000,0.0000000000000000,362.5032198416681126,114.1647160208842280,21.5037832693832236,107.3357786447129314,75.1126618146317355,793.9487861818697638,466.7363538888998846,90.0812242273193391,362.0683023162657719,309.1458813490926900,0.9635036328741595,-0.6407765839817117,12.7860641797822190,13.8791205902996904,5.9741348510020984,4.0893290436916212,10.6486547168550665,8.7636256274324893,3.5618470683989312,5.3575035907443560,2.1374094629271521,5.1154949628672020,0.5274819752926898,0.6166312602577421,0.9837295048256366,2.6773483806929335,111.1856712023979412,110.2236900542103655,41.2781720427716436,33.5929913830900233,77.2107679610487310,78.3842727078102399,28.7101918717736488,34.2875655926880043,33.9749032413492102,31.8394173464001256,4.8827995113163771,6.9906064500836358
8,580.9619265171839970,600.6873273779142437,0.0961392287160762,469.3769276523131566,5.7374036278968266,0.0000000000000000,24038.5529804142934154,0.0000000000000000,0.0000000000000000,362.9826345491587176,114.3157001803099035,21.4893784237927647,107.2778495385774846,75.3124719188403162,793.8561820371326121,466.6819149608205635,89.7806035680375771,362.0990781137356862,308.9371364060128826,0.9698976907895448,-0.8760978879519232,12.4763293674942624,13.6917438204551800,5.8146127828503786,4.0277733049449118,10.3514930822629481,8.6004824262459323,3.5003827176685220,5.1999496304347153,2.1248362852313143,5.0912613942092486,0.5273905872763895,0.6146631524156635,0.9837788467388596,2.4530336502315180,111.0339454659165597,110.3163284372134001,41.1966758791248679,33.6631626587233512,77.1033117115745057,78.4337729492975200,28.7650044585218829,34.2208887010071265,33.9306337543420540,31.8825554879158730,4.8981582002014665,6.9757871781177414
9,581.0327355712070130,599.5104644053193397,0.0962809561147448,469.5452242987653335,5.7376312958473479,0.0000000000000000,24020.8671940966087277,0.0000000000000000,0.0000000000000000,362.7512332456956301,114.2428239611462146,21.5639553937385138,107.2962681129503011,75.2875972882890352,794.1014068750093884,466.8260745699863605,89.8701411764802742,362.2489561858150182,308.9692241233046843,0.9717920156495780,-0.9997368165567462,12.1986554256630964,13.5161190260176571,5.6734884873771794,3.9705062512271483,10.0858005259042045,8.4484423894324756,3.4432208245172142,5.0607333570058310,2.1128548997588918,5.0676766365851815,0.5272854267099341,0.6127551303713480,0.9846164067611115,2.2177301417295752,110.9412822322063619,110.3647624220011352,41.1378204086209678,33.7183790108632593,77.0387807620280540,78.4533236797579434,28.8061365198153538,34.1748135710343135,33.9025014701783221,31.9114387422431811,4.9122424910479028,6.9630068375866516
10,581.1165873574097986,598.5018546725275428,0.0963763708837419,469.6833159987912722,5.7378222920732584,0.0000000000000000,24004.6023076337332895,0.0000000000000000,0.0000000000000000,362.5971883796494240,114.1943099413415865,21.6252175976628926,107.3076235786384700,75.2762334036592193,794.3271672336827578,466.9587916526165259,89.9248178197250212,362.3756924201528022,308.9870041742532294,0.9734636204087099,-1.1032812062566659,11.9484585893677639,13.3514220772811036,5.5479566252524144,3.9171711701364078,9.8470377945904772,8.3066207315056797,3.3900029109029641,4.9370532791804074,2.1014207947772867,5.0448013457754239,0.5271682592334435,0.6109033460720066,0.9853049662445952,2.0759379026360989,110.8913024823833524,110.3831259481328857,41.0958311556373985,33.7620294720153424,77.0046484963046112,78.4536252254947044,28.8368593363616768,34.1438580427544309,33.8866539860787412,31.9295007226381777,4.9251701356536666,6.9519731128829703
11,581.2074979922286957,597.6304915633128303,0.0964382145903343,469.7976221322873016,5.7379832967920672,0.0000000000000000,23989.6576194064618903,0.0000000000000000,0.0000000000000000,362.4984360748446761,114.1632094483877182,21.6755031546153312,107.3141272872681213,75.2735144250081589,794.5352680578929494,467.0811272763036186,89.9551374672788739,362.4834948450191519,308.9954606436500626,0.9749453195572088,-1.1905002438169543,11.7220050392143005,13.1968772161577075,5.4357545641524130,3.8674431424862563,9.6315109526266234,8.1741988593960393,3.3404024642596317,4.8266502541099436,2.0904940865876775,5.0226783567616682,0.5270406782266246,0.6091043100424691,0.9858766238120459,2.0001771587284196,110.8720485409018295,110.3814420766113500,41.0664627530936173,33.7966995384720832,76.9919470911917188,78.4420175105196336,28.8596536972953999,34.1240212892767332,33.8801014497101107,31.9394245660917129,4.9370458411766842,6.9424414638168841
12,581.3012386610787416,596.8726743293545951,0.0964757724411807,469.8929844137872465,5.7381195443349275,0.0000000000000000,23975.9402605815557763,0.0000000000000000,0.0000000000000000,362.4390971421032646,114.1445215801575728,21.7167251137031627,107.3173201106459800,75.2761415989843243,794.7271245811888321,467.1939134102601088,89.9685727200890568,362.5756643031412523,308.9979785142414812,0.9762631742629604,-1.2643285660890839,11.5162180420508076,13.0517620446461979,5.3350355223975505,3.8210273046587062,9.4361791364917220,8.0504257795095988,3.2941231833100519,4.7276806750380596,2.0800389055590869,5.0013362651366000,0.5269041213486544,0.6073548473594907,0.9863555456760016,1.9706888259979252,110.8747402034352092,110.3667810459185574,41.0465669378677163,33.8243683946635869,76.9942247696623383,78.4234813200966414,28.8764052713384558,34.1123611214388021,33.8805154337728638,31.9432997258219231,4.9479631233251293,6.9342058164289151
13,581.3948573745706199,596.2100297406670961,0.0964958316862500,469.9730948387978060,5.7382351835947949,0.0000000000000000,23963.3638104710335028,0.0000000000000000,0.0000000000000000,362.4077112407654795,114.1346370817113183,21.7504554542328741,107.3182739833552262,75.2818983828639574,794.9039130032163030,467.2978415035363469,89.9704412744247009,362.6548208554425514,308.9968427714647987,0.9774382372218373,-1.3270814804576911,11.3285363068802916,12.9154082778142794,5.2442761058141087,3.7776565785453631,9.2585134207987814,7.9346160323840484,3.2508966936018213,4.6386240447733318,2.0700228860815102,4.9807922454302327,0.5267598849435418,0.6056520610407774,0.9867601067736298,1.9732414691395235,110.8929022873076633,110.3440999435901233,41.0337908761766244,33.8465571607692297,77.0068229608358621,78.4013525045712498,28.8885513387367432,34.1066994689155720,33.8860793264718012,31.9427474390188735,4.9580058220324847,6.9270914072610559
14,581.4863299635570684,595.6281049137313630,0.0965033670737530,470.0407995468284525,5.7383335396285782,0.0000000000000000,23951.8473627198509348,0.0000000000000000,0.0000000000000000,362.3959870057269086,114.1309447173667309,21.7779900213581392,107.3177329018720911,75.2893134700902493,795.0666603718726719,467.3935153237798090,89.9645256147858845,362.7230666449563614,308.9935821750623859,0.9784878013708090,-1.3806077006984978,11.1568081690437548,12.7872000811721112,5.1622077477647181,3.7370892167527128,9.0963914306265785,7.8261457917463995,3.2104800800143245,4.5582144465772956,2.0604167384171754,4.9610542894257108,0.5266091367383883,0.6039933011874226,0.9871044194579579,1.9975762581442211,110.9217452412185025,110.3168477002722625,41.0263639218033305,33.8644400041907474,77.0263697937878362,78.3778271662402375,28.8971906514238910,34.1054147125917098,33.8953754474306663,31.9390205340320250,4.9672493527668546,6.9209492092116225
15,581.5743056635166113,595.1153603557240785,0.0965020329411309,470.0983165349953765,5.7384173053716561,0.0000000000000000,23941.3148926925350679,0.0000000000000000,0.0000000000000000,362.3979142316391062,114.1315516670072583,21.8003995971210109,107.3162116496234404,75.2974267091375538,795.2162976219002530,467.4814821368783555,89.9535123840418009,362.7821048853719503,308.9892066661833496,0.9794262997078188,-1.4263994122357655,10.9992113155976821,12.6665711201356004,5.0877650821999740,3.6991063620672615,8.9480174297321540,7.7244481206647935,3.1726534349090478,4.4853889435548906,2.0511938858655281,4.9421229994708078,0.5264529271582137,0.6023761386450839,0.9873994328746267,2.0362994973895212,110.9577208749491604,110.2873993252827916,41.0229452826419916,33.8789273671673357,77.0504220454448614,78.3543168133059993,28.9031656179000613,34.1072937469504751,33.9072988295043061,31.9330825119767887,4.9757617492672743,6.9156515356915156
16,581.6579215706142350,594.6624449569401349,0.0964945178561788,470.1473929480237075,5.7384886834632356,0.0000000000000000,23931.6948230598718510,0.0000000000000000,0.0000000000000000,362.4091309744028990,114.1350842046020091,21.8185705937284737,107.3140649568331639,75.3056266694908771,795.3536902021216974,467.5622507117033138,89.9393047074063929,362.8333279911905720,308.9843715298898132,0.9802659582565378,-1.4656727506356138,10.8541910335813565,12.5530010114305792,5.0200465212493111,3.6635097293188892,8.8118608789430528,7.6290079744103849,3.1372175298170832,4.4192481789864528,2.0423301546383024,4.9239930370201943,0.5262921995018058,0.6007983422628584,0.9876537290533609,2.0840906365193632,110.9982008391775565,110.2573668778746736,41.0225141637951936,33.8907283780661075,77.0772101576061601,78.3316968325110281,28.9071238376509889,34.1114256294201752,33.9209906815714035,31.9256700453636491,4.9836045404151177,6.9110885343750175
17,581.7366671419756585,594.2616706227195209,0.0964828012180780,470.1894196184260295,5.7385494921484446,0.0000000000000000,23922.9197172579733888,0.0000000000000000,0.0000000000000000,362.4264707260442719,114.1405450880194650,21.8332377989306252,107.3115359571500704,75.3135381185154387,795.4796551228125736,467.6363013416991521,89.9232447442991116,362.8778836612759733,308.9794909187115763,0.9810172734424958,-1.4994274685200999,10.7204121035031275,12.4460115900586832,4.9582837685568109,3.6301194628193296,8.6866085967348141,7.5393572886677891,3.1039916636559686,4.3590259094983486,2.0338035067683129,4.9066543013908941,0.5261277991633609,0.5992578590584627,0.9878741032914237,2.1371336254833011,111.0412420795561559,110.2278218816632034,41.0242898489753571,33.9003977674035468,77.1054554896393824,78.3104795915111254,28.9095642733300622,34.1171244879691784,33.9357865899167805,31.9173422901520816,4.9908334940734811,6.9071653610061814
