period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.6016519948479981,2286.7692352699668845,0.0927221677349127,1848.0094424086159961,22.5089427467695238,0.0000000000000000,92588.5001435894519091,0.0000000000000000,0.0000000000000000,1913.8410686166305368,672.0864023714519817,126.7606546099911071,423.6439099479298420,441.8827562064474819,2796.3293214648615503,1611.5423259500526001,309.7812463396672342,1424.3655324606861541,1065.3211588613651202,0.9980271035431062,0.7605975121006754,16.4627836741713374,15.6979326247570352,6.0798179334633797,5.3886612771017512,11.7514018237103119,9.4946107217612976,4.0924667569424837,4.9741963604345312,4.7113818504610263,6.2033219029957394,1.2961945201592673,1.1056215730288483,1.0129987171716301,-2.9481562674370565,109.8925613626773554,111.6184770316348249,33.8516922931109079,41.2627080668463861,77.5541107616540444,78.0778183747219714,34.5108806177627301,28.6785846410609366,32.3384506010233110,33.5406586569128677,6.7518274490836561,5.1731076520499721
1,2283.5832645865757513,2286.3358258898260829,0.0927115313904961,1848.0236242390790267,22.5089789351850591,0.0000000000000000,92572.3417975699412636,0.0000000000000000,0.0000000000000000,1913.7280354779375102,672.0467083567406235,127.0177694936231347,423.5376550417342969,442.1324727532928023,2796.3658071425752496,1611.5633528775590548,309.4821270920510301,1424.4859691973447298,1065.0714423145193450,0.9982183285063715,0.7607251620252367,16.4667941780452196,15.7035222991027474,6.0786454491831474,5.3917710007468305,11.7495392634222338,9.5091720452153687,4.0973246166311812,4.9716262112584664,4.7172549146229850,6.1943502538873787,1.2944463841156491,1.1070192379246810,1.0127498999682119,-2.9392781319218813,109.8686390701336961,111.5835209845967455,33.8490482121590048,41.2335386018102170,77.5818377924639861,77.9834616407687236,34.4690861538453390,28.6835171449048438,32.2868012776697100,33.6000593438280362,6.7644524479648762,5.1655310672541619
2,2283.5607860026511844,2285.9389691638298245,0.0927029255496068,1848.0320308150671735,22.5090123351384506,0.0000000000000000,92557.3814611783600412,0.0000000000000000,0.0000000000000000,1913.6295446103929407,672.0121211729248216,127.2339216019317405,423.4475186653676815,442.3429981861331726,2796.3863986563087565,1611.5752198975419560,309.2310144909615133,1424.5845121496995489,1064.8609168816790316,0.9983904481470519,0.7608368291508345,16.4702837894759035,15.7083292958224359,6.0776586179098793,5.3945095394535860,11.7478076399021347,9.5220044992853072,4.1016307549339937,4.9693930814402343,4.7224761495737670,6.1863247965371286,1.2928787845195924,1.1082655364696452,1.0125279841574641,-2.9351403355917967,109.8465241416053715,111.5560200506280921,33.8463538184922683,41.2092639091114492,77.6053596025873844,77.9032160361729780,34.4336133693587101,28.6875873581714202,32.2411645390179800,33.6528040144551071,6.7756505397527400,5.1587664603208490
3,2283.5354220142426129,2285.5759734550383655,0.0926960374128739,1848.0359727243701400,22.5090443176142472,0.0000000000000000,92543.5713410087482771,0.0000000000000000,0.0000000000000000,1913.5430380792706728,671.9817425462786105,127.4155940805298712,423.3710642525921344,442.5203187473131266,2796.3947313561584451,1611.5800220853222982,309.0204284826194794,1424.6649084717780624,1064.6835963204994187,0.9985453723840918,0.7609437770282881,16.4733122446720692,15.7124440643512706,6.0768292703035778,5.3969159380811158,11.7461930380901869,9.5333011650027064,4.1054431150232000,4.9674516085348612,4.7271192065818823,6.1791428993485651,1.2914728230579158,1.1093776617687168,1.0123300226561871,-2.9349846731654168,109.8260152492400437,111.5348377684266978,33.8436068620118462,41.1891865579866305,77.6251654866227625,77.8352126891569469,34.4036051978425590,28.6908794112039622,32.2008497626172812,33.6996250792697438,6.7855813601440742,5.1527274508078813
4,2283.5104660239503573,2299.5673680828040233,0.0928673533612769,1849.0813124499486548,22.5090759554560904,0.0000000000000000,92530.8548570012208074,0.0000000000000000,0.0000000000000000,1912.7518065230094635,671.7038845888910146,127.8960610006951271,423.5958726758280477,442.4190560109381067,2796.8279674198956855,1611.8296987770056603,309.3297070515183691,1425.4854397741205503,1064.7848590568748932,0.9925375065152153,0.0982283058736044,16.1398103927268401,16.1183484882711419,5.9114847049094372,5.5154370057985451,11.5831554464919506,9.7140056424909282,4.1757259583514204,4.8530497103614687,4.5566549462348878,6.4043428457802136,1.3397110474471250,1.0584349945479683,1.0109928087138609,-3.9806929609106589,109.2672227483787992,112.0952959588059485,33.6798902354063543,41.3823554292144280,77.3148296720518289,78.1337114259771681,34.5379907270650648,28.5715110224570559,31.9523930763269739,33.9615845328287733,6.8443647021493623,5.1083792129492984
5,2283.5688785722222747,2299.0904760880530375,0.0928747293301433,1849.0828957946728224,22.5088537054932551,0.0000000000000000,92519.1702854847389972,0.0000000000000000,0.0000000000000000,1912.7840291034808615,671.7152002401952586,128.0837797691812057,423.5436026240221850,442.5448082476544300,2796.9094267944328749,1611.8766443312738375,309.1943083371541547,1425.5392931706505806,1064.6591068201580583,0.9927729951165569,0.0989952047401168,16.1406816023211910,16.1185126682604114,5.9098075354550810,5.5169798926818423,11.5790809707519422,9.7243243345364476,4.1793307257749763,4.8501760977209374,4.5616006315692488,6.3941883337239638,1.3376491669068664,1.0596314377341436,1.0108315481918999,-3.9776873651610600,109.2538955995054550,112.0782187975198667,33.6791995221464759,41.3663504445239028,77.3347898861016319,78.0763886293029827,34.5135525771349876,28.5758404037899680,31.9191057134038196,34.0018301682168911,6.8527978673889169,5.1033591183565088
6,2283.6291660692600090,2298.7226166334785376,0.0928844207413120,1849.0787754217781185,22.5086266182301955,0.0000000000000000,92508.4534333835326834,0.0000000000000000,0.0000000000000000,1912.8365819404016293,671.7336552977649262,128.2584992275718889,423.4995100936923791,442.6509342388269488,2796.9817912007783889,1611.9183483976805746,309.0824838671391603,1425.5792653280857394,1064.5529808289861649,0.9929615190623078,0.0991113406441819,16.1404683265807627,16.1181242481783009,5.9080027766793224,5.5180136765103640,11.5753473009764036,9.7319869107377190,4.1819945754875150,4.8475155415201918,4.5651210256043608,6.3861373374405801,1.3360191010228495,1.0604872351591308,1.0106804254775570,-3.9769546825937141,109.2418438986127569,112.0648861902363080,33.6786600726716046,41.3526977496313393,77.3539110426972343,78.0253341359919261,34.4920164012587094,28.5800453578543205,31.8879328559155191,34.0395520542443961,6.8606813483726299,5.0986147148172867
7,2283.6923959564364850,2298.4623149350463791,0.0928963445267550,1849.0693159587635819,22.5083959894467931,0.0000000000000000,92498.6395794678683160,0.0000000000000000,0.0000000000000000,1912.9098527630781064,671.7593859210746814,128.4247731463016180,423.4623687923119633,442.7405299385346211,2797.0466720496733615,1611.9557396424584113,308.9896460974792944,1425.6069471664516186,1064.4633851292776399,0.9931042150359978,0.0985274780813974,16.1391685295630580,16.1172514967285458,5.9060317590070319,5.5185688607996060,11.5719287700323203,9.7371277844806041,4.1837605756276437,4.8450251620175155,4.5672397595307377,6.3801237122479399,1.3348082851719627,1.0610065969895159,1.0105371633791007,-3.9777983697809560,109.2310682987175312,112.0544904739892900,33.6783490804356376,41.3409123072866436,77.3727297537071195,77.9791375893140639,34.4727697055380560,28.5842730298484682,31.8583385450104046,34.0753528846752189,6.8681426017485840,5.0940760505871703
8,2283.7602061259140100,2297.1324024288055625,0.0927381500731308,1848.7840797068838583,22.5081630504875214,0.0000000000000000,92489.6648623454384506,0.0000000000000000,0.0000000000000000,1914.7069905615126117,672.3904894632244122,128.3043044710774438,423.3079359457500459,443.4133726552389021,2796.0694124633891988,1611.3925387438200687,308.4678893123350463,1425.4761437611336987,1063.7905424125738136,0.9937813488389857,1.1547809932248789,17.5224541327451035,16.5304337235574152,6.5573505772584246,5.6343279114491898,13.0830297248533736,9.9354168433971140,4.2547027779512909,5.5266128913901333,4.4394244078917282,6.5950168801603004,1.3796251334978986,1.0307376858682913,1.0105136930324912,-3.8811482691385208,109.6300718044174829,112.4279799077689859,33.8402948359946834,41.4379743715852413,77.8152053526737006,78.2479349501792001,34.5494447264142934,28.7620700970688929,31.8148664517437858,34.1800449575897858,6.8885296451709452,5.0782247389257869
9,2283.7547339061579805,2296.2577500809820776,0.0927297114916009,1848.7429752952043600,22.5079948680925064,0.0000000000000000,92481.4672518395527732,0.0000000000000000,0.0000000000000000,1914.7578273839326357,672.4083419054405795,128.3503482637927959,423.2736954982785846,443.4839756469648364,2796.0287102452857653,1611.3690817973401863,308.3854714012409204,1425.4692797969257754,1063.7199394208480498,0.9941561225973424,1.1837672177440410,17.5333758449322126,16.5079639569870693,6.5625557582175089,5.6281862214468585,13.0863612233239675,9.9282278640301715,4.2517625346335333,5.5295732374447226,4.4470146216082460,6.5797360929568978,1.3764236868133248,1.0329825207727863,1.0104342050024893,-3.8451835536983054,109.6372031827627183,112.3965497537048321,33.8446857322435477,41.4197951418531716,77.8413443738276385,78.1949135386743706,34.5269384770510186,28.7692336194601346,31.7958588089350798,34.2016362150304616,6.8928566648021494,5.0754521127834114
