period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,582.2562232405909981,592.2270389431245121,0.0962458048810631,469.9360590123195607,5.7380536038321628,0.0000000000000000,23826.9155238037164963,0.0000000000000000,0.0000000000000000,366.9054166091572142,115.5511189997266115,21.0937595973651213,107.6738816644753030,75.3531728317326639,793.9454258719376867,466.7343784733152461,90.6999168009503762,362.2621773478442719,308.9686549237455324,0.9852205009002126,-1.0823978037331550,13.7634120641293602,14.9717678806939425,6.5402265677155791,4.4848385947686573,11.7423905042733985,9.4694982808451016,3.8973530740886249,5.9721850544198682,2.0210215598559609,5.5022695998488400,0.5874855206800327,0.5680415132957106,0.9871680813101882,2.9481562674370565,111.6184770316348249,109.8925613626773554,41.2627080668463861,33.8516922931109079,78.0778183747219714,77.5541107616540444,28.6785846410609366,34.5108806177627301,33.5406586569128677,32.3384506010233110,5.1731076520499721,6.7518274490836561
1,582.3060344978331386,592.0355025315088824,0.0962598084921956,469.9966626942646712,5.7381580263175387,0.0000000000000000,23822.3416978000059316,0.0000000000000000,0.0000000000000000,366.5747291892383828,115.4469741719835554,21.2296578777962495,107.6342401378006599,75.4088575090914475,794.2066972896875541,466.8879713385205719,90.5767604347901027,362.3624225564640255,308.9129702463867488,0.9856513721084579,-1.0908031706157164,13.7538425533856117,14.9744952650436201,6.5336221553724654,4.4885338499243144,11.7266716592642908,9.4888905177895335,3.9027449827285428,5.9638428752882087,2.0271708941213213,5.4856047472540865,0.5857888671957718,0.5697792800842569,0.9874106134509497,2.9392781319218813,111.5835209845967455,109.8686390701336961,41.2335386018102170,33.8490482121590048,77.9834616407687236,77.5818377924639861,28.6835171449048438,34.4690861538453390,33.6000593438280362,32.2868012776697100,5.1655310672541619,6.7644524479648762
2,582.3534763183931773,591.8654454050813456,0.0962704365810821,470.0497227619458158,5.7382495954197390,0.0000000000000000,23818.1208220285952848,0.0000000000000000,0.0000000000000000,366.2930837345764985,115.3582743437059293,21.3465341075723529,107.6004331341119808,75.4564369056261626,794.4377611725225279,467.0238061884086278,90.4700275408345789,362.4492896278338208,308.8653908498521332,0.9860373873792967,-1.0977502514162278,13.7458195859495689,14.9766942876695470,6.5280261359839100,4.4917279810699693,11.7131709477824657,9.5058574119327766,3.9074514801001223,5.9566970465617697,2.0326486381671041,5.4708368757367714,0.5842765009698467,0.5713290894221403,0.9876270242862583,2.9351403355917967,111.5560200506280921,109.8465241416053715,41.2092639091114492,33.8463538184922683,77.9032160361729780,77.6053596025873844,28.6875873581714202,34.4336133693587101,33.6528040144551071,32.2411645390179800,5.1587664603208490,6.7756505397527400
3,582.3986101185707867,591.7146035645866959,0.0962781298649718,470.0962182877662485,5.7383299289042649,0.0000000000000000,23814.2357001251257316,0.0000000000000000,0.0000000000000000,366.0539430152017530,115.2829607166204227,21.4469326425204478,107.5716251387220410,75.4971522930886039,794.6422010751792868,467.1439896768352469,90.3774752906953580,362.5245931490442217,308.8246754623894503,0.9863832446301191,-1.1034195198105188,13.7391294165955919,14.9784214775166848,6.5233009025105844,4.4944773885274341,11.7016024024912024,9.5206753887952686,3.9115494509903463,5.9505897076248955,2.0375270141043904,5.4577460887214153,0.5829279375370876,0.5727111948856889,0.9878201551072889,2.9349846731654168,111.5348377684266978,109.8260152492400437,41.1891865579866305,33.8436068620118462,77.8352126891569469,77.6251654866227625,28.6908794112039622,34.4036051978425590,33.6996250792697438,32.2008497626172812,5.1527274508078813,6.7855813601440742
4,582.4414738731888974,591.5809113161357118,0.0962833084127863,470.1369927214838071,5.7384004299863900,0.0000000000000000,23810.6674252917146077,0.0000000000000000,0.0000000000000000,365.8515178117981463,115.2192100667030559,21.5330870370541483,107.5470941255182282,75.5320489722486599,794.8231660198514419,467.2503730102794179,90.2971667684209507,362.5898985959655647,308.7897787832296217,0.9866931441486464,-1.1079784134828721,13.7335829619519867,14.9797325918086202,6.5193253047228570,4.4968340285760506,11.6917121196887628,9.5335942099767372,3.9151089828924741,5.9453815799033656,2.0418708422632235,5.4461383818318829,0.5817250456835769,0.5739437248194911,0.9879925377589177,2.9381125234097993,111.5189694005330949,109.8069548758990095,41.1726922155502493,33.8408165534054319,77.7777900351158848,77.6417134398006112,28.6934800532040235,34.3783046856794741,33.7411793654172101,32.1652414360983983,5.1473365002014120,6.7943875298707779
5,582.4820966200788916,591.4624955082670112,0.0962863617063682,470.1727744008068726,5.7384623180815844,0.0000000000000000,23807.3962539840140380,0.0000000000000000,0.0000000000000000,365.6807109233735105,115.1654171102710507,21.6069498345238280,107.5262178194440565,75.5620076288681588,794.9834236423865832,467.3445831907429238,90.2274310188074935,362.6465565813628018,308.7598201266099522,0.9869708423898168,-1.1115798422162300,13.7290140431957042,14.9806809924839293,6.5159931947585896,4.4988452881030998,11.6832758460926058,9.5448384008449985,3.9181935226456779,5.9409503088632070,2.0457381971030979,5.4358425916389299,0.5806517654574215,0.5750428858953830,0.9881464275061529,2.9438941827905296,111.5075350285121516,109.7892171530140217,41.1592432970537487,33.8379986641420913,77.7294805953866330,77.6554247987044022,28.6954745424382658,34.3570470984630205,33.7780544331255186,32.1337923543096196,5.1425241217038229,6.8021961985907247
6,582.5205074783939381,591.3576659909584805,0.0962876433967865,470.2041936077127957,5.7385166546819413,0.0000000000000000,23804.4022378964909876,0.0000000000000000,0.0000000000000000,365.5370563727891522,115.1201753577157660,21.6702219647361254,107.5084611390907980,75.5877706995987637,795.1254069313250739,467.4280504920923818,90.1668276278672352,362.6957324686219977,308.7340570558794184,0.9872196997388044,-1.1143617050496424,13.7252774201560115,14.9813166283087167,6.5132119517958307,4.5005540351981725,11.6760963873370880,9.5546089395504534,3.9208601736265609,5.9371887990798236,2.0491810328189226,5.4267076887582633,0.5796938615716116,0.5760231527160071,0.9882838327843056,2.9517720830136653,111.4997703079329057,109.7726989569732439,41.1483720328184575,33.8351721136875838,77.6889955143851694,77.6666819514947520,28.6969439886908333,34.3392515048770761,33.8107747935477292,32.1060170054784848,5.1382281249967523,6.8091205279413840
7,582.5567408514851877,591.2649038339942535,0.0962874693180554,470.2317968231504892,5.7385643652252245,0.0000000000000000,23801.6656740304133564,0.0000000000000000,0.0000000000000000,365.4166575946396733,115.0822576467428746,21.7243808278667920,107.4933648716156966,75.6099645113986867,795.2512553015949379,467.5020326059326408,90.1141155466196011,362.7384319515347784,308.7118632440796091,0.9874427229657471,-1.1164470908929403,13.7222467605249250,14.9816854583928336,6.5109010456178131,4.5019987877889260,11.6700009886921450,9.5630850757259331,3.9231600802284361,5.9340036027610044,2.0522457718327800,5.4186003826669005,0.5788387075604899,0.5768974428568086,0.9884065419942701,2.9612599134123911,111.4950160596561517,109.7573134632844329,41.1396734088007037,33.8323566581561224,77.6552081769937104,77.6758281674266016,28.6979637514986123,34.3244123184813787,33.8398078826624413,32.0814852958578314,5.1343929066575118,6.8152610903193214
8,582.5908390327191455,591.1828484083050625,0.0962861176903993,470.2560586963031710,5.7386062576510275,0.0000000000000000,23799.1674182713031769,0.0000000000000000,0.0000000000000000,365.3161271341629686,115.0505971514877359,21.7707065085296101,107.4805355668138134,75.6291178554996293,795.3628506600214223,467.5676358433320843,90.0682258074269129,362.7755231294893292,308.6927098999786381,0.9876426029977546,-1.1179449227580864,13.7198126403359115,14.9818291916303306,6.5089906765873984,4.5032139571978087,11.6648387880008499,9.5704261848791141,3.9251388605112063,5.9313133992942735,2.0549738523350620,5.4114030067512173,0.5780750966866023,0.5776772772931253,0.9885161475459274,2.9719391304718386,111.4927075059194692,109.7429855346646974,41.1327982839712547,33.8295713838392231,77.6271378069638018,77.6831688355095480,28.6986025920392365,34.3120911140117215,33.8655696989556674,32.0598166991551423,5.1309687917999884,6.8207071699595296
9,582.6228530925098994,591.1102841037208009,0.0962838307324303,470.2773921386660163,5.7386430382036657,0.0000000000000000,23796.8890969194726495,0.0000000000000000,0.0000000000000000,365.2325294605746535,115.0242693724699734,21.8103058257077898,107.4696365952749915,75.6456775621244617,795.4618490481788058,467.6258337366139131,90.0282377570457299,362.8077555433910106,308.6761501933536351,0.9878217485512699,-1.1189508717120678,13.7178806370736019,14.9817852472096114,6.5074205136098620,4.5042301350495979,11.6604784038030083,9.5767735933819456,3.9268370589149288,5.9290475870522474,2.0574022332705932,5.4050116538276667,0.5773930761346693,0.5783729265576149,0.9886140673715924,2.9834539211455109,111.4923636877862094,109.7296484632216789,41.1274468751756217,33.8268337803577666,77.6039336357169134,77.6889735905403995,28.6989223513745735,34.3019089150037999,33.8884300520692889,32.0406748726812793,5.1279114289831957,6.8255379601718236
