period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.6016519948479981,2286.7692352699668845,0.0927221677349127,1848.0094424086159961,22.5058402943343481,0.0000000000000000,92588.5001435894519091,0.0000000000000000,0.0000000000000000,1913.8410686166305368,672.0864023714519817,126.7606546099911071,423.6439099479298420,441.8827562064474819,2796.3293214648615503,1611.5423259500526001,309.7812463396672342,1424.3655324606861541,1065.3211588613651202,0.9980271035431062,0.7605975121006754,16.4627836741713374,15.6979326247570352,6.0798179334633797,5.3886612771017512,11.7514018237103119,9.4946107217612976,4.0924667569424837,4.9741963604345312,4.7113818504610263,6.2033219029957394,1.2961945201592673,1.1056215730288483,1.0129987171716301,-2.9481562674370565,109.8925613626773554,111.6184770316348249,33.8516922931109079,41.2627080668463861,77.5541107616540444,78.0778183747219714,34.5108806177627301,28.6785846410609366,32.3384506010233110,33.5406586569128677,6.7518274490836561,5.1731076520499721
1,2283.5832645865757513,2286.3358258898260829,0.0927115313904961,1848.0236242390790267,22.5058144322499167,0.0000000000000000,92572.3417975699412636,0.0000000000000000,0.0000000000000000,1913.7280354779375102,672.0467083567406235,127.0177694936231347,423.5376550417342969,442.1324727532928023,2796.3658071425752496,1611.5633528775590548,309.4821270920510301,1424.4859691973447298,1065.0714423145193450,0.9982183285063715,0.7607251620252367,16.4667941780452196,15.7035222991027474,6.0786454491831474,5.3917710007468305,11.7495392634222338,9.5091720452153687,4.0973246166311812,4.9716262112584664,4.7172549146229850,6.1943502538873787,1.2944463841156491,1.1070192379246810,1.0127498999682119,-2.9392781319218813,109.8686390701336961,111.5835209845967455,33.8490482121590048,41.2335386018102170,77.5818377924639861,77.9834616407687236,34.4690861538453390,28.6835171449048438,32.2868012776697100,33.6000593438280362,6.7644524479648762,5.1655310672541619
2,2283.5607860026511844,2285.9389691638298245,0.0927029255496068,1848.0320308150671735,22.5057845416419759,0.0000000000000000,92557.3814611783600412,0.0000000000000000,0.0000000000000000,1913.6295446103929407,672.0121211729248216,127.2339216019317405,423.4475186653676815,442.3429981861331726,2796.3863986563087565,1611.5752198975419560,309.2310144909615133,1424.5845121496995489,1064.8609168816790316,0.9983904481470519,0.7608368291508345,16.4702837894759035,15.7083292958224359,6.0776586179098793,5.3945095394535860,11.7478076399021347,9.5220044992853072,4.1016307549339937,4.9693930814402343,4.7224761495737670,6.1863247965371286,1.2928787845195924,1.1082655364696452,1.0125279841574641,-2.9351403355917967,109.8465241416053715,111.5560200506280921,33.8463538184922683,41.2092639091114492,77.6053596025873844,77.9032160361729780,34.4336133693587101,28.6875873581714202,32.2411645390179800,33.6528040144551071,6.7756505397527400,5.1587664603208490
3,2283.5354220142426129,2285.5759734550383655,0.0926960374128739,1848.0359727243701400,22.5057519683349554,0.0000000000000000,92543.5713410087482771,0.0000000000000000,0.0000000000000000,1913.5430380792706728,671.9817425462786105,127.4155940805298712,423.3710642525921344,442.5203187473131266,2796.3947313561584451,1611.5800220853222982,309.0204284826194794,1424.6649084717780624,1064.6835963204994187,0.9985453723840918,0.7609437770282881,16.4733122446720692,15.7124440643512706,6.0768292703035778,5.3969159380811158,11.7461930380901869,9.5333011650027064,4.1054431150232000,4.9674516085348612,4.7271192065818823,6.1791428993485651,1.2914728230579158,1.1093776617687168,1.0123300226561871,-2.9349846731654168,109.8260152492400437,111.5348377684266978,33.8436068620118462,41.1891865579866305,77.6251654866227625,77.8352126891569469,34.4036051978425590,28.6908794112039622,32.2008497626172812,33.6996250792697438,6.7855813601440742,5.1527274508078813
4,2283.5081390088516855,2285.2442771523669762,0.0926905944971087,1848.0364896770197447,22.5057177595755249,0.0000000000000000,92530.8548570012208074,0.0000000000000000,0.0000000000000000,1913.4664737787682043,671.9548553474832033,127.5682601965037719,423.3062135606747916,442.6695382542461630,2796.3937151113127584,1611.5794364169714754,308.8440110553615341,1424.7302761163448395,1064.5343768135664959,0.9986848143476683,0.7610540522261928,16.4759341151658099,15.7159489319478620,6.0761334747435791,5.3990258229279267,11.7446849985247468,9.5432352306441874,4.1088141679601993,4.9657627826118524,4.7312491166410622,6.1727137013036746,1.2902116549677269,1.1103706921317269,1.0121533936565139,-2.9381125234097993,109.8069548758990095,111.5189694005330949,33.8408165534054319,41.1726922155502493,77.6417134398006112,77.7777900351158848,34.3783046856794741,28.6934800532040235,32.1652414360983983,33.7411793654172101,6.7943875298707779,5.1473365002014120
5,2283.4797077853472729,2284.9414562778356412,0.0926863609400800,1848.0344067235455441,22.5056827259534415,0.0000000000000000,92519.1702854847389972,0.0000000000000000,0.0000000000000000,1913.3982189918749555,671.9308862128879127,127.6965357887485482,423.2511972086368814,442.7950005382248264,2796.3856740775463550,1611.5748023182050019,308.6963682095788499,1424.7832095149087763,1064.4089145295879462,0.9988103128406759,0.7611731126609147,16.4781987962125633,15.7189183694450545,6.0755508972920307,5.4008715831246326,11.7432754353458435,9.5519617413246021,4.1117913357294711,4.9642930152192264,4.7349233608667198,6.1669566281204542,1.2890802473951612,1.1112578820728043,1.0119957651658598,-2.9438941827905296,109.7892171530140217,111.5075350285121516,33.8379986641420913,41.1592432970537487,77.6554247987044022,77.7294805953866330,34.3570470984630205,28.6954745424382658,32.1337923543096196,33.7780544331255186,6.8021961985907247,5.1425241217038229
6,2283.4507391529600682,2284.6652281097121886,0.0926831337354497,1848.0303783390122589,22.5056474902978572,0.0000000000000000,92508.4534333835326834,0.0000000000000000,0.0000000000000000,1913.3369655115723162,671.9093757374965890,127.8043101483697512,423.2045110882807535,442.9003969235288878,2796.3724593589217875,1611.5671865920364780,308.5729314277077151,1424.8258672507315623,1064.3035181442835437,0.9989232515900789,0.7613043584724331,16.4801506614776123,15.7214193873553363,6.0750642569692257,5.4024825699249108,11.7419578662299688,9.5596192646238034,4.1144173994186675,4.9630133493685911,4.7381927952476435,6.1618001227315338,1.2880651705062436,1.1120509076006349,1.0118550631175318,-2.9517720830136653,109.7726989569732439,111.4997703079329057,33.8351721136875838,41.1483720328184575,77.6666819514947520,77.6889955143851694,34.3392515048770761,28.6969439886908333,32.1060170054784848,33.8107747935477292,6.8091205279413840,5.1382281249967523
7,2283.4217130026718223,2284.4134517692600639,0.0926807390563011,1848.0249231184545806,22.5056125264108751,0.0000000000000000,92498.6395794678683160,0.0000000000000000,0.0000000000000000,1913.2816621323779600,671.8899547679233137,127.8948579331337072,423.1648782425722288,442.9888599975194552,2796.3555399600409146,1611.5574358351364026,308.4698370472249849,1424.8600448758822949,1064.2150550702929195,0.9990248759113043,0.7614495798467917,16.4818293254696684,15.7235120087505571,6.0746588634664374,5.4038853042085959,11.7407268731672865,9.5663314551039207,4.1167308882924010,4.9618987894932349,4.7411024523023810,6.1571805536466364,1.2871544159161952,1.1127600739732024,1.0117294428083592,-2.9612599134123911,109.7573134632844329,111.4950160596561517,33.8323566581561224,41.1396734088007037,77.6758281674266016,77.6552081769937104,34.3244123184813787,28.6979637514986123,32.0814852958578314,33.8398078826624413,6.8152610903193214,5.1343929066575118
8,2283.3930021406367814,2284.1841265212451617,0.0926790287703976,1848.0184511844427107,22.5055781898403495,0.0000000000000000,92489.6648623454384506,0.0000000000000000,0.0000000000000000,1913.2314610697571879,671.8723255864174462,127.9709345554498299,423.1312157317760239,443.0630450009620063,2796.3360763204809700,1611.5462188161941413,308.3838217995179889,1424.8872354526668005,1064.1408700668505389,0.9991163072547257,0.7616093327147730,16.4832699701559804,15.7252497812035763,6.0743222254878892,5.4051036854216168,11.7395777320459267,9.5722085091539562,4.1187664472945924,4.9609277330195161,4.7436922381100528,6.1530412720496184,1.2863372381270244,1.1133944924683732,1.0116172633927956,-2.9719391304718386,109.7429855346646974,111.4927075059194692,33.8295713838392231,41.1327982839712547,77.6831688355095480,77.6271378069638018,34.3120911140117215,28.6986025920392365,32.0598166991551423,33.8655696989556674,6.8207071699595296,5.1309687917999884
9,2283.3648918892249640,2283.9753883811799824,0.0926778772088049,1848.0112859165856207,22.5055447423921500,0.0000000000000000,92481.4672518395527732,0.0000000000000000,0.0000000000000000,1913.1856755065898597,671.8562470023937294,128.0348572702746992,423.1026059809768185,443.1252001681332331,2796.3149798466906759,1611.5340607845273553,308.3121327607344142,1424.9086799356086885,1064.0787148996789711,0.9991985559921993,0.7617832513572971,16.4845037041088354,15.7266803015548735,6.0740437192138028,5.4061591972410437,11.7385061641502020,9.5773485074569287,4.1205551817322412,4.9600814877713892,4.7459975399586343,6.1493317940979448,1.2856040155088024,1.1139622314424136,1.0115170651563548,-2.9834539211455109,109.7296484632216789,111.4923636877862094,33.8268337803577666,41.1274468751756217,77.6889735905403995,77.6039336357169134,34.3019089150037999,28.6989223513745735,32.0406748726812793,33.8884300520692889,6.8255379601718236,5.1279114289831957
