period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9974174621286807,99.8777638129079577,0.1010721689686806,80.4346105915079335,1.0640665248931607,0.0000000000000000,4025.2208444709690411,0.0000000000000000,0.0000000000000000,37.3839608551412539,15.8192934579779330,3.1087792992383356,14.3394635986511378,10.4749274896439086,151.8784532183645410,84.1805118219485422,16.0093463968299261,66.0951469928567974,55.5250725103560754,1.0150012094615197,1.0823978037331550,14.9717678806939425,13.7634120641293602,4.4848385947686573,6.5402265677155791,9.4694982808451016,11.7423905042733985,5.9721850544198682,3.8973530740886249,5.5022695998488400,2.0210215598559609,0.5680415132957106,0.5874855206800327,1.0019767964716488,-0.7605975121006754,15.6979326247570352,16.4627836741713374,5.3886612771017512,6.0798179334633797,9.4946107217612976,11.7514018237103119,4.9741963604345312,4.0924667569424837,6.2033219029957394,4.7113818504610263,1.1056215730288483,1.2961945201592673
1,99.9966821000757164,99.8715497826387235,0.1010289676351537,80.4275470186943693,1.0640484355887183,0.0000000000000000,4024.5757679683638344,0.0000000000000000,0.0000000000000000,37.4475290258836111,15.8461927892568433,3.1047253827523287,14.3368575185755436,10.4909155445097610,151.8285551306893808,84.1528551894873686,16.0058423841250104,66.0906895001188275,55.5090844554902105,1.0145575081591458,1.0908031706157164,14.9744952650436201,13.7538425533856117,4.4885338499243144,6.5336221553724654,9.4888905177895335,11.7266716592642908,5.9638428752882087,3.9027449827285428,5.4856047472540865,2.0271708941213213,0.5697792800842569,0.5857888671957718,1.0017848515126890,-0.7607251620252367,15.7035222991027474,16.4667941780452196,5.3917710007468305,6.0786454491831474,9.5091720452153687,11.7495392634222338,4.9716262112584664,4.0973246166311812,6.1943502538873787,4.7172549146229850,1.1070192379246810,1.2944463841156491
2,99.9951860038289340,99.8654332806499099,0.1009925050379380,80.4209963660223934,1.0640318539553433,0.0000000000000000,4023.9769538249638572,0.0000000000000000,0.0000000000000000,37.5032314259198714,15.8697636627633116,3.1008101633707481,14.3346984735128444,10.5046547731034785,151.7833054437467979,84.1277749906448520,16.0032614222851777,66.0862978925095490,55.4953452268965037,1.0141603277922486,1.0977502514162278,14.9766942876695470,13.7458195859495689,4.4917279810699693,6.5280261359839100,9.5058574119327766,11.7131709477824657,5.9566970465617697,3.9074514801001223,5.4708368757367714,2.0326486381671041,0.5713290894221403,0.5842765009698467,1.0016121466866348,-0.7608368291508345,15.7083292958224359,16.4702837894759035,5.3945095394535860,6.0776586179098793,9.5220044992853072,11.7478076399021347,4.9693930814402343,4.1016307549339937,6.1863247965371286,4.7224761495737670,1.1082655364696452,1.2928787845195924
3,99.9930884107237290,99.8594498288323109,0.1009619516285049,80.4149401719155605,1.0640166743386632,0.0000000000000000,4023.4229115275866207,0.0000000000000000,0.0000000000000000,37.5519666665391370,15.8903863323645531,3.0970744925337730,14.3329140260592069,10.5164475307344141,151.7423002234941691,84.1050473399801746,16.0014404138423174,66.0820261458563465,55.4835524692655895,1.0138047310150600,1.1034195198105188,14.9784214775166848,13.7391294165955919,4.4944773885274341,6.5233009025105844,9.5206753887952686,11.7016024024912024,5.9505897076248955,3.9115494509903463,5.4577460887214153,2.0375270141043904,0.5727111948856889,0.5829279375370876,1.0014567466397999,-0.7609437770282881,15.7124440643512706,16.4733122446720692,5.3969159380811158,6.0768292703035778,9.5333011650027064,11.7461930380901869,4.9674516085348612,4.1054431150232000,6.1791428993485651,4.7271192065818823,1.1093776617687168,1.2914728230579158
4,99.9905257058372285,99.8536290125847756,0.1009365499632949,80.4093557181835479,1.0640027938594956,0.0000000000000000,4022.9117087086865467,0.0000000000000000,0.0000000000000000,37.5945431326586714,15.9084028719858743,3.0935451317482592,14.3314426805319997,10.5265579840555112,151.7051646248251870,84.0844644749553822,16.0002397808366972,66.0779130376515411,55.4734420159444568,1.0134863163185706,1.1079784134828721,14.9797325918086202,13.7335829619519867,4.4968340285760506,6.5193253047228570,9.5335942099767372,11.6917121196887628,5.9453815799033656,3.9151089828924741,5.4461383818318829,2.0418708422632235,0.5739437248194911,0.5817250456835769,1.0013169176435217,-0.7610540522261928,15.7159489319478620,16.4759341151658099,5.3990258229279267,6.0761334747435791,9.5432352306441874,11.7446849985247468,4.9657627826118524,4.1088141679601993,6.1727137013036746,4.7312491166410622,1.1103706921317269,1.2902116549677269
5,99.9876139109847912,99.8479947768382203,0.1009156157442537,80.4042176796363748,1.0639901136022065,0.0000000000000000,4022.4411359114878906,0.0000000000000000,0.0000000000000000,37.6316852848415024,15.9241198423550063,3.0902378849639907,14.3302324010490132,10.5352163288536662,151.6715522149175399,84.0658343808924258,15.9995408639454180,66.0739852785873580,55.4647836711463000,1.0132011575728366,1.1115798422162300,14.9806809924839293,13.7290140431957042,4.4988452881030998,6.5159931947585896,9.5448384008449985,11.6832758460926058,5.9409503088632070,3.9181935226456779,5.4358425916389299,2.0457381971030979,0.5750428858953830,0.5806517654574215,1.0011911042006971,-0.7611731126609147,15.7189183694450545,16.4781987962125633,5.4008715831246326,6.0755508972920307,9.5519617413246021,11.7432754353458435,4.9642930152192264,4.1117913357294711,6.1669566281204542,4.7349233608667198,1.1112578820728043,1.2890802473951612
6,99.9844510402209465,99.8425658454463587,0.1008985360793547,80.3994993459171212,1.0639785393863348,0.0000000000000000,4022.0088284704197577,0.0000000000000000,0.0000000000000000,37.6640402796377671,15.9378110924474381,3.0871601342797614,14.3292392866440608,10.5426227144361224,151.6411438936661682,84.0489801926099886,15.9992434081234158,66.0702600592730676,55.4573772855638794,1.0129457508440898,1.1143617050496424,14.9813166283087167,13.7252774201560115,4.5005540351981725,6.5132119517958307,9.5546089395504534,11.6760963873370880,5.9371887990798236,3.9208601736265609,5.4267076887582633,2.0491810328189226,0.5760231527160071,0.5796938615716116,1.0010779090467734,-0.7613043584724331,15.7214193873553363,16.4801506614776123,5.4024825699249108,6.0750642569692257,9.5596192646238034,11.7419578662299688,4.9630133493685911,4.1144173994186675,6.1618001227315338,4.7381927952476435,1.1120509076006349,1.2880651705062436
7,99.9811192889197997,99.8373562096682008,0.1008847659703125,80.3951735176501074,1.0639679822280346,0.0000000000000000,4021.6123558746985509,0.0000000000000000,0.0000000000000000,37.6921846207787397,15.9497205739872818,3.0843128820787009,14.3284263998462915,10.5489508391693541,151.6136465545714884,84.0337394522042160,15.9992632057270416,66.0667471178038141,55.4510491608306140,1.0127169675184173,1.1164470908929403,14.9816854583928336,13.7222467605249250,4.5019987877889260,6.5109010456178131,9.5630850757259331,11.6700009886921450,5.9340036027610044,3.9231600802284361,5.4186003826669005,2.0522457718327800,0.5768974428568086,0.5788387075604899,1.0009760758838024,-0.7614495798467917,15.7235120087505571,16.4818293254696684,5.4038853042085959,6.0746588634664374,9.5663314551039207,11.7407268731672865,4.9618987894932349,4.1167308882924010,6.1571805536466364,4.7411024523023810,1.1127600739732024,1.2871544159161952
8,99.9776870399479947,99.8323756464115490,0.1008738237507282,80.3912131551148406,1.0639583585723980,0.0000000000000000,4021.2492865187932694,0.0000000000000000,0.0000000000000000,37.7166306444105857,15.9600650857208386,3.0816923868627697,14.3277627402079393,10.5543512056734912,151.5887915928068423,84.0199632821265823,15.9995299357322978,66.0634504149068960,55.4456487943265088,1.0125120129131100,1.1179449227580864,14.9818291916303306,13.7198126403359115,4.5032139571978087,6.5089906765873984,9.5704261848791141,11.6648387880008499,5.9313133992942735,3.9251388605112063,5.4114030067512173,2.0549738523350620,0.5776772772931253,0.5780750966866023,1.0008844743488399,-0.7616093327147730,15.7252497812035763,16.4832699701559804,5.4051036854216168,6.0743222254878892,9.5722085091539562,11.7395777320459267,4.9609277330195161,4.1187664472945924,6.1530412720496184,4.7436922381100528,1.1133944924683732,1.2863372381270244
9,99.9742106818970626,99.8276302384860514,0.1008652859853071,80.3875918392683815,1.0639495903582288,0.0000000000000000,4020.9172338554394628,0.0000000000000000,0.0000000000000000,37.7378327094824826,15.9690368929241231,3.0792914660472515,14.3272223514611063,10.5589540403565145,151.5663333386070803,84.0075155168702139,15.9999852154831306,66.0603694878072787,55.4410459596434890,1.0123283896781889,1.1189508717120678,14.9817852472096114,13.7178806370736019,4.5042301350495979,6.5074205136098620,9.5767735933819456,11.6604784038030083,5.9290475870522474,3.9268370589149288,5.4050116538276667,2.0574022332705932,0.5783729265576149,0.5773930761346693,1.0008020868354888,-0.7617832513572971,15.7266803015548735,16.4845037041088354,5.4061591972410437,6.0740437192138028,9.5773485074569287,11.7385061641502020,4.9600814877713892,4.1205551817322412,6.1493317940979448,4.7459975399586343,1.1139622314424136,1.2856040155088024
