period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9878980052689883,99.4732166642800308,0.1035939557175874,80.7882941318313073,1.0581990010271900,1.0605313585226432,4066.2280248882757405,0.0000000000000000,0.0000000000000000,37.5020006297729509,15.8692428424706051,3.2420013316787788,14.3818833203912799,10.5250811961554351,151.7670473302773644,84.1187637300999000,16.3505866114650580,66.4064108114400256,55.4633739391957121,1.0512298719184809,-0.6579619674439741,14.2886107707078551,14.2720484252588662,4.2445186120104061,6.7201378545058246,9.2067949047700743,12.0609334218342070,6.0913113908432237,3.7203581023190231,5.0818158659377808,2.2111150034246592,0.6288264636626005,0.5241605096913831,1.0120171143430714,-0.5559412350962365,15.8569016696786029,16.2668186278613902,5.5298719994788836,6.0239564845494336,9.7566581172090245,11.4808259273785396,4.8874566184671835,4.2576319290564255,6.1002435524695766,4.7859927004828524,1.1364998660822505,1.2722400704224581
1,100.0405999511064863,99.5707539723084523,0.1031476703747357,80.7363686979189765,1.0579724200678664,1.0603505097254398,4061.4818854700884003,0.0000000000000000,0.0000000000000000,37.6318718350457075,15.9241987824233533,3.2250375839349994,14.3685224165477852,10.5550004712722156,151.7633186350055610,84.1166970546119757,16.2944188787546835,66.3678462813711860,55.4366992309094400,1.0451904172309132,-0.4044694678042777,14.3688010911330331,14.1980952011472681,4.2658193359759151,6.6864428816852746,9.2549853331441270,11.9939636084002927,6.0589321803519116,3.7406099026814053,5.1138157579889061,2.2041315927469740,0.6275107013333631,0.5252094332945095,1.0116385873846718,-0.5334523451679978,15.8744936289678034,16.2609115775067146,5.5292821635589249,6.0223866308471052,9.7621975550847182,11.4822171585345743,4.8870605885690646,4.2559338222810839,6.1122960738830843,4.7786944189721385,1.1353260422780409,1.2733483412778412
2,100.0814692658268683,99.6464570385424082,0.1027668117806554,80.6883414768654319,1.0577548693310996,1.0601796311750553,4057.0927850673970170,0.0000000000000000,0.0000000000000000,37.7399848639307933,15.9699475926468359,3.2093676954690418,14.3572537775613522,10.5789853401746008,151.7549194691706020,84.1120417130287450,16.2469027841949014,66.3310876993040779,55.4148892619810240,1.0404270029368814,-0.1983541357343004,14.4394095032031586,14.1359370738947057,4.2851097805648086,6.6583197463561401,9.2971478816206261,11.9382061955639163,6.0320492717902594,3.7588916107979800,5.1422616215825325,2.1977308783307885,0.6262704745658808,0.5262181697668286,1.0111406901241642,-0.5120036377587489,15.8898250685775171,16.2570388120052272,5.5284225188359448,6.0211488651564888,9.7668440374856349,11.4848085120652499,4.8869236290654259,4.2540598986530931,6.1229810310918831,4.7722302999399773,1.1342252360910632,1.2743626201828515
3,100.1126262390698543,99.7055988410323408,0.1024407056648814,80.6438458580031607,1.0575455198300219,1.0600179102082692,4053.0259500694974122,0.0000000000000000,0.0000000000000000,37.8300752111181424,16.0080699747403266,3.1949599274090512,14.3476413077541221,10.5982943844250279,151.7427726636454679,84.1053091957793271,16.2064886095915845,66.2962045502490440,55.3970809555353512,1.0365875311423651,-0.0277683183517503,14.5018683637026022,14.0831581370287147,4.3026458661620017,6.6346106773020690,9.3343110799495008,11.8913196555758880,6.0095137515000605,3.7754561273869189,5.1675572837531023,2.1918384814528267,0.6250969258020089,0.5271897387750825,1.0105689376563036,-0.4924346202531868,15.9029485114336016,16.2550285067412403,5.5272934201385668,6.0202503239960583,9.7705680477611239,11.4884945824281939,4.8870561560732115,4.2520049426998545,6.1323804636724777,4.7665339243130473,1.1331941679228466,1.2752884774387125
4,100.1269999520494167,99.6893410275759493,0.1025271280013913,80.5064625515864662,1.0573436199147748,1.0598646120123403,4049.2537304447305360,1.0598835496116836,0.0000000000000000,37.9167867045578717,16.0447625704290999,3.2108931682354789,14.3172099966507371,10.6188341577217873,151.7032167908549809,84.0833848638776971,16.2089529005355253,66.1892525549357345,55.3690665704981200,1.0358930229452616,0.0991109824310232,14.5282560620458483,13.9926122622347346,4.3087303581674261,6.5907040924720368,9.3429153496615100,11.8077220369676592,5.9669074026341669,3.7807306658336715,5.1853407123843391,2.1848902252670745,0.6237966898378701,0.5279996923337548,1.0127245598629862,-0.5150811302605138,15.9204038878539276,16.2563492154781244,5.5274892541158254,6.0211066892040170,9.7767824939599386,11.4968410370784131,4.8891755055477724,4.2510477222519141,6.1436213938939890,4.7595081783997095,1.1319311836562447,1.2764415318639113
5,100.0848426350983686,99.5077707402690521,0.1033225403903706,80.1517111394742585,1.0571734972009934,1.0525691338003706,4045.7536220304477865,1.0597834065743621,1.0526048245691801,38.0116633364959924,16.0849103035371428,3.2904919238146579,14.2344646689627581,10.6421108623716947,151.5567490122104743,84.0022032853822083,16.2658794421340964,65.9172464705115004,55.2820711773029032,1.0399999527380959,0.1981658808826836,14.4496765624241377,13.7614480275721363,4.2800550428122737,6.4718079452445094,9.2656662277552737,11.5876740316864861,5.8498130385475653,3.7516899706689730,5.1840103346688649,2.1737739958856497,0.6219949066969442,0.5283650721433011,1.0197551601571564,-0.6109053462662501,15.9531089241498716,16.2668050684986483,5.5315921755874973,6.0273548987220193,9.7908387869489975,11.5193671296091065,4.8974809902455432,4.2531833585591272,6.1622701372008732,4.7474379388895418,1.1298739084764760,1.2784088170283703
6,100.1210331384259007,99.5322817226278431,0.1030252316858715,80.0957833486427262,1.0570928709183507,1.0523975439857010,4042.5067443110924614,1.0596740096552575,1.0524355074536391,38.1148160988062799,16.1285601410787152,3.2803399182461916,14.2081389306467543,10.6614699750693660,151.5460699541146425,83.9962842853052791,16.2200985620575082,65.8876444179959719,55.2645028117687005,1.0372673497725993,0.3688100428979020,14.3599738216063439,13.5373823810827680,4.2485591942799541,6.3561572647828157,9.1811786242972637,11.3743062348709216,5.7359071617770230,3.7198843363051348,5.1787951973090820,2.1630761462118460,0.6202501030057925,0.5286748579748195,1.0185563777693829,-0.5872763975025777,15.9808493749552039,16.2826669768015257,5.5346289496665806,6.0351685307272191,9.8019796355020539,11.5460513366252950,4.9072399869745578,4.2543851886198958,6.1788697394531509,4.7366156401762307,1.1279285437526609,1.2802437610466846
7,100.1471679827057102,99.5435611369604203,0.1027992689040346,80.0426029526471581,1.0570254013032170,1.0522372031376703,4039.4967360566356547,1.0595730952041076,1.0522776250378842,38.1992239046894255,16.1642779147138747,3.2735155515477659,14.1831332980010529,10.6754233090470549,151.5320963168287847,83.9885392239498998,16.1823005442721488,65.8594696546461051,55.2506537104994209,1.0348293570923601,0.5187143601850970,14.2595132331375947,13.3177003870002153,4.2142633190874328,6.2422224863393856,9.0896610037393764,11.1649581990344764,5.6236656420655509,3.6853326549645136,5.1698522293982174,2.1527421879657398,0.6185568442738348,0.5289306641229193,1.0173874599924322,-0.5740168310376568,16.0038730104037157,16.3033398217661407,5.5366544400580011,6.0443516745302519,9.8103394910640116,11.5763957995912321,4.9182624147261205,4.2547020108791633,6.1935335193397059,4.7269440221749095,1.1260892598041317,1.2819524291788380
8,100.2326225668507220,99.7621449873240067,0.1008777131956609,80.1602306280461221,1.0569706491624291,1.0569706491624291,4036.7089848287500899,1.0594801403136449,1.0521307165985865,38.4239027509314894,16.2593523937471538,3.1579202838954457,14.1980658504832373,10.7508172598433518,151.5166650519439884,83.9799862544632134,15.9557993886356329,65.9621647775628901,55.2403606241966969,1.0275811470737215,0.6806935501961231,14.2524792578161108,13.2480043577073783,4.2108949853688600,6.2061010061034763,9.0798857131830761,11.1020468288222283,5.5888125041395114,3.6814403642016034,5.1725935446330338,2.1459575288851513,0.6172885019639646,0.5294546211672568,1.0101192239247954,-0.4519901362304175,16.0144568294032403,16.3161897922482524,5.5360555647205283,6.0491174256162044,9.8130825986554910,11.5943756013361785,4.9242163890994588,4.2530736393386732,6.2013742307477511,4.7218141909120721,1.1249010365167456,1.2829819253818553
9,100.2173810451251512,99.7537569379118452,0.1007460217868511,80.1237532609523555,1.0568838985821056,1.0568838985821056,4034.1301063048244941,1.0594037413351147,1.0520308178756286,38.4436476380398702,16.2677075855544757,3.1456613092687049,14.1902314022797906,10.7528378238289832,151.4750583794214265,83.9569252414364229,15.9390340013521890,65.9335218586725631,55.2396714330195664,1.0259129120365760,0.7526852474256795,14.2438489864331395,13.1847828039179049,4.2073711759794570,6.1736375452550938,9.0695656663152135,11.0452470170745869,5.5575718254968747,3.6774148003455864,5.1742833201179259,2.1395357868433180,0.6160657197582194,0.5299563756338707,1.0093447817967796,-0.4484943635598562,16.0231565109318623,16.3297463683280810,5.5352115757363096,6.0540758156581518,9.8149900764339755,11.6124807962842631,4.9302977027047996,4.2512760413126944,6.2081664344978851,4.7172655720438197,1.1237781129533522,1.2839355344236152
