period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,582.2562232405909981,592.2270389431245121,0.0962458048810631,469.9360590123195607,5.7293170119559509,5.7366142830493789,23826.9155238037164963,0.0000000000000000,0.0000000000000000,366.9054166091572142,115.5511189997266115,21.0937595973651213,107.6738816644753030,75.3531728317326639,793.9454258719376867,466.7343784733152461,90.6999168009503762,362.2621773478442719,308.9686549237455324,0.9852205009002126,-1.0823978037331550,13.7634120641293602,14.9717678806939425,6.5402265677155791,4.4848385947686573,11.7423905042733985,9.4694982808451016,3.8973530740886249,5.9721850544198682,2.0210215598559609,5.5022695998488400,0.5874855206800327,0.5680415132957106,0.9871680813101882,2.9481562674370565,111.6184770316348249,109.8925613626773554,41.2627080668463861,33.8516922931109079,78.0778183747219714,77.5541107616540444,28.6785846410609366,34.5108806177627301,33.5406586569128677,32.3384506010233110,5.1731076520499721,6.7518274490836561
1,582.3060344978331386,592.0355025315088824,0.0962598084921956,469.9966626942646712,5.7292466498758650,5.7366898730568776,23822.3416978000059316,0.0000000000000000,0.0000000000000000,366.5747291892383828,115.4469741719835554,21.2296578777962495,107.6342401378006599,75.4088575090914475,794.2066972896875541,466.8879713385205719,90.5767604347901027,362.3624225564640255,308.9129702463867488,0.9856513721084579,-1.0908031706157164,13.7538425533856117,14.9744952650436201,6.5336221553724654,4.4885338499243144,11.7266716592642908,9.4888905177895335,3.9027449827285428,5.9638428752882087,2.0271708941213213,5.4856047472540865,0.5857888671957718,0.5697792800842569,0.9874106134509497,2.9392781319218813,111.5835209845967455,109.8686390701336961,41.2335386018102170,33.8490482121590048,77.9834616407687236,77.5818377924639861,28.6835171449048438,34.4690861538453390,33.6000593438280362,32.2868012776697100,5.1655310672541619,6.7644524479648762
2,582.3534763183931773,591.8654454050813456,0.0962704365810821,470.0497227619458158,5.7291599838981035,5.7367520389684445,23818.1208220285952848,0.0000000000000000,0.0000000000000000,366.2930837345764985,115.3582743437059293,21.3465341075723529,107.6004331341119808,75.4564369056261626,794.4377611725225279,467.0238061884086278,90.4700275408345789,362.4492896278338208,308.8653908498521332,0.9860373873792967,-1.0977502514162278,13.7458195859495689,14.9766942876695470,6.5280261359839100,4.4917279810699693,11.7131709477824657,9.5058574119327766,3.9074514801001223,5.9566970465617697,2.0326486381671041,5.4708368757367714,0.5842765009698467,0.5713290894221403,0.9876270242862583,2.9351403355917967,111.5560200506280921,109.8465241416053715,41.2092639091114492,33.8463538184922683,77.9032160361729780,77.6053596025873844,28.6875873581714202,34.4336133693587101,33.6528040144551071,32.2411645390179800,5.1587664603208490,6.7756505397527400
3,582.3986101185707867,591.7146035645866959,0.0962781298649718,470.0962182877662485,5.7290585594915093,5.7368023865332933,23814.2357001251257316,0.0000000000000000,0.0000000000000000,366.0539430152017530,115.2829607166204227,21.4469326425204478,107.5716251387220410,75.4971522930886039,794.6422010751792868,467.1439896768352469,90.3774752906953580,362.5245931490442217,308.8246754623894503,0.9863832446301191,-1.1034195198105188,13.7391294165955919,14.9784214775166848,6.5233009025105844,4.4944773885274341,11.7016024024912024,9.5206753887952686,3.9115494509903463,5.9505897076248955,2.0375270141043904,5.4577460887214153,0.5829279375370876,0.5727111948856889,0.9878201551072889,2.9349846731654168,111.5348377684266978,109.8260152492400437,41.1891865579866305,33.8436068620118462,77.8352126891569469,77.6251654866227625,28.6908794112039622,34.4036051978425590,33.6996250792697438,32.2008497626172812,5.1527274508078813,6.7855813601440742
4,582.4418085391084787,592.0745457477786431,0.0962725968105552,470.0526176982042443,5.7289437065860493,5.7368423067829593,23810.6674252917146077,0.0000000000000000,0.0000000000000000,365.9099694050592007,115.2376184812504647,21.5204763953478988,107.5237930676089917,75.5503340450758856,794.7921023614188698,467.2321117081304465,90.2994907744587607,362.5288246305952384,308.7714937104023534,0.9858602366650743,-1.1819692638104655,13.7021870794558964,15.0302093892598201,6.4963403839859275,4.5055787221801920,11.6711041662828983,9.5562185487619864,3.9209679857275965,5.9263426874074341,2.0310829131729986,5.4739908404978337,0.5846107364525958,0.5699976965784935,0.9881718579688750,3.1028197329434732,111.6101679445755934,109.7211747321616144,41.2059814744264514,33.8155203277180760,77.8342747099881080,77.5897195114175275,28.6743294976370997,34.4037072757468820,33.7758932345874925,32.1314552207440940,5.1411908300809728,6.8022741986795703
5,582.4820160230320880,593.4702650587454400,0.0962401317743048,469.8297530187166444,5.7288371063647912,147.6071243619665267,23807.3962539840140380,0.0000000000000000,0.0000000000000000,365.9145914480419037,115.2390741213542640,21.5422158599311402,107.4312135034945186,75.6365763742385866,794.8571218614508780,467.2703345316988930,90.2469040559232525,362.3985395152221258,308.6852513812395955,0.9835885620217347,-1.4160045458748360,13.6000679859706484,15.1879566320304278,6.4216246251876230,4.5347950227047331,11.5980605860148227,9.6382782446987321,3.9423532241207506,5.8625662621648047,2.0020073999558257,5.5496783873316966,0.5924417985839829,0.5590583630228180,0.9888828104210806,3.6204651172649562,111.8814742003891496,109.4383453139137856,41.2956902429786226,33.7346177856013938,77.9601919370258258,77.4430800828667429,28.6172667652931416,34.4609702443472301,33.9212822633633238,31.9952652310470391,5.1173510203082522,6.8347199986313960
6,582.5156074820411050,593.3154093942864620,0.0962447014033914,469.8628636928091851,5.7287826033951292,292.3304460210020466,23804.4022378964909876,0.0000000000000000,0.0000000000000000,365.7427366055618450,115.1849511281926652,21.5914639854191925,107.4128959192482711,75.6603288032603984,795.0059942299047862,467.3578516961008518,90.2022948923498689,362.4499677735608998,308.6614989522177552,0.9839129186801325,-1.4201315435455140,13.5934135372134310,15.1868375124657469,6.4172305077834384,4.5366165405404777,11.5875525525932890,9.6492817628069218,3.9454431746697827,5.8570767792473593,2.0058609846201430,5.5375557496588250,0.5911733658706950,0.5601537285360794,0.9890258490253416,3.6219530153992707,111.8698118624753022,109.4252638711916603,41.2829406706924686,33.7335187019647904,77.9127764091715989,77.4595973145554808,28.6206927781036882,34.4407240407087940,33.9570354533037033,31.9656665566361831,5.1128259238610996,6.8422166299836755
7,582.5475154620928606,593.1847001263101902,0.0962481017671358,469.8925227363050681,5.7287189010130009,inf,23801.6656740304133564,0.0000000000000000,0.0000000000000000,365.5915702656519102,115.1373436551465801,21.6293825173465279,107.3969513312971600,75.6807833298194197,795.1409625211898629,467.4371951112698866,90.1681057246343300,362.4955714050079223,308.6410444256588335,0.9841926147126825,-1.4236322411567119,13.5871382421054072,15.1851763805545570,6.4131551733330694,4.5379637178381751,11.5780388634246272,9.6579902896636582,3.9478779420092946,5.8520813701137326,2.0090993786807791,5.5271860908908996,0.5900857758288803,0.5610738032193366,0.9891585720482406,3.6250283803263557,111.8611555262866659,109.4134413215657133,41.2721917105025256,33.7325763286474327,77.8709629599795363,77.4751604209483986,28.6239723544511371,34.4230386506489552,33.9901925663071296,31.9382809006173112,5.1086039741962983,6.8491530598535668
8,582.5253757369406458,593.5014081724891639,0.0960641770197989,469.6208154395484371,5.7286466654692978,5.7286466654692978,23799.1674182713031769,0.0000000000000000,0.0000000000000000,364.5444410353800890,114.8075666913354240,21.5546432062668067,107.1620144326946331,75.4122075131724614,795.7509695391124751,467.7957981551274429,89.8984780991574723,362.4588010068538324,308.9096202423057775,0.9829166473591513,-1.8824073446491223,8.5720724188721604,10.6297785974630994,4.1199231573049291,3.0599798062423811,6.8547849016169051,5.9249994092733225,2.5339068017110273,3.6113702595604504,1.7172875172552564,4.7047791881897769,0.5260730045313536,0.5085528977444784,0.9896559225829907,3.9765059062807211,112.4833982212975201,109.5821722754383671,41.4601869763318049,33.8238902019089593,78.2969099696418454,77.7747236938090367,28.7474096011108635,34.5698415826814411,34.1864882516556747,31.8074485816293304,5.0764806007980976,6.8903453936503665
9,582.5167372085253419,593.2025259539955186,0.0960792037463422,469.6291654282050558,5.7286390564341563,5.7286390564341563,23796.8890969194726495,0.0000000000000000,0.0000000000000000,364.3730998919169792,114.7536054796399725,21.6031696306829026,107.1462559466371829,75.4225307739723974,795.8286947251827996,467.8414902332352767,89.8596177631672219,362.4829094815678445,308.8992969815058700,0.9834069867380374,-1.8648909296379195,8.5737305747825250,10.6122174707273107,4.1215164183226012,3.0576079621003265,6.8519725052557616,5.9224143053574867,2.5331762180780046,3.6113990733417518,1.7217580695267638,4.6898031653698249,0.5244317440223216,0.5101173449808498,0.9897307067106680,3.9337478249725137,112.4477087726915556,109.5923978294841703,41.4402653343945673,33.8294448747214034,78.2397399229456596,77.8037896444681678,28.7556662841668924,34.5456494922396544,34.2079688497458960,31.7886081850159954,5.0737785905545127,6.8946158421549129
