period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.4413373439047064,2307.9297869579586404,0.0940170319199719,1851.3607006380259463,22.5052115266417445,22.5031138222296576,93872.3624334177584387,0.0000000000000000,0.0000000000000000,1909.3274643987745094,670.5013532938396565,128.5140749895029160,424.7670538144298575,440.3047208729306021,2798.7591709570833700,1612.9426636257137488,314.0001365724517086,1426.5936468235961456,1066.7240528459979032,0.9881255818970295,0.5559412350962365,16.2668186278613902,15.8569016696786029,6.0239564845494336,5.5298719994788836,11.4808259273785396,9.7566581172090245,4.2576319290564255,4.8874566184671835,4.7859927004828524,6.1002435524695766,1.2722400704224581,1.1364998660822505,1.0387471288969887,-15.5296283339231280,106.0738462959092345,116.9185628915549984,32.1456318958834544,43.5114665599676655,75.4994131212712603,81.4492147640552275,36.3093955594289994,27.4263025605001900,30.5744331746379778,35.4693481274997708,7.2020710005386643,4.7193293353832644
1,2284.1413026597747375,2308.2089020565499595,0.0935942329323111,1850.5145266131835342,22.5043587114705339,22.5022192191088024,93754.6101678761478979,0.0000000000000000,0.0000000000000000,1911.8563246623068608,671.3894168977030859,128.3625940648138908,424.3139324238721315,441.2920236538385552,2798.4438935436896827,1612.7609672524720281,312.3689259367897648,1426.2005941893114596,1065.8202226850969510,0.9884953109442371,0.5334523451679978,16.2609115775067146,15.8744936289678034,6.0223866308471052,5.5292821635589249,11.4822171585345743,9.7621975550847182,4.2559338222810839,4.8870605885690646,4.7786944189721385,6.1122960738830843,1.2733483412778412,1.1353260422780409,1.0331658264766086,-11.3090967845724890,107.4966882419456198,114.9897126543397263,32.5456723292924579,42.8059493389711108,76.5542355281286575,79.9824812631106568,35.6527614501896792,27.7946506877464401,30.9424527138169623,35.0072313912290767,7.1531878887814289,4.7510216415460160
2,2284.5697866048562901,2307.8109765183671698,0.0932901115716303,1849.8676082236802358,22.5036940856247867,22.5015119364563922,93645.4134593894414138,0.0000000000000000,0.0000000000000000,1913.5240185614227357,671.9750634340290389,128.2616878268198093,423.9754944495546169,441.9887947089992508,2798.1830046397931255,1612.6106153222567627,311.1698472309873864,1425.8921137741256189,1065.1661764028974630,0.9889820573605873,0.5120036377587489,16.2570388120052272,15.8898250685775171,6.0211488651564888,5.5284225188359448,11.4848085120652499,9.7668440374856349,4.2540598986530931,4.8869236290654259,4.7722302999399773,6.1229810310918831,1.2743626201828515,1.1342252360910632,1.0289636378980267,-8.3033920597792132,108.5197746356938637,113.6199921301049613,32.8581689115492708,42.2948933805381557,77.2885508341216791,78.9600527432918255,35.1832503353100279,28.0782308455730103,31.2312238015721917,34.6599393868131500,7.1116430452281243,4.7799380659762587
3,2284.8150901561757564,2306.9719821230801244,0.0930717864543388,1849.3696365494238307,22.5031732465268810,22.5009475617154138,93544.0409235522965901,0.0000000000000000,0.0000000000000000,1914.5978678822427810,672.3521686903399086,128.1974740774777501,423.7205259368982979,442.4821154627871920,2797.9646362919597777,1612.4847682582217203,310.2863675454061081,1425.6491106125256465,1064.6952694857759525,0.9895415965576629,0.4924346202531868,16.2550285067412403,15.9029485114336016,6.0202503239960583,5.5272934201385668,11.4884945824281939,9.7705680477611239,4.2520049426998545,4.8870561560732115,4.7665339243130473,6.1323804636724777,1.2752884774387125,1.1331941679228466,1.0257464805383820,-6.1593234469769698,109.2437353941446787,112.6398597335111020,33.1017821967588333,41.9198865248094918,77.7879465610794512,78.2415628084740149,34.8437727583633503,28.2954114740810709,31.4557888330652204,34.3982969250370871,7.0761137664461433,4.8063707226777650
4,2284.9362004217687172,2312.2300109749558032,0.0929149202040833,1849.0320150478464711,22.5027629980960135,22.5004928868484946,93449.8966255747363903,0.0000000000000000,0.0000000000000000,1915.2365694370751044,672.5764624612362468,128.1574334212994302,423.5398550626691190,442.8231282301318856,2797.7935551330074304,1612.3861731010963467,309.6320919470893500,1425.4921599851772953,1064.3667737147657135,0.9874353201578250,0.5150811302605138,16.2563492154781244,15.9204038878539276,6.0211066892040170,5.5274892541158254,11.4968410370784131,9.7767824939599386,4.2510477222519141,4.8891755055477724,4.7595081783997095,6.1436213938939890,1.2764415318639113,1.1319311836562447,1.0228773587612114,-4.6436595432730741,109.7302257132500216,111.9589850223757566,33.2879808509042618,41.6492818108125746,78.1065234509071331,77.7514901408651156,34.6030444630375840,28.4578024455759540,31.6237022623428743,34.2074948815106410,7.0462373477749889,4.8301784053283061
5,2284.9714987660800034,2328.5948319925983014,0.0927960046117978,1848.9209290075482386,22.5024266315961334,579.8678196193334315,93362.4823178778315196,0.0000000000000000,0.0000000000000000,1915.5325458922766302,672.6804009513360825,128.1289200578384566,423.4415977033691547,443.0414692632785432,2797.6795702340505159,1612.3204828807856757,309.1189206956983071,1425.4793313041791407,1064.1548421834067994,0.9806275457786242,0.6109053462662501,16.2668050684986483,15.9531089241498716,6.0273548987220193,5.5315921755874973,11.5193671296091065,9.7908387869489975,4.2531833585591272,4.8974809902455432,4.7474379388895418,6.1622701372008732,1.2784088170283703,1.1298739084764760,1.0198526012634439,-3.6066536983887403,110.0144766435861214,111.5343221276602037,33.4232581881804407,41.4672657076629960,78.2777706684114349,77.4520809200336942,34.4448865727253519,28.5724338654613348,31.7367059751746758,34.0822412076265238,7.0223791349376441,4.8508243227191032
6,2284.9443113465872557,2325.9139940524410122,0.0927319031298167,1848.7106746917329474,22.5021105549448706,1148.2997470194766265,93281.3682479696290102,0.0000000000000000,0.0000000000000000,1915.6903619177446672,672.7358214387174939,128.1470984582477399,423.3363462484897468,443.2076588611379293,2797.5398763526118273,1612.2399764107906321,308.8020656775983639,1425.3743284432432574,1063.9916197764771368,0.9817816881083981,0.5872763975025777,16.2826669768015257,15.9808493749552039,6.0351685307272191,5.5346289496665806,11.5460513366252950,9.8019796355020539,4.2543851886198958,4.9072399869745578,4.7366156401762307,6.1788697394531509,1.2802437610466846,1.1279285437526609,1.0183700896794667,-2.9372908803315738,110.2045180633494823,111.2318914332694533,33.5302390328017026,41.3297482879471545,78.3831359125472034,77.2418072562794293,34.3280275963083810,28.6604682800480965,31.8213821508022647,33.9900841769900239,7.0017206916387700,4.8697707527536043
7,2284.8861998231282087,2323.2529064672685308,0.0926854362737276,1848.5363627052904576,22.5018393066200346,inf,93206.1721025317237945,0.0000000000000000,0.0000000000000000,1915.7574238556385353,672.7593716787631593,128.1665519171200174,423.2515405861876729,443.3335340695267064,2797.4006961038539885,1612.1597659505675892,308.5585101713443805,1425.2848221191027278,1063.8674543116896984,0.9829096969677987,0.5740168310376568,16.3033398217661407,16.0038730104037157,6.0443516745302519,5.5366544400580011,11.5763957995912321,9.8103394910640116,4.2547020108791633,4.9182624147261205,4.7269440221749095,6.1935335193397059,1.2819524291788380,1.1260892598041317,1.0171438097930336,-2.4555611582689210,110.3306929580972451,111.0163393729272343,33.6155582066552725,41.2244686427656362,78.4464622384649317,77.0932288539408717,34.2407040859143166,28.7283749570000104,31.8842307196323169,33.9231105189863484,6.9837645568513205,4.8871832496552621
8,2284.8072336176883255,2316.9094956098324474,0.0926382553637641,1848.4932354197160294,22.5016050492095552,22.5016050492095552,93136.5445084698876599,0.0000000000000000,0.0000000000000000,1915.7524374173922297,672.7576205838595342,128.1739548718426818,423.2073555902614430,443.4259951065648693,2797.2679248761041890,1612.0832490498062270,308.3177921419006680,1425.2858798294546432,1063.7755915829191053,0.9855581652888948,0.5086181099652016,16.3399517418049740,16.0303423779532181,6.0601209953125448,5.5393729808522574,11.6249749254938628,9.8189813884322454,4.2552738699626103,4.9362985337884293,4.7149768163111130,6.2113609895209754,1.2840991108896471,1.1238224615241155,1.0163586517852252,-2.2213245463845652,110.3951578223168326,110.8941266686403253,33.6788482964522089,41.1521246303504569,78.4748432107435576,77.0076401687452403,34.1826439426488946,28.7765826896959211,31.9203146115732643,33.8864864998950850,6.9694806877015596,4.9022656067562851
9,2284.7084801044388769,2314.2986428373915260,0.0926205666155525,1848.3835069476181161,22.5013766063542420,22.5013766063542420,93072.1594364751508692,0.0000000000000000,0.0000000000000000,1915.7035270607250368,672.7404446614748394,128.2019985220912872,423.1555137339339012,443.4966538756303294,2797.1268493694374229,1612.0019463404280486,308.1904984870339490,1425.2279932136841580,1063.7055302570111053,0.9866480463856993,0.5169834277788929,16.3787219149553884,16.0543421812575779,6.0768156201470500,5.5417575842166960,11.6748400686497646,9.8266046283361526,4.2556053195460075,4.9551710052470463,4.7038818463056238,6.2277375529214227,1.2861522646706887,1.1216446149000037,1.0155182286210063,-2.0355645270535518,110.4214370344140548,110.8254285480405201,33.7285996958021030,41.1007358356662209,78.4781207898673046,76.9607213597678026,34.1435524762622222,28.8125081523805555,31.9433162445467573,33.8647071882727175,6.9571833594039969,4.9160915434215493
