period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9974174621286807,99.8777638129079577,0.1010721689686806,80.4346105915079335,1.0509832706780591,1.0618545469528997,4025.2208444709690411,0.0000000000000000,0.0000000000000000,37.3839608551412539,15.8192934579779330,3.1087792992383356,14.3394635986511378,10.4749274896439086,151.8784532183645410,84.1805118219485422,16.0093463968299261,66.0951469928567974,55.5250725103560754,1.0150012094615197,1.0823978037331550,14.9717678806939425,13.7634120641293602,4.4848385947686573,6.5402265677155791,9.4694982808451016,11.7423905042733985,5.9721850544198682,3.8973530740886249,5.5022695998488400,2.0210215598559609,0.5680415132957106,0.5874855206800327,1.0019767964716488,-0.7605975121006754,15.6979326247570352,16.4627836741713374,5.3886612771017512,6.0798179334633797,9.4946107217612976,11.7514018237103119,4.9741963604345312,4.0924667569424837,6.2033219029957394,4.7113818504610263,1.1056215730288483,1.2961945201592673
1,99.9966821000757164,99.8715497826387235,0.1010289676351537,80.4275470186943693,1.0507072479101847,1.0617923885170704,4024.5757679683638344,0.0000000000000000,0.0000000000000000,37.4475290258836111,15.8461927892568433,3.1047253827523287,14.3368575185755436,10.4909155445097610,151.8285551306893808,84.1528551894873686,16.0058423841250104,66.0906895001188275,55.5090844554902105,1.0145575081591458,1.0908031706157164,14.9744952650436201,13.7538425533856117,4.4885338499243144,6.5336221553724654,9.4888905177895335,11.7266716592642908,5.9638428752882087,3.9027449827285428,5.4856047472540865,2.0271708941213213,0.5697792800842569,0.5857888671957718,1.0017848515126890,-0.7607251620252367,15.7035222991027474,16.4667941780452196,5.3917710007468305,6.0786454491831474,9.5091720452153687,11.7495392634222338,4.9716262112584664,4.0973246166311812,6.1943502538873787,4.7172549146229850,1.1070192379246810,1.2944463841156491
2,99.9951860038289340,99.8654332806499099,0.1009925050379380,80.4209963660223934,1.0504276753522206,1.0617308551585924,4023.9769538249638572,0.0000000000000000,0.0000000000000000,37.5032314259198714,15.8697636627633116,3.1008101633707481,14.3346984735128444,10.5046547731034785,151.7833054437467979,84.1277749906448520,16.0032614222851777,66.0862978925095490,55.4953452268965037,1.0141603277922486,1.0977502514162278,14.9766942876695470,13.7458195859495689,4.4917279810699693,6.5280261359839100,9.5058574119327766,11.7131709477824657,5.9566970465617697,3.9074514801001223,5.4708368757367714,2.0326486381671041,0.5713290894221403,0.5842765009698467,1.0016121466866348,-0.7608368291508345,15.7083292958224359,16.4702837894759035,5.3945095394535860,6.0776586179098793,9.5220044992853072,11.7478076399021347,4.9693930814402343,4.1016307549339937,6.1863247965371286,4.7224761495737670,1.1082655364696452,1.2928787845195924
3,99.9930884107237290,99.8594498288323109,0.1009619516285049,80.4149401719155605,1.0501443527920296,1.0616698239599971,4023.4229115275866207,0.0000000000000000,0.0000000000000000,37.5519666665391370,15.8903863323645531,3.0970744925337730,14.3329140260592069,10.5164475307344141,151.7423002234941691,84.1050473399801746,16.0014404138423174,66.0820261458563465,55.4835524692655895,1.0138047310150600,1.1034195198105188,14.9784214775166848,13.7391294165955919,4.4944773885274341,6.5233009025105844,9.5206753887952686,11.7016024024912024,5.9505897076248955,3.9115494509903463,5.4577460887214153,2.0375270141043904,0.5727111948856889,0.5829279375370876,1.0014567466397999,-0.7609437770282881,15.7124440643512706,16.4733122446720692,5.3969159380811158,6.0768292703035778,9.5333011650027064,11.7461930380901869,4.9674516085348612,4.1054431150232000,6.1791428993485651,4.7271192065818823,1.1093776617687168,1.2914728230579158
4,99.9902092907162938,99.8331363765817770,0.1006813971427374,80.2532120306670151,1.0498570811519494,1.0616091744480516,4022.9117087086865467,0.0000000000000000,0.0000000000000000,37.6618097721747915,15.9368672370797917,3.0944662992560188,14.2964601955498285,10.5551087275340443,151.6536281610943320,84.0558997522944225,15.9509387188564897,65.9567518351171884,55.4448912724659593,1.0143425637925687,1.1819692638104655,15.0302093892598201,13.7021870794558964,4.5055787221801920,6.4963403839859275,9.5562185487619864,11.6711041662828983,5.9263426874074341,3.9209679857275965,5.4739908404978337,2.0310829131729986,0.5699976965784935,0.5846107364525958,1.0023447758798147,-0.6516859983495618,15.7819832285890183,16.4197383391723903,5.4181352210133431,6.0485850444151206,9.5713557204400175,11.7179355350326055,4.9470048137476352,4.1198294237342150,6.2106275081490008,4.7018028041397857,1.1015802306674856,1.2983057972791283
5,99.9807494975525941,99.7596023932089366,0.0997754364484079,79.7765682861832488,1.0496059378185725,27.1999535425343133,4022.4411359114878906,0.0000000000000000,0.0000000000000000,37.9085375551755206,16.0412718831965790,3.0837176323570201,14.1895112387926972,10.6527729977289720,151.4498256460456673,83.9429396867693356,15.7890899853436668,65.5870570473905588,55.3472270022710120,1.0166852672061701,1.4160045458748360,15.1879566320304278,13.6000679859706484,4.5347950227047331,6.4216246251876230,9.6382782446987321,11.5980605860148227,5.8625662621648047,3.9423532241207506,5.5496783873316966,2.0020073999558257,0.5590583630228180,0.5924417985839829,1.0053825843485449,-0.3119677449413452,15.9907449828104511,16.2490220374399073,5.4795922804149324,5.9630245539067150,9.6680903613848894,11.6332956019262888,4.8873041875859995,4.1572611562214972,6.3226546214255599,4.6157264355136194,1.0757203663207153,1.3223311241934357
6,99.9547730645648898,99.7320015265655400,0.0996721246417306,79.7690741127912304,1.0494737819088666,53.8640211064233654,4022.0088284704197577,0.0000000000000000,0.0000000000000000,37.9412539108785580,16.0551160457706672,3.0666857670665397,14.1887350406985142,10.6610260061916691,151.3779366658362449,83.9030943300373480,15.7823750489422281,65.5803390720927126,55.3389739938083380,1.0163501068178344,1.4201315435455140,15.1868375124657469,13.5934135372134310,4.5366165405404777,6.4172305077834384,9.6492817628069218,11.5875525525932890,5.8570767792473593,3.9454431746697827,5.5375557496588250,2.0058609846201430,0.5601537285360794,0.5911733658706950,1.0051965273025054,-0.3123977852598792,15.9914110094653132,16.2499597463041603,5.4809912695012395,5.9617588427490595,9.6766812930085866,11.6302093657810346,4.8850612884528024,4.1602615965911500,6.3147297164567249,4.6197503805231275,1.0766975542962576,1.3207296729100897
7,99.9277968551532041,99.7038092174945234,0.0995616002556565,79.7628028008154359,1.0493409747032469,inf,4021.6123558746985509,0.0000000000000000,0.0000000000000000,37.9656874785669345,16.0654552866816438,3.0489107375184781,14.1880046344661572,10.6679368269749730,151.3105775791662779,83.8657597228460077,15.7747383393392688,65.5747981663492823,55.3320631730250128,1.0160612720020585,1.4236322411567119,15.1851763805545570,13.5871382421054072,4.5379637178381751,6.4131551733330694,9.6579902896636582,11.5780388634246272,5.8520813701137326,3.9478779420092946,5.5271860908908996,2.0090993786807791,0.5610738032193366,0.5900857758288803,1.0050457169270752,-0.3123652957042466,15.9916168935207672,16.2500745516620206,5.4819993085763574,5.9604099493695673,9.6832662281860813,11.6273681666228015,4.8829913237661229,4.1625550897301808,6.3083506653346877,4.6227063850392200,1.0774186256034441,1.3194442188461764
8,99.7529192754682299,98.7617710070194335,0.0986736814476602,79.4209862475202613,1.0492071841460904,1.0492071841460904,4021.2492865187932694,0.0000000000000000,0.0000000000000000,37.7997326414807162,15.9952302969110161,2.9843015866524580,13.8148607390558062,10.5960169738535956,151.3872188815043387,83.9082391129161778,15.5061200052722761,65.6061255084644586,55.4039830261463635,1.0173802658513795,1.8824073446491223,10.6297785974630994,8.5720724188721604,3.0599798062423811,4.1199231573049291,5.9249994092733225,6.8547849016169051,3.6113702595604504,2.5339068017110273,4.7047791881897769,1.7172875172552564,0.5085528977444784,0.5260730045313536,1.0068564056188753,-1.0958833611974335,16.5724419791361832,17.4968227109645227,5.6465758625903062,6.5445394809931638,9.9546532866298847,13.0702571807582224,5.5176695231153152,4.2620841233509541,6.6177886925063003,4.4265655302063003,1.0268699578778482,1.3844917392393521
9,99.6910648319660311,98.7066964072080424,0.0988066671294991,79.4024289213670045,1.0491628852594590,1.0491628852594590,4020.9172338554394628,0.0000000000000000,0.0000000000000000,37.7771208098358287,15.9856619367846271,2.9815151206973844,13.8139425410390579,10.5921257622009239,151.2922159524129597,83.8555825640376042,15.5227476363310597,65.5884863803279501,55.4078742377990494,1.0168729869583313,1.8648909296379195,10.6122174707273107,8.5737305747825250,3.0576079621003265,4.1215164183226012,5.9224143053574867,6.8519725052557616,3.6113990733417518,2.5331762180780046,4.6898031653698249,1.7217580695267638,0.5101173449808498,0.5244317440223216,1.0064304200172571,-1.1280557685674104,16.5475689023837624,17.5090481463057053,5.6398266445513512,6.5503530057313961,9.9469327297906531,13.0739493540113063,5.5209738525976020,4.2589350470830647,6.6006361725931075,4.4350987922943972,1.0293791531337944,1.3808915974682867
