period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9878980052689883,99.4732166642800308,0.1035939557175874,80.7882941318313073,1.0498716782272464,1.0605313585226432,4066.2280248882757405,0.0000000000000000,0.0000000000000000,37.5020006297729509,15.8692428424706051,3.2420013316787788,14.3818833203912799,10.5250811961554351,151.7670473302773644,84.1187637300999000,16.3505866114650580,66.4064108114400256,55.4633739391957121,1.0512298719184809,-0.6579619674439741,14.2886107707078551,14.2720484252588662,4.2445186120104061,6.7201378545058246,9.2067949047700743,12.0609334218342070,6.0913113908432237,3.7203581023190231,5.0818158659377808,2.2111150034246592,0.6288264636626005,0.5241605096913831,1.0120171143430714,-0.5559412350962365,15.8569016696786029,16.2668186278613902,5.5298719994788836,6.0239564845494336,9.7566581172090245,11.4808259273785396,4.8874566184671835,4.2576319290564255,6.1002435524695766,4.7859927004828524,1.1364998660822505,1.2722400704224581
1,100.0405999511064863,99.5707539723084523,0.1031476703747357,80.7363686979189765,1.0494835092792869,1.0603505097254398,4061.4818854700884003,0.0000000000000000,0.0000000000000000,37.6318718350457075,15.9241987824233533,3.2250375839349994,14.3685224165477852,10.5550004712722156,151.7633186350055610,84.1166970546119757,16.2944188787546835,66.3678462813711860,55.4366992309094400,1.0451904172309132,-0.4044694678042777,14.3688010911330331,14.1980952011472681,4.2658193359759151,6.6864428816852746,9.2549853331441270,11.9939636084002927,6.0589321803519116,3.7406099026814053,5.1138157579889061,2.2041315927469740,0.6275107013333631,0.5252094332945095,1.0116385873846718,-0.5334523451679978,15.8744936289678034,16.2609115775067146,5.5292821635589249,6.0223866308471052,9.7621975550847182,11.4822171585345743,4.8870605885690646,4.2559338222810839,6.1122960738830843,4.7786944189721385,1.1353260422780409,1.2733483412778412
2,100.0814692658268683,99.6464570385424082,0.1027668117806554,80.6883414768654319,1.0491011150792766,1.0601796311750553,4057.0927850673970170,0.0000000000000000,0.0000000000000000,37.7399848639307933,15.9699475926468359,3.2093676954690418,14.3572537775613522,10.5789853401746008,151.7549194691706020,84.1120417130287450,16.2469027841949014,66.3310876993040779,55.4148892619810240,1.0404270029368814,-0.1983541357343004,14.4394095032031586,14.1359370738947057,4.2851097805648086,6.6583197463561401,9.2971478816206261,11.9382061955639163,6.0320492717902594,3.7588916107979800,5.1422616215825325,2.1977308783307885,0.6262704745658808,0.5262181697668286,1.0111406901241642,-0.5120036377587489,15.8898250685775171,16.2570388120052272,5.5284225188359448,6.0211488651564888,9.7668440374856349,11.4848085120652499,4.8869236290654259,4.2540598986530931,6.1229810310918831,4.7722302999399773,1.1342252360910632,1.2743626201828515
3,100.1126262390698543,99.7055988410323408,0.1024407056648814,80.6438458580031607,1.0487236130508306,1.0600179102082692,4053.0259500694974122,0.0000000000000000,0.0000000000000000,37.8300752111181424,16.0080699747403266,3.1949599274090512,14.3476413077541221,10.5982943844250279,151.7427726636454679,84.1053091957793271,16.2064886095915845,66.2962045502490440,55.3970809555353512,1.0365875311423651,-0.0277683183517503,14.5018683637026022,14.0831581370287147,4.3026458661620017,6.6346106773020690,9.3343110799495008,11.8913196555758880,6.0095137515000605,3.7754561273869189,5.1675572837531023,2.1918384814528267,0.6250969258020089,0.5271897387750825,1.0105689376563036,-0.4924346202531868,15.9029485114336016,16.2550285067412403,5.5272934201385668,6.0202503239960583,9.7705680477611239,11.4884945824281939,4.8870561560732115,4.2520049426998545,6.1323804636724777,4.7665339243130473,1.1331941679228466,1.2752884774387125
4,100.1269999520494167,99.6893410275759493,0.1025271280013913,80.5064625515864662,1.0483501963166082,1.0598646120123403,4049.2537304447305360,0.0000000000000000,0.0000000000000000,37.9167867045578717,16.0447625704290999,3.2108931682354789,14.3172099966507371,10.6188341577217873,151.7032167908549809,84.0833848638776971,16.2089529005355253,66.1892525549357345,55.3690665704981200,1.0358930229452616,0.0991109824310232,14.5282560620458483,13.9926122622347346,4.3087303581674261,6.5907040924720368,9.3429153496615100,11.8077220369676592,5.9669074026341669,3.7807306658336715,5.1853407123843391,2.1848902252670745,0.6237966898378701,0.5279996923337548,1.0127245598629862,-0.5150811302605138,15.9204038878539276,16.2563492154781244,5.5274892541158254,6.0211066892040170,9.7767824939599386,11.4968410370784131,4.8891755055477724,4.2510477222519141,6.1436213938939890,4.7595081783997095,1.1319311836562447,1.2764415318639113
5,100.0848426350983686,99.5077707402690521,0.1033225403903706,80.1517111394742585,1.0480047037287645,27.3195779939594381,4045.7536220304477865,0.0000000000000000,0.0000000000000000,38.0116633364959924,16.0849103035371428,3.2904919238146579,14.2344646689627581,10.6421108623716947,151.5567490122104743,84.0022032853822083,16.2658794421340964,65.9172464705115004,55.2820711773029032,1.0399999527380959,0.1981658808826836,14.4496765624241377,13.7614480275721363,4.2800550428122737,6.4718079452445094,9.2656662277552737,11.5876740316864861,5.8498130385475653,3.7516899706689730,5.1840103346688649,2.1737739958856497,0.6219949066969442,0.5283650721433011,1.0197551601571564,-0.6109053462662501,15.9531089241498716,16.2668050684986483,5.5315921755874973,6.0273548987220193,9.7908387869489975,11.5193671296091065,4.8974809902455432,4.2531833585591272,6.1622701372008732,4.7474379388895418,1.1298739084764760,1.2784088170283703
6,100.1210331384259007,99.5322817226278431,0.1030252316858715,80.0957833486427262,1.0477437434046326,54.0843457974246746,4042.5067443110924614,0.0000000000000000,0.0000000000000000,38.1148160988062799,16.1285601410787152,3.2803399182461916,14.2081389306467543,10.6614699750693660,151.5460699541146425,83.9962842853052791,16.2200985620575082,65.8876444179959719,55.2645028117687005,1.0372673497725993,0.3688100428979020,14.3599738216063439,13.5373823810827680,4.2485591942799541,6.3561572647828157,9.1811786242972637,11.3743062348709216,5.7359071617770230,3.7198843363051348,5.1787951973090820,2.1630761462118460,0.6202501030057925,0.5286748579748195,1.0185563777693829,-0.5872763975025777,15.9808493749552039,16.2826669768015257,5.5346289496665806,6.0351685307272191,9.8019796355020539,11.5460513366252950,4.9072399869745578,4.2543851886198958,6.1788697394531509,4.7366156401762307,1.1279285437526609,1.2802437610466846
7,100.1471679827057102,99.5435611369604203,0.1027992689040346,80.0426029526471581,1.0474921892780771,inf,4039.4967360566356547,0.0000000000000000,0.0000000000000000,38.1992239046894255,16.1642779147138747,3.2735155515477659,14.1831332980010529,10.6754233090470549,151.5320963168287847,83.9885392239498998,16.1823005442721488,65.8594696546461051,55.2506537104994209,1.0348293570923601,0.5187143601850970,14.2595132331375947,13.3177003870002153,4.2142633190874328,6.2422224863393856,9.0896610037393764,11.1649581990344764,5.6236656420655509,3.6853326549645136,5.1698522293982174,2.1527421879657398,0.6185568442738348,0.5289306641229193,1.0173874599924322,-0.5740168310376568,16.0038730104037157,16.3033398217661407,5.5366544400580011,6.0443516745302519,9.8103394910640116,11.5763957995912321,4.9182624147261205,4.2547020108791633,6.1935335193397059,4.7269440221749095,1.1260892598041317,1.2819524291788380
8,100.0255885228207404,99.4942957531888510,0.1003307984615895,79.5231248029602682,1.0472495290766695,1.0472495290766695,4036.7089848287500899,0.0000000000000000,0.0000000000000000,38.7127575671303887,16.3815833986935502,3.2249331195444952,14.0485146375502143,10.8735088506881343,150.9288707595473795,83.6541939953807088,15.7509564285702925,65.4746101654100556,54.9159888343440699,1.0312518201168797,0.7460468329610794,14.0430776886244360,12.9524383257636124,4.1429288694538267,6.0512476741609751,8.9011049448252457,10.8128249139781616,5.4346964468048249,3.6141156599035305,5.1419727437991893,2.1396134117854517,0.6165512273561501,0.5288132095502963,1.0146534575225927,-0.5086181099652016,16.0303423779532181,16.3399517418049740,5.5393729808522574,6.0601209953125448,9.8189813884322454,11.6249749254938628,4.9362985337884293,4.2552738699626103,6.2113609895209754,4.7149768163111130,1.1238224615241155,1.2840991108896471
9,100.0233477447375492,99.4496664766396350,0.1000898020117977,79.4752603612801778,1.0471374953142296,1.0471374953142296,4034.1301063048244941,0.0000000000000000,0.0000000000000000,38.7693683914990430,16.4055386785274848,3.1983465906919797,14.0171442297389142,10.8839548432425168,150.8892946308960745,83.6322584364176009,15.7201922352158459,65.4581161315412601,54.9379557522480937,1.0292608720415193,0.8916639471893664,13.8412554634864460,12.6272189906298049,4.0768635584817963,5.8835627496652494,8.7262116216141088,10.5001214138872889,5.2689573797737683,3.5481804758016224,5.1150438418723372,2.1270975767425151,0.6146053698914813,0.5286830826801737,1.0135326408066299,-0.5169834277788929,16.0543421812575779,16.3787219149553884,5.5417575842166960,6.0768156201470500,9.8266046283361526,11.6748400686497646,4.9551710052470463,4.2556053195460075,6.2277375529214227,4.7038818463056238,1.1216446149000037,1.2861522646706887
