period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer0,nx0,rex0,rim0,rexf0,rimf0,rexs0-0,rims0-0,rexsf0-0,rimsf0-0,rexs1-0,rims1-0,rexsf1-0,rimsf1-0,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1
0,2283.6016519948479981,2286.7692352699668845,0.0927221677349127,1848.0094424086159961,22.5058486352208824,22.5063242197745730,92588.5001435894519091,0.0000000000000000,0.0000000000000000,1913.8410686166305368,672.0864023714519817,126.7606546099911071,423.6439099479298420,441.8827562064474819,2796.3293214648615503,1611.5423259500526001,309.7812463396672342,1424.3655324606861541,1065.3211588613651202,0.9980271035431062,0.7605975121006754,16.4627836741713374,15.6979326247570352,6.0798179334633797,5.3886612771017512,11.7514018237103119,9.4946107217612976,4.0924667569424837,4.9741963604345312,4.7113818504610263,6.2033219029957394,1.2961945201592673,1.1056215730288483,1.0129987171716301,-2.9481562674370565,109.8925613626773554,111.6184770316348249,33.8516922931109079,41.2627080668463861,77.5541107616540444,78.0778183747219714,34.5108806177627301,28.6785846410609366,32.3384506010233110,33.5406586569128677,6.7518274490836561,5.1731076520499721
1,2283.5832645865757513,2286.3358258898260829,0.0927115313904961,1848.0236242390790267,22.5058229399346921,22.5063080352767813,92572.3417975699412636,0.0000000000000000,0.0000000000000000,1913.7280354779375102,672.0467083567406235,127.0177694936231347,423.5376550417342969,442.1324727532928023,2796.3658071425752496,1611.5633528775590548,309.4821270920510301,1424.4859691973447298,1065.0714423145193450,0.9982183285063715,0.7607251620252367,16.4667941780452196,15.7035222991027474,6.0786454491831474,5.3917710007468305,11.7495392634222338,9.5091720452153687,4.0973246166311812,4.9716262112584664,4.7172549146229850,6.1943502538873787,1.2944463841156491,1.1070192379246810,1.0127498999682119,-2.9392781319218813,109.8686390701336961,111.5835209845967455,33.8490482121590048,41.2335386018102170,77.5818377924639861,77.9834616407687236,34.4690861538453390,28.6835171449048438,32.2868012776697100,33.6000593438280362,6.7644524479648762,5.1655310672541619
2,2283.5607860026511844,2285.9389691638298245,0.0927029255496068,1848.0320308150671735,22.5057932194574590,22.5062880156128493,92557.3814611783600412,0.0000000000000000,0.0000000000000000,1913.6295446103929407,672.0121211729248216,127.2339216019317405,423.4475186653676815,442.3429981861331726,2796.3863986563087565,1611.5752198975419560,309.2310144909615133,1424.5845121496995489,1064.8609168816790316,0.9983904481470519,0.7608368291508345,16.4702837894759035,15.7083292958224359,6.0776586179098793,5.3945095394535860,11.7478076399021347,9.5220044992853072,4.1016307549339937,4.9693930814402343,4.7224761495737670,6.1863247965371286,1.2928787845195924,1.1082655364696452,1.0125279841574641,-2.9351403355917967,109.8465241416053715,111.5560200506280921,33.8463538184922683,41.2092639091114492,77.6053596025873844,77.9032160361729780,34.4336133693587101,28.6875873581714202,32.2411645390179800,33.6528040144551071,6.7756505397527400,5.1587664603208490
3,2283.5354220142426129,2285.5759734550383655,0.0926960374128739,1848.0359727243701400,22.5057608196811962,22.5062655105284648,92543.5713410087482771,0.0000000000000000,0.0000000000000000,1913.5430380792706728,671.9817425462786105,127.4155940805298712,423.3710642525921344,442.5203187473131266,2796.3947313561584451,1611.5800220853222982,309.0204284826194794,1424.6649084717780624,1064.6835963204994187,0.9985453723840918,0.7609437770282881,16.4733122446720692,15.7124440643512706,6.0768292703035778,5.3969159380811158,11.7461930380901869,9.5333011650027064,4.1054431150232000,4.9674516085348612,4.7271192065818823,6.1791428993485651,1.2914728230579158,1.1093776617687168,1.0123300226561871,-2.9349846731654168,109.8260152492400437,111.5348377684266978,33.8436068620118462,41.1891865579866305,77.6251654866227625,77.8352126891569469,34.4036051978425590,28.6908794112039622,32.2008497626172812,33.6996250792697438,6.7855813601440742,5.1527274508078813
4,2283.5086420623670165,2287.6171923271131163,0.0927199729599994,1848.2011214942399420,22.5057267879213185,22.5062415712595438,92530.8548570012208074,0.0000000000000000,0.0000000000000000,1913.3523828019685880,671.9147898501972804,127.6216316208352595,423.3519708471667400,442.6295475112416398,2796.4630479947245476,1611.6193933974816446,308.9259885570671145,1424.8491506470732020,1064.5743675565711328,0.9976607092327522,0.6516859983495618,16.4197383391723903,15.7819832285890183,6.0485850444151206,5.4181352210133431,11.7179355350326055,9.5713557204400175,4.1198294237342150,4.9470048137476352,4.7018028041397857,6.2106275081490008,1.2983057972791283,1.1015802306674856,1.0119697215982624,-3.1028197329434732,109.7211747321616144,111.6101679445755934,33.8155203277180760,41.2059814744264514,77.5897195114175275,77.8342747099881080,34.4037072757468820,28.6743294976370997,32.1314552207440940,33.7758932345874925,6.8022741986795703,5.1411908300809728
5,2283.4941191857169542,2284.8177744066442756,0.0926854037051296,1848.0376509698467089,22.5056518449629017,22.5056518449629017,92519.1702854847389972,0.0000000000000000,0.0000000000000000,1913.4173673984403194,671.9376105871792788,127.6957238054432793,423.2520148606294015,442.7960351102160530,2796.3990628309443309,1611.5825183417173321,308.6955473892038526,1424.7856361092171937,1064.4078799575963785,0.9988700609126728,0.7655167249565782,16.4802673911541788,15.7160196415944107,6.0764987405551913,5.4001289746178118,11.7438960976928435,9.5512625260667896,4.1115161449934456,4.9648238076223379,4.7363712934613353,6.1647571155276220,1.2886128296243660,1.1116749329328537,1.0120015092943722,-2.9367111571081352,109.7929712389871497,111.5034722344870062,33.8392392551574588,41.1576594311748210,77.6582895738715422,77.7261136695390462,34.3556441544869529,28.6965387875634477,32.1346816651156004,33.7773585649479671,6.8020152766878654,5.1427004675940085
6,2283.4641122453685966,2284.5518435794047036,0.0926822456688559,1848.0331457058055094,22.5056152016847655,22.5056152016847655,92508.4534333835326834,0.0000000000000000,0.0000000000000000,1913.3549771194741425,671.9157009005177770,127.8036163541404733,423.2051919102665920,442.9014582103902740,2796.3847365738515691,1611.5742620288788203,308.5721205274998624,1424.8279537955388605,1064.3024568574223849,0.9989780952873454,0.7654492620632762,16.4821095988075719,15.7186415508259376,6.0759736779882534,5.4017547864388380,11.7425860194937322,9.5588521514635545,4.1141171173352689,4.9635366543848685,4.7395235793138415,6.1597893993623840,1.2876376691035691,1.1124370236033845,1.0118604949919023,-2.9450075260213566,109.7762633051121952,111.4959758277588406,33.8363391713869959,41.1468928038598847,77.6693985433689988,77.6858680696139032,34.3379449387968307,28.6979436701986401,32.1068647617431964,33.8101077581449303,6.8089478650630548,5.1383955011883522
7,2283.4341235866127136,2284.3093008435116644,0.0926799154948099,1848.0272452404974501,22.5055789181600225,22.5055789181600225,92498.6395794678683160,0.0000000000000000,0.0000000000000000,1913.2986126269317992,671.8959072981986083,127.8942669750395567,423.1654346541341738,442.9899369031671768,2796.3667911387801723,1611.5639199608137915,308.4690432304852834,1424.8618105863631627,1064.2139781646451411,0.9990753069831892,0.7654070756140712,16.4836875361630071,15.7208508091597707,6.0755319443106055,5.4031739959952443,11.7413592143165886,9.5655118967718895,4.1164113218728620,4.9624136412580295,4.7423283218464167,6.1553389123878821,1.2867626741223823,1.1131183030525758,1.0117345898158163,-2.9548782038456238,109.7607017080880496,111.4914644137270159,33.8334565005731065,41.1382891232956993,77.6784067035440557,77.6522974262707777,34.3231931927491161,28.6989043880138013,32.0822950045439867,33.8391669874562382,6.8150959305465850,5.1345521125593043
8,2283.4045206304622297,2284.0882541042960838,0.0926782652628487,1848.0203574766451311,22.5055433439930219,22.5055433439930219,92489.6648623454384506,0.0000000000000000,0.0000000000000000,1913.2474219949463077,671.8779306081534060,127.9704332309692489,423.1316587381209615,443.0641287564085928,2796.3463801693656023,1611.5521569896668552,308.3830502023650411,1424.8886987385242264,1064.1397863114041229,0.9991627685362990,0.7653905944803885,16.4850357456589052,15.7227004910110235,6.0751610473679261,5.4044099743381908,11.7402115807475447,9.5713494149116052,4.1184324398400367,4.9614334592730129,4.7448241649113605,6.1513510760994174,1.2859775344981543,1.1137275880949131,1.0116221504369640,-2.9659074851209510,109.7462105038264610,111.4893755324086158,33.8306098044846237,41.1315000889970221,77.6856189709426417,77.6244230074224646,34.3109512586504195,28.6994892549800262,32.0605915328838194,33.8649525249861583,6.8205488303466000,5.1311205495045940
9,2283.3755836397776875,2283.8869369644198741,0.0926771695271474,1848.0128037269987544,22.5055087354674548,22.5055087354674548,92481.4672518395527732,0.0000000000000000,0.0000000000000000,1913.2007143069215545,671.8615282001779860,128.0344342121001660,423.1029453599699650,443.1262839183809774,2796.3244088057240333,1611.5394947534291532,308.3113868950009078,1424.9098583670288463,1064.0776311494319089,0.9992414462271042,0.7653992200233333,16.4861847261426071,15.7242378694202944,6.0748503370600968,5.4054837722070301,11.7391393653340383,9.5764606139496369,4.1202107546352424,4.9605776569854942,4.7470453608085670,6.1477772554706576,1.2852730175717877,1.1142726800746030,1.0115217149041040,-2.9777422055704648,109.7327221930447507,111.4892303516731999,33.8278160861093369,41.1262266967649524,77.6913044829689738,77.6013959316115915,34.3008408742157158,28.6997596942709272,32.0414177100757769,33.8878344200616084,6.8253858225492348,5.1280563918384097
