period,rgdp,ngdp,iy,c,W,sW,cW,ceW1,ceW2,y0,va0,i0,c0,l0,y1,va1,i1,c1,l1,rer1,nx1,rex1,rim1,rexf1,rimf1,rexs0-1,rims0-1,rexsf0-1,rimsf0-1,rexs1-1,rims1-1,rexsf1-1,rimsf1-1,rer2,nx2,rex2,rim2,rexf2,rimf2,rexs0-2,rims0-2,rexsf0-2,rimsf0-2,rexs1-2,rims1-2,rexsf1-2,rimsf1-2
0,99.9974174621286807,99.8777638129079577,0.1010721689686806,80.4346105915079335,1.0640643921507706,1.0618545469528997,4025.2208444709690411,0.0000000000000000,0.0000000000000000,37.3839608551412539,15.8192934579779330,3.1087792992383356,14.3394635986511378,10.4749274896439086,151.8784532183645410,84.1805118219485422,16.0093463968299261,66.0951469928567974,55.5250725103560754,1.0150012094615197,1.0823978037331550,14.9717678806939425,13.7634120641293602,4.4848385947686573,6.5402265677155791,9.4694982808451016,11.7423905042733985,5.9721850544198682,3.8973530740886249,5.5022695998488400,2.0210215598559609,0.5680415132957106,0.5874855206800327,1.0019767964716488,-0.7605975121006754,15.6979326247570352,16.4627836741713374,5.3886612771017512,6.0798179334633797,9.4946107217612976,11.7514018237103119,4.9741963604345312,4.0924667569424837,6.2033219029957394,4.7113818504610263,1.1056215730288483,1.2961945201592673
1,99.9966821000757164,99.8715497826387235,0.1010289676351537,80.4275470186943693,1.0640462602655312,1.0617923885170704,4024.5757679683638344,0.0000000000000000,0.0000000000000000,37.4475290258836111,15.8461927892568433,3.1047253827523287,14.3368575185755436,10.4909155445097610,151.8285551306893808,84.1528551894873686,16.0058423841250104,66.0906895001188275,55.5090844554902105,1.0145575081591458,1.0908031706157164,14.9744952650436201,13.7538425533856117,4.4885338499243144,6.5336221553724654,9.4888905177895335,11.7266716592642908,5.9638428752882087,3.9027449827285428,5.4856047472540865,2.0271708941213213,0.5697792800842569,0.5857888671957718,1.0017848515126890,-0.7607251620252367,15.7035222991027474,16.4667941780452196,5.3917710007468305,6.0786454491831474,9.5091720452153687,11.7495392634222338,4.9716262112584664,4.0973246166311812,6.1943502538873787,4.7172549146229850,1.1070192379246810,1.2944463841156491
2,99.9951860038289340,99.8654332806499099,0.1009925050379380,80.4209963660223934,1.0640296351949370,1.0617308551585924,4023.9769538249638572,0.0000000000000000,0.0000000000000000,37.5032314259198714,15.8697636627633116,3.1008101633707481,14.3346984735128444,10.5046547731034785,151.7833054437467979,84.1277749906448520,16.0032614222851777,66.0862978925095490,55.4953452268965037,1.0141603277922486,1.0977502514162278,14.9766942876695470,13.7458195859495689,4.4917279810699693,6.5280261359839100,9.5058574119327766,11.7131709477824657,5.9566970465617697,3.9074514801001223,5.4708368757367714,2.0326486381671041,0.5713290894221403,0.5842765009698467,1.0016121466866348,-0.7608368291508345,15.7083292958224359,16.4702837894759035,5.3945095394535860,6.0776586179098793,9.5220044992853072,11.7478076399021347,4.9693930814402343,4.1016307549339937,6.1863247965371286,4.7224761495737670,1.1082655364696452,1.2928787845195924
3,99.9930884107237290,99.8594498288323109,0.1009619516285049,80.4149401719155605,1.0640144112677150,1.0616698239599971,4023.4229115275866207,0.0000000000000000,0.0000000000000000,37.5519666665391370,15.8903863323645531,3.0970744925337730,14.3329140260592069,10.5164475307344141,151.7423002234941691,84.1050473399801746,16.0014404138423174,66.0820261458563465,55.4835524692655895,1.0138047310150600,1.1034195198105188,14.9784214775166848,13.7391294165955919,4.4944773885274341,6.5233009025105844,9.5206753887952686,11.7016024024912024,5.9505897076248955,3.9115494509903463,5.4577460887214153,2.0375270141043904,0.5727111948856889,0.5829279375370876,1.0014567466397999,-0.7609437770282881,15.7124440643512706,16.4733122446720692,5.3969159380811158,6.0768292703035778,9.5333011650027064,11.7461930380901869,4.9674516085348612,4.1054431150232000,6.1791428993485651,4.7271192065818823,1.1093776617687168,1.2914728230579158
4,99.9902092907162938,99.8331363765817770,0.1006813971427374,80.2532120306670151,1.0640004855874521,1.0616091744480516,4022.9117087086865467,0.0000000000000000,0.0000000000000000,37.6618097721747915,15.9368672370797917,3.0944662992560188,14.2964601955498285,10.5551087275340443,151.6536281610943320,84.0558997522944225,15.9509387188564897,65.9567518351171884,55.4448912724659593,1.0143425637925687,1.1819692638104655,15.0302093892598201,13.7021870794558964,4.5055787221801920,6.4963403839859275,9.5562185487619864,11.6711041662828983,5.9263426874074341,3.9209679857275965,5.4739908404978337,2.0310829131729986,0.5699976965784935,0.5846107364525958,1.0023447758798147,-0.6516859983495618,15.7819832285890183,16.4197383391723903,5.4181352210133431,6.0485850444151206,9.5713557204400175,11.7179355350326055,4.9470048137476352,4.1198294237342150,6.2106275081490008,4.7018028041397857,1.1015802306674856,1.2983057972791283
5,99.9824605600104803,99.8437618475410176,0.1009268189193635,80.4057817229945755,1.0640291478627444,1.0640291478627444,4022.4411359114878906,0.0000000000000000,0.0000000000000000,37.6298964549527284,15.9233628860478191,3.0892565672473395,14.3310003672411366,10.5343590433289247,151.6636030975889184,84.0614284842620805,16.0017292516432974,66.0747813557534442,55.4656409566710522,1.0131463029032035,1.1089663169404300,14.9784052395232461,13.7296909220862062,4.4985659662919417,6.5165852435135259,9.5443917802594065,11.6833752898193453,5.9413425044341261,3.9181055033277463,5.4340134592638405,2.0463156322668610,0.5752427390793998,0.5804604629641957,1.0011312172939639,-0.7655167249565782,15.7160196415944107,16.4802673911541788,5.4001289746178118,6.0764987405551913,9.5512625260667896,11.7438960976928435,4.9648238076223379,4.1115161449934456,6.1647571155276220,4.7363712934613353,1.1116749329328537,1.2886128296243660
6,99.9797352105423300,99.8387322008747162,0.1009090872661047,80.4012405090771978,1.0640179391727638,1.0640179391727638,4022.0088284704197577,0.0000000000000000,0.0000000000000000,37.6619818587519930,15.9369400567597470,3.0863040901973013,14.3299893395047810,10.5417621033298587,151.6341913694941468,84.0451266700671056,16.0012548617592500,66.0712511695724203,55.4582378966701057,1.0128955777562385,1.1118185090583736,14.9791210736645635,13.7259532942132338,4.5002641583655807,6.5137969359189904,9.5540786353274783,11.6762424511214498,5.9375889543232399,3.9207443808942344,5.4250424383370852,2.0497108430917841,0.5762079815957503,0.5795197774713462,1.0010229500701522,-0.7654492620632762,15.7186415508259376,16.4821095988075719,5.4017547864388380,6.0759736779882534,9.5588521514635545,11.7425860194937322,4.9635366543848685,4.1141171173352689,6.1597893993623840,4.7395235793138415,1.1124370236033845,1.2876376691035691
7,99.9768092922410148,99.8338914786981348,0.1008946809147869,80.3970732855887604,1.0640077080805685,1.0640077080805685,4021.6123558746985509,0.0000000000000000,0.0000000000000000,37.6899150735586659,15.9487601986640186,3.0835649915340202,14.3291608887184179,10.5480916458323009,151.6075885878341012,84.0303817491874412,16.0011133035462052,66.0679123968703408,55.4519083541676991,1.0126709996174894,1.1139757764627998,14.9795695478387376,13.7229194763242770,4.5017018317545094,6.5114777350265438,9.5624879658903836,11.6701866025950132,5.9344090266074039,3.9230218195935098,5.4170815819483549,2.0527328737292625,0.5770687084191400,0.5786800121609998,1.0009255488653834,-0.7654070756140712,15.7208508091597707,16.4836875361630071,5.4031739959952443,6.0755319443106055,9.5655118967718895,11.7413592143165886,4.9624136412580295,4.1164113218728620,6.1553389123878821,4.7423283218464167,1.1131183030525758,1.2867626741223823
8,99.9737529229638113,99.8292513372374941,0.1008831223386146,80.3932549022830045,1.0639983751266122,1.0639983751266122,4021.2492865187932694,0.0000000000000000,0.0000000000000000,37.7141989765652283,15.9590361078822642,3.0810377787097893,14.3284837038722142,10.5534971880183459,151.5835365494006339,84.0170506093003411,16.0012329314755064,66.0647711984107957,55.4465028119816594,1.0124698220280135,1.1155459093864835,14.9797916041011039,13.7204805324856913,4.5029127741156998,6.5095581897984625,9.5697764952291529,11.6650578600597310,5.9317218849776951,3.9249826164862354,5.4100151088719510,2.0554226724259612,0.5778363048207672,0.5779301576294645,1.0008379330075794,-0.7653905944803885,15.7227004910110235,16.4850357456589052,5.4044099743381908,6.0751610473679261,9.5713494149116052,11.7402115807475447,4.9614334592730129,4.1184324398400367,6.1513510760994174,4.7448241649113605,1.1137275880949131,1.2859775344981543
9,99.9706242180559030,99.8248196855329297,0.1008739911715006,80.3897606395787676,1.0639898659289244,1.0639898659289244,4020.9172338554394628,0.0000000000000000,0.0000000000000000,37.7352798296748517,15.9679566233669110,3.0787172289669726,14.3279315592221028,10.5581081297711243,151.5617989194280710,84.0050022589378642,16.0015541464883135,66.0618290803566595,55.4418918702288721,1.0122895909926146,1.1166236683301101,14.9798240566340635,13.7185424444987270,4.5039270469077781,6.5079782555685322,9.5760832708879207,11.6607256909850854,5.9294573385384943,3.9266666105224810,5.4037407857461437,2.0578167535136420,0.5785209170300377,0.5772604363852973,1.0007591296135283,-0.7653992200233333,15.7242378694202944,16.4861847261426071,5.4054837722070301,6.0748503370600968,9.5764606139496369,11.7391393653340383,4.9605776569854942,4.1202107546352424,6.1477772554706576,4.7470453608085670,1.1142726800746030,1.2852730175717877
